episode_split,market_regime_bucket,board_bucket,window,metric_basis,numerator,denominator,excluded_count,recall
train,all,main_board,low_plus_60,capture_any_event,625,965,0,0.6476683937823834
train,all,main_board,low_to_first_50pct,capture_any_event,678,965,0,0.7025906735751295
train,all,main_board,low_to_high,capture_any_event,684,965,0,0.7088082901554404
validation,all,chinext,before_episode_high,capture_any_event,92,110,0,0.8363636363636363
validation,all,chinext,before_first_50pct,capture_any_event,87,110,0,0.7909090909090909
validation,all,chinext,low_plus_120,capture_any_event,96,110,0,0.8727272727272727
validation,all,chinext,low_plus_20,capture_any_event,47,110,0,0.42727272727272725
validation,all,chinext,low_plus_30,capture_any_event,77,110,0,0.7
validation,all,chinext,low_plus_60,capture_any_event,89,110,0,0.8090909090909091
validation,all,chinext,low_to_first_50pct,capture_any_event,90,110,0,0.8181818181818182
validation,all,chinext,low_to_high,capture_any_event,92,110,0,0.8363636363636363
validation,all,main_board,before_episode_high,capture_any_event,271,335,0,0.808955223880597
validation,all,main_board,before_first_50pct,capture_any_event,263,335,0,0.7850746268656716
validation,all,main_board,low_plus_120,capture_any_event,277,335,0,0.826865671641791
validation,all,main_board,low_plus_20,capture_any_event,167,335,0,0.49850746268656715
validation,all,main_board,low_plus_30,capture_any_event,231,335,0,0.6895522388059702
validation,all,main_board,low_plus_60,capture_any_event,265,335,0,0.7910447761194029
validation,all,main_board,low_to_first_50pct,capture_any_event,268,335,0,0.8
validation,all,main_board,low_to_high,capture_any_event,271,335,0,0.808955223880597
