target_episode_id,e1_first_event_id,e1_first_event_t0_date,e1_lead_time_to_first_50pct_sessions,e1_any_event_captured,candidate_first_event_id,candidate_first_event_t0_date,candidate_lead_time_to_first_50pct_sessions,candidate_any_event_captured,instrument,episode_low_date,episode_high_date,qfq_low_at_low_date,episode_split,market_regime_bucket,board_bucket,candidate_minus_e1_lead_time_sessions,candidate_earlier_than_e1_flag,candidate_at_least_10_sessions_earlier_flag,e1_event_close_vs_episode_low_return,candidate_event_close_vs_episode_low_return,candidate_better_basis_flag,basis_policy_id,basis_definition,basis_forbidden_future_fields
SH600026_20191113_0001,SH600026_20191218_recommended_union,2019-12-18,72.0,True,,,,False,SH600026,2019-11-13,2020-04-22,4.96,train,transition,main_board,,False,False,0.11491935483870974,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600026_20210802_0002,SH600026_20210907_recommended_union,2021-09-07,16.0,True,SH600026_20210929_risk_on_transition_union,2021-09-29,2.0,True,SH600026,2021-08-02,2021-10-08,4.58,train,risk_on,main_board,-14.0,False,False,0.16375545851528384,0.42576419213973793,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600026_20220321_0003,,,,False,,,,False,SH600026,2022-03-21,2022-09-06,5.04,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600026_20231215_0004,SH600026_20240115_recommended_union,2024-01-15,50.0,True,,,,False,SH600026,2023-12-15,2024-06-07,10.79,validation,risk_off,main_board,,False,False,0.22613531047266,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600027_20200323_0000,SH600027_20200330_recommended_union,2020-03-30,97.0,True,,,,False,SH600027,2020-03-23,2020-08-20,2.26,train,risk_off,main_board,,False,False,0.14601769911504436,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600027_20210427_0001,SH600027_20210628_recommended_union,2021-06-28,48.0,True,,,,False,SH600027,2021-04-27,2021-09-23,2.63,train,transition,main_board,,False,False,0.049429657794676674,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600027_20211115_0002,SH600027_20211206_recommended_union,2021-12-06,13.0,True,,,,False,SH600027,2021-11-15,2021-12-27,2.92,train,risk_on,main_board,,False,False,0.2534246575342467,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600027_20220412_0003,SH600027_20220511_recommended_union,2022-05-11,42.0,True,,,,False,SH600027,2022-04-12,2022-09-09,2.76,validation,risk_off,main_board,,False,False,0.19565217391304346,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600027_20231026_0004,SH600027_20231123_recommended_union,2023-11-23,87.0,True,SH600027_20231030_risk_on_transition_union,2023-10-30,105.0,True,SH600027,2023-10-26,2024-04-16,4.26,validation,risk_off,main_board,18.0,True,True,0.107981220657277,0.07981220657277,True,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600028_20221101_0000,,,,False,,,,False,SH600028,2022-11-01,2023-04-27,3.49,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600028_20250923_0001,SH600028_20251027_recommended_union,2025-10-27,84.0,True,,,,False,SH600028,2025-09-23,2026-03-04,5.27,robustness,risk_on,main_board,,False,False,0.05882352941176472,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600030_20180816_0000,SH600030_20180904_recommended_union,2018-09-04,101.0,True,SH600030_20190213_risk_on_transition_union,2019-02-13,8.0,True,SH600030,2018-08-16,2019-02-26,12.37,train,risk_off,main_board,-93.0,False,False,0.0695230396119646,0.2813257881972515,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600030_20200204_0001,SH600030_20200217_recommended_union,2020-02-17,94.0,True,,,,False,SH600030,2020-02-04,2020-07-08,17.16,train,risk_off,main_board,,False,False,0.16375291375291368,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600030_20240415_0002,SH600030_20240716_recommended_union,2024-07-16,52.0,True,,,,False,SH600030,2024-04-15,2024-10-09,16.38,robustness,risk_on,main_board,,False,False,0.08547008547008561,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600031_20200812_0000,,,,False,,,,False,SH600031,2020-08-12,2021-01-13,17.86,train,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600036_20190103_0000,SH600036_20190124_recommended_union,2019-01-24,94.0,True,SH600036_20190128_risk_on_transition_union,2019-01-28,92.0,True,SH600036,2019-01-03,2019-06-21,17.97,train,risk_off,main_board,-2.0,False,False,0.14301613800779078,0.1752921535893157,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600036_20200319_0001,SH600036_20200428_recommended_union,2020-04-28,45.0,True,,,,False,SH600036,2020-03-19,2020-07-07,21.73,train,risk_off,main_board,,False,False,0.1794753796594568,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600036_20200930_0002,,,,False,,,,False,SH600036,2020-09-30,2021-02-18,27.94,train,transition,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600036_20221031_0003,SH600036_20221114_recommended_union,2022-11-14,43.0,True,,,,False,SH600036,2022-10-31,2023-01-30,21.96,validation,risk_off,main_board,,False,False,0.26001821493624777,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600036_20240911_0004,SH600036_20240924_recommended_union,2024-09-24,111.0,True,,,,False,SH600036,2024-09-11,2025-03-17,27.96,robustness,risk_off,main_board,,False,False,0.10693848354792546,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600037_20181018_0000,SH600037_20181113_recommended_union,2018-11-13,73.0,True,,,,False,SH600037,2018-10-18,2019-03-22,7.39,train,risk_off,main_board,,False,False,0.1529093369418133,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600038_20180207_0000,SH600038_20180320_recommended_union,2018-03-20,8.0,True,,,,False,SH600038,2018-02-07,2018-04-19,30.82,train,risk_off,main_board,,False,False,0.27579493835171975,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600038_20200319_0001,SH600038_20200409_recommended_union,2020-04-09,80.0,True,,,,False,SH600038,2020-03-19,2020-08-10,38.0,train,risk_off,main_board,,False,False,0.09552631578947368,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600038_20210316_0002,SH600038_20210426_recommended_union,2021-04-26,79.0,True,,,,False,SH600038,2021-03-16,2021-08-23,42.22,train,transition,main_board,,False,False,0.17906205589767898,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600038_20211013_0003,,,,False,,,,False,SH600038,2021-10-13,2021-12-31,49.89,train,transition,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600039_20221223_0000,,,,False,,,,False,SH600039,2022-12-23,2023-04-28,6.11,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600039_20240910_0001,SH600039_20240926_recommended_union,2024-09-26,9.0,True,SH600039_20241014_risk_on_transition_union,2024-10-14,2.0,True,SH600039,2024-09-10,2024-10-17,4.94,robustness,risk_off,main_board,-7.0,False,False,0.21457489878542502,0.4210526315789471,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600039_20250122_0002,SH600039_20250227_recommended_union,2025-02-27,80.0,True,,,,False,SH600039,2025-01-22,2025-06-26,6.45,robustness,transition,main_board,,False,False,0.08372093023255811,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600048_20210802_0000,SH600048_20210811_recommended_union,2021-08-11,28.0,True,,,,False,SH600048,2021-08-02,2022-01-11,7.99,train,risk_on,main_board,,False,False,0.29036295369211507,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600048_20240416_0001,SH600048_20240429_recommended_union,2024-04-29,12.0,True,,,,False,SH600048,2024-04-16,2024-10-08,7.22,robustness,risk_off,main_board,,False,False,0.19806094182825484,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600050_20220614_0000,SH600050_20220615_recommended_union,2022-06-15,117.0,True,,,,False,SH600050,2022-06-14,2022-12-07,3.03,validation,transition,main_board,,False,False,0.04620462046204632,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600050_20240919_0001,SH600050_20250207_recommended_union,2025-02-07,6.0,True,,,,False,SH600050,2024-09-19,2025-02-24,4.21,robustness,risk_off,main_board,,False,False,0.20427553444180524,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600056_20220427_0000,,,,False,,,,False,SH600056,2022-04-27,2022-05-10,12.84,validation,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600060_20181019_0000,SH600060_20181116_recommended_union,2018-11-16,71.0,True,,,,False,SH600060,2018-10-19,2019-03-06,6.87,train,risk_off,main_board,,False,False,0.2081513828238719,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600061_20240412_0000,SH600061_20240731_recommended_union,2024-07-31,42.0,True,,,,False,SH600061,2024-04-12,2024-10-08,5.77,robustness,risk_on,main_board,,False,False,0.024263431542461023,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600066_20181030_0000,SH600066_20181227_recommended_union,2018-12-27,36.0,True,,,,False,SH600066,2018-10-30,2019-04-24,6.49,train,risk_off,main_board,,False,False,0.14329738058551622,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600066_20230830_0001,SH600066_20230911_recommended_union,2023-09-11,108.0,True,,,,False,SH600066,2023-08-30,2024-03-01,9.97,validation,transition,main_board,,False,False,0.14744232698094262,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600066_20240808_0002,SH600066_20240918_recommended_union,2024-09-18,86.0,True,,,,False,SH600066,2024-08-08,2025-01-24,17.35,robustness,risk_off,main_board,,False,False,0.1561959654178673,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600085_20201225_0000,SH600085_20210208_recommended_union,2021-02-08,62.0,True,,,,False,SH600085,2020-12-25,2021-05-28,21.9,train,risk_on,main_board,,False,False,0.09497716894977182,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600085_20210922_0001,SH600085_20211019_recommended_union,2021-10-19,54.0,True,,,,False,SH600085,2021-09-22,2022-01-07,29.22,train,risk_on,main_board,,False,False,0.10814510609171823,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600085_20220427_0002,SH600085_20220516_recommended_union,2022-05-16,19.0,True,,,,False,SH600085,2022-04-27,2022-06-29,31.25,validation,risk_off,main_board,,False,False,0.2924800000000001,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600085_20230106_0003,SH600085_20230120_recommended_union,2023-01-20,65.0,True,,,,False,SH600085,2023-01-06,2023-05-08,39.79,validation,risk_on,main_board,,False,False,0.1276702689117868,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600085_20240918_0004,SH600085_20240926_recommended_union,2024-09-26,3.0,True,,,,False,SH600085,2024-09-18,2024-10-08,30.03,robustness,risk_off,main_board,,False,False,0.16416916416916405,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600089_20200204_0000,SH600089_20200219_recommended_union,2020-02-19,19.0,True,,,,False,SH600089,2020-02-04,2020-07-23,3.72,train,risk_off,main_board,,False,False,0.16397849462365577,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600089_20200908_0001,SH600089_20201215_recommended_union,2020-12-15,26.0,True,SH600089_20201012_risk_on_transition_union,2020-10-12,72.0,True,SH600089,2020-09-08,2021-02-22,5.29,train,risk_on,main_board,46.0,True,True,0.11531190926275992,0.20226843100189051,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600089_20210309_0002,,,,False,,,,False,SH600089,2021-03-09,2021-08-31,7.12,train,risk_off,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600089_20220128_0003,SH600089_20220310_recommended_union,2022-03-10,61.0,True,,,,False,SH600089,2022-01-28,2022-07-05,12.39,validation,risk_off,main_board,,False,False,0.1404358353510895,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600089_20250407_0004,SH600089_20250625_recommended_union,2025-06-25,60.0,True,,,,False,SH600089,2025-04-07,2025-09-26,10.63,robustness,risk_off,main_board,,False,False,0.08372530573847592,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600096_20210709_0000,,,,False,,,,False,SH600096,2021-07-09,2021-09-14,9.86,train,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600096_20220128_0001,SH600096_20220217_recommended_union,2022-02-17,5.0,True,,,,False,SH600096,2022-01-28,2022-07-05,13.38,validation,risk_off,main_board,,False,False,0.2997010463378176,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600096_20231219_0002,SH600096_20240103_recommended_union,2024-01-03,66.0,True,,,,False,SH600096,2023-12-19,2024-05-30,12.13,validation,risk_off,main_board,,False,False,0.15333882934872212,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
SH600096_20250923_0003,,,,False,,,,False,SH600096,2025-09-23,2026-02-27,24.17,robustness,risk_on,main_board,,False,False,,,False,event_close_vs_episode_low_v0,candidate event close relative to episode low is lower than E1 event close relative to episode low,episode_high_date;qfq_high_at_high_date;first_50pct_touch_date
