candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,full_denominator_instrument_days,full_denominator_universe_years_252,eligible_gated_instrument_days,eligible_gated_universe_years_252,headline_density_uses,event_count,density_full_denominator,density_eligible_gated_denominator
T3_style_rotation_break__ungated,candidate_family_variant,T3_style_rotation_break,ungated,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,630,0.17391666328897049,0.17391666328897049
T3_style_rotation_break__event_regime_gated,candidate_family_variant,T3_style_rotation_break,event_regime_gated,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,629,0.1736406050932737,0.23879778539414712
T4_entropy_compression_then_directional_expansion__ungated,candidate_family_variant,T4_entropy_compression_then_directional_expansion,ungated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,1658,0.4577044884652588,0.4577044884652588
T4_entropy_compression_then_directional_expansion__event_regime_gated,candidate_family_variant,T4_entropy_compression_then_directional_expansion,event_regime_gated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,1463,0.403873140304387,0.5554231479040337
T5_volume_regime_shift__ungated,candidate_family_variant,T5_volume_regime_shift,ungated,runnable_existing_data,volume_regime_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,15003,4.141701110038769,4.141701110038769
T5_volume_regime_shift__event_regime_gated,candidate_family_variant,T5_volume_regime_shift,event_regime_gated,runnable_existing_data,volume_regime_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,12497,3.4498992716226415,4.744445030319008
T6_stock_vs_market_CUSUM_break__ungated,candidate_family_variant,T6_stock_vs_market_CUSUM_break,ungated,fallback_variant,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,13536,3.7367237369515944,3.7367237369515944
T6_stock_vs_market_CUSUM_break__event_regime_gated,candidate_family_variant,T6_stock_vs_market_CUSUM_break,event_regime_gated,fallback_variant,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,10775,2.974527058632789,4.090693382546797
T7_board_relative_strength_break__ungated,candidate_family_variant,T7_board_relative_strength_break,ungated,fallback_variant,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,630,0.17391666328897049,0.17391666328897049
T7_board_relative_strength_break__event_regime_gated,candidate_family_variant,T7_board_relative_strength_break,event_regime_gated,fallback_variant,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,629,0.1736406050932737,0.23879778539414712
T8_volatility_regime_contraction_break__ungated,candidate_family_variant,T8_volatility_regime_contraction_break,ungated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,13331,3.6801318068337547,3.6801318068337547
T8_volatility_regime_contraction_break__event_regime_gated,candidate_family_variant,T8_volatility_regime_contraction_break,event_regime_gated,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,11363,3.1368492777024946,4.313925652517796
R1_relative_strength_breakout__all_variants,candidate_family,R1_relative_strength_breakout,all_variants,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,18538,5.11756683182688,5.11756683182688
R2_near_high_volume_expansion__all_variants,candidate_family,R2_near_high_volume_expansion,all_variants,runnable_existing_data,volume_high_breakout_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,11120,3.0697671361481773,3.0697671361481773
R3_vcp_breakout__all_variants,candidate_family,R3_vcp_breakout,all_variants,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,9218,2.5447044479329044,2.5447044479329044
R5_growth_or_small_style_confirmation__all_variants,candidate_family,R5_growth_or_small_style_confirmation,all_variants,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,2277,0.6285845116015647,0.6285845116015647
R6_market_breadth_thrust__all_variants,candidate_family,R6_market_breadth_thrust,all_variants,runnable_existing_data,breadth_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,21973,6.065826734045315,6.065826734045315
R7_cross_sectional_momentum_rank_jump__all_variants,candidate_family,R7_cross_sectional_momentum_rank_jump,all_variants,runnable_existing_data,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,13084,3.6119454324966505,3.6119454324966505
R8_persistent_distance_above_ema__all_variants,candidate_family,R8_persistent_distance_above_ema,all_variants,runnable_existing_data,persistent_trend_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,15041,4.152191321475246,4.152191321475246
T3_style_rotation_break__all_variants,candidate_family,T3_style_rotation_break,all_variants,diagnostic_only,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,674,0.18606322389962873,0.18606322389962873
T4_entropy_compression_then_directional_expansion__all_variants,candidate_family,T4_entropy_compression_then_directional_expansion,all_variants,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,1701,0.4695749908802203,0.4695749908802203
T5_volume_regime_shift__all_variants,candidate_family,T5_volume_regime_shift,all_variants,runnable_existing_data,volume_regime_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,15737,4.344327825680204,4.344327825680204
T6_stock_vs_market_CUSUM_break__all_variants,candidate_family,T6_stock_vs_market_CUSUM_break,all_variants,fallback_variant,relative_strength_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,14709,4.060540000503916,4.060540000503916
T7_board_relative_strength_break__all_variants,candidate_family,T7_board_relative_strength_break,all_variants,fallback_variant,board_style_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,674,0.18606322389962873,0.18606322389962873
T8_volatility_regime_contraction_break__all_variants,candidate_family,T8_volatility_regime_contraction_break,all_variants,runnable_existing_data,compression_break_cluster,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,14172,3.9122967494147454,3.9122967494147454
selected_candidate_union,candidate_union,selected_candidate_union,train_selected_union,mixed,mixed,912851,3622.4246031746034,663775,2634.027777777778,density_full_denominator,2063,0.5695080577224542,0.5695080577224542
