condition,kind,n_terms,atom_indices,covered_events_t0_t30,coverage_t0_t30,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset,robustness_covered_events,robustness_coverage_t0_t30,train_covered_events,train_coverage_t0_t30,validation_covered_events,validation_coverage_t0_t30
vol_ratio3_gt_1 AND ret5_gt_0pct,and2,2,"50,208",845,1.0,0.23635384156242253,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND boll20_pct_b_gt_0,and2,2,"51,340",845,1.0,0.23647271274147288,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND money_ratio10_gt_1,and2,2,"59,18",845,1.0,0.23653847126605393,1.0,1.0,241,1.0,446,1.0,158,1.0
close_near_high5_gt_0pct AND rps3_gt_30,and2,2,"224,189",845,1.0,0.23668769253337246,4.0,4.0,241,1.0,446,1.0,158,1.0
close_breaks_high5 AND rps3_gt_30,and2,2,"225,189",845,1.0,0.23668769253337246,4.0,4.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ma10_gt_m5pct,and2,2,"51,112",845,1.0,0.23711512294314924,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio10_gt_1_2,and2,2,"67,19",845,1.0,0.23727446090655713,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1 AND rps5_gt_50,and2,2,"50,216",845,1.0,0.23754508252694834,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_ma5_gt_m5pct,and2,2,"59,105",845,1.0,0.23805344650544025,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND vol_ratio10_gt_1,and2,2,"59,66",845,1.0,0.23831142225571972,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ema3_gt_m2pct,and2,2,"3,141",845,1.0,0.23867056496689312,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND vol_ratio5_gt_1,and2,2,"67,58",845,1.0,0.239295270950413,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND money_ratio5_gt_1,and2,2,"67,10",845,1.0,0.23968476374985456,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio10_gt_1_2 AND vol_ratio5_gt_1,and2,2,"19,58",845,1.0,0.23976063897052502,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND boll20_pct_b_gt_0,and2,2,"3,340",845,1.0,0.23977328484063676,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio10_gt_1_2 AND ret5_gt_m10pct,and2,2,"67,206",845,1.0,0.24000091050264805,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND close_near_high5_gt_m10pct,and2,2,"59,221",845,1.0,0.2401197816816984,2.0,2.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND money_ratio10_gt_1,and2,2,"11,18",845,1.0,0.24017542351019006,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND money_ratio20_gt_0_8,and2,2,"51,25",845,1.0,0.24020324442443586,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND ret3_gt_m5pct,and2,2,"3,182",845,1.0,0.24053456622136343,2.0,2.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND money_ratio5_gt_1_2,and2,2,"59,11",845,1.0,0.24079001279762055,1.0,1.0,241,1.0,446,1.0,158,1.0
vol_ratio5_gt_1_2 AND money_ratio20_gt_0_8,and2,2,"59,25",845,1.0,0.24081024618979935,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio5_gt_1_2 AND vol_ratio10_gt_1,and2,2,"11,66",845,1.0,0.24086588801829098,1.0,1.0,241,1.0,446,1.0,158,1.0
money_ratio3_gt_1_2 AND close_ma10_gt_m5pct,and2,2,"3,112",845,1.0,0.241040401025833,3.0,3.0,241,1.0,446,1.0,158,1.0
vol_ratio3_gt_1_2 AND close_ema10_gt_m5pct,and2,2,"51,154",845,1.0,0.2414653022615874,2.0,2.0,241,1.0,446,1.0,158,1.0
