split_bucket,decile_index,row_n,mean_payoff,mean_continue_advantage,mean_score,model_id,score_cutoff_source,decile_payoff_monotonicity_spearman,top3_minus_bottom3_payoff_gap,split_local_score_cutoff_recompute_used,monotonicity_status
robustness,2,268,0.026765564166631856,0.03176556416663186,-0.9318742510092459,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,3,210,0.043978003262654844,0.04897800326265485,-0.5649524906191644,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,4,212,0.033638104493299535,0.03863810449329955,-0.3081184075741463,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,5,219,0.046948126252789664,0.05194812625278966,-0.09783197094838064,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,6,246,0.04155506305487954,0.046555063054879546,0.09037966819711203,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,7,226,0.03683531768044549,0.041835317680445475,0.26313223628393534,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,8,258,0.040397712664670446,0.04539771266467046,0.45007481609880745,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,9,258,0.026045866049997028,0.031045866049997026,0.6377432850535735,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
robustness,10,229,0.03539104968701211,0.040391049687012105,0.9004509558020816,volatility20d_defense_baseline,train_frozen_score_deciles,0.13939393939393938,0.003408290501910549,False,fail
validation,1,99,0.051759803942477554,0.05675980394247755,-1.976732215341142,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,2,75,0.05791374183763052,0.06291374183763053,-0.9104918413349726,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,3,57,0.02335709592843453,0.02835709592843453,-0.5473608504505617,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,4,65,-0.002740634999037197,0.0022593650009628055,-0.3032422938041868,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,5,65,0.012839497233493993,0.017839497233493994,-0.09801994857528781,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,6,78,0.027565821919240462,0.03256582191924046,0.08264089356307047,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,7,51,0.00802745026343083,0.013027450263430834,0.25898542241861106,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,8,71,-0.0018435864824206914,0.0031564135175793104,0.4475514729427358,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,9,64,0.032399467499598274,0.03739946749959827,0.6362239685338649,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
validation,10,39,0.038500025756383054,0.04350002575638305,0.9009668041914537,volatility20d_defense_baseline,train_frozen_score_deciles,-0.22424242424242422,-0.02695528172008948,False,pass
