reference_event_id,instrument,split,reference_date,obs_day_count,max_ret_from_entry_first30,min_ret_from_entry_first30,day30_ret_from_entry,all_30_close_above_ma20,all_30_close_above_ma60,any_close_below_ma20,any_close_below_ma60,pct_days_close_above_ma20,pct_days_close_above_ma60,pct_days_ma_bull_stack,median_rsi14_first30,max_rsi14_first30,pct_days_rsi14_gt_70,max_volume_ratio_ma20_first30,median_volume_ratio_ma20_first30,pct_days_volume_ratio_gt_1_5,median_rps120_pct_first30,pct_days_rps120_gt_90,pct_days_above_boll_mid,pct_days_above_boll_upper,pct_days_below_boll_lower
big_winner_50h120_close_confirmed_SH600011_20220414_000011,SH600011,validation,2022-04-14,30,0.233628260627202,0.06725665628793331,0.233628260627202,False,False,True,True,0.7,0.03333333333333333,0.0,50.09534418428095,56.00648647081607,0.0,1.9659367702884412,0.9328330904080266,0.06666666666666667,0.9159484331440748,0.5666666666666667,0.7,0.0,0.0
big_winner_50h120_close_confirmed_SH600011_20221212_000012,SH600011,validation,2022-12-12,30,0.15658918740292305,-0.035658918740292256,0.09302331770736694,False,False,True,True,0.36666666666666664,0.3333333333333333,0.0,44.823127196310296,65.08560207847724,0.0,2.3983707800383463,0.9758723794128994,0.13333333333333333,0.5615530303030303,0.0,0.36666666666666664,0.03333333333333333,0.0
big_winner_50h120_close_confirmed_SH600018_20181008_000013,SH600018,train,2018-10-08,30,0.1288782707586047,-0.06682576791550587,0.1288782707586047,False,False,True,True,0.7666666666666667,0.43333333333333335,0.0,53.643719543862915,70.44932490032903,0.03333333333333333,2.555679695188267,0.9463063116801593,0.23333333333333334,0.6013245033112582,0.0,0.7666666666666667,0.1,0.03333333333333333
big_winner_50h120_close_confirmed_SH600019_20170926_000014,SH600019,train,2017-09-26,30,0.19999995898175071,-0.010752728969764092,0.19999995898175071,False,False,True,True,0.7666666666666667,0.36666666666666664,0.0,53.25029349525819,79.90911748590503,0.13333333333333333,2.376661827539725,0.9666843101614125,0.13333333333333333,,0.0,0.7666666666666667,0.23333333333333334,0.0
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,30,0.020942451183951105,-0.02617798596338672,0.00523559719267741,False,False,True,True,0.6333333333333333,0.8,0.43333333333333335,51.66619407345949,62.58382849036692,0.0,1.7676051153776002,0.8504621853913998,0.1,0.3018835548893535,0.0,0.6333333333333333,0.06666666666666667,0.0
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,30,0.16139762949262315,0.0016638521903247216,0.10981694214259674,False,True,True,False,0.4666666666666667,1.0,0.6,52.822154611678826,64.74746451369984,0.0,1.7206235956580078,0.8748934450065493,0.03333333333333333,0.9111343808531984,0.6666666666666666,0.4666666666666667,0.1,0.0
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,30,0.26358158449060687,-0.05432595419005082,0.19265593990892116,False,True,True,False,0.8333333333333334,1.0,1.0,65.08102201913603,92.02669944668597,0.36666666666666664,1.7944876603958007,0.9693949279452267,0.1,0.98,1.0,0.8333333333333334,0.16666666666666666,0.0
big_winner_50h120_close_confirmed_SH600023_20230925_000018,SH600023,validation,2023-09-25,30,0.05583750939000054,-0.04822336407642025,0.04822336407642025,False,False,True,True,0.5,0.4,0.0,46.91892078414845,62.497348274879236,0.0,3.0914407291640393,0.8524389306451803,0.1,0.6918714555765595,0.13333333333333333,0.5,0.13333333333333333,0.06666666666666667
big_winner_50h120_close_confirmed_SH600025_20180927_000019,SH600025,train,2018-09-27,30,0.10434783239671108,-0.1782608587484953,0.10434783239671108,False,False,True,True,0.5666666666666667,0.5,0.0,60.023830082403904,72.84922395812112,0.06666666666666667,3.4515549308190145,1.2284354780000233,0.3333333333333333,0.62793860451874,0.0,0.5666666666666667,0.0,0.23333333333333334
big_winner_50h120_close_confirmed_SH600025_20201015_000020,SH600025,train,2020-10-15,30,0.0790190615325208,-0.008174378955344674,0.0790190615325208,False,False,True,True,0.5,0.9333333333333333,0.3333333333333333,51.33113777273899,68.88834117220901,0.0,2.153131622109341,0.8050232170703873,0.16666666666666666,0.5208334153494872,0.0,0.5,0.16666666666666666,0.0
