scored_model_id,split,decision_date,prior_decision_date,D10_member_n,prior_D10_member_n,overlap_n,one_way_top_bucket_turnover,turnover_finite,exclusion_reason,model_family_id,fit_id
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-11-28,2025-10-31,44,44,19,0.568181818182,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2025-12-31,2025-11-28,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2026-01-30,2025-12-31,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2026-02-27,2026-01-30,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
A2_CROSS_SIGNALS_WITHOUT_P4,robustness,2026-03-31,2026-02-27,44,44,14,0.681818181818,True,,M1_RIDGE_RANK_REGRESSION,A2_cross_signals_without_p4_refit
B0_P4_RAW_RANK,robustness,2024-07-31,,43,,,,False,no_prior_scheduled_month,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2024-08-30,2024-07-31,43,43,22,0.488372093023,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2024-09-30,2024-08-30,44,43,31,0.295454545455,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2024-10-31,2024-09-30,44,44,27,0.386363636364,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2024-11-29,2024-10-31,44,44,24,0.454545454545,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2024-12-31,2024-11-29,44,44,29,0.340909090909,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-01-27,2024-12-31,43,44,19,0.568181818182,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-02-28,2025-01-27,44,43,28,0.363636363636,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-03-31,2025-02-28,44,44,24,0.454545454545,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-04-30,2025-03-31,44,44,33,0.25,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-05-30,2025-04-30,44,44,29,0.340909090909,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-06-30,2025-05-30,44,44,26,0.409090909091,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-07-31,2025-06-30,44,44,30,0.318181818182,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-08-29,2025-07-31,44,44,24,0.454545454545,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-09-30,2025-08-29,44,44,20,0.545454545455,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-10-31,2025-09-30,44,44,27,0.386363636364,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-11-28,2025-10-31,44,44,25,0.431818181818,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2025-12-31,2025-11-28,44,44,28,0.363636363636,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2026-01-30,2025-12-31,44,44,27,0.386363636364,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2026-02-27,2026-01-30,44,44,28,0.363636363636,True,,NONTRAINABLE_P4_BASELINE,
B0_P4_RAW_RANK,robustness,2026-03-31,2026-02-27,44,44,27,0.386363636364,True,,NONTRAINABLE_P4_BASELINE,
N0_HASH_NULL,robustness,2024-07-31,,43,,,,False,no_prior_scheduled_month,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2024-08-30,2024-07-31,43,43,6,0.860465116279,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2024-09-30,2024-08-30,44,43,8,0.818181818182,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2024-10-31,2024-09-30,44,44,1,0.977272727273,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2024-11-29,2024-10-31,44,44,2,0.954545454545,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2024-12-31,2024-11-29,44,44,5,0.886363636364,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-01-27,2024-12-31,43,44,5,0.886363636364,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-02-28,2025-01-27,44,43,3,0.931818181818,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-03-31,2025-02-28,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-04-30,2025-03-31,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-05-30,2025-04-30,44,44,6,0.863636363636,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-06-30,2025-05-30,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-07-31,2025-06-30,44,44,1,0.977272727273,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-08-29,2025-07-31,44,44,7,0.840909090909,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-09-30,2025-08-29,44,44,6,0.863636363636,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-10-31,2025-09-30,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-11-28,2025-10-31,44,44,5,0.886363636364,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2025-12-31,2025-11-28,44,44,5,0.886363636364,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2026-01-30,2025-12-31,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2026-02-27,2026-01-30,44,44,4,0.909090909091,True,,NONTRAINABLE_HASH_NULL,
N0_HASH_NULL,robustness,2026-03-31,2026-02-27,44,44,3,0.931818181818,True,,NONTRAINABLE_HASH_NULL,
S0_SELECTED_FULL,robustness,2024-07-31,,43,,,,False,no_prior_scheduled_month,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2024-08-30,2024-07-31,43,43,24,0.441860465116,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2024-09-30,2024-08-30,44,43,18,0.590909090909,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2024-10-31,2024-09-30,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2024-11-29,2024-10-31,44,44,21,0.522727272727,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2024-12-31,2024-11-29,44,44,31,0.295454545455,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-01-27,2024-12-31,43,44,31,0.295454545455,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-02-28,2025-01-27,44,43,24,0.454545454545,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-03-31,2025-02-28,44,44,28,0.363636363636,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-04-30,2025-03-31,44,44,33,0.25,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-05-30,2025-04-30,44,44,32,0.272727272727,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-06-30,2025-05-30,44,44,29,0.340909090909,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-07-31,2025-06-30,44,44,31,0.295454545455,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-08-29,2025-07-31,44,44,33,0.25,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-09-30,2025-08-29,44,44,30,0.318181818182,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-10-31,2025-09-30,44,44,24,0.454545454545,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-11-28,2025-10-31,44,44,29,0.340909090909,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2025-12-31,2025-11-28,44,44,18,0.590909090909,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2026-01-30,2025-12-31,44,44,23,0.477272727273,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2026-02-27,2026-01-30,44,44,18,0.590909090909,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
S0_SELECTED_FULL,robustness,2026-03-31,2026-02-27,44,44,17,0.613636363636,True,,M1_RIDGE_RANK_REGRESSION,selected_full_refit
