split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
robustness,labelable_full,defend_bottom20_continue_rest,defended,positive,352,0.14102564102564102,0.11553251593441934,0.11553251593441934,-0.004999999999999999,-0.12053251593441933,-42.427445608915605,-0.016998175324084777,0.016998175324084777,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom20_continue_rest,defended,negative,230,0.0921474358974359,-0.09068343877737463,-0.09068343877737463,-0.004999999999999999,0.08568343877737461,19.70719091879616,0.00789550918221,0.0,0.00919187504507494,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom20_continue_rest,defended,neutral,195,0.078125,-0.03877650632111069,-0.03877650632111069,-0.004999999999999999,0.03377650632111069,6.586418732616584,0.0026387895563367725,0.0,0.0,0.0026387895563367725,0.0,0.0,pass,
robustness,labelable_full,defend_bottom20_continue_rest,continued,positive,994,0.39823717948717946,0.12072001357202689,0.12072001357202689,-0.005000000000000001,-0.12572001357202686,0.0,0.0,0.0,0.0,0.0,0.0500663836100139,0.0,pass,
robustness,labelable_full,defend_bottom20_continue_rest,continued,negative,296,0.11858974358974358,-0.0945129679085073,-0.0945129679085073,-0.005,0.0895129679085073,0.0,0.0,0.0,0.0,0.0,0.0,0.01156967684849265,pass,
robustness,labelable_full,defend_bottom20_continue_rest,continued,neutral,429,0.171875,-0.04012625839344397,-0.04012625839344397,-0.004999999999999999,0.035126258393443965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom20_continue_rest,defended,positive,49,0.07379518072289157,0.13531041778057773,0.13531041778057773,-0.005,-0.1403104177805777,-6.875210471248308,-0.010354232637422151,0.010354232637422151,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom20_continue_rest,defended,negative,54,0.08132530120481928,-0.12659516328401282,-0.12659516328401282,-0.005,0.12159516328401282,6.566138817336692,0.009888763279121525,0.0,0.009971681349188364,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom20_continue_rest,defended,neutral,32,0.04819277108433735,-0.04952983721007646,-0.04952983721007646,-0.005,0.04452983721007646,1.4249547907224467,0.002146016251088022,0.0,0.0,0.002146016251088022,0.0,0.0,pass,
validation,labelable_full,defend_bottom20_continue_rest,continued,positive,276,0.41566265060240964,0.13546111554459325,0.13546111554459325,-0.004999999999999999,-0.14046111554459326,0.0,0.0,0.0,0.0,0.0,0.05838443959383695,0.0,pass,
validation,labelable_full,defend_bottom20_continue_rest,continued,negative,126,0.1897590361445783,-0.10024757509335282,-0.10024757509335282,-0.005,0.09524757509335283,0.0,0.0,0.0,0.0,0.0,0.0,0.019664556443011964,pass,
validation,labelable_full,defend_bottom20_continue_rest,continued,neutral,127,0.19126506024096385,-0.04335395427629398,-0.04335395427629398,-0.005,0.03835395427629399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom30_continue_rest,defended,positive,2481,0.12254877747591998,0.10573045235712213,0.10573045235712213,-0.005,-0.1107304523571221,-274.72225229801995,-0.013569881565720917,0.013569881565720917,0.0,0.0,0.0,0.0,pass,
