split_bucket,denominator_type,operating_point_id,decision_role,row_n,episode_cluster_n,defended_n,continued_n,defended_rate,learned_mean_incremental_return,learned_sum_incremental_return,mean_continue_value,mean_defend_value_on_defended_rows,mean_defend_advantage_on_defended_rows,defended_positive_incremental_return,defended_negative_incremental_return,defended_neutral_incremental_return,residual_reconciliation_term,positive_sacrifice_to_avoidance_ratio,top30_payoff_retention_rate,top20_payoff_retention_rate,neutral_row_n,neutral_contribution_mean,utility_bridge_status,blocking_reason
robustness,labelable_full,defend_bottom40_continue_rest,diagnostic_aggressive,2496,204,1348,1148,0.5400641025641025,-0.014390368908493526,-35.91836079559984,0.0348776146219519,-0.004999999999999999,-0.02664566824599394,-0.031573137378354356,0.01231037481457354,0.004872393655287291,0.0,1.6827572291943196,0.5176056338028169,0.5290102389078498,624,0.004872393655287291,pass,
validation,labelable_full,defend_bottom40_continue_rest,diagnostic_aggressive,664,41,261,403,0.3930722891566265,-0.004512344972469047,-2.996197061719447,0.026294033281092043,-0.005000000000000001,-0.011479682228810142,-0.023117901341980485,0.014695508958203627,0.003910047411307814,-2.6020852139652106e-18,1.210014308653236,0.6886792452830188,0.6620689655172414,159,0.003910047411307814,pass,
train,labelable_full,defend_bottom50_continue_rest,diagnostic_aggressive,20245,652,10123,10122,0.5000246974561621,-0.004079923151306939,-82.59804419820898,0.020421700509241556,-0.005,-0.00815944326762906,-0.024068025623966458,0.015077470595985932,0.00491063187667359,-2.6020852139652106e-18,1.1428431365265164,0.5769547325102881,0.5880464312175846,5283,0.00491063187667359,pass,
robustness,labelable_full,defend_bottom50_continue_rest,diagnostic_aggressive,2496,204,1607,889,0.6438301282051282,-0.0223748403951134,-55.847601626203044,0.0348776146219519,-0.004999999999999999,-0.03475270791923027,-0.04149863316863486,0.013566498544670593,0.0055572942288508705,0.0,1.9980779240598816,0.38380281690140844,0.3873720136518771,624,0.0055572942288508705,pass,
validation,labelable_full,defend_bottom50_continue_rest,diagnostic_aggressive,664,41,333,331,0.5015060240963856,-0.0078607880339155,-5.219563254519891,0.026294033281092043,-0.005,-0.01567436412768736,-0.0294237324404515,0.01610854602604339,0.005454398380492614,-5.204170427930421e-18,1.2945192795903309,0.5613207547169812,0.5448275862068965,159,0.005454398380492614,pass,
train,labelable_full,continue_top30_defend_rest,over_narrow_stress,20245,652,14171,6074,0.699975302543838,-0.010385218530198238,-210.2487491438633,0.020421700509241556,-0.004999999999999999,-0.014836549936056969,-0.036372178768553545,0.01912873077093423,0.0068582294674210745,3.469446951953614e-18,1.3300714474410305,0.37695473251028805,0.3840454433193381,5283,0.0068582294674210745,pass,
robustness,labelable_full,continue_top30_defend_rest,over_narrow_stress,2496,204,2056,440,0.8237179487179487,-0.030731844123415206,-76.70668293204436,0.0348776146219519,-0.005000000000000001,-0.03730869792414609,-0.05416416934380063,0.01603477088795669,0.007397554332428727,6.938893903907228e-18,2.1356583885224905,0.1936619718309859,0.19965870307167236,624,0.007397554332428727,pass,
validation,labelable_full,continue_top30_defend_rest,over_narrow_stress,664,41,464,200,0.6987951807228916,-0.01316533672827422,-8.741783587574082,0.026294033281092043,-0.004999999999999999,-0.01884005083528897,-0.04123508006585782,0.020959639629427682,0.007110103708155916,1.734723475976807e-18,1.394747225911233,0.36792452830188677,0.3793103448275862,159,0.007110103708155916,pass,
train,labelable_full,continue_top20_defend_rest,over_narrow_stress,20245,652,16196,4049,0.8,-0.013953265389577264,-282.4838578119917,0.020421700509241556,-0.004999999999999999,-0.01744158173697158,-0.04282712557470217,0.02114788109466805,0.0077259790904568556,-1.734723475976807e-18,1.4106508025803712,0.2673251028806584,0.27389478883674984,5283,0.0077259790904568556,pass,
robustness,labelable_full,continue_top20_defend_rest,over_narrow_stress,2496,204,2228,268,0.8926282051282052,-0.03322159220729514,-82.92109414940867,0.0348776146219519,-0.005,-0.03721772627890874,-0.05844906232010537,0.017427589219915676,0.007799880892894546,6.938893903907228e-18,2.137868808684619,0.13380281690140844,0.13822525597269625,624,0.007799880892894546,pass,
validation,labelable_full,continue_top20_defend_rest,over_narrow_stress,664,41,533,131,0.802710843373494,-0.016472157866425488,-10.937512823306523,0.026294033281092043,-0.005,-0.020520661957423116,-0.048217166990711886,0.023451631390893297,0.008293377733393111,-1.0408340855860843e-17,1.4428330904513018,0.2688679245283019,0.2827586206896552,159,0.008293377733393111,pass,
train,labelable_full,continue_top10_defend_rest,top10_over_narrow_stress_only,20245,652,18220,2025,0.899975302543838,-0.018330406775777283,-371.0990851756111,0.020421700509241556,-0.005,-0.020367677561778874,-0.04969501496682673,0.022798427824418377,0.008566180366631067,6.938893903907228e-18,1.5005792642267544,0.14946502057613167,0.15460607557421585,5283,0.008566180366631067,pass,
robustness,labelable_full,continue_top10_defend_rest,top10_over_narrow_stress_only,2496,204,2398,98,0.9607371794871795,-0.03719826216989869,-92.84686237606712,0.0348776146219519,-0.005,-0.03871845803839329,-0.06386540528254044,0.01838165977737347,0.00828548333526828,0.0,2.2136162340942227,0.056338028169014086,0.06143344709897611,624,0.00828548333526828,pass,
validation,labelable_full,continue_top10_defend_rest,top10_over_narrow_stress_only,664,41,607,57,0.9141566265060241,-0.02444267906862798,-16.22993890156898,0.026294033281092043,-0.005,-0.026737955356785796,-0.05971164807261706,0.026431697324515526,0.008837271679473563,-1.3877787807814457e-17,1.6163465298653978,0.1179245283018868,0.12413793103448276,159,0.008837271679473563,pass,
