model_id,target_id,split_bucket,metric_id,cluster_id,baseline_metric,permuted_metric_mean,permuted_metric_std,mda_importance,mda_importance_ci_low,mda_importance_ci_high,permutation_n,importance_status
augmented_low_capacity_logistic_l2,lower_first,validation,auc,cluster_position_strength,0.6085465557524558,0.6077751280533389,0.0004321562744456664,0.0007714276991168667,0.0005473056054063621,0.0009955497928273713,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,validation,auc,cluster_participation,0.6085465557524558,0.6077495614670336,8.542730607142844e-05,0.0007969942854221257,0.0007526905281266063,0.000841298042717645,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,validation,auc,cluster_drawdown_morphology,0.6085465557524558,0.6183167207870409,0.0009007451728988703,-0.009770165034585165,-0.010237303673978232,-0.009303026395192098,10,not_positive
augmented_low_capacity_logistic_l2,lower_first,validation,auc,cluster_denominator_controls,0.6085465557524558,0.6031000884100777,0.0005272025894924639,0.005446467342378081,0.0051730529431119505,0.005719881741644211,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,robustness,auc,cluster_compression,0.649824444147758,0.5200953153182613,0.00126905070458884,0.12972912882949672,0.12907098195588698,0.13038727570310646,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,robustness,auc,cluster_position_strength,0.649824444147758,0.644094119965082,0.0005045679468077075,0.005730324182675939,0.005468648415494704,0.005991999949857173,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,robustness,auc,cluster_participation,0.649824444147758,0.6497817214320714,6.243944401337674e-05,4.272271568661612e-05,1.0340774824255096e-05,7.510465654897715e-05,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,robustness,auc,cluster_drawdown_morphology,0.649824444147758,0.6376052658770046,0.0007514667896212114,0.012219178270753361,0.011829457421600234,0.012608899119906489,10,positive_ci
augmented_low_capacity_logistic_l2,lower_first,robustness,auc,cluster_denominator_controls,0.649824444147758,0.6483444798171603,0.0002656137158158214,0.0014799643305977161,0.001342213462157292,0.0016177151990381404,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,validation,auc,cluster_compression,0.6995037465075662,0.547012359122272,0.007306575901257136,0.15249138738529422,0.14870209821913552,0.15628067655145292,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,validation,auc,cluster_position_strength,0.6995037465075662,0.6621319230443274,0.002101633940339561,0.03737182346323875,0.03628188765349921,0.03846175927297829,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,validation,auc,cluster_participation,0.6995037465075662,0.6912972280046878,0.0011500657861762918,0.008206518502878346,0.007610078818569066,0.008802958187187626,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,validation,auc,cluster_drawdown_morphology,0.6995037465075662,0.6904691761094822,0.001981232890567044,0.009034570398083974,0.008007076202537293,0.010062064593630656,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,validation,auc,cluster_denominator_controls,0.6995037465075662,0.7035862138540834,0.0013728367264098198,-0.004082467346517182,-0.0047944390559186345,-0.0033704956371157307,10,not_positive
augmented_low_capacity_logistic_l2,fast_fail,robustness,auc,cluster_compression,0.6735985440832819,0.5562097229093953,0.00263696781678415,0.1173888211738866,0.11602125396940029,0.11875638837837292,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,robustness,auc,cluster_position_strength,0.6735985440832819,0.6641893257101121,0.001956512313110869,0.00940921837316977,0.008394544603716213,0.010423892142623327,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,robustness,auc,cluster_participation,0.6735985440832819,0.6675772251717151,0.000650038061641159,0.006021318911566764,0.005684200373710498,0.006358437449423031,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,robustness,auc,cluster_drawdown_morphology,0.6735985440832819,0.6549323094607542,0.001381492247850738,0.0186662346225277,0.017949774042543533,0.019382695202511867,10,positive_ci
augmented_low_capacity_logistic_l2,fast_fail,robustness,auc,cluster_denominator_controls,0.6735985440832819,0.6744494202909481,0.0005976909403847045,-0.000850876207666218,-0.0011608468198542454,-0.0005409055954781906,10,not_positive
augmented_low_capacity_logistic_l2,utility_positive_50bps,validation,utility_proxy,cluster_compression,-0.004134324884093553,-0.012306523209221326,0.0008519415147026222,0.008172198325127774,0.007730369923494659,0.008614026726760888,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,validation,utility_proxy,cluster_position_strength,-0.004134324884093553,-0.008272455006279225,0.0004167241077834852,0.0041381301221856725,0.003922011359000113,0.004354248885371232,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,validation,utility_proxy,cluster_participation,-0.004134324884093553,-0.008577489344889295,0.0004697489991817751,0.004443164460795742,0.004199546271171909,0.004686782650419575,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,validation,utility_proxy,cluster_drawdown_morphology,-0.004134324884093553,-0.008643102798005196,0.00035573531417417033,0.004508777913911644,0.004324288764652506,0.004693267063170781,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,validation,utility_proxy,cluster_denominator_controls,-0.004134324884093553,-0.0045680358284043284,0.0005691809929954281,0.00043371094431077575,0.00013852597675710463,0.0007288959118644468,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,robustness,utility_proxy,cluster_compression,0.0011814963043201485,0.00302379729166726,0.0017300235897441806,-0.0018423009873471117,-0.002739514639050733,-0.0009450873356434902,10,not_positive
augmented_low_capacity_logistic_l2,utility_positive_50bps,robustness,utility_proxy,cluster_position_strength,0.0011814963043201485,-0.0031471102953233056,0.0004442870485805351,0.004328606599643454,0.004098193322261202,0.0045590198770257065,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,robustness,utility_proxy,cluster_participation,0.0011814963043201485,-0.003602925988994249,0.0007468348950354722,0.004784422293314397,0.004397103607391998,0.005171740979236796,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,robustness,utility_proxy,cluster_drawdown_morphology,0.0011814963043201485,-0.0012116125481518164,0.00025712042079949367,0.002393108852471965,0.002259762721794523,0.0025264549831494074,10,positive_ci
augmented_low_capacity_logistic_l2,utility_positive_50bps,robustness,utility_proxy,cluster_denominator_controls,0.0011814963043201485,0.0006604276035899504,0.0005238791587405956,0.0005210687007301981,0.000249377877638835,0.0007927595238215613,10,positive_ci
