test_id,estimator,arm_id,formation_sessions,holding_sessions,return_semantics,weighting,bucket_count,series_role,fold_id,calendar_slot_n,evaluable_week_n,null_value,alternative,hac_lag_weeks,block_method,block_length_weeks,bootstrap_repetitions,finite_bootstrap_repetitions,bootstrap_seed,scope_seed,bootstrap_rng,ci_method,estimate,standard_error,ci_low,ci_high,nominal_pvalue,holm_family_id,holm_family_size,holm_adjusted_pvalue,inference_status,failure_reason
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::LATE,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,LATE,213,212,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00418986396049,,-0.00276492036787,0.012870823646,0.300139972006,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H10::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::LATE,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,10,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,LATE,213,212,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00418986396049,0.00420418542871,-0.00405018806411,0.0124299159851,0.31896185196,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::EARLY,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,EARLY,213,127,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00203566412898,,-0.00206909676802,0.00814091764565,0.452109578084,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::EARLY,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,EARLY,213,127,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00203566412898,0.00266959432274,-0.00319664459693,0.00726797285489,0.445739639815,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::FULL,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,FULL,426,292,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00256798990243,,-0.000847227094519,0.0060845804937,0.153969206159,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::FULL,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,FULL,426,292,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00256798990243,0.00177113151201,-0.000903364072982,0.00603934387785,0.147082262266,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::LATE,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,LATE,213,165,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00297771943715,,-0.00146692882099,0.00777077534686,0.213157368526,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::project_conservative_close_to_close_proxy::EW::K0::all_eligible_baseline::LATE,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,project_conservative_close_to_close_proxy,EW,0,all_eligible_baseline,LATE,213,165,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00297771943715,0.00234517744636,-0.00161874389507,0.00757418276937,0.204184275121,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::EARLY,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,EARLY,213,213,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,9.83660140406e-05,,-0.00323288075373,0.00508048652825,0.96700659868,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::EARLY,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,EARLY,213,213,0,two_sided,4,,,,,,,,normal_1.959963984540054,9.83660140406e-05,0.00222745050987,-0.00426735676265,0.00446408879073,0.964776222334,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::FULL,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,FULL,426,426,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.000928396963077,,-0.00181847229783,0.00375949034326,0.519096180764,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::FULL,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,FULL,426,426,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.000928396963077,0.00151672210793,-0.00204432374301,0.00390111766917,0.540466642082,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::LATE,moving_calendar_week_block_bootstrap,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,LATE,213,213,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00175842791211,,-0.00168111836409,0.00552666738999,0.336332733453,,,,pass,
MEAN::SRC0_ALL_ELIGIBLE_BASELINE::F0::H5::qfq_complete_case_sensitivity::EW::K0::all_eligible_baseline::LATE,newey_west_bartlett,SRC0_ALL_ELIGIBLE_BASELINE,0,5,qfq_complete_case_sensitivity,EW,0,all_eligible_baseline,LATE,213,213,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00175842791211,0.00204469613872,-0.0022491028791,0.00576595870332,0.389791945271,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,EARLY,213,185,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.00159104185715,,-0.00925519463142,0.00847411469312,0.72725454909,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,EARLY,213,185,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.00159104185715,0.00446370350646,-0.0103397399675,0.00715765625319,0.721511182261,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,FULL,426,385,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00115425584414,,-0.00499726380791,0.00634030117193,0.69826034793,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,FULL,426,385,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00115425584414,0.00308117633306,-0.00488473879866,0.00719325048695,0.70794658106,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::LATE,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,LATE,213,200,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00369365621783,,-0.00463848004272,0.0105730358567,0.376124775045,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_bucket::LATE,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_bucket,LATE,213,200,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00369365621783,0.00422620590071,-0.00458955513881,0.0119768675745,0.382124405424,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,EARLY,213,159,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.000408663722692,,-0.00349044467091,0.00539358146973,0.855428914217,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,EARLY,213,159,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.000408663722692,0.00255059476897,-0.00459041016365,0.00540773760904,0.872705480926,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,FULL,426,345,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.000141521721903,,-0.00307776940626,0.00228482504971,0.918616276745,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,FULL,426,345,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.000141521721903,0.00159488468132,-0.00326743825679,0.00298439481298,0.929292700783,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::LATE,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,LATE,213,186,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.000611841537444,,-0.00520615810513,0.00194624548555,0.777444511098,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_middle::LATE,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_middle,LATE,213,186,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.000611841537444,0.00201900927896,-0.00456902700866,0.00334534393378,0.761859013896,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,EARLY,213,164,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.000901118217814,,-0.00540228493079,0.00428520015294,0.717656468706,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,EARLY,213,164,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.000901118217814,0.00262949704474,-0.00605483772295,0.00425260128732,0.731827144042,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,FULL,426,358,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.000387574915217,,-0.00439111801308,0.00241797347643,0.832233553289,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,FULL,426,358,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.000387574915217,0.00194132010816,-0.00419249240968,0.00341734257925,0.841758206216,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::LATE,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,LATE,213,194,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,4.65544746077e-05,,-0.00638388008632,0.00361466589971,0.986202759448,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::favorable_minus_unfavorable::LATE,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,favorable_minus_unfavorable,LATE,213,194,0,two_sided,4,,,,,,,,normal_1.959963984540054,4.65544746077e-05,0.00281544097323,-0.00547160843352,0.00556471738274,0.986807251778,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,EARLY,213,177,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00197682297323,,-0.00525209353158,0.0115808194828,0.647270545891,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,EARLY,213,177,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00197682297323,0.00421785884773,-0.00629002846019,0.0102436744066,0.639298912131,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,FULL,426,372,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00325396029927,,-0.0026945536102,0.00927992514472,0.293341331734,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,FULL,426,372,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00325396029927,0.00315954515226,-0.00293863440668,0.00944655500523,0.303065160853,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::LATE,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,LATE,213,195,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00441320802599,,-0.00337893517219,0.013850380271,0.315336932613,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::middle_bucket_mean::LATE,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,middle_bucket_mean,LATE,213,195,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00441320802599,0.0046307052912,-0.00466280756779,0.0134892236198,0.340574109066,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,EARLY,213,188,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,0.0025784912634,,-0.00431697536106,0.0115913536454,0.517096580684,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,EARLY,213,188,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.0025784912634,0.00417532813546,-0.00560500150574,0.0107619840325,0.536869268834,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,FULL,426,393,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00342007264081,,-0.00184235905568,0.00923257361554,0.22775444911,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,FULL,426,393,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00342007264081,0.00299778134307,-0.00245547082513,0.00929561610674,0.253924880543,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::LATE,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,LATE,213,205,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20022,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00419186434301,,-0.00220884337759,0.0133789178487,0.293341331734,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K10::unfavorable_bucket::LATE,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,10,unfavorable_bucket,LATE,213,205,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00419186434301,0.00425760682295,-0.00415289169031,0.0125366203763,0.324840826441,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K5::favorable_bucket::EARLY,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,5,favorable_bucket,EARLY,213,170,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20021,numpy.random.PCG64,percentile_linear_2.5_97.5,-0.00109401817813,,-0.00918948302861,0.00871370505104,0.831233753249,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K5::favorable_bucket::EARLY,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,5,favorable_bucket,EARLY,213,170,0,two_sided,4,,,,,,,,normal_1.959963984540054,-0.00109401817813,0.00451244416459,-0.00993824622298,0.00775020986672,0.808435600597,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K5::favorable_bucket::FULL,moving_calendar_week_block_bootstrap,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,5,favorable_bucket,FULL,426,359,0,two_sided,,non_circular_contiguous,13,5000,5000,20020,20020,numpy.random.PCG64,percentile_linear_2.5_97.5,0.00124128003519,,-0.00514096642684,0.00658716251686,0.681663667267,,,,pass,
MEAN::SRC1_TOTAL_CONT_5D::F5::H10::project_conservative_close_to_close_proxy::EW::K5::favorable_bucket::FULL,newey_west_bartlett,SRC1_TOTAL_CONT_5D,5,10,project_conservative_close_to_close_proxy,EW,5,favorable_bucket,FULL,426,359,0,two_sided,4,,,,,,,,normal_1.959963984540054,0.00124128003519,0.00311071155691,-0.00485560258266,0.00733816265303,0.689868066837,,,,pass,
