compression_arm_id,source_family_set,source_variant_set,threshold_policy,score_spec_id,score_spec_hash,selected_by_train_only_flag,post_train_selection_read_only_metric,compression_source_variant_policy,allow_ungated_compression_source,source_variant_fallback_reason,unscored_canonical_policy,unscored_canonical_event_count,unscored_canonical_density_share,event_count,canonical_event_count,density_vs_e1_full_denominator,density_full_denominator,events_per_instrument_year_p95,single_family_density_share_max,triggered_family_share,density_compression_ratio_vs_raw_r_pool,raw_r_pool_definition,train_risk_on_incremental_recall_over_e1,train_risk_on_bridge_recall_delta_vs_e1,validation_risk_on_incremental_recall_over_e1,validation_risk_on_sample_small_flag,robustness_risk_on_incremental_recall_over_e1,robustness_risk_on_bridge_recall_delta_vs_e1,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate,downstream_entry_family_share_35pct_pass,direct_entry_union_support_status,ranker_arm_status,gate_status,failure_reason,selection_score
family_score_quantile_cut__q095,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,family_score_quantile_cut__q095,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,9077,0.7710014439819927,11773,11773,1.7262463343108505,3.250033137938174,5.0,0.8100738979019791,"{""R1_relative_strength_breakout"": 0.04391404060137603, ""R2_near_high_volume_expansion"": 0.8100738979019791, ""R6_market_breadth_thrust"": 0.10473116452900705, ""R7_cross_sectional_momentum_rank_jump"": 0.05189841161980804, ""R8_persistent_distance_above_ema"": 0.04968996857215663}",0.19000968366688187,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3288888888888889,0.053333333333333344,0.5454545454545454,True,0.30386740331491713,0.14364640883977903,0.9960927546080014,0.9963475749596534,0.17796537903982262,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-1.2524926686217008
family_score_quantile_cut__q0975,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,family_score_quantile_cut__q0975,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,9233,0.8399745269286754,10992,10992,1.6117302052785925,3.03443168709899,5.0,0.8676310043668122,"{""R1_relative_strength_breakout"": 0.025927947598253277, ""R2_near_high_volume_expansion"": 0.8676310043668122, ""R6_market_breadth_thrust"": 0.08906477438136827, ""R7_cross_sectional_momentum_rank_jump"": 0.03056768558951965, ""R8_persistent_distance_above_ema"": 0.02601892285298399}",0.17740477727566173,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3288888888888889,0.053333333333333344,0.5454545454545454,True,0.292817679558011,0.1270718232044199,0.9962700145560408,0.9965429403202329,0.1725869783581408,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-1.0234604105571847
consensus_family_count__min2,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,consensus_family_count__min2,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,11007,11007,1.6139296187683285,3.0385725600344413,5.0,0.6695739075134005,"{""R1_relative_strength_breakout"": 0.6695739075134005, ""R2_near_high_volume_expansion"": 0.3177069137821386, ""R6_market_breadth_thrust"": 0.5351140183519578, ""R7_cross_sectional_momentum_rank_jump"": 0.4172799127827746, ""R8_persistent_distance_above_ema"": 0.4101026619424003}",0.1776468689477082,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.30666666666666664,0.06537120079720982,0.5909090909090909,True,0.3425414364640884,0.09944751381215472,0.9960025438357409,0.9963659489415826,0.17969533886709843,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95;family_share_65,-1.0463744343478179
consensus_family_count__min3,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,consensus_family_count__min3,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,0,0.0,3094,3094,0.45366568914956007,0.8541240574858328,2.0,0.9040077569489334,"{""R1_relative_strength_breakout"": 0.9040077569489334, ""R2_near_high_volume_expansion"": 0.4702650290885585, ""R6_market_breadth_thrust"": 0.7385261797026503, ""R7_cross_sectional_momentum_rank_jump"": 0.5711053652230123, ""R8_persistent_distance_above_ema"": 0.5604395604395604}",0.04993544222078761,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.1288888888888889,-0.177281746031746,0.2727272727272727,True,0.12154696132596685,-0.16022099447513813,0.9935358758888171,0.9935358758888171,0.1955107351984385,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,train_bridge;family_share_65,-0.3224603174603174
top_k_per_instrument_month__k1,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,top_k_per_instrument_month__k1,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.21474792007395294,28126,28126,4.124046920821114,7.764412812167593,11.0,0.36958685913389744,"{""R1_relative_strength_breakout"": 0.2872786745360165, ""R2_near_high_volume_expansion"": 0.2931806869089099, ""R6_market_breadth_thrust"": 0.36958685913389744, ""R7_cross_sectional_momentum_rank_jump"": 0.2008817464267937, ""R8_persistent_distance_above_ema"": 0.25663087534665435}",0.4539380245319561,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3377777777777778,0.14861111111111114,0.5454545454545454,True,0.4585635359116022,0.3019337016574586,0.9975823081845979,0.9981511768470455,0.15129374866348277,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-11.64031606386445
top_k_per_instrument_month__k2,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,top_k_per_instrument_month__k2,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.14742494508176715,40970,40970,6.00733137829912,11.310104277697016,16.0,0.34823041249694897,"{""R1_relative_strength_breakout"": 0.2973395167195509, ""R2_near_high_volume_expansion"": 0.22318769831584087, ""R6_market_breadth_thrust"": 0.34823041249694897, ""R7_cross_sectional_momentum_rank_jump"": 0.20617525018306077, ""R8_persistent_distance_above_ema"": 0.2707835001220405}",0.6612330535829567,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3511111111111111,0.1866666666666667,0.5909090909090909,True,0.46408839779005523,0.3186003683241252,0.9975591896509641,0.9982182084452038,0.15816001957425985,True,direct_entry_family_share_pass,not_evaluated_deterministic_run,train_blocked,density;p95,-20.214662756598237
top_k_per_instrument_month__k3,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,top_k_per_instrument_month__k3,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.12942764694537895,46667,46667,6.84266862170088,12.882807818581565,19.0,0.3402404268540939,"{""R1_relative_strength_breakout"": 0.2991192920050571, ""R2_near_high_volume_expansion"": 0.20318426296955022, ""R6_market_breadth_thrust"": 0.3402404268540939, ""R7_cross_sectional_momentum_rank_jump"": 0.20382711552060342, ""R8_persistent_distance_above_ema"": 0.2706623524117685}",0.7531794706262105,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.35555555555555557,0.1955555555555556,0.5909090909090909,True,0.46408839779005523,0.32415592387968084,0.9977285876529454,0.9983071549488932,0.1635059384463392,True,direct_entry_family_share_pass,not_evaluated_deterministic_run,train_blocked,density;p95,-24.83644835451287
cooldown_after_selected_event__10d,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,cooldown_after_selected_event__10d,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,3608,0.14790522259572025,24394,24394,3.57683284457478,6.7341636258272155,9.0,0.3889890956792654,"{""R1_relative_strength_breakout"": 0.3477494465852259, ""R2_near_high_volume_expansion"": 0.23936213823071248, ""R6_market_breadth_thrust"": 0.3889890956792654, ""R7_cross_sectional_momentum_rank_jump"": 0.20414856112158727, ""R8_persistent_distance_above_ema"": 0.25157825694842995}",0.3937056165267915,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3511111111111111,0.19111111111111112,0.5909090909090909,True,0.46408839779005523,0.3019337016574586,0.9980323030253341,0.9984422398950562,0.1633122484186314,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-8.335887911371781
cooldown_after_selected_event__20d,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,cooldown_after_selected_event__20d,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,2658,0.1322914592872785,20092,20092,2.9460410557184753,5.5465612679396745,7.0,0.4408719888512841,"{""R1_relative_strength_breakout"": 0.39567987258610393, ""R2_near_high_volume_expansion"": 0.23113677085407128, ""R6_market_breadth_thrust"": 0.4408719888512841, ""R7_cross_sectional_momentum_rank_jump"": 0.17892693609396776, ""R8_persistent_distance_above_ema"": 0.2494027473621342}",0.32427372498386053,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3511111111111111,0.19111111111111112,0.5909090909090909,True,0.46408839779005523,0.29637814610190305,0.9977105315548477,0.9981086999800916,0.16357378030529782,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-5.074304333659173
cooldown_after_selected_event__40d,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,cooldown_after_selected_event__40d,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,1769,0.12677368496488461,13954,13954,2.0460410557184754,3.852116062752848,5.0,0.4440303855525297,"{""R1_relative_strength_breakout"": 0.38820409918302995, ""R2_near_high_volume_expansion"": 0.22194352873727963, ""R6_market_breadth_thrust"": 0.4440303855525297, ""R7_cross_sectional_momentum_rank_jump"": 0.25333237781281354, ""R8_persistent_distance_above_ema"": 0.24007453060054465}",0.2252098127824403,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.3111111111111111,0.15555555555555556,0.5454545454545454,True,0.3812154696132597,0.21304481276856968,0.9976350867134872,0.9979934069084133,0.15997413978880828,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,density;p95,-1.5365265558813952
market_day_top_percentile__top5pct,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,market_day_top_percentile__top5pct,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.6915502633386764,8734,8734,1.2806451612903225,2.4110922812156637,5.0,0.7371193038699336,"{""R1_relative_strength_breakout"": 0.19395465994962216, ""R2_near_high_volume_expansion"": 0.7371193038699336, ""R6_market_breadth_thrust"": 0.09754980535836959, ""R7_cross_sectional_momentum_rank_jump"": 0.11724295855278223, ""R8_persistent_distance_above_ema"": 0.14254637050606825}",0.1409619109102647,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.23555555555555555,-0.04888888888888887,0.36363636363636365,True,0.24861878453038674,0.007489257213014133,0.9961071673918022,0.9966796427753607,0.17574712643678161,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,train_bridge;density;p95;family_share_65,-1.0501792114695339
market_day_top_percentile__top10pct,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,market_day_top_percentile__top10pct,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.5568873317352019,10846,10846,1.5903225806451613,2.99412719052726,6.0,0.6196754563894523,"{""R1_relative_strength_breakout"": 0.25133689839572193, ""R2_near_high_volume_expansion"": 0.6196754563894523, ""R6_market_breadth_thrust"": 0.14373962751244698, ""R7_cross_sectional_momentum_rank_jump"": 0.16365480361423565, ""R8_persistent_distance_above_ema"": 0.19435736677115986}",0.1750484183344093,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.25333333333333335,-0.026666666666666616,0.4090909090909091,True,0.2983425414364641,0.051933701657458586,0.9961276046468744,0.9966808039830353,0.18085894113291373,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,train_bridge;density;p95,-2.5273118279569893
market_day_top_percentile__top20pct,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,market_day_top_percentile__top20pct,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.4039053096161562,14954,14954,2.19266862170088,4.128174258449627,7.0,0.4763942757790558,"{""R1_relative_strength_breakout"": 0.28674602113146985, ""R2_near_high_volume_expansion"": 0.4763942757790558, ""R6_market_breadth_thrust"": 0.20295573090811822, ""R7_cross_sectional_momentum_rank_jump"": 0.20322321786812894, ""R8_persistent_distance_above_ema"": 0.24762605322990505}",0.24134925758553905,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.29333333333333333,0.026666666666666672,0.45454545454545453,True,0.3314917127071823,0.09637814610190298,0.9960545673398422,0.9965226695198609,0.18066465256797584,False,not_supported_as_direct_entry_union_due_to_35pct_family_share_gate,not_evaluated_deterministic_run,train_blocked,train_bridge;density;p95,-4.398670576735093
overlap_deconcentration,R1_relative_strength_breakout;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema;R2_near_high_volume_expansion,event_regime_gated,overlap_deconcentration,score_spec_v1,c5d91e3e465094d4b9e4f1b1233eaccc7a7a89c935f065d96293efc01f9cd68e,False,True,event_regime_gated_first,False,,retain_and_audit,6040,0.12601973752842746,47929,47929,7.027712609970675,13.2311932615509,20.0,0.2842746562623881,"{""R1_relative_strength_breakout"": 0.2082663940411859, ""R2_near_high_volume_expansion"": 0.12601973752842746, ""R6_market_breadth_thrust"": 0.2842746562623881, ""R7_cross_sectional_momentum_rank_jump"": 0.16071689373865508, ""R8_persistent_distance_above_ema"": 0.2207223184293434}",0.7735474499677211,"canonical union of runnable candidate_family_variant events from R1,R6,R7,R8,R2 before any compression",0.35555555555555557,0.1955555555555556,0.5909090909090909,True,0.46408839779005523,0.32415592387968084,0.997767531139811,0.998330864403597,0.16544686545941198,True,direct_entry_family_share_pass,not_evaluated_deterministic_run,train_blocked,density;p95,-26.20653633105246
