candidate_scope_type,candidate_scope_id,family_id,variant_id,episode_split,source_regime_column_name,source_market_regime_bucket,episode_regime_bucket,window,incremental_recall_over_e1,bridge_recall,e1_bridge_recall,bridge_recall_delta_vs_e1,density_vs_e1_full_denominator,events_per_instrument_year_p95,recall_gate_pass,bridge_gate_pass,density_binding_flag,negative_control_flag,family_level_density_binding_flag,variant_level_spot_check_flag,variant_level_confirmed_family_flag,source_08_manifest_hash,patch_requirement_hash
candidate_family_variant,R2_near_high_volume_expansion__ungated,R2_near_high_volume_expansion,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.3333333333333333,0.3466666666666667,0.2888888888888888,0.05777777777777787,1.575073313782991,5.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R3_vcp_breakout__event_regime_gated,R3_vcp_breakout,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2044198895027624,0.3666666666666666,0.3480662983425414,0.018600368324125205,1.0888563049853373,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R3_vcp_breakout__event_regime_gated,R3_vcp_breakout,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.1955555555555555,0.2844444444444444,0.2888888888888888,-0.0044444444444444176,1.0888563049853373,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R3_vcp_breakout__ungated,R3_vcp_breakout,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2044198895027624,0.4055555555555555,0.3480662983425414,0.05748925721301412,1.2976539589442817,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R3_vcp_breakout__ungated,R3_vcp_breakout,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.2044444444444444,0.2933333333333333,0.2888888888888888,0.004444444444444473,1.2976539589442817,4.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R5_growth_or_small_style_confirmation__event_regime_gated,R5_growth_or_small_style_confirmation,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.0220994475138121,0.0773480662983425,0.3480662983425414,-0.27071823204419887,0.2796187683284458,4.0,False,False,False,True,False,True,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R5_growth_or_small_style_confirmation__event_regime_gated,R5_growth_or_small_style_confirmation,event_regime_gated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.0488888888888888,0.0622222222222222,0.2888888888888888,-0.2266666666666666,0.2796187683284458,4.0,False,False,False,True,False,True,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R5_growth_or_small_style_confirmation__ungated,R5_growth_or_small_style_confirmation,ungated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.0220994475138121,0.0773480662983425,0.3480662983425414,-0.27071823204419887,0.3196480938416422,4.0,False,False,False,True,False,True,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R5_growth_or_small_style_confirmation__ungated,R5_growth_or_small_style_confirmation,ungated,train,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.0488888888888888,0.0622222222222222,0.2888888888888888,-0.2266666666666666,0.3196480938416422,4.0,False,False,False,True,False,True,False,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
candidate_family_variant,R6_market_breadth_thrust__event_regime_gated,R6_market_breadth_thrust,event_regime_gated,robustness,market_regime_bucket,risk_on,risk_on,before_first_50pct,0.425414364640884,0.569060773480663,0.3480662983425414,0.2209944751381216,2.3759530791788857,6.0,True,True,True,False,False,True,True,bc91830dc86c92b43ce02d3a6f30d905caed99620a56d38653b0cc84d838365e,beb7d154b8fab89ff34f265bf9675f5720435b8efedb39c520cd9f60ff49f1f9
