instrument,requested_row_n,matched_row_n,primitive_status,global_regime_calendar_status,global_regime_calendar_reason,missing_regime_date_bypassed_row_n,missing_regime_date_bypassed_unique_date_n,formula_version,split_train_end,split_validation_start,split_robustness_start
SH600066,1927,1927,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600085,2256,2256,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600098,850,850,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600100,914,913,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600104,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600111,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600118,2216,2216,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600120,551,551,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600126,1015,1014,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600138,397,396,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600143,1530,1529,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600153,1869,1869,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600158,65,63,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600160,2179,2179,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600166,940,940,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600170,1329,1329,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600172,66,66,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600176,2268,2266,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600177,2157,2157,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600179,434,433,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600180,128,128,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600196,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600198,99,99,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600201,1058,1057,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600208,1346,1343,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600219,2274,2273,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600221,2148,2143,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600236,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600252,339,339,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600256,1952,1951,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600266,675,675,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600293,46,46,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600299,1623,1623,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600307,541,541,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600309,2155,2152,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600312,353,353,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600315,1268,1266,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600316,446,446,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600320,827,827,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600325,737,736,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600329,623,623,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600332,2201,2200,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600338,850,849,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600339,781,779,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600340,1039,1036,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600343,54,54,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600348,1329,1329,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600350,2180,2180,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600352,2221,2221,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600362,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600369,1793,1793,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600372,2257,2253,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600373,819,819,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600376,818,818,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600377,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600383,1647,1647,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600403,9,9,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600409,676,676,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600415,2179,2179,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600416,237,236,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600418,1526,1526,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600435,543,543,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600436,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600446,541,541,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600478,48,48,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600489,2269,2267,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600491,245,245,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600497,1890,1889,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600511,1213,1212,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600515,2130,2124,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600516,1409,1408,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600518,1493,1490,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600519,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600522,2265,2265,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600525,369,367,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600528,951,951,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600535,1011,1011,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600547,2250,2248,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600548,939,939,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600549,1971,1971,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600562,369,369,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600568,174,171,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600570,2278,2277,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600575,427,426,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600578,1030,1030,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600582,757,757,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600583,1307,1307,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600584,2262,2259,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600585,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600597,621,621,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600598,1372,1372,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600600,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600604,560,560,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600606,1846,1845,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600611,127,127,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600612,1542,1542,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600618,159,159,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600623,727,727,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600633,383,381,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600635,561,560,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600637,1490,1488,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600639,756,756,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600642,2275,2275,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600643,650,648,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600648,816,815,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600660,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600663,2262,2261,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600666,75,73,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600679,33,33,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600681,398,396,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600682,526,523,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600685,2091,2088,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600688,2077,2077,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600699,1466,1465,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600703,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600704,1399,1399,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600715,251,249,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600717,525,525,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600737,945,945,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600739,1260,1259,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600741,2280,2280,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600748,240,240,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600751,258,257,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600754,1944,1944,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600758,72,72,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600759,129,129,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600777,631,629,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600783,242,242,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600787,503,503,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600795,2216,2215,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600808,1310,1310,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600809,2269,2267,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600811,533,532,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600816,1331,1328,partial_missing_reference_date,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
SH600820,852,852,pass,pass_with_missing_date_bypass,missing_regime_date_bypassed,184500,369,qfq_reference_close_primitives_v1,2021-12-31,2022-01-04,2024-03-01
