auc,rank_ic,rank_ic_ci95_low,rank_ic_ci95_high,top_decile_winner_rate,base_winner_rate,top_decile_lift_abs,top_decile_lift_ratio,top_decile_lift_ci95_low,top_decile_lift_ci95_high,bottom_decile_winner_rate,top_minus_bottom_spread,positive_n,denominator_n,horizon_complete_n,horizon_complete_rate,censored_n,censored_rate,rank_evaluable_n,rank_not_evaluable_rate,top_decile_positive_n,raw_separability_status,search_adjusted_status,denominator_id,label_id,feature_id,selected_feature_id,selected_orientation,orientation,feature_time_bucket,label_reference_view,split,label_grid_size,feature_grid_size,effective_search_size,instrument_n,instrument_month_block_n,effective_block_n
0.5024935592344033,0.005800475561225255,-0.03180602607219932,0.04340697719464982,0.16005291005291006,0.15271620459207305,0.007336705460837006,1.048041433981642,-0.03830276111636031,0.05297617203803432,0.1488095238095238,0.01124338624338625,2308,15113,15113,1.0,0,0.0,15113,0.0,242,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B3_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5010711385202223,0.0025700887848692485,-0.04817057225001467,0.05331074981975317,0.16967509025270758,0.16596410935806336,0.0037109808946442224,1.022360141050966,-0.05936946071435269,0.06679142250364113,0.17448856799037304,-0.004813477737665467,1378,8303,8303,1.0,0,0.0,8303,0.0,141,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B3_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.49237964416535845,-0.013889780084943805,-0.11363177001067656,0.08585220984078895,0.10648148148148148,0.11157601115760112,-0.005094529676119633,0.9543402777777777,-0.10706258491691013,0.09687352556467087,0.10185185185185185,0.004629629629629636,240,2151,2151,1.0,0,0.0,2151,0.0,23,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B3_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.5109807530097386,0.027064392288090103,-0.04068239131623547,0.09481117589241567,0.18025751072961374,0.14810045074050227,0.032157059989111475,1.2171300615786527,-0.05360256839835437,0.11791668837657732,0.1459227467811159,0.034334763948497854,690,4659,4659,1.0,0,0.0,4659,0.0,84,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B3_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.50150441870018,0.00767217238161669,-0.02993432925180788,0.04527867401504126,0.15674603174603174,0.15271620459207305,0.004029827153958693,1.0263876853456575,-0.04125847642742196,0.04931813073533935,0.15079365079365079,0.005952380952380959,2308,15113,15113,1.0,0,0.0,15113,0.0,237,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,primary_family_is_B4,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5006835103456587,0.004006903228260722,-0.0467337578066232,0.054747564263144644,0.16365824308062576,0.16596410935806336,-0.0023058662774375904,0.9861062353399388,-0.0645633368031813,0.05995160424830612,0.16967509025270758,-0.006016847172081813,1378,8303,8303,1.0,0,0.0,8303,0.0,136,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,primary_family_is_B4,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
0.5047193877551021,0.02669269862976363,-0.07304929129596913,0.1264346885554964,0.10648148148148148,0.11157601115760112,-0.005094529676119633,0.9543402777777777,-0.10706258491691013,0.09687352556467087,0.09722222222222222,0.009259259259259259,240,2151,2151,1.0,0,0.0,2151,0.0,23,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,primary_family_is_B4,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,validation,75,88,13200,638,2027,2027
0.5019789236145344,0.00812295407941642,-0.05962382952490915,0.07586973768374199,0.16523605150214593,0.14810045074050227,0.017135600761643666,1.1157025564470984,-0.06595390238601961,0.10022510390930695,0.148068669527897,0.01716738197424894,690,4659,4659,1.0,0,0.0,4659,0.0,77,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,primary_family_is_B4,rebound_from_20d_low,asc,asc,t0_pit,c0_entry_anchor,robustness,75,88,13200,733,4115,4115
0.49838708476771626,-0.007159565007079686,-0.044766066640504254,0.030446936626344883,0.15013227513227514,0.15271620459207305,-0.0025839294597979068,0.983080188073689,-0.04715120660582114,0.041983347686225324,0.15542328042328044,-0.005291005291005291,2308,15113,15113,1.0,0,0.0,15113,0.0,227,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B4_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,all,75,88,13200,1310,13493,13493
0.5005640990710127,0.0028438683645501707,-0.047896792670333754,0.05358452939943409,0.1624548736462094,0.16596410935806336,-0.003509235711853964,0.9788554541977333,-0.0655990038892974,0.05858053246558948,0.1793020457280385,-0.01684717208182912,1378,8303,8303,1.0,0,0.0,8303,0.0,135,fail,fail,c0_entry_t0,vol20d_kup2p0_kdn1p0_H20,has_B4_trigger,rebound_from_20d_low,asc,desc,t0_pit,c0_entry_anchor,train,75,88,13200,977,7351,7351
