label_id,label_type,vol_reference_id,horizon_sessions,train_denominator_n,train_horizon_complete_n,train_horizon_complete_rate,train_winner_positive_n,train_winner_base_rate,train_same_bar_conflict_rate,label_base_rate_dispersion,label_stability_score,label_eligibility_status
vol20d_kup1p5_kdn1p0_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,54384,0.23376891334250344,8.59697386519945e-06,0.1716571121002674,0.7445653775833638,ineligible
vol20d_kup1p5_kdn1p25_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,55819,0.23993724209078404,0.0,0.16499579010015172,0.7450669678090642,ineligible
vol20d_kup2p0_kdn0p75_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,35103,0.15088978679504814,0.0,0.12390679117342102,0.8752034220315308,ineligible
vol20d_kup2p0_kdn1p0_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,36881,0.15853249656121046,0.0,0.125440143440347,0.8660273599984425,ineligible
vol20d_kup2p0_kdn1p25_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,37766,0.1623366574965612,0.0,0.12170943012663961,0.8659539123767992,ineligible
vol20d_kup2p5_kdn0p75_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,24498,0.10530433287482806,0.0,0.09155827850154631,0.8637460543732818,eligible
vol20d_kup2p5_kdn1p0_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,25637,0.11020030949105915,0.0,0.0931959311181847,0.8670043783728745,eligible
vol20d_kup2p5_kdn1p25_H60,vol_scaled,volatility_20d,60,232640,232640,1.0,26224,0.11272352132049518,0.0,0.09083165694823167,0.8718918643722635,eligible
vol60d_kup1p0_kdn0p75_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,77715,0.3340569119669876,4.298486932599725e-06,0.22795773673025,0.5879810528158298,ineligible
vol60d_kup1p0_kdn1p0_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,81409,0.349935522696011,8.59697386519945e-06,0.21776975546253174,0.582286124867592,ineligible
vol60d_kup1p0_kdn1p25_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,82894,0.3563187757909216,0.0,0.20979601843423692,0.5838852057748415,ineligible
vol60d_kup1p5_kdn0p75_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,49616,0.21327372764786795,8.59697386519945e-06,0.16684261065367184,0.769875064724595,ineligible
vol60d_kup1p5_kdn1p0_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,51712,0.22228335625859696,0.0,0.16312441114099183,0.7645922326004112,ineligible
vol60d_kup1p5_kdn1p25_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,52536,0.22582530949105914,0.0,0.16025153899925587,0.763923151509685,ineligible
vol60d_kup2p0_kdn0p75_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,31473,0.13528627922971115,0.0,0.11431081848233308,0.8709754607473781,ineligible
vol60d_kup2p0_kdn1p0_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,32646,0.14032840440165062,0.0,0.11293811828007441,0.8773902861215762,ineligible
vol60d_kup2p0_kdn1p25_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,33159,0.14253352819807427,0.0,0.11147762757695626,0.881055900621118,ineligible
vol60d_kup2p5_kdn0p75_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,20397,0.08767623796423658,0.0,0.078104911215433,0.8595713267488035,eligible
vol60d_kup2p5_kdn1p0_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,21106,0.09072386519944979,0.0,0.07646869770123169,0.8642551674982182,eligible
vol60d_kup2p5_kdn1p25_H60,vol_scaled,volatility_60d,60,232640,232640,1.0,21427,0.09210367950481431,0.0,0.07621935000679986,0.8658843294980145,eligible
