model_id,ablation_id,split,capacity_id,winner_n,candidate_rejected_winner_n,winner_retention,e1_missed_winner_n,candidate_rejected_e1_missed_winner_n,e1_missed_retention,e1_missed_wrong_kill_rate,bridge_winner_n,candidate_rejected_bridge_winner_n,bridge_retention,bridge_wrong_kill_rate,bridge_gate_binding_flag,bridge_membership_missing_n,bridge_membership_missing_rate,retention_status
regularized_logistic_false_repair_20d_l2_v1,full,train,keep_9000,1491,155,0.8960429242119383,811,127,0.843403205918619,0.15659679408138102,1009,55,0.9454905847373637,0.05450941526263627,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,full,validation,keep_9000,161,39,0.7577639751552795,64,27,0.578125,0.421875,111,16,0.8558558558558559,0.14414414414414414,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,full,robustness,keep_9000,995,128,0.8713567839195979,482,101,0.7904564315352697,0.2095435684647303,675,43,0.9362962962962963,0.0637037037037037,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,train,keep_8000,1491,341,0.7712944332662642,811,254,0.6868064118372379,0.31319358816276205,1009,146,0.8553022794846382,0.14469772051536176,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,validation,keep_8000,161,53,0.670807453416149,64,32,0.5,0.5,111,26,0.7657657657657657,0.23423423423423423,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,robustness,keep_8000,995,279,0.7195979899497487,482,186,0.6141078838174274,0.38589211618257263,675,122,0.8192592592592592,0.18074074074074073,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,train,keep_8250,1491,308,0.7934272300469484,811,233,0.7127003699136868,0.2872996300863132,1009,123,0.8780971258671952,0.12190287413280476,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,validation,keep_8250,161,51,0.6832298136645962,64,32,0.5,0.5,111,24,0.7837837837837838,0.21621621621621623,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,robustness,keep_8250,995,238,0.7608040201005025,482,162,0.6639004149377593,0.3360995850622407,675,101,0.8503703703703703,0.14962962962962964,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,train,keep_8500,1491,264,0.8229376257545271,811,204,0.7484586929716399,0.25154130702836003,1009,99,0.9018830525272548,0.0981169474727453,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,validation,keep_8500,161,48,0.7018633540372671,64,31,0.515625,0.484375,111,22,0.8018018018018018,0.1981981981981982,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,robustness,keep_8500,995,215,0.7839195979899498,482,153,0.6825726141078838,0.31742738589211617,675,84,0.8755555555555555,0.12444444444444444,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,train,keep_8750,1491,212,0.857813547954393,811,175,0.7842170160295932,0.2157829839704069,1009,71,0.929633300297324,0.07036669970267592,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,validation,keep_8750,161,44,0.7267080745341614,64,28,0.5625,0.4375,111,21,0.8108108108108107,0.1891891891891892,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,robustness,keep_8750,995,185,0.8140703517587939,482,135,0.7199170124481328,0.2800829875518672,675,71,0.8948148148148148,0.10518518518518519,False,3217,0.6472837022132797,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,train,keep_9000,1491,167,0.8879946344735077,811,143,0.8236744759556104,0.17632552404438964,1009,47,0.9534192269573836,0.04658077304261645,False,5266,0.6330848761721568,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,validation,keep_9000,161,40,0.7515527950310559,64,26,0.59375,0.40625,111,19,0.8288288288288288,0.17117117117117117,False,1854,0.7374701670644391,fail
regularized_logistic_false_repair_20d_l2_v1,no_label_mechanism_overlap,robustness,keep_9000,995,148,0.8512562814070352,482,116,0.7593360995850622,0.24066390041493776,675,47,0.9303703703703704,0.06962962962962962,False,3217,0.6472837022132797,fail
