split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,diagnostic_bucket_source,anchor_event_count,baseline_event_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,top1_instrument_year_pnl_share,top5_instrument_exposure_share,interpretation_status
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,建筑材料,linked_deferred_event,2,2,0.035544404473486266,0.036109491856084266,-0.0005650873825980007,-0.09428402787889134,-0.049167621617544066,-0.045116406261347275,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,建筑装饰,linked_deferred_event,8,8,-0.2161958791103071,-0.16445894881382572,-0.05173693029648138,-0.1291784301984159,-0.12954163390598494,0.0003632037075690375,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,房地产,linked_deferred_event,13,13,-0.25346710276385376,-0.23001596201329536,-0.023451140750558402,-0.12560766007397112,-0.14612794289958103,0.020520282825609915,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,有色金属,linked_deferred_event,15,15,-0.17024259838609915,-0.216342282844508,0.04609968445840884,-0.11580900341789802,-0.11786700021597693,0.002057996798078915,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,机械设备,linked_deferred_event,5,5,-0.1800320327179953,-0.18766467605436357,0.007632643336368261,-0.17282218758522144,-0.17483092517706306,0.002008737591841614,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,汽车,linked_deferred_event,11,11,-0.17471768228891577,-0.10862687992319947,-0.0660908023657163,-0.11823721566286777,-0.0900580766377269,-0.028179139025140867,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,煤炭,linked_deferred_event,4,4,-0.06247338348956383,-0.06317263465434766,0.0006992511647838373,-0.08225549278169086,-0.08340765690843177,0.0011521641267409066,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,电力设备,linked_deferred_event,16,15,-0.18272656893328076,-0.1682428284428316,-0.014483740490449176,-0.10362638985533026,-0.10584291148574906,0.0022165216304187996,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,电子,linked_deferred_event,19,19,-0.16992046166115785,-0.21004658701391526,0.04012612535275742,-0.13359457497896968,-0.13732680804338745,0.003732233064417778,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,石油石化,linked_deferred_event,5,5,-0.23280318139268896,-0.18009241836763218,-0.052710763025056784,-0.12821836077404242,-0.13272793309759776,0.004509572323555339,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,社会服务,linked_deferred_event,1,1,0.27563071931195826,0.30271762836490557,-0.027086909052947306,-0.031271450635078746,-0.09811421785176377,0.06684276721668503,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,计算机,linked_deferred_event,9,9,-0.1280352692149098,-0.11848500891890734,-0.00955026029600245,-0.11278702406485237,-0.12107586381937452,0.008288839754522145,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,通信,linked_deferred_event,2,2,0.08341506718035037,-0.01062450715679773,0.0940395743371481,-0.03300017168360203,-0.027603403483476507,-0.0053967682001255235,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,钢铁,linked_deferred_event,6,6,-0.14114623359713177,-0.25885975450797216,0.11771352091084039,-0.10980999399056941,-0.13370618841042095,0.023896194419851538,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,银行,linked_deferred_event,13,13,-0.09926002642876582,-0.13535919461441961,0.0360991681856538,-0.10787774480235253,-0.10003676400850553,-0.007840980793847,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,非银金融,linked_deferred_event,40,40,-0.1680912984554525,-0.14425349409893032,-0.02383780435652219,-0.11546019514345104,-0.11448041571443841,-0.000979779429012631,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,industry_bucket,食品饮料,linked_deferred_event,12,12,-0.12582634188153669,-0.12365437528514833,-0.0021719665963883528,-0.08440050618091256,-0.08007444155333371,-0.0043260646275788545,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,year_bucket,2017,linked_deferred_event,2,0,0.0025274037291866175,,,-0.03898476436794074,,,,,too_sparse
train,failed_lookalike_avoidance,matched_delay_baseline,year_bucket,2018,linked_deferred_event,27,29,-0.21203963457932626,-0.19676348616998648,-0.015276148409339774,-0.1254809349450467,-0.13174109046344915,0.006260155518402449,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,year_bucket,2019,linked_deferred_event,63,59,-0.167547039491673,-0.19190774860227144,0.024360709110598455,-0.09686442178133053,-0.08936170147292803,-0.007502720308402502,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,year_bucket,2020,linked_deferred_event,76,77,-0.1535488790767719,-0.140623536259242,-0.012925342817529883,-0.10470831239471616,-0.10476775860221414,5.9446207497981796e-05,,,interpretable
train,failed_lookalike_avoidance,matched_delay_baseline,year_bucket,2021,linked_deferred_event,85,85,-0.23406897964024048,-0.21360465502425452,-0.020464324615985963,-0.12946848001358693,-0.13262743223414164,0.003158952220554706,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,all,all,linked_deferred_event,253,218,-0.19218401404643143,-0.1036648292879698,-0.08851918475846163,-0.11277101141355447,-0.0550023267961184,-0.057768684617436075,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,failure_margin_bucket,all,linked_deferred_event,0,218,,-0.1036648292879698,,,-0.0550023267961184,,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,failure_margin_bucket,q0,linked_deferred_event,59,0,-0.24994377000228166,,,-0.12110432764346028,,,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,failure_margin_bucket,q1,linked_deferred_event,37,0,-0.16536668050490366,,,-0.1200600558685445,,,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,failure_margin_bucket,q2,linked_deferred_event,61,0,-0.1674990977458537,,,-0.11188047198866434,,,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,failure_margin_bucket,q3,linked_deferred_event,96,0,-0.18807492868332942,,,-0.10540603852312976,,,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,money_bucket,1,linked_deferred_event,11,11,-0.09023137088488825,-0.04250909891937088,-0.04772227196551737,-0.070094957116491,-0.03941423064542653,-0.030680726471064464,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,money_bucket,2,linked_deferred_event,17,14,-0.18485294989950682,-0.10514418526672864,-0.07970876463277818,-0.10380112501649905,-0.058898628218563016,-0.04490249679793603,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,money_bucket,3,linked_deferred_event,61,52,-0.1674990977458537,-0.12384544526977068,-0.04365365247608302,-0.10044232562297131,-0.05269555191595143,-0.04774677370701988,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,money_bucket,4,linked_deferred_event,162,139,-0.2121536046195977,-0.10221598106667044,-0.10993762355292726,-0.12063736298398586,-0.05664341813910257,-0.0639939448448833,,,interpretable
