stage1_X,split,ground_truth_survivor_n,ground_truth_survivor_continuation_positive_n,ground_truth_survivor_continuation_rate,chained_survivor_n,chained_survivor_positive_n,chained_survivor_share_of_ground_truth,chained_survivor_continuation_rate,continuation_positive_capture_rate,stage2_selected_n,stage2_selected_continuation_positive_n,stage2_selected_continuation_rate,stage2_selected_positive_capture_rate,stage2_selected_budget_rank_evaluable,stage2_random_support_status,stage2_random_valid_seed_n,stage2_random_p50,stage2_delta_vs_random_p50,stage2_delta_vs_random_p50_ci95_low,chained_survivor_share_guard_status
0.5,robustness,3234,435,0.1345083487940631,1927,216,0.595856524427953,0.11209133367929423,0.496551724137931,439,74,0.16856492027334852,0.01588323674608285,0.22828913156526262,insufficient,6,0.10933940774487472,0.0592255125284738,0.020501138952164016,pass
0.6,all,9481,1311,0.13827655310621242,6432,807,0.6784094504799072,0.12546641791044777,0.6155606407322655,1696,352,0.20754716981132076,0.023291206246278038,0.26886493341788203,insufficient,4,0.13119103773584906,0.0763561320754717,0.05719339622641509,pass
0.6,train,4827,753,0.1559975139838409,3046,446,0.6310337683861612,0.1464215364412344,0.5922974767596282,918,223,0.2429193899782135,0.02685776225460677,0.3119266055045872,insufficient,4,0.16230936819172115,0.08061002178649235,0.04575163398692811,pass
0.6,validation,1420,123,0.08661971830985915,1201,95,0.8457746478873239,0.0791007493755204,0.7723577235772358,281,35,0.12455516014234876,0.016271501627150162,0.23733108108108109,insufficient,4,0.0693950177935943,0.05516014234875445,0.0106761565836299,pass
0.6,robustness,3234,435,0.1345083487940631,2185,266,0.6756338899196042,0.12173913043478261,0.6114942528735632,497,94,0.1891348088531187,0.02017600343421335,0.22787712058688675,insufficient,4,0.10663983903420524,0.08249496981891347,0.04826458752515089,pass
0.7,all,9481,1311,0.13827655310621242,7319,966,0.7719649825967725,0.13198524388577673,0.7368421052631579,1962,423,0.21559633027522937,0.02798914841527162,0.2726514730405781,insufficient,20,0.14245667686034658,0.0731396534148828,0.054274974515800205,pass
0.7,train,4827,753,0.1559975139838409,3565,542,0.7385539672674539,0.15203366058906032,0.7197875166002656,1092,268,0.2454212454212454,0.03227749006383235,0.3155157468939613,insufficient,20,0.17994505494505494,0.06547619047619047,0.03799221611721612,pass
0.7,validation,1420,123,0.08661971830985915,1294,105,0.9112676056338028,0.08114374034003091,0.8536585365853658,295,40,0.13559322033898305,0.018596001859600187,0.23064894448788115,insufficient,20,0.0711864406779661,0.06440677966101695,0.027118644067796613,pass
0.7,robustness,3234,435,0.1345083487940631,2460,319,0.7606679035250464,0.12967479674796747,0.7333333333333333,575,115,0.2,0.024683408456750374,0.23412052117263843,insufficient,20,0.11565217391304347,0.08434782608695654,0.05391304347826087,pass
0.85,all,9481,1311,0.13827655310621242,8409,1153,0.8869317582533488,0.13711499583779285,0.8794813119755912,2293,500,0.21805494984736154,0.03308409978164494,0.2767986479961371,insufficient,13,0.14696903619712168,0.07108591365023986,0.05233318796336678,pass
0.85,train,4827,753,0.1559975139838409,4213,650,0.8727988398591258,0.15428435793971043,0.8632138114209827,1309,315,0.24064171122994651,0.03793809466457907,0.31864654333008763,insufficient,13,0.18105423987776928,0.059587471352177235,0.037433155080213915,pass
0.85,validation,1420,123,0.08661971830985915,1374,115,0.967605633802817,0.08369723435225619,0.9349593495934959,298,42,0.14093959731543623,0.019525801952580194,0.21911764705882353,insufficient,13,0.07046979865771812,0.07046979865771812,0.030201342281879193,pass
0.85,robustness,3234,435,0.1345083487940631,2822,388,0.8726035868893012,0.13749114103472715,0.8919540229885058,686,143,0.20845481049562684,0.030693281820133075,0.24360795454545456,insufficient,13,0.1151603498542274,0.09329446064139943,0.05976676384839649,pass
1.0,all,9481,1311,0.13827655310621242,9481,1311,1.0,0.13827655310621242,1.0,2623,557,0.2123522683949676,0.03685568715675246,0.280714897260274,insufficient,29,0.14296606938619902,0.06938619900876858,0.05337399923751429,pass
1.0,train,4827,753,0.1559975139838409,4827,753,1.0,0.1559975139838409,1.0,1496,351,0.23462566844919786,0.04227387691195953,0.31782451667728917,insufficient,29,0.178475935828877,0.05614973262032086,0.03542780748663102,pass
1.0,validation,1420,123,0.08661971830985915,1420,123,1.0,0.08661971830985915,1.0,287,44,0.15331010452961671,0.020455602045560205,0.20297029702970298,insufficient,29,0.06968641114982578,0.08362369337979093,0.038327526132404185,pass
1.0,robustness,3234,435,0.1345083487940631,3234,435,1.0,0.1345083487940631,1.0,840,162,0.19285714285714287,0.03477141017385705,0.2606267452683835,insufficient,29,0.10714285714285714,0.08571428571428573,0.059494047619047606,pass
