stage1_X,split,stage1_entry_n,stage1_anchor_role,stage1_rank_evaluable_n,stage1_selected_n,stage1_selected_budget_total,stage1_selected_budget_rank_evaluable,stage1_budget_abs_delta_rank_evaluable_vs_X,stage1_rank_not_evaluable_rate,stage1_fast_fail_positive_n,stage1_fast_fail_rate,stage1_base_fast_fail_rate,stage1_delta_vs_base_fast_fail,stage1_random_p05,stage1_random_p50,stage1_random_p95,stage1_delta_vs_random_p50,stage1_delta_vs_random_p50_ci95_low,stage1_delta_vs_random_p50_ci95_high,stage1_random_valid_seed_n,stage1_random_support_status
0.4,validation,2151,frontier_candidate,2133,1218,0.5662482566248257,0.5710267229254571,0.17102672292545706,0.008368200836820083,281,0.23070607553366174,0.3398419339841934,-0.10913585845053164,0.27832512315270935,0.2939244663382594,0.3145320197044335,-0.06321839080459768,-0.08382594417077177,-0.047619047619047616,100,pass
0.4,robustness,4659,frontier_candidate,4642,1915,0.41103241038849536,0.41253769926755707,0.012537699267557045,0.003648851684910925,309,0.16135770234986946,0.30585962652929816,-0.1445019241794287,0.21245430809399476,0.22532637075718015,0.2376762402088773,-0.06396866840731069,-0.07631853785900783,-0.051096605744125306,100,pass
0.5,all,15113,frontier_candidate,14825,7344,0.4859392575928009,0.4953794266441821,0.004620573355817892,0.019056441474227487,1751,0.23842592592592593,0.3726592999404486,-0.13423337401452268,0.2893382352941177,0.2988834422657952,0.30611383442265794,-0.06045751633986929,-0.06768790849673201,-0.050912309368191744,100,pass
0.5,train,8303,frontier_candidate,8050,3547,0.42719498976273634,0.4406211180124224,0.059378881987577625,0.030470914127423823,971,0.27375246687341415,0.418643863663736,-0.14489139679032187,0.3321116436425148,0.3443755286157316,0.35665351000845785,-0.07062306174231747,-0.0829010431350437,-0.05835917676910063,100,pass
0.5,validation,2151,frontier_candidate,2133,1462,0.6796838679683868,0.6854195968120019,0.18541959681200193,0.008368200836820083,372,0.25444596443228457,0.3398419339841934,-0.08539596955190881,0.28245554035567716,0.2961696306429549,0.3133720930232558,-0.04172366621067031,-0.05892612859097124,-0.028009575923392593,100,pass
0.5,robustness,4659,frontier_candidate,4642,2335,0.5011805108392359,0.503015941404567,0.0030159414045669575,0.003648851684910925,408,0.1747323340471092,0.30585962652929816,-0.13112729248218896,0.21541755888650962,0.22933618843683085,0.24246252676659527,-0.05460385438972165,-0.06773019271948608,-0.04068522483940043,100,pass
0.6,all,15113,frontier_candidate,14825,8675,0.5740091312115397,0.5851602023608768,0.014839797639123131,0.019056441474227487,2243,0.25855907780979825,0.3726592999404486,-0.11410022213065035,0.29279538904899133,0.3011527377521614,0.3080634005763689,-0.04259365994236314,-0.04950432276657063,-0.034236311239193074,100,pass
0.6,train,8303,frontier_candidate,8050,4297,0.5175237865831627,0.5337888198757764,0.06621118012422356,0.030470914127423823,1251,0.2911333488480335,0.418643863663736,-0.12751051481570252,0.33465208284849896,0.3445427042122411,0.3569932511054224,-0.0534093553642076,-0.06585990225738891,-0.043518734000465464,100,pass
0.6,validation,2151,frontier_candidate,2133,1661,0.7721989772198977,0.7787154242850446,0.1787154242850446,0.008368200836820083,460,0.2769416014449127,0.3398419339841934,-0.06290033253928068,0.2859723058398555,0.30102347983142685,0.3173389524382902,-0.024081878386514155,-0.04039735099337749,-0.009030704394942801,100,pass
0.6,robustness,4659,frontier_candidate,4642,2717,0.5831723545825285,0.5853080568720379,0.01469194312796207,0.003648851684910925,532,0.1958041958041958,0.30585962652929816,-0.11005543072510235,0.21967243283032756,0.23279352226720648,0.2444055944055944,-0.036989326463010674,-0.04860139860139859,-0.02386823702613175,100,pass
0.7,all,15113,frontier_candidate,14825,10184,0.6738569443525442,0.6869477234401349,0.013052276559865073,0.019056441474227487,2865,0.2813236449332286,0.3726592999404486,-0.09133565500722002,0.2989395129615083,0.3066084053417125,0.3136586802827966,-0.02528476040848393,-0.032335035349568,-0.01761586802827969,100,pass
0.7,train,8303,frontier_candidate,8050,5200,0.626279657954956,0.6459627329192547,0.0540372670807453,0.030470914127423823,1635,0.3144230769230769,0.418643863663736,-0.1042207867406591,0.3409615384615385,0.34971153846153846,0.3611634615384615,-0.035288461538461546,-0.0467403846153846,-0.026538461538461566,100,pass
0.7,validation,2151,frontier_candidate,2133,1834,0.8526266852626685,0.8598218471636193,0.15982184716361936,0.008368200836820083,540,0.29443838604143946,0.3398419339841934,-0.04540354794275392,0.2899945474372955,0.3026172300981461,0.32006543075245364,-0.008178844056706658,-0.02562704471101418,0.004443838604143935,100,pass
0.7,robustness,4659,frontier_candidate,4642,3150,0.6761107533805538,0.6785868160275743,0.021413183972425642,0.003648851684910925,690,0.21904761904761905,0.30585962652929816,-0.08681200748167911,0.22284126984126984,0.2361904761904762,0.24576190476190476,-0.017142857142857154,-0.026714285714285718,-0.0037936507936507935,100,pass
0.85,all,15113,frontier_candidate,14825,12372,0.8186329649970224,0.8345362563237774,0.015463743676222608,0.019056441474227487,3963,0.3203200775945684,0.3726592999404486,-0.05233922234588023,0.30874151309408343,0.31575331393469125,0.3221912382799871,0.004566763659877127,-0.0018711606854187046,0.011578564500484945,100,pass
0.85,train,8303,frontier_candidate,8050,6555,0.7894736842105263,0.8142857142857143,0.0357142857142857,0.030470914127423823,2342,0.3572845156369184,0.418643863663736,-0.06135934802681764,0.3535621662852784,0.36186117467581996,0.37117467581998476,-0.004576659038901587,-0.01389016018306638,0.003722349351639953,100,pass
0.85,validation,2151,frontier_candidate,2133,2010,0.9344490934449093,0.9423347398030942,0.09233473980309426,0.008368200836820083,636,0.3164179104477612,0.3398419339841934,-0.023424023536432192,0.29450248756218905,0.3072139303482587,0.32291044776119404,0.009203980099502462,-0.006492537313432856,0.021915422885572133,100,pass
0.85,robustness,4659,frontier_candidate,4642,3807,0.8171281390856407,0.8201206376561827,0.029879362343817273,0.003648851684910925,985,0.2587339112161807,0.30585962652929816,-0.04712571531311743,0.23060152350932495,0.2394273706330444,0.2482400840556869,0.019306540583136328,0.010493827160493824,0.028132387706855777,100,pass
1.0,all,15113,no_stage1_defense_anchor,15113,15113,1.0,1.0,0.0,0.0,5632,0.3726592999404486,0.3726592999404486,0.0,0.32352279494474956,0.32925296102693047,0.33441738900284523,0.04340633891351814,0.038241910937603374,0.04913650499569905,100,pass
1.0,train,8303,no_stage1_defense_anchor,8303,8303,1.0,1.0,0.0,0.0,3476,0.418643863663736,0.418643863663736,0.0,0.3731542815849693,0.3803444538118752,0.38914247862218476,0.03829940985186081,0.029501385041551254,0.04548958207876669,100,pass
1.0,validation,2151,no_stage1_defense_anchor,2151,2151,1.0,1.0,0.0,0.0,731,0.3398419339841934,0.3398419339841934,0.0,0.2975127847512785,0.3126452812645281,0.32731287773128775,0.02719665271966526,0.012529056252905624,0.042329149232914864,100,pass
1.0,robustness,4659,no_stage1_defense_anchor,4659,4659,1.0,1.0,0.0,0.0,1425,0.30585962652929816,0.30585962652929816,0.0,0.23542605709379696,0.24404378622021894,0.25242541317879374,0.06181584030907922,0.05343421335050441,0.07043356943550119,100,pass
