holding_period,signal_period,signal_month_end,holding_month_end,split,evaluable,active_factor_count,winner_factor_count,loser_factor_count,zero_factor_count,tsfm_gross_return,tsfm_winner_leg_return,tsfm_loser_leg_return,tsfm_buy_turnover,tsfm_sell_turnover,tsfm_after_cost_return,requires_short_exposure,net_abs_exposure,long_gross_exposure,short_gross_exposure
2019-09,2019-08,2019-08-30,2019-09-30,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-10,2019-09,2019-09-30,2019-10-31,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-11,2019-10,2019-10-31,2019-11-29,train,False,0,0,0,0,,,,,,,False,0.0,0.0,0.0
2019-12,2019-11,2019-11-29,2019-12-31,train,True,4,4,0,0,0.017996381675501605,0.017996381675501605,,0.9279894426063781,0.9279894426063784,0.007788497806831444,True,0.7726814516129032,0.38634072580645157,0.3863407258064516
2020-01,2019-12,2019-12-31,2020-01-23,train,True,4,2,2,0,0.059521125016906734,0.0903951051353239,-0.02864714489848956,0.5929328567937441,0.5929328567937439,0.05299886359217555,True,1.3484848484848486,0.6742424242424243,0.6742424242424242
2020-02,2020-01,2020-01-23,2020-02-28,train,True,4,3,1,0,0.03480817281044742,0.02972619822847557,-0.05005409655636296,0.6609625668449196,0.6609625668449198,0.027537584575153307,True,1.280252100840336,0.6401260504201681,0.640126050420168
2020-03,2020-02,2020-02-28,2020-03-31,train,True,4,2,2,0,-0.06432429210326818,-0.11589445071314874,0.012754133493387599,0.5943277310924365,0.5943277310924363,-0.07086189714528499,True,1.365126050420168,0.682563025210084,0.682563025210084
2020-04,2020-03,2020-03-31,2020-04-30,train,True,4,1,3,0,0.01677909819879058,0.08930014979042718,0.007394585665088288,0.6420677361853829,0.642067736185383,0.009716353100751366,True,0.9398395721925134,0.4699197860962567,0.4699197860962567
2020-05,2020-04,2020-04-30,2020-05-29,train,True,4,2,2,0,-0.0048621293168777165,-0.007289907460746331,0.002434351173009103,0.6057231983702571,0.6057231983702572,-0.011525084498950545,True,1.4252100840336135,0.7126050420168067,0.7126050420168067
2020-06,2020-05,2020-05-29,2020-06-30,train,True,4,2,2,0,0.08812492888602878,0.12758524620784162,-0.04866461156421596,0.20110877684407097,0.20110877684407097,0.08591273234074401,True,1.4265873015873014,0.7132936507936507,0.7132936507936507
2020-07,2020-06,2020-06-30,2020-07-31,train,True,4,2,2,0,0.018140364964455178,0.04137913306840742,0.005098403139497058,0.2696803946803947,0.26968039468039456,0.015173880622970837,True,1.4294294294294294,0.7147147147147147,0.7147147147147147
2020-08,2020-07,2020-07-31,2020-08-31,train,True,4,2,2,0,-0.029171691799658055,-0.041962579654150095,0.01638080394516601,0.5139639639639637,0.5139639639639638,-0.03482529540326165,True,1.3747474747474748,0.6873737373737373,0.6873737373737374
2020-09,2020-08,2020-08-31,2020-09-30,train,True,4,2,2,0,-0.023116834833221134,-0.02330150812518096,0.022932161541261303,0.27024044795783936,0.2702404479578391,-0.026089479760757362,True,1.4004830917874398,0.7002415458937199,0.7002415458937199
2020-10,2020-09,2020-09-30,2020-10-30,train,True,4,2,2,0,-0.007902445915020703,-0.001997114121381233,0.013807777708660174,0.34922318167281075,0.3492231816728106,-0.01174390091342162,True,1.3304297328687573,0.6652148664343787,0.6652148664343787
2020-11,2020-10,2020-10-30,2020-11-30,train,True,4,2,2,0,-0.010074757936319387,-0.01601980215294871,0.004129713719690063,0.27306674229533007,0.27306674229533007,-0.013078492101568017,True,1.3682170542635659,0.6841085271317829,0.6841085271317829
2020-12,2020-11,2020-11-30,2020-12-31,train,True,4,2,2,0,0.04634649835713872,0.07574137210701937,-0.01695162460725807,0.32811419846303563,0.32811419846303563,0.04273724217404533,True,1.3853535353535353,0.6926767676767677,0.6926767676767677
2021-01,2020-12,2020-12-31,2021-01-29,train,True,4,2,2,0,-0.006265001785192368,-0.0039081691451370425,0.008621834425247693,0.33547979797979804,0.33547979797979793,-0.009955279562970145,True,1.3504830917874397,0.6752415458937199,0.6752415458937198
2021-02,2021-01,2021-01-29,2021-02-26,train,True,4,2,2,0,-0.011819660844263296,-0.04324454482948144,-0.01960522314095485,0.2730511638120335,0.2730511638120336,-0.014823223646195665,True,1.3777777777777778,0.6888888888888889,0.6888888888888889
2021-03,2021-02,2021-02-26,2021-03-31,train,True,4,2,2,0,-0.022277045066850826,-0.06911914640690726,-0.024565056273205627,0.9442363038338987,0.9442363038338982,-0.03266364440902371,True,1.2169287696577245,0.6084643848288622,0.6084643848288622
2021-04,2021-03,2021-03-31,2021-04-30,train,True,4,2,2,0,-0.010696236460353373,0.03739906817254925,0.058791541093255996,0.4041396854764107,0.4041396854764107,-0.01514177300059389,True,1.2422705314009663,0.6211352657004832,0.6211352657004832
2021-05,2021-04,2021-04-30,2021-05-31,train,True,4,2,2,0,-0.0038978809113540784,0.020665477954933974,0.02846123977764213,1.0661835748792274,1.0661835748792277,-0.01562590023502558,True,1.2067530064754857,0.6033765032377428,0.6033765032377428
2021-06,2021-05,2021-05-31,2021-06-30,train,True,4,2,2,0,0.03620524965897118,0.06270030467679244,-0.009710194641149902,0.9916032844682736,0.9916032844682737,0.025297613529820167,True,1.3633078231292517,0.6816539115646258,0.6816539115646258
2021-07,2021-06,2021-06-30,2021-07-30,train,True,4,4,0,0,0.028079382741231534,0.028079382741231534,,0.569589937038645,0.569589937038645,0.02181389343380644,True,0.9213209219858156,0.4606604609929078,0.46066046099290775
2021-08,2021-07,2021-07-30,2021-08-31,train,True,4,2,2,0,0.006480865267910928,0.0015582788490046337,-0.01140345168681722,0.6628989361702129,0.6628989361702126,-0.0008110230299614111,True,1.4647606382978722,0.7323803191489362,0.7323803191489361
2021-09,2021-08,2021-08-31,2021-09-30,train,True,4,2,2,0,-0.08918201121957592,-0.12677677061014306,0.05158725182900879,0.37040102211097187,0.37040102211097187,-0.09325642246279661,True,1.4262745098039216,0.7131372549019608,0.7131372549019609
2021-10,2021-09,2021-09-30,2021-10-29,train,True,4,2,2,0,-0.05077417469650257,-0.03873461895395447,0.06281373043905067,1.0347298919567824,1.0347298919567827,-0.062156203508027176,True,1.2761224489795917,0.6380612244897959,0.6380612244897959
2021-11,2021-10,2021-10-29,2021-11-30,train,True,4,2,2,0,0.020227395724307706,0.011997252954483915,-0.0284575384941315,1.0254081632653058,1.0254081632653058,0.008947905928389342,True,1.3557142857142856,0.6778571428571428,0.6778571428571428
2021-12,2021-11,2021-11-30,2021-12-31,train,True,4,2,2,0,-0.0508761469700033,-0.07269122169381038,0.0290610722461962,0.29422484378366753,0.2942248437836673,-0.05411262025162364,True,1.4183559577677225,0.7091779788838612,0.7091779788838612
2022-01,2021-12,2021-12-31,2022-01-28,validation,True,4,2,2,0,-0.014851692274172698,-0.04947689885980012,-0.01977351431145472,1.0524057473336053,1.0524057473336048,-0.026428155494842353,True,1.3691474493361284,0.6845737246680642,0.6845737246680642
2022-02,2022-01,2022-01-28,2022-02-28,validation,True,4,1,3,0,-0.00978834699459202,-0.018563879800191658,0.006863169392725475,0.6969957588057749,0.6969957588057754,-0.017455300341455548,True,1.4106826241134751,0.7053413120567376,0.7053413120567376
2022-03,2022-02,2022-02-28,2022-03-31,validation,True,4,1,3,0,0.04094887955827044,0.01832319827085604,-0.0484907733207419,0.24230170791720937,0.24230170791720976,0.038283560771181134,True,1.4657738095238095,0.7328869047619048,0.7328869047619048
2022-04,2022-03,2022-03-31,2022-04-29,validation,True,4,2,2,0,-0.02429191556607815,-0.03312518363569954,0.015458647496456755,0.6897353638425067,0.6897353638425068,-0.03187900456834572,True,1.2426767676767676,0.6213383838383839,0.6213383838383838
2022-05,2022-04,2022-04-29,2022-05-31,validation,True,4,2,2,0,-0.03589535019667204,-0.011674058093633786,0.060116642299710296,0.9579482532970904,0.95794825329709,-0.04643278098294003,True,1.3208748615725359,0.6604374307862679,0.6604374307862679
2022-06,2022-05,2022-05-31,2022-06-30,validation,True,4,1,3,0,-0.06651222960710834,-0.042749429829557255,0.07443316286629205,0.5903742575254203,0.5903742575254197,-0.07300634643988797,True,1.4856060606060606,0.7428030303030303,0.7428030303030303
2022-07,2022-06,2022-06-30,2022-07-29,validation,True,4,1,3,0,0.038018201872907505,0.008105030249430586,-0.04798925908073315,0.3183618095852138,0.318361809585214,0.03451622196747015,True,1.4966755319148937,0.7483377659574467,0.7483377659574468
2022-08,2022-07,2022-07-29,2022-08-31,validation,True,4,1,3,0,0.03881095714712307,0.034004410754693785,-0.04041313927793283,0.30824564446500147,0.30824564446500136,0.035420255058008054,True,1.517345050878816,0.758672525439408,0.758672525439408
2022-09,2022-08,2022-08-31,2022-09-30,validation,True,4,2,2,0,0.048637067438524806,0.02947466453910431,-0.06779947033794531,0.6373291191283785,0.6373291191283793,0.04162644712811264,True,1.4748792270531401,0.7374396135265701,0.7374396135265701
2022-10,2022-09,2022-09-30,2022-10-31,validation,True,4,2,2,0,0.010404330572407274,-0.0009759284531126455,-0.021784589597927194,0.2348484848484847,0.23484848484848478,0.007820997239073941,True,1.4204545454545454,0.7102272727272727,0.7102272727272727
2022-11,2022-10,2022-10-31,2022-11-30,validation,True,4,1,3,0,0.010319249625382125,-0.01849757287604723,-0.019924857125858578,0.6154862579281183,0.6154862579281183,0.0035489007881728245,True,1.4651162790697674,0.7325581395348837,0.7325581395348837
2022-12,2022-11,2022-11-30,2022-12-30,validation,True,4,1,3,0,-0.0012966713622846043,0.008493655290542225,0.004560113579893547,0.3551033591731266,0.35510335917312674,-0.005202808313188998,True,1.5067632850241546,0.7533816425120773,0.7533816425120774
2023-01,2022-12,2022-12-30,2023-01-31,validation,True,4,2,2,0,-0.0508976367577791,-0.028973359508818117,0.07282191400674008,0.6761506623362029,0.6761506623362034,-0.058335294043477336,True,1.4883720930232558,0.7441860465116279,0.7441860465116279
2023-02,2023-01,2023-01-31,2023-02-28,validation,True,4,1,3,0,0.04688416206276521,0.06449136626039631,-0.04101509399688817,0.6603964314530546,0.6603964314530542,0.03961980131678161,True,1.530193236714976,0.765096618357488,0.765096618357488
2023-03,2023-02,2023-02-28,2023-03-31,validation,True,4,1,3,0,0.019461276202655454,0.01180856160487339,-0.022012181068582812,0.3145531400966184,0.3145531400966182,0.016001191661592654,True,1.5,0.75,0.75
2023-04,2023-03,2023-03-31,2023-04-28,validation,True,4,1,3,0,0.034814751575844974,-0.007386464421682286,-0.04888182357502072,0.3403147163120566,0.3403147163120565,0.03107128969641235,True,1.4962322695035462,0.748116134751773,0.7481161347517731
2023-05,2023-04,2023-04-28,2023-05-31,validation,True,4,1,3,0,0.03689425036435136,0.015661474260079675,-0.043971842399108584,0.29183529910576633,0.2918352991057661,0.03368406207418793,True,1.4639222941720629,0.7319611470860314,0.7319611470860314
2023-06,2023-05,2023-05-31,2023-06-30,validation,True,4,1,3,0,-0.010259093053047511,-0.007545307665536322,0.011163688182217907,0.3468963455087414,0.34689634550874154,-0.014074952853643668,True,1.4974747474747474,0.7487373737373737,0.7487373737373737
2023-07,2023-06,2023-06-30,2023-07-31,validation,True,4,1,3,0,-0.008894212002532511,0.01582557298405247,0.01713414033139417,0.33653381642512076,0.3365338164251208,-0.01259608398320884,True,1.4528985507246377,0.7264492753623188,0.726449275362319
2023-08,2023-07,2023-07-31,2023-08-31,validation,True,4,2,2,0,0.03262924483687084,0.01665347641000037,-0.04860501326374131,0.6069020454311849,0.6069020454311851,0.025953322337127802,True,1.3459759481961147,0.6729879740980573,0.6729879740980573
2023-09,2023-08,2023-08-31,2023-09-28,validation,True,4,2,2,0,0.016152396860118268,0.0076887093778702075,-0.024616084342366326,0.31751371251833793,0.317513712518338,0.01265974602241655,True,1.4176767676767676,0.7088383838383838,0.7088383838383838
2023-10,2023-09,2023-09-28,2023-10-31,validation,True,4,2,2,0,-0.0038650133640090044,-0.0016946551628306014,0.006035371565187408,0.31070487483530973,0.3107048748353096,-0.007282766987197411,True,1.3432367149758455,0.6716183574879228,0.6716183574879228
2023-11,2023-10,2023-10-31,2023-11-30,validation,True,4,2,2,0,0.012498842974045108,-0.0027843817340207863,-0.027782067682111,0.3069514661274012,0.3069514661274012,0.009122376846643694,True,1.3554817275747508,0.6777408637873754,0.6777408637873754
2023-12,2023-11,2023-11-30,2023-12-29,validation,True,4,2,2,0,0.013628010148696124,0.0002938368346669226,-0.026962183462725324,0.2886212624584718,0.2886212624584718,0.010453176261652933,True,1.3684939091915835,0.6842469545957918,0.6842469545957918
2024-01,2023-12,2023-12-29,2024-01-31,robustness,True,4,2,2,0,0.11696639541888362,0.048532191790796396,-0.18540059904697082,0.34351956891661944,0.34351956891661944,0.11318768016080082,True,1.3522067363530779,0.6761033681765389,0.6761033681765389
2024-02,2024-01,2024-01-31,2024-02-29,robustness,True,4,2,2,0,-0.05906587993632356,-0.027343209040346504,0.09078855083230061,0.463724200084919,0.46372420008491877,-0.06416684613725768,True,1.3253911806543386,0.6626955903271693,0.6626955903271693
2024-03,2024-02,2024-02-29,2024-03-29,robustness,True,4,2,2,0,0.01991135545599511,0.006990718031185119,-0.0328319928808051,0.332512023301497,0.3325120233014969,0.01625372319967864,True,1.3095238095238095,0.6547619047619048,0.6547619047619048
2024-04,2024-03,2024-03-29,2024-04-30,robustness,True,4,2,2,0,0.024162455361680213,0.01416641448552848,-0.03415849623783195,0.3001107419712072,0.3001107419712072,0.020861237199996933,True,1.4263565891472867,0.7131782945736433,0.7131782945736433
2024-05,2024-04,2024-04-30,2024-05-31,robustness,True,4,2,2,0,0.022162018943765734,0.004074792121857044,-0.04024924576567442,0.30560253699788587,0.3056025369978859,0.018800391036788988,True,1.3292929292929292,0.6646464646464646,0.6646464646464646
2024-06,2024-05,2024-05-31,2024-06-28,robustness,True,4,2,2,0,0.016105698337269908,-0.004679405386935898,-0.036890802061475714,0.3059343434343434,0.3059343434343434,0.01274042055949213,True,1.3555555555555556,0.6777777777777778,0.6777777777777778
2024-07,2024-06,2024-06-28,2024-07-31,robustness,True,4,2,2,0,0.001526681878436558,-0.003671396394533821,-0.006724760151406937,0.3393226282761165,0.3393226282761165,-0.0022058670326007236,True,1.3225359911406422,0.6612679955703211,0.6612679955703211
2024-08,2024-07,2024-07-31,2024-08-30,robustness,True,4,1,3,0,0.037444040363593806,0.05503619112578306,-0.03157999010953072,0.6202293169111093,0.6202293169111095,0.030621517877571607,True,1.5209059233449478,0.7604529616724738,0.7604529616724739
2024-09,2024-08,2024-08-30,2024-09-30,robustness,True,4,1,3,0,-0.05425318698047672,-0.014128135959045674,0.06762820398762041,0.3519422383350496,0.35194223833504956,-0.05812455160216227,True,1.4719973009446692,0.7359986504723347,0.7359986504723346
2024-10,2024-09,2024-09-30,2024-10-31,robustness,True,4,1,3,0,-0.0485369975965213,-0.0534285752062602,0.04690647172660834,0.5625631225648265,0.5625631225648265,-0.054725191944734394,True,1.5300647548566142,0.7650323774283072,0.7650323774283071
2024-11,2024-10,2024-10-31,2024-11-29,robustness,True,4,1,3,0,0.021596844149524008,0.02065317502736655,-0.021911400523576496,0.3930533071230341,0.39305330712303427,0.01727325777117063,True,1.5296985815602837,0.7648492907801417,0.7648492907801419
2024-12,2024-11,2024-11-29,2024-12-31,robustness,True,4,1,3,0,0.05454489693158096,0.0441417439462313,-0.05801261459336419,0.34025359982806785,0.34025359982806785,0.050802107333472214,True,1.4878787878787878,0.743939393939394,0.7439393939393939
2025-01,2024-12,2024-12-31,2025-01-27,robustness,True,4,1,3,0,-0.01411247876187592,-0.024401751725076606,0.010682721107475689,0.2821969696969697,0.28219696969696945,-0.017216645428542586,True,1.476010101010101,0.7380050505050505,0.7380050505050505
2025-02,2025-01,2025-01-27,2025-02-28,robustness,True,4,1,3,0,-0.025911030943227303,-0.01822821293941553,0.028471970277831226,0.23055555555555554,0.23055555555555557,-0.028447142054338414,True,1.4982323232323231,0.7491161616161617,0.7491161616161616
2025-03,2025-02,2025-02-28,2025-03-31,robustness,True,4,1,3,0,0.031582486587656056,0.016267037904945304,-0.03668763614855964,0.26247804128238905,0.2624780412823893,0.02869522813354977,True,1.5415458937198068,0.7707729468599034,0.7707729468599035
2025-04,2025-03,2025-03-31,2025-04-30,robustness,True,4,1,3,0,0.028245342392027036,0.025473587589327207,-0.029169260659593643,0.258937198067633,0.2589371980676329,0.025397033213283075,True,1.5086956521739132,0.7543478260869565,0.7543478260869566
2025-05,2025-04,2025-04-30,2025-05-30,robustness,True,4,1,3,0,0.024853524565562623,0.023757426948407313,-0.025218890437947727,0.33553533310863937,0.33553533310863937,0.02116263590136759,True,1.5,0.75,0.75
2025-06,2025-05,2025-05-30,2025-06-30,robustness,True,4,1,3,0,-0.019029817160382358,0.0027479431079398837,0.026289070583156438,0.25766384778012674,0.25766384778012685,-0.021864119485963753,True,1.4772727272727273,0.7386363636363636,0.7386363636363636
2025-07,2025-06,2025-06-30,2025-07-31,robustness,True,4,2,2,0,0.003254137245410644,0.04287919800958581,0.03637092351876452,0.6305555555555553,0.6305555555555552,-0.003681973865700464,True,1.2484848484848485,0.6242424242424243,0.6242424242424243
2025-08,2025-07,2025-07-31,2025-08-29,robustness,True,4,3,1,0,0.08090502908590122,0.0877680182210277,-0.06031606168052176,0.660656752539269,0.6606567525392689,0.07363780480796926,True,1.379740980573543,0.6898704902867715,0.6898704902867715
2025-09,2025-08,2025-08-29,2025-09-30,robustness,True,4,2,2,0,0.05413573581022401,0.08885032748480866,-0.019421144135639366,0.693518793698366,0.6935187936983658,0.04650702907954199,True,1.4500377073906485,0.7250188536953243,0.7250188536953243
2025-10,2025-09,2025-09-30,2025-10-31,robustness,True,4,2,2,0,-0.03983271085315176,-0.06248595196397831,0.017179469742325197,0.32012290079715194,0.3201229007971518,-0.04335406276192043,True,1.4332634521313765,0.7166317260656883,0.7166317260656883
2025-11,2025-10,2025-10-31,2025-11-28,robustness,True,4,2,2,0,-0.043035237268081075,-0.0667883826160008,0.019282091920161358,0.2994679499396476,0.2994679499396479,-0.0463293847174172,True,1.4616161616161616,0.7308080808080808,0.7308080808080808
2025-12,2025-11,2025-11-28,2025-12-31,robustness,True,4,2,2,0,0.06679490293867711,0.09855001208922579,-0.035039793788128444,0.33432419257890955,0.3343241925789093,0.06311733682030911,True,1.4415820029027575,0.7207910014513788,0.7207910014513788
