field_name,field_role,definition
low240,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_high240,launch_event_panel_field,P0.6 launch event field or derived observable feature
dist_low240,launch_event_panel_field,P0.6 launch event field or derived observable feature
avg_money5_prior,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_ratio5,launch_event_panel_field,P0.6 launch event field or derived observable feature
avg_money20_prior,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_ratio20,launch_event_panel_field,P0.6 launch event field or derived observable feature
avg_money60_prior,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_ratio60,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_regime_shift60,launch_event_panel_field,P0.6 launch event field or derived observable feature
gap_pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
limit_up_like,launch_event_panel_field,P0.6 launch event field or derived observable feature
range10_pct,launch_event_panel_field,P0.6 launch event field or derived observable feature
narrow_range10,launch_event_panel_field,P0.6 launch event field or derived observable feature
range_expansion20,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_from_high60,launch_event_panel_field,P0.6 launch event field or derived observable feature
repair_from_low60,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_from_high120,launch_event_panel_field,P0.6 launch event field or derived observable feature
repair_from_low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_from_high240,launch_event_panel_field,P0.6 launch event field or derived observable feature
repair_from_low240,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema60_reclaim_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
trend_speed20,launch_event_panel_field,P0.6 launch event field or derived observable feature
close_above_ema60,launch_event_panel_field,P0.6 launch event field or derived observable feature
trend_age_close_above_ema60,launch_event_panel_field,P0.6 launch event field or derived observable feature
instrument_day_index,launch_event_panel_field,P0.6 launch event field or derived observable feature
available_history_trading_days,launch_event_panel_field,P0.6 launch event field or derived observable feature
provider_required_fields_ok,launch_event_panel_field,P0.6 launch event field or derived observable feature
name,launch_event_panel_field,P0.6 launch event field or derived observable feature
listing_age_trading_days,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_cap_asof_T,launch_event_panel_field,P0.6 launch event field or derived observable feature
pit_member,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_target_key,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_name,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_ret20,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_ret60,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_ret120,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_ema60_slope20,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_volatility20,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_drawdown120,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_close,launch_event_panel_field,P0.6 launch event field or derived observable feature
benchmark_ema60,launch_event_panel_field,P0.6 launch event field or derived observable feature
relative_ret20_vs_benchmark,launch_event_panel_field,P0.6 launch event field or derived observable feature
relative_ret60_vs_benchmark,launch_event_panel_field,P0.6 launch event field or derived observable feature
relative_ret120_vs_benchmark,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_target_ret20,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_target_ret60,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_target_ret120,launch_event_panel_field,P0.6 launch event field or derived observable feature
relative_ret20_vs_industry,launch_event_panel_field,P0.6 launch event field or derived observable feature
relative_ret60_vs_industry,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret20_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret20_industry_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_industry_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
volatility20_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
readable_pit_instruments,launch_event_panel_field,P0.6 launch event field or derived observable feature
close_gt_ema60_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
ema20_gt_ema60_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_width_state,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_member_count,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_close_gt_ema60_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_width_state,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_regime_state,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_regime_state,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_cap_bucket,launch_event_panel_field,P0.6 launch event field or derived observable feature
listing_age_bucket,launch_event_panel_field,P0.6 launch event field or derived observable feature
trend_speed_bucket,launch_event_panel_field,P0.6 launch event field or derived observable feature
post_20pct_from_recent_low,launch_event_panel_field,P0.6 launch event field or derived observable feature
post_30pct_from_recent_low,launch_event_panel_field,P0.6 launch event field or derived observable feature
observable_state_stage,launch_event_panel_field,P0.6 launch event field or derived observable feature
feature_eligible,launch_event_panel_field,P0.6 launch event field or derived observable feature
feature_missing_reason,launch_event_panel_field,P0.6 launch event field or derived observable feature
first_feature_eligible_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
year,launch_event_panel_field,P0.6 launch event field or derived observable feature
instrument_year,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
horizon_end_date_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
label_horizon_truncated_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_overlap_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_high_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_high_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_close_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_close_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
horizon_end_date_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
label_horizon_truncated_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_overlap_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_high_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_high_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_close_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_close_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
horizon_end_date_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
label_horizon_truncated_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_overlap_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_high_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_high_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_close_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_close_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_high_gain_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_close_gain_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
horizon_end_date_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
label_horizon_truncated_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_overlap_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_high_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_high_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_50pct_close_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
is_future_100pct_close_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
intraday_50pct_not_close_confirmed_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
intraday_50pct_not_close_confirmed_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_time_to_50pct_high_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_time_to_100pct_high_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_time_to_50pct_close_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_time_to_100pct_close_gain,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_first_50pct_high_gain_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_first_100pct_high_gain_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_50pct_episode_key_240d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_before_gain_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_before_gain_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_in_horizon_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
future_max_drawdown_in_horizon_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
label_horizon_truncated,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_overlap,launch_event_panel_field,P0.6 launch event field or derived observable feature
observed_reference_sample,launch_event_panel_field,P0.6 launch event field or derived observable feature
retrospective_lifecycle_stage,launch_event_panel_field,P0.6 launch event field or derived observable feature
close_location_in_day,launch_event_panel_field,P0.6 launch event field or derived observable feature
body_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
upper_shadow_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
lower_shadow_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
up_day,launch_event_panel_field,P0.6 launch event field or derived observable feature
down_day,launch_event_panel_field,P0.6 launch event field or derived observable feature
up_day_amplitude,launch_event_panel_field,P0.6 launch event field or derived observable feature
down_day_amplitude,launch_event_panel_field,P0.6 launch event field or derived observable feature
median_price20,launch_event_panel_field,P0.6 launch event field or derived observable feature
median_price60,launch_event_panel_field,P0.6 launch event field or derived observable feature
reclaim_median20_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
reclaim_median60_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
first_reclaim_median20_after_drawdown,launch_event_panel_field,P0.6 launch event field or derived observable feature
first_reclaim_median60_after_drawdown,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_from_high20,launch_event_panel_field,P0.6 launch event field or derived observable feature
repair_under20_from_low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
repair_under30_from_low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
higher_low20_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
higher_low60_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
higher_high20_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
higher_high60_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
higher_low_without_high_breakout,launch_event_panel_field,P0.6 launch event field or derived observable feature
false_breakdown_reclaim20,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_speed20,launch_event_panel_field,P0.6 launch event field or derived observable feature
drawdown_speed_slowing20,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret5_universe_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret5_industry_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret20_universe_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret20_industry_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret60_universe_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret60_industry_pctile_p0_5,launch_event_panel_field,P0.6 launch event field or derived observable feature
money5_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money5_industry_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money20_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money20_industry_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money60_universe_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
money60_industry_pctile,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret_rank_jump5_20,launch_event_panel_field,P0.6 launch event field or derived observable feature
ret_rank_jump20_60,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_rank_jump5_20,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_rank_jump20_60,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_ret_rank_jump5_20,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_ret_rank_jump20_60,launch_event_panel_field,P0.6 launch event field or derived observable feature
from_industry_below_median_to_top20,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_top20_industry_lag,launch_event_panel_field,P0.6 launch event field or derived observable feature
stock_leads_industry_lag,launch_event_panel_field,P0.6 launch event field or derived observable feature
isolated_strength_weak_market,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_turn_front_runner,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_width_delta20,launch_event_panel_field,P0.6 launch event field or derived observable feature
market_width_delta20,launch_event_panel_field,P0.6 launch event field or derived observable feature
industry_width_improving_front_runner,launch_event_panel_field,P0.6 launch event field or derived observable feature
early_repair_industry_lag,launch_event_panel_field,P0.6 launch event field or derived observable feature
expansion_volatility_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
destructive_volatility_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
reversal_volatility_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
late_acceleration_volatility_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
failed_high_volatility_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_atr_above_median20,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_atr_break_short_structure,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_vol_relative_strength_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_vol_industry_width_improving,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_vol_drawdown_controlled,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_vol_money_quality_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_vol_false_positive_control,launch_event_panel_field,P0.6 launch event field or derived observable feature
up_day_money_ratio20,launch_event_panel_field,P0.6 launch event field or derived observable feature
down_day_money_ratio20,launch_event_panel_field,P0.6 launch event field or derived observable feature
pullback_volume_contraction,launch_event_panel_field,P0.6 launch event field or derived observable feature
volume_price_hold_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
volume_price_hold_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
volume_spike_failed_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_close_location_score,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_rank_jump_with_ret_rank_jump,launch_event_panel_field,P0.6 launch event field or derived observable feature
high_money_persistence5,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_up_no_return_followthrough,launch_event_panel_field,P0.6 launch event field or derived observable feature
money_industry_width_improve,launch_event_panel_field,P0.6 launch event field or derived observable feature
near_limit_up_like,launch_event_panel_field,P0.6 launch event field or derived observable feature
limit_up_count5,launch_event_panel_field,P0.6 launch event field or derived observable feature
limit_up_count20,launch_event_panel_field,P0.6 launch event field or derived observable feature
near_limit_up_count5,launch_event_panel_field,P0.6 launch event field or derived observable feature
near_limit_up_count20,launch_event_panel_field,P0.6 launch event field or derived observable feature
first_limit_up_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
first_near_limit_up_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
gap_up_close_upper,launch_event_panel_field,P0.6 launch event field or derived observable feature
recent_gap_up_count3,launch_event_panel_field,P0.6 launch event field or derived observable feature
recent_gap_up_count5,launch_event_panel_field,P0.6 launch event field or derived observable feature
gap_up_held_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
gap_up_held_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
strong_body_day,launch_event_panel_field,P0.6 launch event field or derived observable feature
long_upper_shadow_failure,launch_event_panel_field,P0.6 launch event field or derived observable feature
recent_strong_body_count10,launch_event_panel_field,P0.6 launch event field or derived observable feature
strong_day_pullback_hold20,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_row_pos,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ret_1d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ret_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ret_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_day_range,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_body_ret,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_close_location,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_upper_shadow_ratio,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_median20,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_median60,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_ratio_20,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_ratio_60,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ret_rank_20d_market,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ret_rank_20d_market_5d_ago,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_rank_20d_market,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_money_rank_20d_market_5d_ago,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_ema20_1d_ago,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_close_1d_ago,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_median20,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_low60,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_launch_gain_from_recent_low_60d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_low90,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_launch_gain_from_recent_low_90d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_low120,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_launch_gain_from_recent_low_120d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_industry_breadth_20d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_post20_relative_strength_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_post30_relative_strength_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_late_acceleration_flag,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_remaining_rows,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_high_20d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_close_20d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_min_low_20d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_horizon_end_date_20d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_high_60d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_close_60d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_min_low_60d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_horizon_end_date_60d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_high_120d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_close_120d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_min_low_120d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_horizon_end_date_120d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_high_240d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_max_close_240d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_fwd_min_low_240d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_horizon_end_date_240d_inclusive,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_direct_entry_date,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_direct_entry_open,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_date_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_date_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_low_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_high_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ema20_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_median20_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_5d_ago_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_5d_ago_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_ratio_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_location_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_body_ret_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_upper_shadow_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_open_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_close_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_low_min_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_high_max_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_money_median_3d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_date_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_date_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_low_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_high_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ema20_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_median20_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_5d_ago_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_5d_ago_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_ratio_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_location_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_body_ret_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_upper_shadow_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_open_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_close_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_low_min_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_high_max_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_window_money_median_5d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_date_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_entry_date_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_low_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_high_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ema20_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_median20_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_ret_rank_5d_ago_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_rank_5d_ago_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_money_ratio_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
p0_6_signal_close_location_10d,launch_event_panel_field,P0.6 launch event field or derived observable feature
