path,category,allowed_use,exists,is_file,row_count,sha256,used_for_calculation
Explore6/outputs/reports/fold_portfolio_daily.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,1865f623712bc19354ba62c06452ab1280f715e031be119b32b48e5a9ce23952,False
Explore6/outputs/reports/fold_predictions.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,68e59c809c57cb8160437d3f0f8d5bc5986ef0bb350df769ce1a10ea864ce4f1,False
Explore6/outputs/reports/fold_trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,18f4f59612981885c3cb19e63f8e7f9217a6e8b7415b6643ed6baeeef54b3547,False
Explore6/outputs/reports/generated_daily_candidates.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,53eec0a8d091987bc09be3f3200b5b8a1d97e869ded2db9e02e9e9c6b619541d,False
Explore6/outputs/reports/generated_signals.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,c1f192aec0620d7a9888fc0253ef5f09dec9ec2f605b643362d2282eaff78d3d,False
Explore6/outputs/reports/inner_oof_predictions.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,2ba6be21d848c7847bf265a66e20cf066e2038af130de1b5112cafb051daa01f,False
Explore6/outputs/reports/no_model_gate_portfolio_daily.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,92227833d3fcdc02b98b2e7667f0446ae230b349f675e8e0522e3f87ba0763fe,False
Explore6/outputs/reports/no_model_gate_trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,867eb73c70b8211c1341b31685207abdf93d164da28aa4a6dc65fb98e47ac287,False
Explore6/outputs/reports/year_metrics.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,2db89e43561b70226685b677f15868d7efa2c2164821fa88dea7b0a7d2a14a6c,False
Explore7/outputs/cache/stock_signals.pkl,forbidden_result_path,must not enter Explore9 calculation path,True,True,,21f9ee2745a2a81cfb71fee74ce4d9c384cee7952a02d54b18a991b722b924ce,False
Explore7/outputs/reports/fold_portfolio_daily.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,8a7ef887de5c90f768087b66576c02060c421dd8b03ff459312101b7a4e22464,False
Explore7/outputs/reports/fold_trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,fe5396190f035036474b16efcf97bc5b512234dfaa0630989a6540d440617c4c,False
Explore7/outputs/reports/generated_daily_candidates.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,b9ec345daf7029e876e3db158c393c71466c2c6838693dc0e6c4b7381a011902,False
Explore7/outputs/reports/generated_signals.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,1e046edc9cdd9a5d69f637b7b2ffe8ac8862e6ec7a2fd5f4d459967c85d5b44c,False
Explore7/outputs/reports/year_metrics.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,59035631d1248571f8e40c319f3e56fd5715625b7e84ab3464d5b4d1044ab271,False
Explore8/outputs/backtests/rule_portfolio_daily.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,147750c07ee877ac936ef00692f13d82137d929c872b74e0ea95491e39494922,False
Explore8/outputs/backtests/rule_trade_detail.csv,forbidden_result_path,must not enter Explore9 calculation path,True,True,,264ef4143abbb52eba636aa8afe861af9f54d0dac2f7720906b81ac0b2d40edc,False
Explore8/outputs/reports/yearly_big_winner_anchor_profile.csv,schema_reference_audit_only,schema/audit reference only,True,True,3670.0,bf16c009808c08126da060bfce7e5a1d19ba457a2e3bee8ced5c7ac61e7b1ffc,False
Explore8/outputs/reports/yearly_big_winner_cross_year_audit.csv,schema_reference_audit_only,schema/audit reference only,True,True,1348.0,5c9a7fa6be2a491604cc5aa2e54fd8ae5d2267d8e656df65ac427f1fabfb139e,False
Explore8/outputs/reports/yearly_big_winner_episodes.csv,schema_reference_audit_only,schema/audit reference only,True,True,734.0,e9af38710a51b5632c341493f970c8026d80e68ae4faafb2832306836d863fa5,False
Explore8/outputs/reports/yearly_big_winner_industry_summary.csv,schema_reference_audit_only,schema/audit reference only,True,True,167.0,68f48d5d21c2c7b61348adf685cb5826830b91e89531d7c9649801f606dc9a72,False
Explore8/outputs/reports/yearly_big_winner_regime_summary.csv,schema_reference_audit_only,schema/audit reference only,True,True,239.0,bf9f52d28b0415913e59e66caeb4ea554588732b8203eddb5e6ec92a275d1e12,False
Explore8/outputs/reports/yearly_big_winner_rule_miss_attribution.csv,schema_reference_audit_only,schema/audit reference only,True,True,10276.0,a924af37555b80a0e74fd33c158165e3680d27edc3d9f7c56464ea7b7f85f12d,False
Explore8/outputs/reports/yearly_big_winner_year_summary.csv,schema_reference_audit_only,schema/audit reference only,True,True,8.0,8730747fa66ba7cdc8f624bc24881b4074cdd61d5dabab83b174c19ba616ced3,False
Explore1/data/qlib/cn_data,structural_input,fallback_provider_uri,True,False,,,True
Explore7/data/qlib/cn_data_pit,structural_input,provider_uri,True,False,,,True
Explore7/data/targets/industry_targets.csv,structural_input,industry_targets,True,True,31.0,ead7006284342ebf593705c30043a4971833ed515c94e1c9bdaacea334870ceb,True
Explore7/data/targets/market_targets.csv,structural_input,market_targets,True,True,4.0,a52a84b6a75d739bff6153e22f7fccc12e2ee1a2f7da197bf70f097b7a982d06,True
Explore7/data/targets/pit_industry_membership.csv,structural_input,industry_membership,True,True,439140.0,9fefe9fba24993c3f92f667c4059b9e18742a1ee9bb65f713b344c29d80ca2aa,True
Explore7/data/targets/target_history.csv,structural_input,target_history,True,True,86403.0,1e5a39a8545b54f2e9c17ee5e06838c6201d234c579ed6792a84cf1e18544ebc,True
Explore7/data/universe/pit_mcap500_mainboard_daily.csv,structural_input,universe_membership,True,True,439140.0,33e037afb7f75c2f64ff6a7a6f205f164f1ba90d61b09976b670c9d3930a3a80,True
Explore7/data/universe/qlib_pit_mcap500_mainboard.txt,structural_input,universe_qlib,True,True,,64510858d1833d469956abdbd182b60ca40bfb3b89407a42c40e95ba7468106d,True
