target_industry,model_task,fold_id,stable_candidate_id,failure_event_dedup_candidate_id,launch_stratum_event_id,raw_window_hit_count,kept_failure_decision_window,kept_failure_decision_effective_date,duplicate_window_hit_count,dedup_policy,dedup_pass
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001094,3,3,2020-11-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001095,3,3,2020-11-16,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001096,2,3,2020-12-23,1,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001097,1,3,2020-12-31,0,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00001098,1,3,2020-12-31,0,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002062,3,3,2020-03-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002063,3,3,2020-03-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002064,3,3,2020-03-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002065,3,3,2020-03-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
交通运输,industry_failure_reject_score_lgbm,fold_2020,,4d725adbb8d7e691e701,P07LSE_00002066,3,3,2020-05-11,2,merge_3d_5d_10d_for_main_p1_metrics,True
