feature_name,feature_family,source_column,value_type,min_history_trading_days,lookback_window,requires_benchmark_history,requires_industry_history,feature_eligible_rule,warmup_partial_year_handling,p0_5_enabled,p0_5_new,direction_hint,lifecycle_bucket,primary_combo_family,sparse_diagnostic,generalizable_entry_lead,path_explanation_only,category_id,human_readable_definition,formula_or_bin,required_columns,feature_eligible_rule_detail,close_location_rule,trend_or_drawdown_context,evaluation_only_false_positive_definition,diagnostic_only_not_p1_ready
volatility10,volatility_compression_expansion,volatility10,continuous,10,10d,False,False,available_history_trading_days >= 10 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: volatility10,volatility10,volatility10,volatility10 not missing and PIT member on T date,,,,False
volatility20,volatility_compression_expansion,volatility20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: volatility20,volatility20,volatility20,volatility20 not missing and PIT member on T date,,,,False
volatility60,volatility_compression_expansion,volatility60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: volatility60,volatility60,volatility60,volatility60 not missing and PIT member on T date,,,,False
atr20_pct,volatility_compression_expansion,atr20_pct,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: atr20_pct,atr20_pct,atr20_pct,atr20_pct not missing and PIT member on T date,,,,False
amplitude20,volatility_compression_expansion,amplitude20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: amplitude20,amplitude20,amplitude20,amplitude20 not missing and PIT member on T date,,,,False
narrow_range10,volatility_compression_expansion,narrow_range10,boolean,10,10d,False,False,available_history_trading_days >= 10 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: narrow_range10,narrow_range10,narrow_range10,narrow_range10 not missing and PIT member on T date,,,,False
range_expansion20,volatility_compression_expansion,range_expansion20,continuous,40,20d_vs_prior20d,False,False,available_history_trading_days >= 40 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,volatility_compression_expansion,False,True,False,,P0 inherited primitive: range_expansion20,range_expansion20,range_expansion20,range_expansion20 not missing and PIT member on T date,,,,False
drawdown_from_high60,drawdown_repair_base,drawdown_from_high60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: drawdown_from_high60,drawdown_from_high60,drawdown_from_high60,drawdown_from_high60 not missing and PIT member on T date,,,,False
drawdown_from_high120,drawdown_repair_base,drawdown_from_high120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: drawdown_from_high120,drawdown_from_high120,drawdown_from_high120,drawdown_from_high120 not missing and PIT member on T date,,,,False
drawdown_from_high240,drawdown_repair_base,drawdown_from_high240,continuous,240,240d,False,False,available_history_trading_days >= 240 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,low,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: drawdown_from_high240,drawdown_from_high240,drawdown_from_high240,drawdown_from_high240 not missing and PIT member on T date,,,,False
repair_from_low60,drawdown_repair_base,repair_from_low60,continuous,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: repair_from_low60,repair_from_low60,repair_from_low60,repair_from_low60 not missing and PIT member on T date,,,,False
repair_from_low120,drawdown_repair_base,repair_from_low120,continuous,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: repair_from_low120,repair_from_low120,repair_from_low120,repair_from_low120 not missing and PIT member on T date,,,,False
repair_from_low240,drawdown_repair_base,repair_from_low240,continuous,240,240d,False,False,available_history_trading_days >= 240 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: repair_from_low240,repair_from_low240,repair_from_low240,repair_from_low240 not missing and PIT member on T date,,,,False
ema60_reclaim_flag,drawdown_repair_base,ema60_reclaim_flag,boolean,60,60d,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,drawdown_repair_base,False,True,False,,P0 inherited primitive: ema60_reclaim_flag,ema60_reclaim_flag,ema60_reclaim_flag,ema60_reclaim_flag not missing and PIT member on T date,,,,False
trend_age_close_above_ema60,trend_age_stage,trend_age_close_above_ema60,continuous,60,state_age,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,trend_age_stage,False,True,False,,P0 inherited primitive: trend_age_close_above_ema60,trend_age_close_above_ema60,trend_age_close_above_ema60,trend_age_close_above_ema60 not missing and PIT member on T date,,,,False
trend_speed20,trend_age_stage,trend_speed20,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,trend_age_stage,False,True,False,,P0 inherited primitive: trend_speed20,trend_speed20,trend_speed20,trend_speed20 not missing and PIT member on T date,,,,False
market_width_state,market_industry_regime,market_width_state,categorical,60,market_width,False,False,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,market_industry_regime,False,True,False,,P0 inherited primitive: market_width_state,market_width_state,market_width_state,market_width_state not missing and PIT member on T date,,,,False
industry_width_state,market_industry_regime,industry_width_state,categorical,60,industry_width,False,True,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,market_industry_regime,False,True,False,,P0 inherited primitive: industry_width_state,industry_width_state,industry_width_state,industry_width_state not missing and PIT member on T date,,,,False
market_regime_state,market_industry_regime,market_regime_state,categorical,120,benchmark_state,True,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,market_industry_regime,False,True,False,,P0 inherited primitive: market_regime_state,market_regime_state,market_regime_state,market_regime_state not missing and PIT member on T date,,,,False
industry_regime_state,market_industry_regime,industry_regime_state,categorical,60,industry_state,True,True,available_history_trading_days >= 60 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,market_industry_regime,False,True,False,,P0 inherited primitive: industry_regime_state,industry_regime_state,industry_regime_state,industry_regime_state not missing and PIT member on T date,,,,False
market_cap_bucket,industry_style_layer,market_cap_bucket,categorical,1,asof_T_market_cap,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,industry_style_layer,False,True,False,,P0 inherited primitive: market_cap_bucket,market_cap_bucket,market_cap_bucket,market_cap_bucket not missing and PIT member on T date,,,,False
listing_age_bucket,industry_style_layer,listing_age_bucket,categorical,1,asof_T_listing_age,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,industry_style_layer,False,True,False,,P0 inherited primitive: listing_age_bucket,listing_age_bucket,listing_age_bucket,listing_age_bucket not missing and PIT member on T date,,,,False
trend_speed_bucket,industry_style_layer,trend_speed_bucket,categorical,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,industry_style_layer,False,True,False,,P0 inherited primitive: trend_speed_bucket,trend_speed_bucket,trend_speed_bucket,trend_speed_bucket not missing and PIT member on T date,,,,False
observable_state_stage,lifecycle_observable_stage,observable_state_stage,categorical,20,observable_state,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,lifecycle_observable_stage,False,True,False,,P0 inherited primitive: observable_state_stage,observable_state_stage,observable_state_stage,observable_state_stage not missing and PIT member on T date,,,,False
post_20pct_from_recent_low,lifecycle_observable_stage,post_20pct_from_recent_low,boolean,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,hold_exit_tolerance,lifecycle_observable_stage,False,True,False,,P0 inherited primitive: post_20pct_from_recent_low,post_20pct_from_recent_low,post_20pct_from_recent_low,post_20pct_from_recent_low not missing and PIT member on T date,,,,False
post_30pct_from_recent_low,lifecycle_observable_stage,post_30pct_from_recent_low,boolean,120,120d,False,False,available_history_trading_days >= 120 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,hold_exit_tolerance,lifecycle_observable_stage,False,True,False,,P0 inherited primitive: post_30pct_from_recent_low,post_30pct_from_recent_low,post_30pct_from_recent_low,post_30pct_from_recent_low not missing and PIT member on T date,,,,False
cross_section_money_anomaly,cross_section_anomaly_leadership,money_universe_pctile,continuous,20,daily_cross_section,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,cross_section_anomaly_leadership,False,True,False,,P0 inherited primitive: cross_section_money_anomaly,money_universe_pctile,money_universe_pctile,money_universe_pctile not missing and PIT member on T date,,,,False
cross_section_return_anomaly,cross_section_anomaly_leadership,ret20_universe_pctile,continuous,20,daily_cross_section,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,False,high,early_entry_discovery,cross_section_anomaly_leadership,False,True,False,,P0 inherited primitive: cross_section_return_anomaly,ret20_universe_pctile,ret20_universe_pctile,ret20_universe_pctile not missing and PIT member on T date,,,,False
close_location_in_day,price_intraday_structure,close_location_in_day,continuous,1,1d,False,False,available_history_trading_days >= 1 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,close_location_in_day,Close location within the daily range.,close_location_in_day,close_location_in_day,close_location_in_day not missing and PIT member on T date,,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
up_day_amplitude,volatility_decomposition,up_day_amplitude,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,up_day_amplitude,Daily amplitude on up days.,up_day_amplitude,up_day_amplitude,up_day_amplitude not missing and PIT member on T date,close > prev_close,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
down_day_amplitude,volatility_decomposition,down_day_amplitude,continuous,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,low,early_entry_discovery,high_volatility_decomposition,False,True,False,down_day_amplitude,Daily amplitude on down days.,down_day_amplitude,down_day_amplitude,down_day_amplitude not missing and PIT member on T date,close < prev_close,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
expansion_volatility_flag,volatility_decomposition,expansion_volatility_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,expansion_volatility_flag,High amplitude with upper close and positive 20d return.,expansion_volatility_flag,expansion_volatility_flag,expansion_volatility_flag not missing and PIT member on T date,close_location >= 0.60,upward expansion,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
destructive_volatility_flag,volatility_decomposition,destructive_volatility_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,low,early_entry_discovery,high_volatility_decomposition,False,True,False,destructive_volatility_flag,High amplitude with lower close and existing drawdown.,destructive_volatility_flag,destructive_volatility_flag,destructive_volatility_flag not missing and PIT member on T date,close_location <= 0.40,drawdown damage,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
reversal_volatility_flag,volatility_decomposition,reversal_volatility_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,reversal_volatility_flag,High intraday range with lower shadow and upper-half close.,reversal_volatility_flag,reversal_volatility_flag,reversal_volatility_flag not missing and PIT member on T date,lower_shadow >= 0.45,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
late_acceleration_volatility_flag,volatility_decomposition,late_acceleration_volatility_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,hold_exit_tolerance,high_volatility_decomposition,False,True,False,late_acceleration_volatility_flag,High volatility while already in late acceleration state.,late_acceleration_volatility_flag,late_acceleration_volatility_flag,late_acceleration_volatility_flag not missing and PIT member on T date,,late lifecycle,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,True
failed_high_volatility_flag,volatility_decomposition,failed_high_volatility_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,low,early_entry_discovery,high_volatility_decomposition,False,True,False,failed_high_volatility_flag,High volatility with weak return and lower close.,failed_high_volatility_flag,failed_high_volatility_flag,failed_high_volatility_flag not missing and PIT member on T date,close_location <= 0.45,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
high_atr_above_median20,volatility_decomposition,high_atr_above_median20,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,high_atr_above_median20,High ATR while close remains above 20d median price.,high_atr_above_median20,high_atr_above_median20,high_atr_above_median20 not missing and PIT member on T date,close > median20,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
high_atr_break_short_structure,volatility_decomposition,high_atr_break_short_structure,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,low,early_entry_discovery,high_volatility_decomposition,False,True,False,high_atr_break_short_structure,High ATR with close breaking short-term structure.,high_atr_break_short_structure,high_atr_break_short_structure,high_atr_break_short_structure not missing and PIT member on T date,,structure break,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
high_vol_relative_strength_flag,volatility_decomposition,high_vol_relative_strength_flag,boolean,20,20d,False,False,available_history_trading_days >= 20 and provider_required_fields_ok and value_not_missing,mark_warmup_partial_year_and_exclude_from_p0_5_lift_denominator,True,True,high,early_entry_discovery,high_volatility_decomposition,False,True,False,high_vol_relative_strength_flag,High amplitude combined with top-quintile market relative return.,high_vol_relative_strength_flag,high_vol_relative_strength_flag,high_vol_relative_strength_flag not missing and PIT member on T date,,,evaluation_only: target forward label miss and/or adverse future drawdown; never used as T-day feature,False
