feature_name,feature_family,feature_role,lookback_days,min_history_trading_days,observable_date,uses_future_data,required_fields,raw_required_field_exempt,feature_eligible_rule,formula_text,formula_text_resolved,thresholds,used_in_launch_stratification,used_in_failure_filter,used_in_hold_gate,used_in_add_on_gate,phase
industry_breadth_20d_at_stratum,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
market_regime,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
ema20,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,True,False,False,p0_8_reused_from_p0_7
ema20_5d_ago,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
median20,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,True,False,False,p0_8_reused_from_p0_7
low20,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
low60,p0_7_derived,derived_feature,60,60,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
low90,p0_7_derived,derived_feature,90,90,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
low120,p0_7_derived,derived_feature,120,120,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
stratum_low_at_signal,p0_7_derived,formula_macro,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
stratum_close_at_signal,p0_7_derived,formula_macro,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
stratum_date,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
invalidation_reference_price,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
launch_gain_from_recent_low_90d,p0_7_derived,derived_feature,90,90,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
max_drawdown_20d,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
close_location_5d_median,p0_7_derived,derived_feature,5,5,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
late_acceleration_flag,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
post_20pct_relative_strength,p0_7_derived,derived_feature,20,20,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
post_30pct_relative_strength,p0_7_derived,derived_feature,30,30,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,False,False,False,p0_8_reused_from_p0_7
prior_close,p0_7_derived,derived_feature,0,1,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,False,True,False,False,p0_8_reused_from_p0_7
first_occurrence_in_60d,p0_7_derived,derived_feature,60,60,same_day_or_prior,False,open;high;low;close;money;industry;benchmark,False,p0_7_available_for_stratum,,,,True,False,False,False,p0_8_reused_from_p0_7
q40_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q40_market(feature, date)","cross_section_quantile(feature, 0.40, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
q50_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q50_market(feature, date)","cross_section_quantile(feature, 0.50, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
q60_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q60_market(feature, date)","cross_section_quantile(feature, 0.60, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
q70_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q70_market(feature, date)","cross_section_quantile(feature, 0.70, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
q80_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q80_market(feature, date)","cross_section_quantile(feature, 0.80, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
q90_market,cross_section_quantile,quantile_alias,0,0,same_day,False,"feature,date,PIT universe",False,resolved per formula feature on PIT universe,"q90_market(feature, date)","cross_section_quantile(feature, 0.90, date, PIT universe)",,True,True,False,False,p0_8_reused_from_p0_7
ret_rank_20d_market,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,ret_rank_20d_market,ret_rank_20d_market,,True,True,False,False,p0_8
ret_rank_20d_industry,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,ret_rank_20d_industry,ret_rank_20d_industry,,True,True,False,False,p0_8
relative_ret20_vs_benchmark,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,relative_ret20_vs_benchmark,relative_ret20_vs_benchmark,,True,True,False,False,p0_8
relative_ret20_vs_industry,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,relative_ret20_vs_industry,relative_ret20_vs_industry,,True,True,False,False,p0_8
money_ratio_20,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,money_ratio_20,money_ratio_20,,True,True,False,False,p0_8
atr20_pct,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,atr20_pct,atr20_pct,,True,True,False,False,p0_8
prelaunch_drawdown_120d,p0_8_model_feature,lgbm_or_gate_input,120,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,prelaunch_drawdown_120d,prelaunch_drawdown_120d,,True,True,False,False,p0_8
launch_gain_from_recent_low_60d,p0_8_model_feature,lgbm_or_gate_input,60,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,launch_gain_from_recent_low_60d,launch_gain_from_recent_low_60d,,True,True,False,False,p0_8
launch_gain_from_recent_low_120d,p0_8_model_feature,lgbm_or_gate_input,120,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,launch_gain_from_recent_low_120d,launch_gain_from_recent_low_120d,,True,True,False,False,p0_8
close_location,p0_8_model_feature,lgbm_or_gate_input,0,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,close_location,close_location,,True,True,False,False,p0_8
upper_shadow_pct,p0_8_model_feature,lgbm_or_gate_input,0,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,upper_shadow_pct,upper_shadow_pct,,True,True,False,False,p0_8
lower_shadow_pct,p0_8_model_feature,lgbm_or_gate_input,0,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,lower_shadow_pct,lower_shadow_pct,,True,True,False,False,p0_8
rolling_range_20d,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,rolling_range_20d,rolling_range_20d,,True,True,False,False,p0_8
higher_low_count_20d,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,higher_low_count_20d,higher_low_count_20d,,True,True,False,False,p0_8
industry_breadth_20d,p0_8_model_feature,lgbm_or_gate_input,20,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,industry_breadth_20d,industry_breadth_20d,,True,True,False,False,p0_8
failure_decision_window,p0_8_model_feature,lgbm_or_gate_input,0,0,feature_asof_date_or_prior,False,open;high;low;close;money;industry;benchmark,False,sample_has_required_features,failure_decision_window,failure_decision_window,,True,True,False,False,p0_8
