feature_name,bin_value,horizon,positive_label,year,stock_day_count,positive_rate,year_baseline_positive_rate,lift_vs_year_baseline
industry_width_state,industry_width_strong,120d,future_50pct_high_120d,2021,22097,0.13544825089378648,0.1295666870971936,1.0453941049845696
industry_width_state,industry_width_strong,120d,future_50pct_high_120d,2022,15204,0.07359905288082083,0.08015773780898336,0.9181777691407418
industry_width_state,industry_width_strong,120d,future_50pct_high_120d,2023,17888,0.053275939177101966,0.0463989327264523,1.1482147550934731
industry_width_state,industry_width_strong,120d,future_50pct_high_120d,2024,13848,0.04982668977469671,0.09692621210834677,0.5140682658577338
limit_up_like,true,120d,future_50pct_high_120d,2017,52,0.15384615384615385,0.1256767653496141,1.2241415779454277
limit_up_like,true,120d,future_50pct_high_120d,2018,100,0.18,0.09457669920852453,1.903217193096711
limit_up_like,true,120d,future_50pct_high_120d,2019,213,0.2535211267605634,0.12138312586445367,2.088602719324149
limit_up_like,true,120d,future_50pct_high_120d,2020,451,0.3858093126385809,0.2938826628662737,1.3128005200297812
limit_up_like,true,120d,future_50pct_high_120d,2021,757,0.2562747688243065,0.12956428067308048,1.9779739253208588
limit_up_like,true,120d,future_50pct_high_120d,2022,296,0.18243243243243243,0.08015773780898336,2.275917926565875
limit_up_like,true,120d,future_50pct_high_120d,2023,191,0.18324607329842932,0.0463989327264523,3.949359662619129
limit_up_like,true,120d,future_50pct_high_120d,2024,76,0.10526315789473684,0.09692621210834677,1.0860133250340043
listing_age_bucket,listing_mature,120d,future_50pct_high_120d,2020,39433,0.3029695939948774,0.2938826628662737,1.0309202694707396
listing_age_bucket,listing_mature,120d,future_50pct_high_120d,2021,49697,0.13175845624484375,0.12956428067308048,1.0169350345663528
listing_age_bucket,listing_mature,120d,future_50pct_high_120d,2022,48374,0.08115930045065531,0.08015773780898336,1.0124948965508318
listing_age_bucket,listing_mature,120d,future_50pct_high_120d,2023,12363,0.07854080724743186,0.0463989327264523,1.6927287468113528
listing_age_bucket,listing_mature,120d,future_50pct_high_120d,2024,1973,0.1368474404460213,0.09692621210834677,1.4118723663011763
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2017,6173,0.13510448728333063,0.1256767653496141,1.075015631628408
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2018,12076,0.1503809208347135,0.09457669920852453,1.590041966924123
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2019,12573,0.18285214348206474,0.12138312586445367,1.5064049651040656
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2020,16608,0.33845134874759153,0.2938826628662737,1.1516546959478113
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2021,15389,0.2100201442588862,0.12956428067308048,1.620972564103634
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2022,14945,0.14071595851455337,0.08015773780898336,1.755488145759313
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2023,15094,0.06731151450907645,0.0463989327264523,1.4507125606943492
market_cap_bucket,cap_50_80b,120d,future_50pct_high_120d,2024,6949,0.11037559361059145,0.09692621210834677,1.138758971486584
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2017,16845,0.12763431285247848,0.1264121429812873,1.0096681366391524
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2018,3977,0.03972843852149862,0.09457669920852453,0.4200658180500103
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2019,21898,0.10480409169787196,0.12138312586445367,0.8634156597260874
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2020,34613,0.27486782422789124,0.2938826628662737,0.9352978550931573
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2021,14217,0.1375817683055497,0.12956428067308048,1.0618803854798462
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2022,6085,0.04979457682826623,0.08015773780898336,0.6212073617512407
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2023,11969,0.059904753947698224,0.0463989327264523,1.2910804285277488
market_regime_state,market_trend_on,120d,future_50pct_high_120d,2024,12289,0.092277646675889,0.09692621210834677,0.9520401619815548
market_width_state,width_neutral,120d,future_50pct_high_120d,2017,5138,0.08875048657065006,0.12582896026757395,0.7053263921272424
market_width_state,width_neutral,120d,future_50pct_high_120d,2018,8435,0.10669828097213989,0.09457669920852453,1.1281666823335572
market_width_state,width_neutral,120d,future_50pct_high_120d,2019,11853,0.1378553952585843,0.12138312586445367,1.1357047717861948
market_width_state,width_neutral,120d,future_50pct_high_120d,2020,19229,0.29580321389567843,0.2938826628662737,1.006535094689402
market_width_state,width_neutral,120d,future_50pct_high_120d,2021,37898,0.1262863475645153,0.12956428067308048,0.9747003333670632
market_width_state,width_neutral,120d,future_50pct_high_120d,2022,18393,0.062088838144946444,0.08015773780898336,0.7745832135745239
market_width_state,width_neutral,120d,future_50pct_high_120d,2023,20638,0.03217366023839519,0.0463989327264523,0.6934137995819202
market_width_state,width_neutral,120d,future_50pct_high_120d,2024,5144,0.14035769828926906,0.09692621210834677,1.4480881408258621
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2017,3119,0.23244629689002885,0.1256767653496141,1.8495566483064532
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2018,6324,0.12776723592662872,0.0945912647076942,1.350729756298902
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2019,6263,0.13523870349672681,0.1215108551174125,1.1129763128244756
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2020,6327,0.3328591749644381,0.29138181739262536,1.1423471029969028
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2021,6154,0.11569710757231069,0.1295666870971936,0.8929541239680017
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2022,6262,0.0633982753114021,0.08015773780898336,0.790918968577691
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2023,5897,0.04510768187213837,0.0463989327264523,0.9721706776764334
money_industry_pctile,p90_100,120d,future_50pct_high_120d,2024,3097,0.07749434937035841,0.09692621210834677,0.7995190122949725
money_ratio20,p90_100,120d,future_50pct_high_120d,2017,1688,0.09834123222748815,0.12575097184591824,0.7820315881771869
money_ratio20,p90_100,120d,future_50pct_high_120d,2018,3173,0.09486290576741255,0.0938094495555902,1.0112297451569427
money_ratio20,p90_100,120d,future_50pct_high_120d,2019,3551,0.1255984229794424,0.12136871508379889,1.0348500673565104
money_ratio20,p90_100,120d,future_50pct_high_120d,2020,4562,0.27115300306882945,0.2933663495373387,0.9242812050409278
money_ratio20,p90_100,120d,future_50pct_high_120d,2021,5273,0.15399203489474683,0.12946803938788093,1.18942123185625
money_ratio20,p90_100,120d,future_50pct_high_120d,2022,5132,0.09177708495713172,0.08018986242692033,1.1444973489107952
money_ratio20,p90_100,120d,future_50pct_high_120d,2023,5040,0.0630952380952381,0.046426257827683004,1.3590420819490587
money_ratio20,p90_100,120d,future_50pct_high_120d,2024,1946,0.09815005138746145,0.0967728237791932,1.0142315533895205
money_ratio5,p90_100,120d,future_50pct_high_120d,2017,1714,0.11551925320886815,0.12577486819998843,0.9184605387555379
money_ratio5,p90_100,120d,future_50pct_high_120d,2018,3215,0.09984447900466563,0.09453950213107666,1.0561138651463782
money_ratio5,p90_100,120d,future_50pct_high_120d,2019,3601,0.11718966953623994,0.12135330005546312,0.9656900099352861
money_ratio5,p90_100,120d,future_50pct_high_120d,2020,4606,0.2742075553625706,0.29365079365079366,0.9337878912346997
money_ratio5,p90_100,120d,future_50pct_high_120d,2021,5327,0.14097991364745635,0.12947084534548498,1.0888931270299513
money_ratio5,p90_100,120d,future_50pct_high_120d,2022,5214,0.08707326428845416,0.08021637438158123,1.0854799280039185
money_ratio5,p90_100,120d,future_50pct_high_120d,2023,5083,0.05646271886681094,0.04640348467605855,1.2167775601547086
money_ratio5,p90_100,120d,future_50pct_high_120d,2024,1914,0.10501567398119123,0.0967728237791932,1.0851773243778207
money_ratio60,p80_90,120d,future_50pct_high_120d,2017,1618,0.09641532756489493,0.1261702523405047,0.7641684610782261
money_ratio60,p80_90,120d,future_50pct_high_120d,2018,3117,0.10298363811357074,0.0913666772857598,1.1271465831188932
money_ratio60,p80_90,120d,future_50pct_high_120d,2019,3508,0.14082098061573547,0.12093698411794843,1.1644161762657685
money_ratio60,p80_90,120d,future_50pct_high_120d,2020,4525,0.3129281767955801,0.2938402203856749,1.0649603256656002
money_ratio60,p80_90,120d,future_50pct_high_120d,2021,5209,0.14378959493184873,0.12942910595838766,1.1109525470884274
money_ratio60,p80_90,120d,future_50pct_high_120d,2022,5081,0.07636292068490455,0.07968731769921829,0.9582819812449735
money_ratio60,p80_90,120d,future_50pct_high_120d,2023,5061,0.05295396166765461,0.04657528851077238,1.1369540234926705
money_ratio60,p80_90,120d,future_50pct_high_120d,2024,2662,0.07287753568745305,0.09627395165059269,0.7569808285417398
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2017,1613,0.0731556106633602,0.1261702523405047,0.5798166311495511
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2018,3087,0.11694201490119857,0.0913666772857598,1.2799197516557264
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2019,3419,0.09242468558057912,0.12093698411794843,0.7642383862527811
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2020,4456,0.28837522441651703,0.2938402203856749,0.9814014706292252
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2021,5194,0.1765498652291105,0.12942910595838766,1.364066172919965
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2022,4910,0.0814663951120163,0.07968731769921829,1.0223257284115546
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2023,5020,0.07450199203187251,0.04657528851077238,1.5996034466784026
money_regime_shift60,p90_100,120d,future_50pct_high_120d,2024,1125,0.044444444444444446,0.09627395165059269,0.4616455820339315
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2017,1740,0.1781609195402299,0.1256767653496141,1.417612229632205
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2018,3291,0.1440291704649043,0.09457669920852453,1.5228821863125717
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2019,3568,0.20571748878923768,0.12138312586445367,1.6947783089632957
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2020,4647,0.3563589412524209,0.2938826628662737,1.2125891938531128
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2021,5717,0.1311876858492216,0.12956428067308048,1.0125297278517476
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2022,5283,0.06738595494983911,0.08015773780898336,0.8406668749861738
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2023,5246,0.0758673274876096,0.0463989327264523,1.635109323201247
money_universe_pctile,p90_100,120d,future_50pct_high_120d,2024,2486,0.12349155269509252,0.09692621210834677,1.274077981682089
narrow_range10,false,120d,future_50pct_high_120d,2017,9266,0.14936326354413987,0.1256767653496141,1.188471577293014
narrow_range10,false,120d,future_50pct_high_120d,2018,21738,0.10828963106081516,0.09457669920852453,1.1449927092724614
narrow_range10,false,120d,future_50pct_high_120d,2019,21158,0.16622554116646185,0.12138312586445367,1.3694287404666352
narrow_range10,false,120d,future_50pct_high_120d,2020,32956,0.3509831290205122,0.2938826628662737,1.194296817639158
narrow_range10,false,120d,future_50pct_high_120d,2021,40995,0.1460909867056958,0.12956428067308048,1.1275560358669832
narrow_range10,false,120d,future_50pct_high_120d,2022,36989,0.08853983616750925,0.08015773780898336,1.104570046356604
narrow_range10,false,120d,future_50pct_high_120d,2023,25837,0.04934783450090955,0.0463989327264523,1.0635553794274253
narrow_range10,false,120d,future_50pct_high_120d,2024,13154,0.09996959099893568,0.09692621210834677,1.0313989252689142
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2017,51,0.19607843137254902,0.1256767653496141,1.5601804424794665
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2018,416,0.07692307692307693,0.09457669920852453,0.8133406808105603
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2019,962,0.15384615384615385,0.12138312586445367,1.2674426758291846
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2020,2798,0.6022158684774839,0.2938826628662737,2.049171130423274
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2021,1378,0.18940493468795355,0.12956428067308048,1.4618607358756874
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2022,82,0.0,0.08015773780898336,0.0
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2023,178,0.02247191011235955,0.0463989327264523,0.4843195477112383
observable_state_stage,observable_late_acceleration_risk,120d,future_50pct_high_120d,2024,102,0.0,0.09692621210834677,0.0
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2017,7844,0.17134115247322795,0.1264121429812873,1.3554168803118183
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2018,8303,0.1023726363964832,0.09457669920852453,1.0824297871801387
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2019,17189,0.15620454942114143,0.12138312586445367,1.2868720286176532
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2020,24631,0.3964516259997564,0.2938826628662737,1.349013317536717
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2021,26080,0.1740414110429448,0.12956428067308048,1.3432823471006643
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2022,19022,0.07407212701082956,0.08015773780898336,0.9240795590731881
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2023,16051,0.0547629431188088,0.0463989327264523,1.1802629909973799
post_20pct_from_recent_low,true,120d,future_50pct_high_120d,2024,10578,0.06929476271506901,0.09692621210834677,0.7149228388045272
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2017,5169,0.1868833430063842,0.1264121429812873,1.4783654370454617
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2018,4477,0.10654456109001563,0.09457669920852453,1.1265413360970034
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2019,12055,0.1790128577353795,0.12138312586445367,1.4747754802037303
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2020,19058,0.4275894637422605,0.2938826628662737,1.4549666168528894
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2021,19899,0.18553696165636463,0.12956428067308048,1.4320070369125553
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2022,11326,0.08202366236976867,0.08015773780898336,1.0232781589374669
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2023,8694,0.05935127674258109,0.0463989327264523,1.2791517661082878
post_30pct_from_recent_low,true,120d,future_50pct_high_120d,2024,5897,0.07546209937256232,0.09692621210834677,0.7785520318096071
range_expansion20,p20_40,120d,future_50pct_high_120d,2017,3269,0.15845824411134904,0.12575464863559527,1.2600587400193881
range_expansion20,p20_40,120d,future_50pct_high_120d,2018,6335,0.09834254143646409,0.09294113938018222,1.0581163744312092
range_expansion20,p20_40,120d,future_50pct_high_120d,2019,7113,0.12048362153802897,0.12157703262923376,0.991006433801199
range_expansion20,p20_40,120d,future_50pct_high_120d,2020,9089,0.31895698096600283,0.2933741526350317,1.0872020527411532
range_expansion20,p20_40,120d,future_50pct_high_120d,2021,10563,0.12742592066647732,0.12931892907468295,0.9853617067373609
range_expansion20,p20_40,120d,future_50pct_high_120d,2022,10266,0.07179037599844146,0.08004880788673471,0.8968325437153475
range_expansion20,p20_40,120d,future_50pct_high_120d,2023,10243,0.04891145172312799,0.046479177721439384,1.052330400857472
range_expansion20,p20_40,120d,future_50pct_high_120d,2024,4520,0.12278761061946902,0.0967728237791932,1.2688232690164527
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2017,1741,0.2176909821941413,0.1264121429812873,1.7220733472287224
relative_ret120_vs_benchmark,p90_100,120d,future_50pct_high_120d,2018,3156,0.06242078580481622,0.09457669920852453,0.660001737501852
