fold_id,model_task,leaf_rule_stable_candidate_id,canonical_train_extracted_leaf_rule,train_leaf_event_count,train_leaf_positive_rate,validation_leaf_event_count,validation_leaf_positive_rate,single_fold_diagnostic_only
fold_2022,failure_reject_score_lgbm,c64d289350494562d2ab,tree_8_leaf_5,55,0.7818181818181819,15,0.6666666666666666,True
fold_2023,failure_reject_score_lgbm,dd59388d74b1e810a169,tree_8_leaf_17,135,0.9629629629629629,2,0.5,True
fold_2023,failure_reject_score_lgbm,6af36a38cb8909a1e57b,tree_1_leaf_28,777,0.7722007722007722,23,0.17391304347826086,True
fold_2023,failure_reject_score_lgbm,f426acdf6c8913f6e5c2,tree_0_leaf_27,845,0.749112426035503,23,0.17391304347826086,True
fold_2023,failure_reject_score_lgbm,3eaa515b7fa6403d931e,tree_14_leaf_2,181,0.7458563535911602,61,0.5409836065573771,True
fold_2023,failure_reject_score_lgbm,13714c0eafcb8d6d1581,tree_19_leaf_17,121,0.71900826446281,0,,True
fold_2024,failure_reject_score_lgbm,395962eccb5b15aeac2e,tree_1_leaf_9,288,0.7951388888888888,0,,True
fold_2024,failure_reject_score_lgbm,47112430f333984f614e,tree_11_leaf_2,153,0.7254901960784313,0,,True
fold_2024,failure_reject_score_lgbm,7919bb628106d72a5800,tree_4_leaf_29,1859,0.6939214631522324,0,,True
fold_2024,failure_reject_score_lgbm,2970978d57ee02bf521c,tree_4_leaf_30,154,0.6883116883116883,3,0.0,True
fold_2024,failure_reject_score_lgbm,fb76e8d86518fe5e43b6,tree_16_leaf_14,4078,0.6758214811181952,0,,True
