lead_id,lead_name,feature_family,observable_state_stage,formula_or_bin,direction,horizon,positive_label,baseline_scope,baseline_sample_count,baseline_positive_rate,lead_positive_rate,lift_vs_baseline,global_lift,industry_relative_lift,stock_day_count,unique_instrument_count,unique_instrument_year_count,unique_episode_count,positive_stock_day_count,positive_unique_instrument_count,positive_unique_instrument_year_count,positive_unique_episode_count,lead_future_50pct_precision,lead_future_100pct_precision,episode_dedup_lift,instrument_year_dedup_lift,year_positive_lift_count,distinct_year_count,distinct_industry_count,industry_concentration_top1,avg_lead_time_to_50pct,median_lead_time_to_50pct,avg_future_max_gain,avg_future_drawdown_before_gain,turnover_proxy,market_regime_dependency,industry_regime_dependency,label_horizon_truncated_rate,observed_reference_overlap_rate,duplicate_positive_risk,sparse_bin,failure_reason,recommended_next_phase,feature_name,bin_value,lead_type
uni_ret5_p40_60,ret5,price_state,mixed_observable_state,ret5 == p40_60,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.10007057163020466,0.8013591500921308,0.8013591500921308,,63765,325,1706,1706,6381,233,656,2112,0.10007057163020466,0.05090566925429311,0.44929497031739923,0.8123901816413223,0,8,29,0.1888496824276641,70.4754740636264,71.0,0.22237163720467865,-0.06380306761694467,372611104.0,market_trend_on,industry_lagging,0.10518165981623381,0.06343007434901912,False,False,lift_not_above_baseline,drop,ret5,p40_60,univariate_primitive
uni_ret5_p40_60,ret5,price_state,mixed_observable_state,ret5 == p40_60,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.05534293927796688,0.7682559891569671,0.7682559891569671,,56701,283,1480,1480,3138,139,265,953,0.10266132872436112,0.05534293927796688,0.4896941141990647,0.8751945126945126,1,8,28,0.19747447134971163,96.87189292543022,86.0,0.3459914177103902,-0.0669252499296496,365115968.0,market_trend_on,industry_lagging,0.19257876100149154,0.12343303464687062,False,False,lift_not_above_baseline,drop,ret5,p40_60,univariate_primitive
uni_ret5_p60_80,ret5,price_state,mixed_observable_state,ret5 == p60_80,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.11814146010079467,0.9460697437291391,0.9460697437291391,,63297,325,1722,1722,7478,244,662,2450,0.11814146010079467,0.0625148111284895,0.5163564508971558,0.8122031991131833,2,8,29,0.12863168870562586,68.55696710350361,69.0,0.2442013773725607,-0.06529149895647968,498844192.0,market_trend_on,industry_lagging,0.10904267431798516,0.06513868014756115,False,False,lift_not_above_baseline,drop,ret5,p60_80,univariate_primitive
uni_ret5_p60_80,ret5,price_state,mixed_observable_state,ret5 == p60_80,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.0687862820398321,0.9548729040848064,0.9548729040848064,,55985,286,1519,1519,3851,140,273,1142,0.124694114494954,0.0687862820398321,0.5717445439644124,0.8784666945957268,2,8,28,0.12962400643029384,89.89093741885225,80.0,0.3809026895925735,-0.06830747477931551,498306048.0,market_trend_on,industry_lagging,0.20056246299585553,0.12456164321173202,False,False,lift_not_above_baseline,drop,ret5,p60_80,univariate_primitive
uni_ret5_p80_90,ret5,price_state,mixed_observable_state,ret5 == p80_90,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.13784964756163684,1.103891729715576,1.103891729715576,,31353,325,1707,1707,4322,228,587,2006,0.13784964756163684,0.07230568047714732,0.42649513091124747,0.726514746023919,6,8,29,0.09511051574012057,66.70222119389172,66.0,0.2641384590733432,-0.07097077542090059,725790592.0,market_trend_on,industry_lagging,0.11700407624165965,0.06414956846491927,False,False,,p1_hypothesis_refine,ret5,p80_90,univariate_primitive
uni_ret5_p80_90,ret5,price_state,mixed_observable_state,ret5 == p80_90,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.08073514932720709,1.1207439072684455,1.1207439072684455,,27423,285,1447,1447,2214,125,245,974,0.14867082376107646,0.08073514932720709,0.5118988155109321,0.8275952336076731,6,8,28,0.09758232140903621,87.21273712737127,77.0,0.40634719399831287,-0.07467739441117802,742284800.0,market_trend_on,industry_lagging,0.21624575865916698,0.12422289527019334,False,False,,p1_hypothesis_refine,ret5,p80_90,univariate_primitive
uni_ret5_p90_100,ret5,price_state,mixed_observable_state,ret5 == p90_100,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.1711917307111454,1.3708931366199675,1.3708931366199675,,29797,326,1663,1663,5101,223,526,2199,0.1711917307111454,0.09440547706144914,0.4798987845350399,0.6682413540003835,6,8,29,0.10326542940564486,62.7502450499902,60.0,0.2947361286095701,-0.08145714795734792,1154434304.0,market_trend_on,industry_sync_on,0.14223588342440802,0.07923497267759563,False,False,,p1_hypothesis_refine,ret5,p90_100,univariate_primitive
uni_ret5_p90_100,ret5,price_state,mixed_observable_state,ret5 == p90_100,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.10454822954822955,1.4513107643735441,1.4513107643735441,,26208,286,1378,1378,2740,125,235,1112,0.1836843711843712,0.10454822954822955,0.6136903136716326,0.8335642345076307,7,8,28,0.10061813186813187,81.58832116788321,75.0,0.4431769850266925,-0.08492818445975553,1188237312.0,market_trend_on,industry_sync_on,0.2546903460837887,0.12276867030965391,False,False,,p1_hypothesis_refine,ret5,p90_100,univariate_primitive
uni_ret10_p0_10,ret10,price_state,mixed_observable_state,ret10 == p0_10,high,120d,future_50pct_high_120d,same_year_same_horizon_horizon_valid_pit_stock_days,312646,0.12487605790574643,0.16192452084568268,1.296681874502313,1.296681874502313,,30366,315,1516,1516,4917,225,596,1937,0.16192452084568268,0.09003490746229335,0.46371067011948075,0.8305904089393392,8,8,29,0.10834485938220378,71.36587350010169,72.0,0.2992786074477607,-0.0818341715024273,687240576.0,market_drawdown,industry_lagging,0.1324755181052152,0.07836483716693236,False,False,,p1_hypothesis_refine,ret10,p0_10,univariate_primitive
uni_ret10_p0_10,ret10,price_state,mixed_observable_state,ret10 == p0_10,high,240d,future_100pct_high_240d,same_year_same_horizon_horizon_valid_pit_stock_days,275955,0.07203710749941114,0.09623210248681235,1.3358684964911867,1.3358684964911867,,26540,279,1286,1286,2554,132,250,942,0.16970610399397137,0.09623210248681235,0.5570621270080796,0.9502097177058296,8,8,28,0.10625470987189148,89.67580266249021,79.5,0.4538600532904172,-0.08454353206904608,695681792.0,market_drawdown,industry_lagging,0.2108859029833751,0.12928717831928946,False,False,,p1_hypothesis_refine,ret10,p0_10,univariate_primitive
