instrument,rows,start,end,missing_values,missing_fields,duplicate_dates,status
SH601186,2263,2017-01-03,2026-04-30,0,,0,ok
SH601211,2263,2017-01-03,2026-04-30,133,,0,ok
SH601225,2263,2017-01-03,2026-04-30,0,,0,ok
SH601229,2263,2017-01-03,2026-04-30,0,,0,ok
SH601231,2263,2017-01-03,2026-04-30,56,,0,ok
SH601238,2263,2017-01-03,2026-04-30,0,,0,ok
SH601288,2263,2017-01-03,2026-04-30,0,,0,ok
SH601298,1763,2019-01-21,2026-04-30,42,,0,ok
SH601318,2263,2017-01-03,2026-04-30,0,,0,ok
SH601319,1807,2018-11-16,2026-04-30,0,,0,ok
SH601328,2263,2017-01-03,2026-04-30,0,,0,ok
SH601336,2263,2017-01-03,2026-04-30,0,,0,ok
SH601360,2263,2017-01-03,2026-04-30,854,,0,ok
SH601377,2263,2017-01-03,2026-04-30,77,,0,ok
SH601390,2263,2017-01-03,2026-04-30,518,,0,ok
SH601398,2263,2017-01-03,2026-04-30,0,,0,ok
SH601456,1393,2020-07-31,2026-04-30,140,,0,ok
SH601600,2263,2017-01-03,2026-04-30,763,,0,ok
SH601601,2263,2017-01-03,2026-04-30,0,,0,ok
SH601607,2263,2017-01-03,2026-04-30,0,,0,ok
SH601618,2263,2017-01-03,2026-04-30,0,,0,ok
SH601628,2263,2017-01-03,2026-04-30,0,,0,ok
SH601633,2263,2017-01-03,2026-04-30,49,,0,ok
SH601658,1548,2019-12-10,2026-04-30,0,,0,ok
SH601668,2263,2017-01-03,2026-04-30,0,,0,ok
SH601669,2263,2017-01-03,2026-04-30,0,,0,ok
SH601688,2263,2017-01-03,2026-04-30,0,,0,ok
SH601689,2263,2017-01-03,2026-04-30,0,,0,ok
SH601698,1659,2019-06-28,2026-04-30,0,,0,ok
SH601727,2182,2017-05-08,2026-04-30,350,,0,ok
SH601728,1135,2021-08-20,2026-04-30,0,,0,ok
SH601766,2263,2017-01-03,2026-04-30,0,,0,ok
SH601788,2263,2017-01-03,2026-04-30,0,,0,ok
SH601800,2263,2017-01-03,2026-04-30,0,,0,ok
SH601808,2263,2017-01-03,2026-04-30,0,,0,ok
SH601816,1522,2020-01-16,2026-04-30,0,,0,ok
SH601818,2263,2017-01-03,2026-04-30,0,,0,ok
SH601825,1136,2021-08-19,2026-04-30,0,,0,ok
SH601838,1998,2018-01-31,2026-04-30,0,,0,ok
SH601857,2263,2017-01-03,2026-04-30,0,,0,ok
SH601868,1110,2021-09-28,2026-04-30,0,,0,ok
SH601869,1886,2018-07-20,2026-04-30,0,,0,ok
SH601872,2263,2017-01-03,2026-04-30,700,,0,ok
SH601877,2263,2017-01-03,2026-04-30,0,,0,ok
SH601881,2249,2017-01-23,2026-04-30,0,,0,ok
SH601888,2263,2017-01-03,2026-04-30,0,,0,ok
SH601898,2263,2017-01-03,2026-04-30,0,,0,ok
SH601899,2263,2017-01-03,2026-04-30,28,,0,ok
SH601901,2263,2017-01-03,2026-04-30,70,,0,ok
SH601916,1558,2019-11-26,2026-04-30,42,,0,ok
SH601919,2263,2017-01-03,2026-04-30,350,,0,ok
SH601939,2263,2017-01-03,2026-04-30,0,,0,ok
SH601958,2263,2017-01-03,2026-04-30,0,,0,ok
SH601985,2263,2017-01-03,2026-04-30,0,,0,ok
SH601988,2263,2017-01-03,2026-04-30,0,,0,ok
SH601991,2263,2017-01-03,2026-04-30,0,,0,ok
SH601995,1333,2020-11-02,2026-04-30,140,,0,ok
SH601998,2263,2017-01-03,2026-04-30,0,,0,ok
SH603019,2263,2017-01-03,2026-04-30,91,,0,ok
SH603195,1513,2020-02-06,2026-04-30,0,,0,ok
SH603228,2260,2017-01-06,2026-04-30,0,,0,ok
SH603259,1938,2018-05-08,2026-04-30,0,,0,ok
SH603260,2064,2017-10-30,2026-04-30,0,,0,ok
SH603268,2263,2017-01-03,2026-04-30,504,,0,ok
SH603288,2263,2017-01-03,2026-04-30,0,,0,ok
SH603296,660,2023-08-08,2026-04-30,0,,0,ok
SH603392,1455,2020-04-29,2026-04-30,0,,0,ok
SH603501,2184,2017-05-04,2026-04-30,1197,,0,ok
SH603659,2060,2017-11-03,2026-04-30,392,,0,ok
SH603799,2263,2017-01-03,2026-04-30,84,,0,ok
SH603893,1512,2020-02-07,2026-04-30,0,,0,ok
SH603986,2219,2017-03-13,2026-04-30,644,,0,ok
SH603993,2263,2017-01-03,2026-04-30,0,,0,ok
SH605117,1219,2021-04-20,2026-04-30,0,,0,ok
SH605499,1195,2021-05-27,2026-04-30,0,,0,ok
SZ000001,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000002,2263,2017-01-03,2026-04-30,35,,0,ok
SZ000039,2263,2017-01-03,2026-04-30,35,,0,ok
SZ000063,2263,2017-01-03,2026-04-30,343,,0,ok
SZ000100,2263,2017-01-03,2026-04-30,532,,0,ok
SZ000157,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000166,2246,2017-01-26,2026-04-30,0,,0,ok
SZ000301,2263,2017-01-03,2026-04-30,1197,,0,ok
SZ000338,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000408,2263,2017-01-03,2026-04-30,266,,0,ok
SZ000425,2263,2017-01-03,2026-04-30,161,,0,ok
SZ000426,2263,2017-01-03,2026-04-30,343,,0,ok
SZ000538,2263,2017-01-03,2026-04-30,371,,0,ok
SZ000547,2263,2017-01-03,2026-04-30,721,,0,ok
SZ000559,2263,2017-01-03,2026-04-30,105,,0,ok
SZ000568,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000596,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000617,2263,2017-01-03,2026-04-30,7,,0,ok
SZ000625,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000630,2263,2017-01-03,2026-04-30,70,,0,ok
SZ000651,2263,2017-01-03,2026-04-30,49,,0,ok
SZ000657,2263,2017-01-03,2026-04-30,105,,0,ok
SZ000708,2263,2017-01-03,2026-04-30,42,,0,ok
SZ000725,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000768,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000776,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000792,2263,2017-01-03,2026-04-30,2233,,0,ok
SZ000807,2263,2017-01-03,2026-04-30,189,,0,ok
SZ000858,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000895,2263,2017-01-03,2026-04-30,105,,0,ok
SZ000933,2263,2017-01-03,2026-04-30,84,,0,ok
SZ000938,2263,2017-01-03,2026-04-30,245,,0,ok
SZ000963,2263,2017-01-03,2026-04-30,0,,0,ok
SZ000975,2263,2017-01-03,2026-04-30,140,,0,ok
SZ000977,2263,2017-01-03,2026-04-30,84,,0,ok
SZ000988,2263,2017-01-03,2026-04-30,0,,0,ok
SZ001280,98,2025-12-03,2026-04-30,0,,0,ok
SZ001289,1032,2022-01-24,2026-04-30,0,,0,ok
SZ001309,929,2022-07-01,2026-04-30,0,,0,ok
SZ001391,322,2024-12-30,2026-04-30,0,,0,ok
SZ001965,2024,2017-12-25,2026-04-30,0,,0,ok
SZ001979,2263,2017-01-03,2026-04-30,112,,0,ok
SZ002001,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002027,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002028,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002049,2263,2017-01-03,2026-04-30,882,,0,ok
SZ002050,2263,2017-01-03,2026-04-30,266,,0,ok
SZ002064,2263,2017-01-03,2026-04-30,105,,0,ok
SZ002074,2263,2017-01-03,2026-04-30,91,,0,ok
SZ002080,2263,2017-01-03,2026-04-30,84,,0,ok
SZ002128,2263,2017-01-03,2026-04-30,882,,0,ok
SZ002142,2263,2017-01-03,2026-04-30,42,,0,ok
SZ002156,2261,2017-01-05,2026-04-30,0,,0,ok
SZ002179,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002202,2263,2017-01-03,2026-04-30,42,,0,ok
SZ002230,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002236,2263,2017-01-03,2026-04-30,14,,0,ok
SZ002241,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002281,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002294,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002304,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002311,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002352,2263,2017-01-03,2026-04-30,21,,0,ok
SZ002353,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002371,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002384,2263,2017-01-03,2026-04-30,490,,0,ok
SZ002414,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002415,2263,2017-01-03,2026-04-30,14,,0,ok
SZ002460,2263,2017-01-03,2026-04-30,7,,0,ok
SZ002463,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002466,2263,2017-01-03,2026-04-30,175,,0,ok
SZ002475,2263,2017-01-03,2026-04-30,7,,0,ok
SZ002493,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002532,2263,2017-01-03,2026-04-30,581,,0,ok
SZ002555,2263,2017-01-03,2026-04-30,77,,0,ok
SZ002558,2263,2017-01-03,2026-04-30,245,,0,ok
SZ002594,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002595,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002600,2263,2017-01-03,2026-04-30,819,,0,ok
SZ002602,2259,2017-01-09,2026-04-30,714,,0,ok
SZ002625,2263,2017-01-03,2026-04-30,1141,,0,ok
SZ002648,2263,2017-01-03,2026-04-30,14,,0,ok
SZ002653,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002709,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002714,2263,2017-01-03,2026-04-30,0,,0,ok
SZ002736,2263,2017-01-03,2026-04-30,70,,0,ok
SZ002738,2262,2017-01-04,2026-04-30,812,,0,ok
SZ002812,2263,2017-01-03,2026-04-30,672,,0,ok
SZ002837,2263,2017-01-03,2026-04-30,532,,0,ok
SZ002916,2032,2017-12-13,2026-04-30,14,,0,ok
SZ002920,2023,2017-12-26,2026-04-30,0,,0,ok
SZ002938,1844,2018-09-18,2026-04-30,0,,0,ok
SZ003816,1618,2019-08-26,2026-04-30,0,,0,ok
