record_source,record_unit,selection_rule,source_relative_path,episode_id,instrument,episode_low_date,episode_high_date,first_50pct_date,pre120_calendar_start_date,low_to_high_sessions,low_to_high_calendar_days,mfe_120,split,duration_bucket,board_bucket,liquidity_money_20d,total_market_cap_cny,cluster_union_start_date,cluster_union_end_date,lineage_status
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603127_20210706_0000,SH603127,2021-07-06,2021-09-22,2021-09-22,2021-03-08,54,78,0.7543145239480318,train,medium,main_board,442305464.15,43499161243.98,2021-07-06,2021-09-22,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603156_20210208_0001,SH603156,2021-02-08,2021-05-27,2021-05-27,2020-10-11,69,108,0.6966145833333333,train,medium,main_board,61318407.85,29093697864.0,2021-02-08,2021-05-27,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603198_20210514_0002,SH603198,2021-05-14,2021-11-01,2021-11-01,2021-01-14,113,171,0.8038786362214578,train,long,main_board,760435755.75,29600000000.0,2021-05-14,2021-12-23,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603218_20210706_0000,SH603218,2021-07-06,2021-11-08,2021-11-08,2021-03-08,82,125,0.7934293429342936,train,long,main_board,399051866.5,23986903383.11,2021-07-06,2021-11-08,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603228_20250904_0000,SH603228,2025-09-04,2025-10-29,2025-10-29,2025-05-07,33,55,0.6300019712201854,robustness,fast,main_board,2500255958.7,51947542155.9,2025-09-04,2025-10-29,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603233_20220818_0000,SH603233,2022-08-18,2022-12-05,2022-12-05,2022-04-20,71,109,0.6160794941282746,validation,medium,main_board,122082809.5,29166410275.8,2022-08-18,2022-12-05,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603260_20250624_0007,SH603260,2025-06-24,2025-11-20,2025-11-20,2025-02-24,101,149,0.5210822998872602,robustness,long,main_board,93508136.65,54145077897.8,2025-06-24,2025-11-20,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603268_20250619_0000,SH603268,2025-06-19,2025-12-04,2025-12-04,2025-02-19,114,168,1.2881401617250674,robustness,long,main_board,27050780.95,32744497818.0,2025-06-19,2026-03-12,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603338_20210617_0004,SH603338,2021-06-17,2021-11-24,2021-11-24,2021-02-17,107,160,0.6544739429695181,train,long,main_board,318571776.95,26696851549.29,2021-06-17,2021-11-24,frozen_06_risk_on_episode
06_topn_big_winner_episode_reference,deduped_big_winner_episode,market_regime_bucket == risk_on,topics/02_AFML_BIG_WINNER/experiments/pending/06_rerun_02_reverse_lifecycle_on_topn_universe_v0/outputs/publishable/tables/topn_big_winner_episode_reference_summary.csv,SH603345_20201109_0000,SH603345,2020-11-09,2021-02-18,2021-02-18,2020-07-12,67,101,0.7973828619670749,train,medium,main_board,290527582.55,39375561354.130005,2020-11-09,2021-02-18,frozen_06_risk_on_episode
