arm_id,split,split_basis,window_id,eligible_episode_n,captured_episode_n,missed_episode_n,episode_recall,captured_episode_event_count_median,captured_episode_event_count_p95,first_event_minus_low_median,first_event_minus_low_p25,first_event_minus_low_p75,multi_episode_event_overlap_n,split_mismatch_candidate_n,alignment_status
08_R_core_event_regime_gated_raw,train,episode_split,low_to_first_50pct,225,222,3,0.9866666666666667,8.0,14.0,21.0,14.0,31.0,0,0,ok
08_R_core_event_regime_gated_raw,validation,episode_split,pre120_calendar_to_high,22,22,0,1.0,11.0,14.95,-59.5,-89.0,-38.5,0,0,ok
08_R_core_event_regime_gated_raw,validation,episode_split,low_to_high,22,22,0,1.0,7.5,10.95,15.0,4.25,35.0,0,0,ok
08_R_core_event_regime_gated_raw,validation,episode_split,low_to_first_50pct,22,22,0,1.0,7.5,10.95,15.0,4.25,35.0,0,0,ok
08_R_core_event_regime_gated_raw,robustness,episode_split,pre120_calendar_to_high,181,181,0,1.0,10.0,18.0,-75.0,-108.0,-46.0,46,0,ok
08_R_core_event_regime_gated_raw,robustness,episode_split,low_to_high,181,171,10,0.9447513812154696,5.0,13.5,20.0,12.0,30.0,0,0,ok
08_R_core_event_regime_gated_raw,robustness,episode_split,low_to_first_50pct,181,171,10,0.9447513812154696,5.0,13.5,20.0,12.0,30.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,all,episode_split,pre120_calendar_to_high,428,425,3,0.9929906542056075,4.0,7.0,-67.0,-100.0,-24.0,50,0,ok
10A_same_instrument_cooldown_10d_r_core,all,episode_split,low_to_high,428,400,28,0.9345794392523364,2.0,5.0,22.0,14.0,36.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,all,episode_split,low_to_first_50pct,428,400,28,0.9345794392523364,2.0,5.0,22.0,14.0,36.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,train,episode_split,pre120_calendar_to_high,225,225,0,1.0,4.0,7.0,-69.0,-99.0,-25.0,32,0,ok
10A_same_instrument_cooldown_10d_r_core,train,episode_split,low_to_high,225,221,4,0.9822222222222222,3.0,5.0,24.0,15.0,43.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,train,episode_split,low_to_first_50pct,225,221,4,0.9822222222222222,3.0,5.0,24.0,15.0,43.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,validation,episode_split,pre120_calendar_to_high,22,22,0,1.0,3.0,4.949999999999999,-41.0,-58.25,3.5,0,0,ok
10A_same_instrument_cooldown_10d_r_core,validation,episode_split,low_to_high,22,19,3,0.8636363636363636,2.0,3.0,27.0,4.5,44.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,validation,episode_split,low_to_first_50pct,22,19,3,0.8636363636363636,2.0,3.0,27.0,4.5,44.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,robustness,episode_split,pre120_calendar_to_high,181,178,3,0.9834254143646409,4.0,7.0,-66.0,-104.0,-26.0,18,0,ok
10A_same_instrument_cooldown_10d_r_core,robustness,episode_split,low_to_high,181,160,21,0.8839779005524862,2.0,5.0,20.0,12.75,30.0,0,0,ok
10A_same_instrument_cooldown_10d_r_core,robustness,episode_split,low_to_first_50pct,181,160,21,0.8839779005524862,2.0,5.0,20.0,12.75,30.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,all,episode_split,pre120_calendar_to_high,428,74,354,0.17289719626168223,1.0,2.0,-20.5,-73.75,35.5,4,0,ok
10B_keep_9400_rejected_fast_fail_bucket,all,episode_split,low_to_high,428,39,389,0.0911214953271028,1.0,2.200000000000003,52.0,27.0,85.5,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,all,episode_split,low_to_first_50pct,428,39,389,0.0911214953271028,1.0,2.200000000000003,52.0,27.0,85.5,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,train,episode_split,pre120_calendar_to_high,225,48,177,0.21333333333333335,1.0,2.0,2.0,-74.0,63.75,3,0,ok
10B_keep_9400_rejected_fast_fail_bucket,train,episode_split,low_to_high,225,29,196,0.1288888888888889,1.0,3.1999999999999957,69.0,34.0,86.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,train,episode_split,low_to_first_50pct,225,29,196,0.1288888888888889,1.0,3.1999999999999957,69.0,34.0,86.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,validation,episode_split,pre120_calendar_to_high,22,4,18,0.18181818181818182,1.0,1.8499999999999996,-26.5,-29.75,-24.75,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,validation,episode_split,low_to_high,22,1,21,0.045454545454545456,1.0,1.0,50.0,50.0,50.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,validation,episode_split,low_to_first_50pct,22,1,21,0.045454545454545456,1.0,1.0,50.0,50.0,50.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,robustness,episode_split,pre120_calendar_to_high,181,21,160,0.11602209944751381,1.0,2.0,-25.0,-73.0,18.0,1,0,ok
10B_keep_9400_rejected_fast_fail_bucket,robustness,episode_split,low_to_high,181,8,173,0.04419889502762431,1.0,1.6499999999999995,21.5,16.0,27.0,0,0,ok
10B_keep_9400_rejected_fast_fail_bucket,robustness,episode_split,low_to_first_50pct,181,8,173,0.04419889502762431,1.0,1.6499999999999995,21.5,16.0,27.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,all,episode_split,pre120_calendar_to_high,428,425,3,0.9929906542056075,3.0,7.0,-61.0,-99.0,-18.0,46,0,ok
10B_keep_9400_retained_after_fast_fail_gate,all,episode_split,low_to_high,428,397,31,0.927570093457944,2.0,5.0,23.0,14.0,40.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,all,episode_split,low_to_first_50pct,428,397,31,0.927570093457944,2.0,5.0,23.0,14.0,40.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,train,episode_split,pre120_calendar_to_high,225,225,0,1.0,4.0,7.0,-64.0,-99.0,-20.0,29,0,ok
10B_keep_9400_retained_after_fast_fail_gate,train,episode_split,low_to_high,225,221,4,0.9822222222222222,2.0,5.0,25.0,15.0,49.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,train,episode_split,low_to_first_50pct,225,221,4,0.9822222222222222,2.0,5.0,25.0,15.0,49.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,validation,episode_split,pre120_calendar_to_high,22,22,0,1.0,3.0,4.0,-41.0,-58.25,4.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,validation,episode_split,low_to_high,22,19,3,0.8636363636363636,2.0,3.0,27.0,4.5,44.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,validation,episode_split,low_to_first_50pct,22,19,3,0.8636363636363636,2.0,3.0,27.0,4.5,44.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,robustness,episode_split,pre120_calendar_to_high,181,178,3,0.9834254143646409,3.5,6.0,-64.5,-104.0,-23.25,17,0,ok
10B_keep_9400_retained_after_fast_fail_gate,robustness,episode_split,low_to_high,181,157,24,0.8674033149171271,2.0,5.0,20.0,13.0,32.0,0,0,ok
10B_keep_9400_retained_after_fast_fail_gate,robustness,episode_split,low_to_first_50pct,181,157,24,0.8674033149171271,2.0,5.0,20.0,13.0,32.0,0,0,ok
