bridge_direction,row_id,instrument,event_t0_date,nearest_any_06_episode_id,nearest_any_06_episode_low_date,nearest_any_06_episode_high_date,nearest_any_market_regime_bucket,nearest_any_event_minus_episode_low_days,nearest_any_abs_event_minus_episode_low_days,nearest_any_event_vs_episode_window,inside_any_pre120_calendar_to_high_flag,nearest_risk_on_06_episode_id,nearest_risk_on_event_minus_episode_low_days,nearest_risk_on_abs_event_minus_episode_low_days,nearest_risk_on_event_vs_episode_window,inside_risk_on_pre120_calendar_to_high_flag,episode_id,episode_low_date,episode_high_date,matching_11a2_winner_row_n_pre120_to_high,matching_11a2_row_ids,matching_11a2_event_t0_dates,matching_11a2_event_minus_low_days,episode_has_any_11a2_row_pre120_to_high_flag
11a2_row_to_06_episode,1951.0,SH600415,2024-12-24,SH600415_20250106_0004,2025-01-06,2025-06-26,risk_off,-13.0,13.0,pre120_before_episode_low,True,SH600415_20230216_0002,677.0,677.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,1984.0,SH600418,2025-03-31,SH600418_20250409_0003,2025-04-09,2025-09-15,risk_off,-9.0,9.0,pre120_before_episode_low,True,,,,no_same_instrument_episode,False,,,,,,,,
11a2_row_to_06_episode,2028.0,SH600426,2025-08-25,SH600426_20250717_0004,2025-07-17,2026-01-07,risk_on,39.0,39.0,inside_low_to_high,True,SH600426_20250717_0004,39.0,39.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,2029.0,SH600426,2025-11-10,SH600426_20250717_0004,2025-07-17,2026-01-07,risk_on,116.0,116.0,inside_low_to_high,True,SH600426_20250717_0004,116.0,116.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,2041.0,SH600436,2020-02-14,SH600436_20200317_0003,2020-03-17,2020-09-03,risk_off,-32.0,32.0,pre120_before_episode_low,True,SH600436_20210903_0006,-567.0,567.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,2046.0,SH600436,2020-09-18,SH600436_20201026_0004,2020-10-26,2021-02-18,transition,-38.0,38.0,pre120_before_episode_low,True,SH600436_20210903_0006,-350.0,350.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,2105.0,SH600460,2021-06-04,SH600460_20210204_0005,2021-02-04,2021-07-27,risk_on,120.0,120.0,inside_low_to_high,True,SH600460_20210204_0005,120.0,120.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,2200.0,SH600487,2025-09-24,SH600487_20251124_0005,2025-11-24,2026-05-11,transition,-61.0,61.0,pre120_before_episode_low,True,,,,no_same_instrument_episode,False,,,,,,,,
11a2_row_to_06_episode,2227.0,SH600489,2025-09-29,SH600489_20251105_0004,2025-11-05,2026-01-29,risk_on,-37.0,37.0,pre120_before_episode_low,True,SH600489_20251105_0004,-37.0,37.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,2446.0,SH600522,2025-10-21,SH600522_20251121_0006,2025-11-21,2026-05-20,transition,-31.0,31.0,pre120_before_episode_low,True,SH600522_20191030_0001,2183.0,2183.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,2525.0,SH600547,2019-02-20,SH600547_20190429_0001,2019-04-29,2019-09-04,risk_on,-68.0,68.0,pre120_before_episode_low,True,SH600547_20190429_0001,-68.0,68.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,2588.0,SH600549,2025-10-13,SH600549_20250923_0003,2025-09-23,2026-03-04,risk_on,20.0,20.0,inside_low_to_high,True,SH600549_20250923_0003,20.0,20.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,2589.0,SH600549,2025-10-30,SH600549_20250923_0003,2025-09-23,2026-03-04,risk_on,37.0,37.0,inside_low_to_high,True,SH600549_20250923_0003,37.0,37.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,2710.0,SH600584,2020-02-25,SH600584_20200330_0003,2020-03-30,2020-07-14,risk_off,-34.0,34.0,pre120_before_episode_low,True,SH600584_20191021_0002,127.0,127.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3014.0,SH600660,2020-11-13,SH600660_20201020_0001,2020-10-20,2021-01-25,risk_on,24.0,24.0,inside_low_to_high,True,SH600660_20201020_0001,24.0,24.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3015.0,SH600660,2020-12-21,SH600660_20201020_0001,2020-10-20,2021-01-25,risk_on,62.0,62.0,inside_low_to_high,True,SH600660_20201020_0001,62.0,62.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3085.0,SH600673,2025-09-17,SH600673_20250408_0001,2025-04-08,2025-09-04,risk_off,162.0,162.0,after_episode_high,False,SH600673_20191021_0000,2158.0,2158.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3215.0,SH600703,2019-12-30,SH600703_20200331_0002,2020-03-31,2020-07-14,risk_off,-92.0,92.0,pre120_before_episode_low,True,,,,no_same_instrument_episode,False,,,,,,,,
11a2_row_to_06_episode,3434.0,SH600760,2020-08-05,SH600760_20200917_0002,2020-09-17,2021-01-07,transition,-43.0,43.0,pre120_before_episode_low,True,SH600760_20240411_0005,-1345.0,1345.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,3467.0,SH600763,2020-08-03,SH600763_20200918_0003,2020-09-18,2021-02-10,risk_on,-46.0,46.0,pre120_before_episode_low,True,SH600763_20200918_0003,-46.0,46.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,3468.0,SH600763,2020-08-31,SH600763_20200918_0003,2020-09-18,2021-02-10,risk_on,-18.0,18.0,pre120_before_episode_low,True,SH600763_20200918_0003,-18.0,18.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,3469.0,SH600763,2020-10-12,SH600763_20200918_0003,2020-09-18,2021-02-10,risk_on,24.0,24.0,inside_low_to_high,True,SH600763_20200918_0003,24.0,24.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3470.0,SH600763,2020-11-09,SH600763_20200918_0003,2020-09-18,2021-02-10,risk_on,52.0,52.0,inside_low_to_high,True,SH600763_20200918_0003,52.0,52.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3471.0,SH600763,2020-12-10,SH600763_20200918_0003,2020-09-18,2021-02-10,risk_on,83.0,83.0,inside_low_to_high,True,SH600763_20200918_0003,83.0,83.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3673.0,SH600809,2020-01-15,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,21.0,21.0,inside_low_to_high,True,SH600809_20191225_0002,21.0,21.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3674.0,SH600809,2020-03-03,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,69.0,69.0,inside_low_to_high,True,SH600809_20191225_0002,69.0,69.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3675.0,SH600809,2020-05-08,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,135.0,135.0,inside_low_to_high,True,SH600809_20191225_0002,135.0,135.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3676.0,SH600809,2020-06-05,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,163.0,163.0,inside_low_to_high,True,SH600809_20191225_0002,163.0,163.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3677.0,SH600809,2020-07-07,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,195.0,195.0,after_episode_high,False,SH600809_20191225_0002,195.0,195.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3678.0,SH600809,2020-07-22,SH600809_20191225_0002,2019-12-25,2020-06-29,risk_on,210.0,210.0,after_episode_high,False,SH600809_20191225_0002,210.0,210.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3679.0,SH600809,2020-08-17,SH600809_20210309_0003,2021-03-09,2021-07-22,risk_off,-204.0,204.0,before_pre120_calendar_start,False,SH600809_20191225_0002,236.0,236.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3680.0,SH600809,2020-10-12,SH600809_20210309_0003,2021-03-09,2021-07-22,risk_off,-148.0,148.0,before_pre120_calendar_start,False,SH600809_20191225_0002,292.0,292.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3681.0,SH600809,2020-11-05,SH600809_20210309_0003,2021-03-09,2021-07-22,risk_off,-124.0,124.0,before_pre120_calendar_start,False,SH600809_20191225_0002,316.0,316.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3682.0,SH600809,2020-11-25,SH600809_20210309_0003,2021-03-09,2021-07-22,risk_off,-104.0,104.0,pre120_before_episode_low,True,SH600809_20191225_0002,336.0,336.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3683.0,SH600809,2020-12-14,SH600809_20210309_0003,2021-03-09,2021-07-22,risk_off,-85.0,85.0,pre120_before_episode_low,True,SH600809_20191225_0002,355.0,355.0,after_episode_high,False,,,,,,,,
11a2_row_to_06_episode,3938.0,SH600875,2025-08-15,SH600875_20250923_0003,2025-09-23,2026-03-06,risk_on,-39.0,39.0,pre120_before_episode_low,True,SH600875_20250923_0003,-39.0,39.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,3939.0,SH600875,2025-10-09,SH600875_20250923_0003,2025-09-23,2026-03-06,risk_on,16.0,16.0,inside_low_to_high,True,SH600875_20250923_0003,16.0,16.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3940.0,SH600875,2025-10-27,SH600875_20250923_0003,2025-09-23,2026-03-06,risk_on,34.0,34.0,inside_low_to_high,True,SH600875_20250923_0003,34.0,34.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,3941.0,SH600875,2025-11-13,SH600875_20250923_0003,2025-09-23,2026-03-06,risk_on,51.0,51.0,inside_low_to_high,True,SH600875_20250923_0003,51.0,51.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4052.0,SH600893,2020-08-05,SH600893_20201102_0001,2020-11-02,2021-01-13,transition,-89.0,89.0,pre120_before_episode_low,True,SH600893_20250904_0004,-1856.0,1856.0,before_pre120_calendar_start,False,,,,,,,,
11a2_row_to_06_episode,4074.0,SH600893,2025-09-30,SH600893_20250904_0004,2025-09-04,2026-03-10,risk_on,26.0,26.0,inside_low_to_high,True,SH600893_20250904_0004,26.0,26.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4200.0,SH600938,2025-09-02,SH600938_20250904_0001,2025-09-04,2026-03-09,risk_on,-2.0,2.0,pre120_before_episode_low,True,SH600938_20250904_0001,-2.0,2.0,pre120_before_episode_low,True,,,,,,,,
11a2_row_to_06_episode,4201.0,SH600938,2025-10-22,SH600938_20250904_0001,2025-09-04,2026-03-09,risk_on,48.0,48.0,inside_low_to_high,True,SH600938_20250904_0001,48.0,48.0,inside_low_to_high,True,,,,,,,,
11a2_row_to_06_episode,4226.0,SH600958,2021-05-25,SH600958_20210208_0002,2021-02-08,2021-08-09,risk_on,106.0,106.0,inside_low_to_high,True,SH600958_20210208_0002,106.0,106.0,inside_low_to_high,True,,,,,,,,
