arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600009_20210315_risk_on_transition_union,1,1,1,1,SH600009_20210315_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20210604_risk_on_transition_union,1,1,1,1,SH600009_20210604_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20210902_risk_on_transition_union,1,1,1,1,SH600009_20210902_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20211011_risk_on_transition_union,1,1,1,1,SH600009_20211011_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20220112_risk_on_transition_union,1,1,1,1,SH600009_20220112_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20220303_risk_on_transition_union,1,1,1,1,SH600009_20220303_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20220722_risk_on_transition_union,1,1,1,1,SH600009_20220722_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20220825_risk_on_transition_union,1,1,1,1,SH600009_20220825_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20221214_risk_on_transition_union,1,1,1,1,SH600009_20221214_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20230118_risk_on_transition_union,1,1,1,1,SH600009_20230118_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20231115_risk_on_transition_union,1,1,1,1,SH600009_20231115_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20240711_risk_on_transition_union,1,1,1,1,SH600009_20240711_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20250414_risk_on_transition_union,1,1,1,1,SH600009_20250414_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600009_20251113_risk_on_transition_union,1,1,1,1,SH600009_20251113_risk_on_transition_union,unique,,pass
