artifact_key,artifact_role,required_flag,resolved_path,relative_path,source_phase_id,row_count,sha256,schema_status,lineage_status,row_key_status,gate_status,blocking_reason,audit_row_type,input_check_id,observed_value,expected_value,check_status
seventeen_b_manifest,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/17B_oracle_ladder_replay_manifest.json,17B,,44e4f0b15527697b63ba62b4e791d427cec5587e72a08159fb1b28c37f9d1bd9,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_engine_manifest,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_ladder_replay_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_ladder_replay_engine_manifest.json,17B,,598c435054259b8850f16e22af3ada1e2543651da67d50477cce350c1150279d,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_input_artifact_manifest,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest_17b.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/input_artifact_manifest_17b.json,17B,,743eafe13208f2acf47f0c6a23dd72f43355404780471eea51884d0dcc27dd28,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_a_action_contract,17a_inherited_status,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_action_contract.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_action_contract.md,17A,,396aed709644fd676394281595c1716cb3e87a8dc6ccb536346d8f11f6978fc4,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_a_denominator_contract,17a_inherited_status,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_denominator_contract.md,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/oracle_denominator_contract.md,17A,,18ff78b77ee0312ec4be6b29d3712fe5d3cf480776396a97162ea722c3b34a9e,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_a_delayed_materialization_audit,17a_inherited_status,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/delayed_materialization_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/delayed_materialization_audit.csv,17A,9.0,188990c5ecb939fe537b94ace664a9c046318e7061aaef236b51c3cf2b34ef16,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_a_capacity_reconstruction_audit,17a_inherited_status,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/capacity_reconstruction_audit.csv,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/publishable/tables/17A_oracle_replay_contract_preflight/capacity_reconstruction_audit.csv,17A,1.0,6f28481d7d888a03fc589da15d40875844534e8cef1ec52a243cf77faa6ae573,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_a_replay_engine_manifest,17a_inherited_status,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_replay_engine_manifest.json,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/manifests/oracle_replay_engine_manifest.json,17A,,0773a263e786e361a6bc282be7b4f9b490ccbaeeb76a1a59e3f1313f1a057f58,pass,pass,not_applicable,pass,,artifact,artifact_exists_schema_lineage,,,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,cluster_split_bucket_present,True,True,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,canonical_split_bucket_created,created_from_cluster_split_bucket,created_or_verified,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,split_bucket_conflict_count,0,0,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,signed_max_drawdown_h20_present,True,True,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,drawdown_abs_for_reporting_present,True,True,pass
seventeen_b_row_level_panel,17b_handoff,required,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,experiments/pending/17_oracle_action_value_upper_bound_diagnostic/outputs/local_cache/17B_oracle_ladder_replay/oracle_ladder_panel.parquet,17B,3224736.0,cfb4c618255a007ed400d163ea2ff9d77e8f6edb8cf778da7a5076aecac5681f,pass,pass,pass,pass,,canonicalization_check,drawdown_avoided_abs_not_required,absent_ok,not_required,pass
