artifact_id,artifact_role,relative_path,exists,artifact_type,row_count,column_count,columns,sha256_or_inventory_hash,input_artifact_gate,blocking_reason
tushare_dc_index_combined,tushare_dc_index_combined,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/combined/dc_index_yearly_first_open.csv,True,.csv,7769,23,fetched_at_utc|classification_year|effective_start_date|effective_end_date|classification_first_open_trade_date|source_snapshot_year|source_snapshot_trade_date|snapshot_policy|snapshot_trade_date|source_api|board_ts_code|board_name|idx_type|level|leading|leading_code|pct_change|leading_pct|total_mv|turnover_rate|up_num|down_num|trade_date,46b9f36209c7c4c318a04b54468591b076d44e0214d4cf80b8d92f544cf77c46,pass,
tushare_dc_member_combined,tushare_dc_member_combined,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/combined/dc_member_yearly_first_open.csv,True,.csv,751970,17,fetched_at_utc|classification_year|effective_start_date|effective_end_date|classification_first_open_trade_date|source_snapshot_year|source_snapshot_trade_date|snapshot_policy|snapshot_trade_date|source_api|board_ts_code|board_name|idx_type|level|con_code|con_name|trade_date,e4c5c426037774aea1fd39b546492e45fa13e3a3b19801924e395aa1de50b136,pass,
akshare_board_full_dump_root,quarantined_board_dump_inventory,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump,True,directory,423,0,,86ca523fe882372a90749558f9c0749e77a52fa02498851d184e59ebd3f64784,pass,
ep04_candidate_instances,optional_candidate_source,experiments/pending/04_high_recall_repair_event_candidate_generator_v0/outputs/publishable/tables/candidate_event_instances.csv,True,.csv,83102,78,event_id|instrument|event_family|event_variant|union_family|canonical_event_scope|event_t0_date|event_t0_pos|trade_open_date|trade_open_pos|trade_open_price|non_executable_next_open|non_executable_reason|limit_threshold_status|source_seed_low_date|source_seed_low_pos|first_ema60_reclaim_date|first_ema60_reclaim_pos|days_seed_to_event|days_reclaim_to_event|seed_cluster_id|reclaim_cluster_id|union_cluster_id|union_density_kept|event_family_priority|event_split|market_regime_bucket|benchmark_alias|board_bucket|is_st|total_market_cap_cny|liquidity_money_20d|early_no_false_repair_5d|early_no_false_repair_10d|early_relative_strength_turn_flag|strict_rank_persistence_reference_flag|raw_source_event_ids|raw_cluster_event_count|close_to_ema20|close_to_ema60|ema20_slope_20d|ema60_slope_20d|return_5d|return_10d|return_20d|return_60d|stock_vs_market_5d|stock_vs_market_10d|stock_vs_market_20d|amount_ratio_20d|amount_ratio_60d|turnover_ratio_20d|turnover_ratio_60d|derived_daily_vwap_available|close_to_derived_daily_vwap|vwap_reclaim_flag|intraday_range_pct|close_position_in_range|upper_shadow_pct|gap_open_pct|gap_fade_flag|gap_fade_flag_status|atr_20_pct|market_return_20d|market_drawdown_60d|market_volatility_20d|quality_amount_flag|quality_vwap_flag|quality_range_flag|quality_gap_fade_flag|quality_amount_flag_status|quality_vwap_flag_status|quality_range_flag_status|quality_gap_fade_flag_status|seed_density_kept|reclaim_density_kept|source_e5_event_id|density_union_cluster_id,4467c6106e309a3cb10f048e28a062e815a55a13a223a769c22327e04ad98b6b,pass,
ep04_candidate_labels,optional_candidate_label_readout,experiments/pending/04_high_recall_repair_event_candidate_generator_v0/outputs/publishable/tables/candidate_event_label_outcomes.csv,True,.csv,83102,56,event_id|instrument|event_t0_date|event_t0_pos|trade_open_date|trade_open_pos|trade_open_price|event_split|event_family|union_family|canonical_event_scope|union_cluster_id|label_anchor_type|non_executable_next_open|non_executable_reason|limit_threshold_status|confirm_20_label|confirm_20_complete|confirm_20_touch_date|confirm_20_touch_pos|failure_10_label|failure_10_complete|failure_10_touch_date|failure_10_touch_pos|forward_return_10d|mfe_10d|mae_10d|horizon_complete_10d|forward_return_20d|mfe_20d|mae_20d|horizon_complete_20d|forward_return_30d|mfe_30d|mae_30d|horizon_complete_30d|forward_return_60d|mfe_60d|mae_60d|horizon_complete_60d|forward_return_120d|mfe_120d|mae_120d|horizon_complete_120d|event_false_repair_10d_label|event_false_repair_10d_complete|event_false_repair_20d_label|event_false_repair_20d_complete|candidate_outcome_120d_status|event_big_winner_120d_label|event_super_winner_120d_label|event_near_winner_120d_label|main_barrier_label_complete|captured_target_episode_anchor_note|captured_target_episode_count|captured_target_episode_id_first,f1103b55948c092522385148ab04601830f52e3e1bdaa0502ed82a7e3036b3d0,pass,
ep04_executability_audit,optional_candidate_execution_audit,experiments/pending/04_high_recall_repair_event_candidate_generator_v0/outputs/publishable/tables/executability_audit.csv,True,.csv,30,10,event_family|union_family|canonical_event_scope|event_split|event_count|non_executable_next_open_count|executable_count|executable_rate|limit_rule_unavailable_count|main_label_complete_rate,9f923deb9581d90408a15cc18609315d16bb3d8408d20e689b84b16cc3d02542,pass,
ep07_candidate_canonical,primary_candidate_source,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_multichannel_candidate_event_canonical.csv,True,.csv,15161,90,event_id|instrument|event_family|event_variant|union_family|canonical_event_scope|event_t0_date|event_t0_pos|trade_open_date|trade_open_pos|trade_open_price|non_executable_next_open|non_executable_reason|limit_threshold_status|source_seed_low_date|source_seed_low_pos|first_ema60_reclaim_date|first_ema60_reclaim_pos|days_seed_to_event|days_reclaim_to_event|seed_cluster_id|reclaim_cluster_id|union_cluster_id|union_density_kept|event_family_priority|event_split|market_regime_bucket|benchmark_alias|board_bucket|is_st|total_market_cap_cny|liquidity_money_20d|early_no_false_repair_5d|early_no_false_repair_10d|early_relative_strength_turn_flag|strict_rank_persistence_reference_flag|raw_source_event_ids|raw_cluster_event_count|close_to_ema20|close_to_ema60|ema20_slope_20d|ema60_slope_20d|return_5d|return_10d|return_20d|return_60d|stock_vs_market_5d|stock_vs_market_10d|stock_vs_market_20d|amount_ratio_20d|amount_ratio_60d|turnover_ratio_20d|turnover_ratio_60d|derived_daily_vwap_available|close_to_derived_daily_vwap|vwap_reclaim_flag|intraday_range_pct|close_position_in_range|upper_shadow_pct|gap_open_pct|gap_fade_flag|gap_fade_flag_status|atr_20_pct|market_return_20d|market_drawdown_60d|market_volatility_20d|quality_amount_flag|quality_vwap_flag|quality_range_flag|quality_gap_fade_flag|quality_amount_flag_status|quality_vwap_flag_status|quality_range_flag_status|quality_gap_fade_flag_status|setup_context_density_kept|channel_id|channel_family|is_setup_context|recommended_union_included|event_executable_date,a35a2742075b0ccbacc1745b96851ff3daef869303f07eafee3e6d2bd605bd57,pass,
ep07_candidate_labels,primary_candidate_label_readout,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/local_cache/topn_canonical_event_labels.parquet,True,.parquet,0,56,event_id|instrument|event_t0_date|event_t0_pos|trade_open_date|trade_open_pos|trade_open_price|event_split|event_family|union_family|canonical_event_scope|union_cluster_id|label_anchor_type|non_executable_next_open|non_executable_reason|limit_threshold_status|confirm_20_label|confirm_20_complete|confirm_20_touch_date|confirm_20_touch_pos|failure_10_label|failure_10_complete|failure_10_touch_date|failure_10_touch_pos|forward_return_10d|mfe_10d|mae_10d|horizon_complete_10d|forward_return_20d|mfe_20d|mae_20d|horizon_complete_20d|forward_return_30d|mfe_30d|mae_30d|horizon_complete_30d|forward_return_60d|mfe_60d|mae_60d|horizon_complete_60d|forward_return_120d|mfe_120d|mae_120d|horizon_complete_120d|event_false_repair_10d_label|event_false_repair_10d_complete|event_false_repair_20d_label|event_false_repair_20d_complete|candidate_outcome_120d_status|event_big_winner_120d_label|event_super_winner_120d_label|event_near_winner_120d_label|main_barrier_label_complete|captured_target_episode_count|captured_target_episode_id_first|captured_target_episode_anchor_note,2ad39e2c93f3bdf303e9b01435b5b6c002201510a5b6852c76ddc73d9e7a01a3,pass,
ep07_execution_label_audit,primary_candidate_execution_audit,experiments/pending/07_topn_multichannel_repair_candidate_generator_v0/outputs/publishable/tables/topn_execution_and_label_completeness_audit.csv,True,.csv,4,6,scope|split|event_count|next_open_executable_rate|event_precision_label_complete_rate|capture_label_complete_rate,1bd310e3caa5817717bfa6ff37395cd8e27da2b9c070202b698a63c0418c6e2c,pass,
ep13_rule_overlay_event_panel,optional_candidate_source,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13G_event_survival_opportunity_and_defense_overlay_diagnostic/rule_overlay_event_panel.parquet,True,.parquet,0,191,event_id|instrument|reference_date|entry_date|entry_pos|entry_price|split_bucket|selected_state_id|analysis_denominator_flag|analysis_exclusion_reason|board_bucket|is_listed|is_st|is_suspended|row_id|market_regime_bucket|regime_calendar_available|regime_missing_date_bypassed|split|calendar_month|calendar_year|reference_pos|ret_5d|ret_10d|ret_20d|ret_60d|volatility_20d|volatility_60d|distance_to_20d_high|distance_to_20d_low|distance_to_60d_high|distance_to_60d_low|trend_ma_5_20_spread|trend_ma_20_60_spread|max_drawdown_20d|max_drawdown_60d|turnover_zscore_20d|turnover_rate_median_20d|money_median_20d|trading_continuity_20d|recent_range_activity_20d|intraday_range_mean_20d|primitive_status|board_return_20d|stock_vs_board_20d|required_pre_vol_lookback_complete|entry_executable|supported_board|primary_scope|active_band_flag|label_selection_scope|upper_first|lower_first|neutral|censored|same_bar_conflict|horizon_complete|upper_touch_anytime|lower_touch_anytime|time_to_upper|time_to_lower|max_high_return|min_low_return|pre_success_MAE_for_upper_touch|horizon_close_return|upper_barrier|lower_barrier|winner_positive|label_id|horizon_sessions_x|rebound_from_20d_low|vol_ratio_20d_60d|vol_compression_20d_60d|vol_expansion_20d_60d|reference_month|reference_quarter|native_liquidity_floor_pass|native_trading_continuity_floor_pass|native_volatility_sanity_pass|listed_flag_pass,46f970560dff484a395ca1470ab6e66aae3f8e1c67a49024527bd9e788563bbb,pass,
ep13_survival_label_panel,optional_candidate_label_readout,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13G_event_survival_opportunity_and_defense_overlay_diagnostic/survival_opportunity_label_panel.parquet,True,.parquet,0,32,event_id|row_id|instrument|reference_date|entry_date|entry_pos|entry_price|split_bucket|selected_state_id|up_threshold|down_threshold|horizon_sessions|endpoint_id|analysis_denominator_flag|mfe_return|mae_return|terminal_return|upper_hit|lower_hit|time_to_upper_sessions|time_to_lower_sessions|first_touch_side|winner_before_fail|fail_before_winner|survive_without_fail|opportunity_without_fail|upper_first_winner_before_fail|upper_first_fail_before_winner|upper_first_opportunity_without_fail|same_bar_ambiguous|evaluable_flag|not_evaluable_reason,1732a3d843e98cdf9e540b6a5ded668613b1710806e077908a5ded621439db5f,pass,
ep14_sparse_event_panel,optional_candidate_source,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/local_cache/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_panel.parquet,True,.parquet,0,35,family_id|parameter_set_id|raw_event_arm_id|event_id|row_id|instrument|reference_date|event_t0_pos|split_bucket|board_bucket|calendar_year|instrument_year|reference_date_rank|event_intensity_score|event_signal_time|reset_state_id|cooldown_sessions|first_trigger_flag|duplicate_within_cooldown_flag|family_input_status|entry_date|entry_price|upper_first|lower_first|same_bar_conflict|winner|fast_fail|upper_barrier_return|lower_barrier_return|terminal_return_20d|max_high_return|min_low_return|path_utility_component_0bps|path_utility_component_50bps|path_utility_component_100bps,76f9d2465f416fd229d8b578672fbf3381fd034461ed7e3dc64ec3c502f20a06,pass,
ep14_sparse_event_generation_audit,optional_candidate_generation_audit,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_generation_audit.csv,True,.csv,16,7,family_id|parameter_set_id|raw_event_arm_id|raw_transition_n|accepted_event_n|duplicate_suppressed_n|family_input_status,ddb7c8c62023e34e413a64c3926cb43f891ac361f07cd13775d16b8579b41b2f,pass,
ep14_sparse_event_density_audit,optional_candidate_density_audit,experiments/pending/14_full_native_sparse_state_change_event_utility_preflight_v0/outputs/publishable/tables/14A_full_native_sparse_state_change_event_utility_preflight/sparse_event_density_audit.csv,True,.csv,48,11,raw_event_arm_id|family_id|parameter_set_id|split_bucket|event_n|instrument_n|instrument_year_n|event_density_per_instrument_year|duplicate_episode_fraction|average_uniqueness|density_gate_status,2e3f8cc9b8b1c87c7808e9700f67cdb5392ad5732b7520cefb93a8ba563ae769,pass,
