candidate_family_id,candidate_feature_id,proxy_type,split_bucket,row_n,source_window_id,formula_params_id,raw_candidate_rank_ic,residual_candidate_rank_ic,residual_retention,residualization_covariates,residual_rank_ic_same_sign_as_raw,orthogonal_payoff_candidate,target_evidence_role,missingness_rate,drift_status,diagnostic_status
M1,m1_close_location_episode_range,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,-0.06436613076309664,-0.05875156165938286,0.9127713746787339,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M1,m1_close_location_episode_range,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.03972343254958775,0.0068344850008210225,0.1720517226775245,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M3,m3_upside_room_to_episode_high,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.0674104078749886,0.06911020913337261,1.0252157094426169,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M3,m3_upside_room_to_episode_high,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.14126104775506207,0.15510604976066342,1.0980100475370091,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M3,m3_upside_room_to_episode_high,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.040570716288865015,0.04487109349241445,1.1059970736757663,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M3,m3_downside_crowding_to_episode_low,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.018896132746603133,-0.00949644079074327,0.5025600168082223,mr_volatility_20d|mr_volume_20d_zscore,True,False,train_priority_prior,0.03220548283526792,not_evaluated,pass
M3,m3_downside_crowding_to_episode_low,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.034448037217230665,0.046217475261826436,1.341657725529534,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M3,m3_downside_crowding_to_episode_low,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.06698450130582354,0.0314943274139252,0.4701733505506763,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M3,m3_vol_adjusted_repair_strength,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.00470355082606942,-0.007908272721497692,1.6813409727957245,mr_volatility_20d|mr_volume_20d_zscore,True,False,train_priority_prior,0.03220548283526792,not_evaluated,pass
M3,m3_vol_adjusted_repair_strength,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.04650368618762712,0.0327256191225012,0.7037209693542156,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M3,m3_vol_adjusted_repair_strength,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.08827700383101215,0.09366406188887039,1.061024477769665,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M5,m5_bars_since_episode_low,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.017868605066411827,0.014730603734282578,0.8243846500347222,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M5,m5_bars_since_episode_low,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.0860259820528677,0.07879796543471548,0.915978679398159,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M5,m5_bars_since_episode_low,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.09309815846426488,0.11813053259909331,1.2688815176127994,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M5,m5_episode_age_to_t0,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.0595116770493826,0.05869903941843799,0.9863449045425103,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M5,m5_episode_age_to_t0,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.16534955228020695,0.16346468632630345,0.9886007193372417,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M5,m5_episode_age_to_t0,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.08157701497462423,0.08241182875028796,1.0102334435247895,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M5,m5_lifecycle_progress_to_t0,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.16694810516356579,0.16880967866807756,1.0111506117585936,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
M5,m5_lifecycle_progress_to_t0,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.24679343439673843,0.2476036310177157,1.003282893740499,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.08173076923076927,diagnostic_only,pass
M5,m5_lifecycle_progress_to_t0,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.25555493811242436,0.25339323232538175,0.9915411308307741,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.06174698795180722,diagnostic_only,pass
M5,m5_bars_since_reclaim,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,0.041452161439238154,0.02818612990749319,0.6799676766869993,mr_volatility_20d|mr_volume_20d_zscore,True,True,train_priority_prior,0.1895776734996295,not_evaluated,pass
M5,m5_bars_since_reclaim,path_or_pressure_proxy,robustness,2496,pre_t0,config_18d_default,0.07914308347803047,0.06995316065933493,0.8838821737183568,mr_volatility_20d|mr_volume_20d_zscore,True,False,robustness_diagnostic_only,0.3032852564102564,diagnostic_only,pass
M5,m5_bars_since_reclaim,path_or_pressure_proxy,validation,664,pre_t0,config_18d_default,0.1334553520043478,0.13149036908407297,0.9852761025259533,mr_volatility_20d|mr_volume_20d_zscore,True,False,validation_diagnostic_only,0.29216867469879515,diagnostic_only,pass
M2,m2_net_signed_money_flow_trailing20,path_or_pressure_proxy,train,20245,pre_t0,config_18d_default,-0.05485217894021404,-0.02129348254989183,0.3881975695642026,mr_volatility_20d|mr_volume_20d_zscore|mr_turnover_rate_20d_zscore|mr_money_20d_zscore,True,True,train_priority_prior,0.03220548283526792,not_evaluated,pass
