factor_id,local_formula_id,signal_period,signal_month_end,holding_period,holding_month_end,split,factor_month_status,eligible_instrument_count,high_quintile_count,low_quintile_count,high_mean_return,low_mean_return,factor_gross_return,factor_buy_turnover,factor_sell_turnover,factor_after_cost_return,high_instruments,low_instruments
TURN,local_TURN_share_turnover_21d_v0,2017-09,2017-09-29,2017-10,2017-10-31,train,complete,150,30,30,0.006663072344435498,0.026524057168938648,-0.019860984824503155,0.5000000000000002,0.5000000000000002,-0.025360984824503156,SH600795;SH600703;SZ002241;SH600340;SZ002594;SH600048;SH601688;SH600547;SH601225;SZ002673;SZ000651;SH601377;SH601899;SZ002450;SH603993;SH600362;SZ002456;SZ000063;SH600050;SZ000725;SH600309;SH601012;SZ002466;SZ000413;SH600111;SH603799;SZ002230;SZ002460;SZ000792;SH600516,SH601857;SZ000617;SH601939;SH601988;SH601398;SH601628;SH601288;SH601998;SH600028;SH600011;SH600900;SH601229;SH600018;SZ002558;SH603288;SH600023;SZ002120;SH600663;SH601328;SH601991;SH600000;SH601808;SZ002352;SH601766;SH601800;SH600515;SH601390;SZ002736;SH601169;SH600036
BAB,local_BAB_beta_sort_252d_v0,2017-09,2017-09-29,2017-10,2017-10-31,train,complete,146,29,30,-0.0004923149251408293,0.048812384108929296,-0.049304699034070136,0.2379310344827585,0.23793103448275857,-0.05192194041338048,SZ000776;SH600188;SH600031;SZ000063;SZ002230;SZ002241;SZ000568;SH600111;SH600309;SZ001979;SH600606;SH601688;SH603993;SZ000069;SH600383;SH601225;SZ002673;SZ000858;SH600516;SH600340;SH600362;SZ002466;SZ002236;SH601992;SZ000783;SH601919;SH603799;SH601881;SZ000333,SZ002558;SH601398;SH600547;SH601288;SH600018;SH601238;SH600900;SH600518;SH601988;SZ002027;SH600663;SH601857;SH601939;SH600276;SH601018;SH601328;SH601006;SH600023;SZ002120;SH600028;SH600011;SH600066;SH600009;SH600196;SH601818;SH601985;SH601888;SH600221;SH601808;SH601899
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-10,2017-10-31,2017-11,2017-11-30,train,complete,156,31,32,0.004760903800227083,-0.03932677533586108,0.04408767913608818,0.4385080645161288,0.4385080645161291,0.03926409042641076,SH601390;SH600030;SZ000725;SH601800;SZ000858;SZ000651;SZ002352;SH601668;SH600016;SH601998;SZ000002;SH601766;SZ000333;SH600900;SH601166;SZ002415;SH600104;SH600000;SH601601;SH601088;SH601328;SH600036;SH600028;SH600519;SH601628;SH601988;SH601318;SH601288;SH601857;SH601939;SH601398,SH603858;SH600809;SH600377;SZ000768;SH600886;SZ002008;SZ000413;SZ002202;SZ000963;SH600516;SH601377;SH600111;SZ000100;SH600383;SH600221;SH601808;SZ002714;SH601877;SH600547;SH600705;SH600515;SH603799;SH600066;SZ000039;SH601991;SH600188;SZ002310;SH600233;SH600362;SZ002120;SH600031;SH601992
ILL,local_ILL_amihud_21d_v0,2017-10,2017-10-31,2017-11,2017-11-30,train,complete,155,31,31,-0.04438543562751644,-0.0008903757907658674,-0.04349505983675057,0.5161290322580646,0.5161290322580644,-0.04917247919158928,SH600009;SH601919;SZ000938;SZ000069;SH600705;SH600893;SH600010;SH600383;SZ000963;SZ000039;SH600061;SH600023;SH600233;SZ002736;SH601901;SZ002714;SH600297;SH601877;SH600663;SH600188;SH603288;SH600011;SH603858;SH601898;SH601991;SH600377;SH601808;SZ002558;SZ002120;SH600515;SZ000617,SH601318;SZ000725;SZ000651;SH600030;SH601166;SH601668;SH600050;SH600519;SZ000063;SH600016;SH600036;SH601398;SZ002230;SH600516;SH601288;SH600028;SZ002460;SH600887;SH601688;SZ000858;SH601328;SH601766;SH600309;SH601988;SZ000002;SH600048;SZ002450;SH601818;SZ002415;SZ000413;SZ002466
TURN,local_TURN_share_turnover_21d_v0,2017-10,2017-10-31,2017-11,2017-11-30,train,complete,156,31,32,-0.055455530976845226,-0.019504462251971333,-0.035951068724873886,0.637096774193548,0.6370967741935485,-0.04295913324100292,SZ000568;SZ000625;SZ002310;SZ000338;SZ002594;SH600703;SZ002236;SZ000768;SH600362;SH600887;SH600809;SZ002024;SZ002450;SZ002241;SZ000651;SH601012;SH600690;SH600050;SZ002456;SH600309;SZ002008;SH600111;SZ000100;SZ002466;SZ000063;SZ000413;SH603799;SZ002230;SZ000725;SZ002460;SH600516,SH601857;SZ000617;SH601939;SH600011;SH601998;SH601988;SH601398;SH601229;SH600028;SZ002736;SH601628;SH601288;SH600377;SH601898;SH600023;SH601991;SH600900;SZ002558;SH601088;SH601800;SH601808;SH600000;SH603288;SZ002252;SH601328;SZ000166;SH600663;SH601901;SH600016;SZ002352;SH600515;SH600010
BAB,local_BAB_beta_sort_252d_v0,2017-10,2017-10-31,2017-11,2017-11-30,train,complete,152,30,31,-0.01092604793583826,-0.02577676181394839,0.014850713878110123,0.229032258064516,0.22903225806451605,0.012331359039400447,SZ000725;SZ002230;SH600111;SH600188;SZ002736;SZ000776;SH603993;SZ002241;SH600309;SH601688;SH600031;SH600516;SZ000651;SZ000063;SZ001979;SZ000568;SH600606;SH601225;SZ002466;SZ000069;SH600383;SH600362;SH600340;SH601992;SH603799;SZ002236;SZ000858;SH601919;SH601881;SZ000333,SZ002558;SH601398;SH601288;SH600018;SH600547;SH601238;SH600900;SH600795;SH601988;SH600663;SH600518;SZ002027;SH601857;SH601939;SH600276;SH600886;SH601328;SH601018;SZ002120;SH600023;SH601006;SH600028;SH600009;SH600011;SH600377;SH601088;SH600196;SH601985;SH601818;SH601899;SH600066
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-11,2017-11-30,2017-12,2017-12-29,train,complete,154,30,31,0.009612504034654376,0.005894055351233881,0.0037184486834204904,0.40826612903225823,0.4082661290322578,-0.0007724787359343469,SH601800;SZ002352;SZ000001;SH600030;SZ000858;SZ000651;SH601668;SH601998;SH600016;SH601766;SZ000333;SZ002415;SZ000002;SH600104;SH600900;SH601166;SH601601;SH600000;SH601328;SH601088;SH600028;SH600036;SH600519;SH601628;SH601988;SH601288;SH601318;SH601857;SH601939;SH601398,SH603799;SZ002044;SH600233;SH603160;SZ000413;SH600886;SZ000100;SZ002010;SH600111;SZ002008;SH601877;SZ002493;SH601808;SH600066;SH601377;SZ002460;SH600221;SH600705;SH600515;SZ002714;SZ002310;SH601991;SH600383;SH601155;SH600547;SZ002202;SZ000039;SZ002456;SH600297;SZ002466;SH600061
ILL,local_ILL_amihud_21d_v0,2017-11,2017-11-30,2017-12,2017-12-29,train,complete,154,30,31,-0.00525898348236753,0.01209283889797612,-0.017351822380343645,0.5483870967741936,0.5483870967741933,-0.023384080444859772,SH601633;SH600688;SH600383;SH601901;SH601727;SH600010;SH601155;SZ002714;SZ002736;SH600061;SZ002044;SZ002252;SH600893;SH600297;SH603160;SH600188;SZ002493;SH600011;SZ002558;SH601877;SH603288;SH601919;SH600663;SH601991;SH601898;SH601808;SH600233;SH600515;SZ002010;SZ000617,SH601318;SZ000725;SH601668;SH601166;SH600519;SZ000651;SH600030;SH601398;SH600036;SH600016;SH600050;SZ002230;SH600028;SH601288;SH601766;SH600887;SH601328;SZ000063;SH601988;SZ000858;SZ000001;SH600104;SH601688;SH600585;SZ002466;SH600019;SZ002460;SZ000333;SH601939;SH600690;SH601818
TURN,local_TURN_share_turnover_21d_v0,2017-11,2017-11-30,2017-12,2017-12-29,train,complete,154,30,31,0.017184564125109762,-0.019325451591338715,0.036510015716448484,0.47782258064516125,0.4778225806451606,0.03125396732935171,SZ000938;SZ002236;SZ000568;SH600029;SZ002202;SH600048;SZ000001;SZ002450;SH600703;SH600585;SZ000651;SZ000338;SZ000413;SH600887;SH600690;SH600030;SH600050;SZ002456;SZ002241;SH600031;SH600111;SH601012;SZ000100;SZ002008;SZ000063;SZ002466;SH603799;SZ002460;SZ000725;SZ002230,SZ000617;SH601857;SH601939;SZ002252;SZ002010;SH601988;SH600663;SH601398;SH601998;SH600011;SZ002736;SH601288;SH601628;SH601898;SH601800;SH601633;SH600900;SZ002352;SH603288;SH601238;SH601991;SH600515;SH600023;SZ000166;SH600028;SH601328;SH601808;SH600010;SH601669;SH600000;SH600061
BAB,local_BAB_beta_sort_252d_v0,2017-11,2017-11-30,2017-12,2017-12-29,train,complete,152,30,31,0.0273270621709209,-0.007516558977051591,0.034843621147972494,0.5602150537634407,0.5602150537634407,0.028681255556574643,SH600340;SH600690;SH600031;SH601688;SZ002456;SH601318;SZ000338;SH603799;SH601877;SH600606;SH601012;SZ002230;SZ002241;SH600383;SH601933;SZ000651;SZ000069;SZ000568;SZ002466;SZ002415;SH601919;SZ000725;SZ000858;SZ000063;SZ002008;SZ000100;SZ002236;SH601155;SH601881;SZ000333,SZ002558;SH601288;SH601238;SH600547;SH601398;SH600018;SH601988;SH601018;SH600795;SH600900;SH600663;SH600011;SH601939;SH601328;SH601899;SH600023;SH601857;SH600028;SH600518;SZ002010;SH600886;SH601088;SH601985;SH601818;SH601006;SH601618;SH600276;SH600221;SH601991;SH601166;SH600016
SIZE,local_SIZE_market_cap_high_minus_low_v0,2017-12,2017-12-29,2018-01,2018-01-31,train,complete,153,30,31,0.09506540851770279,-0.011324408807770496,0.10638981732547326,0.4204301075268816,0.4204301075268816,0.10176508614267757,SH601336;SH600030;SZ002352;SZ000001;SZ000651;SH601668;SZ000858;SH601998;SH600016;SZ000002;SH600900;SH601766;SH601166;SZ002415;SZ000333;SH600000;SH600104;SH601601;SH601088;SH601328;SH600036;SH600028;SH601628;SH600519;SH601988;SH601288;SH601318;SH601857;SH601939;SH601398,SH601808;SH600516;SZ000963;SZ000100;SZ002010;SZ002008;SH600111;SH600600;SZ002460;SH600066;SZ000413;SZ002310;SZ002493;SH600487;SH601991;SH601878;SH600061;SZ002120;SZ002456;SH601877;SZ002241;SH601901;SZ002044;SH600383;SH600547;SH601992;SH600816;SZ000625;SH600893;SZ002466;SZ002714
ILL,local_ILL_amihud_21d_v0,2017-12,2017-12-29,2018-01,2018-01-31,train,complete,151,30,31,0.051402067265640464,0.100572157594806,-0.049170090329165535,0.4258064516129031,0.4258064516129031,-0.05385396129690747,SH600383;SZ002493;SH601155;SH600688;SZ000166;SH600893;SH601901;SH600188;SH601881;SH600600;SH601919;SZ002044;SH601018;SH601633;SH603288;SH601877;SH601727;SZ002352;SH600061;SH600011;SH600297;SH601898;SH601991;SZ002558;SZ002736;SH601808;SH600663;SZ002010;SZ002120;SZ000617,SH601318;SZ000725;SH600519;SH601668;SH601166;SZ000651;SH601766;SZ000063;SH601288;SH600030;SH601398;SZ002230;SH600028;SH600036;SZ000858;SH600887;SZ000001;SH600516;SZ000002;SH600016;SH600048;SH600050;SH601988;SH601899;SH600585;SH600340;SH601328;SZ002460;SH601006;SZ002415;SH600104
TURN,local_TURN_share_turnover_21d_v0,2017-12,2017-12-29,2018-01,2018-01-31,train,complete,153,30,31,0.020455885493500654,0.05837098072093308,-0.03791509522743242,0.3623655913978494,0.3623655913978494,-0.04190111673280876,SH600029;SH600030;SZ000001;SZ000338;SH600690;SH600585;SZ000858;SZ000651;SH600196;SH600887;SH601899;SH600703;SH600362;SH600048;SZ002202;SZ002241;SZ002236;SH601012;SH600031;SH601933;SZ002466;SZ002456;SH600111;SZ002008;SH600487;SZ000063;SZ000725;SZ002460;SZ002230;SH600516,SH601857;SZ000617;SH601939;SZ002352;SH601988;SH601398;SH601628;SH601800;SH601998;SH601288;SH601633;SZ002736;SH601238;SH600028;SH600011;SH603288;SZ002010;SH601898;SZ002252;SH601618;SH601727;SZ002120;SH601991;SH601328;SH601808;SH601669;SH600000;SH600900;SZ000166;SH600688;SH600663
BAB,local_BAB_beta_sort_252d_v0,2017-12,2017-12-29,2018-01,2018-01-31,train,complete,153,30,31,0.04763440285678807,0.05524238362793897,-0.0076079807711509,0.3612903225806451,0.3612903225806451,-0.011582174319537997,SZ002456;SZ002475;SZ002230;SH600383;SZ002202;SZ002241;SZ000001;SZ000338;SH600690;SH601933;SZ002466;SZ000069;SH601318;SH600406;SH601919;SZ000651;SH601012;SZ000568;SZ002415;SZ000725;SH601881;SZ000858;SH601155;SZ000100;SZ000063;SZ002008;SH600487;SZ002236;SH601878;SZ000333,SZ002252;SH600547;SZ002558;SH601238;SH601288;SH601398;SH600011;SZ002010;SH601018;SH601988;SH600900;SH601328;SH600023;SH600018;SH601899;SH600663;SH600795;SH600028;SH601939;SH601857;SH601985;SH600518;SH601818;SH601618;SH601006;SZ002120;SH601727;SH601808;SH601390;SH601991;SH601166
SIZE,local_SIZE_market_cap_high_minus_low_v0,2018-01,2018-01-31,2018-02,2018-02-28,train,complete,150,30,30,-0.07370229562254657,-0.04009162625036112,-0.033610669372185445,0.4215053763440859,0.421505376344086,-0.03824722851197039,SH601800;SZ000001;SH601818;SH600030;SH601668;SZ000858;SH601766;SH600016;SZ000651;SH600900;SH601998;SH601601;SZ002415;SH600000;SH601166;SZ000333;SH600104;SZ000002;SH601328;SH601088;SH601628;SH600036;SH600028;SH600519;SH601988;SH601318;SH601288;SH601857;SH601939;SH601398,SH600377;SH600871;SZ002508;SZ000898;SH601377;SZ002120;SZ002008;SH600516;SH601877;SH601878;SH600600;SH601991;SZ000963;SZ002010;SH600893;SH600061;SH601901;SZ002493;SH600547;SH600816;SH603799;SH601808;SH601992;SZ002146;SZ002466;SH603833;SZ002044;SH600795;SH600297;SZ000625
ILL,local_ILL_amihud_21d_v0,2018-01,2018-01-31,2018-02,2018-02-28,train,complete,150,30,30,-0.0491023392434306,-0.06776361673679866,0.01866127749336808,0.3290322580645161,0.32903225806451614,0.015041922654658401,SH601881;SH600688;SH601618;SH600893;SH601669;SZ002508;SH601901;SZ002044;SZ002352;SZ002736;SH601898;SZ002493;SH601633;SH601877;SH600871;SH601727;SH601808;SH601018;SH600297;SH601991;SH600011;SH603288;SZ002558;SH600061;SH600377;SZ002010;SH603833;SH600663;SZ002120;SZ000617,SH601318;SZ000725;SH601166;SH600030;SH600519;SH601668;SZ000063;SH601398;SH601288;SZ000651;SZ000001;SH600048;SH601328;SZ000858;SH601766;SH600028;SH600036;SH600887;SH600000;SZ002230;SH600016;SH601818;SH601988;SH601899;SH600104;SZ000002;SH600516;SH600050;SZ002415;SH601601
TURN,local_TURN_share_turnover_21d_v0,2018-01,2018-01-31,2018-02,2018-02-28,train,complete,150,30,30,-0.07692804379181638,-0.04701614942447465,-0.029911894367341766,0.690322580645161,0.6903225806451614,-0.03750544275443854,SH600703;SH601688;SZ000001;SZ000069;SH601166;SH601933;SH601155;SH600690;SZ000651;SH600547;SH601668;SH601009;SH601012;SH600362;SH600048;SZ002466;SH600340;SH600031;SH600029;SH600030;SH600383;SH601899;SZ002008;SH600606;SZ000063;SZ002146;SZ002230;SZ000725;SH603799;SH600516,SZ000617;SH601857;SZ002352;SH601238;SH601939;SH600011;SH601628;SH601727;SZ002120;SH601398;SH600663;SH603288;SZ002010;SH600377;SH600900;SH601988;SH601018;SH601633;SH601800;SH600010;SH601991;SZ002558;SH601669;SH601998;SH601898;SH603833;SZ000166;SH600061;SH601390;SH601985
BAB,local_BAB_beta_sort_252d_v0,2018-01,2018-01-31,2018-02,2018-02-28,train,complete,150,30,30,-0.08902565472600751,-0.05760279715591999,-0.03142285757008748,0.42903225806451606,0.4290322580645163,-0.03614221240879716,SZ000338;SH600031;SH603799;SH601688;SH600703;SZ000001;SZ001979;SZ000002;SH601933;SH601881;SH601919;SH600690;SH600606;SZ000069;SH601318;SZ002508;SH601012;SZ002146;SZ000568;SZ000725;SZ002415;SH600383;SZ000651;SH601878;SZ000858;SZ002236;SZ002008;SZ000063;SH601155;SZ000333,SZ002558;SH600547;SH601238;SH601288;SH600011;SH600871;SZ002010;SH601018;SH601899;SH601398;SH600795;SH600900;SH600023;SH601985;SH600018;SH600028;SH601328;SH601988;SH600663;SH600377;SH601857;SH600518;SH601006;SH601727;SH601939;SZ002120;SH601618;SH601088;SH601390;SH601991
SIZE,local_SIZE_market_cap_high_minus_low_v0,2018-02,2018-02-28,2018-03,2018-03-30,train,complete,155,31,31,-0.06278838177686424,-0.016164200878340033,-0.04662418089852423,0.5161290322580646,0.5161290322580645,-0.05230160025336294,SZ002352;SH601800;SH600019;SH601818;SH601668;SZ000858;SH601766;SH600016;SZ000651;SH601998;SZ000002;SZ000333;SH600900;SH601601;SH600000;SH601166;SH601360;SZ002415;SH600104;SH601088;SH601328;SH601628;SH600036;SH600028;SH600519;SH601318;SH601988;SH601288;SH601857;SH601939;SH601398,SH601877;SZ002241;SZ002010;SZ000100;SH601991;SH600066;SH600600;SH601808;SZ002310;SH600061;SZ000898;SH600516;SZ002600;SZ002120;SH600487;SH601901;SZ002460;SZ000963;SH600398;SZ000039;SZ002714;SH601992;SZ000625;SH600383;SH603833;SH600893;SH600816;SZ002456;SH600795;SH601788;SH600297
ILL,local_ILL_amihud_21d_v0,2018-02,2018-02-28,2018-03,2018-03-30,train,complete,153,30,31,0.00823154325437708,-0.05296985931950106,0.06120140257387814,0.296774193548387,0.2967741935483871,0.05793688644484588,SZ002736;SH601669;SZ002714;SZ002493;SH600398;SH600688;SH601633;SH600600;SZ000938;SH601877;SH601018;SH601901;SH600893;SH600346;SZ002600;SZ002044;SZ002558;SH601898;SZ002352;SH600061;SH603288;SH600297;SH601808;SH600011;SH601991;SH601727;SH600663;SH603833;SZ002120;SZ000617,SH601318;SH601166;SH600519;SH600030;SZ000725;SH601668;SH601288;SZ000651;SH601398;SH600036;SH601328;SZ000858;SZ000063;SZ000001;SH600048;SH600887;SH601939;SH600028;SH600019;SH601988;SH600000;SZ000002;SH600016;SH600516;SH601766;SH600050;SZ002415;SH601688;SH601899;SZ002230;SH600104
TURN,local_TURN_share_turnover_21d_v0,2018-02,2018-02-28,2018-03,2018-03-30,train,complete,153,30,31,-0.05656587471633198,-0.025184013507379508,-0.03138186120895247,0.32903225806451625,0.3290322580645161,-0.03500121604766215,SZ000001;SH600703;SZ000858;SH601166;SH601668;SZ000651;SZ002236;SH600340;SH600606;SH601009;SZ002241;SH601155;SH600031;SH601012;SH600383;SH600048;SH600029;SZ002008;SZ002456;SH600030;SH600362;SH601899;SZ002466;SZ000725;SZ002230;SZ000063;SH600487;SZ002460;SH603799;SH600516,SZ000617;SH601857;SZ002352;SH600663;SH600011;SH601939;SZ002120;SH601727;SH603288;SH601628;SH601633;SH601398;SH600900;SH601991;SZ002558;SH601988;SH601238;SH601669;SH601018;SH601800;SH601998;SH601618;SZ000166;SH600061;SH600010;SH603833;SH600297;SH601898;SH601985;SH600104;SH601901
