target_industry,model_task,fold_id,contract_id,raw_train_rows,rows_removed_by_label_window_purge,rows_removed_by_event_date_purge,rows_removed_by_feature_asof_purge,rows_removed_by_observed_reference_decision_overlap,rows_removed_by_observed_reference_feature_overlap,rows_removed_by_label_truncation,train_rows_after_purge,train_positive_after_purge,train_negative_after_purge,train_distinct_instruments_after_purge,train_distinct_instrument_years_after_purge,inner_validation_rows_before_outer_purge,inner_validation_rows_removed_by_outer_label_window_purge,inner_validation_label_window_end_max,validation_start_date,inner_validation_label_window_crosses_outer_validation_count,purge_pass
电子,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,1418,286,0,0,0,0,0,1092,360,732,23,71,0,0,,2022-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,1811,242,0,0,0,0,0,1096,360,736,23,71,217,0,2022-12-30,2023-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1811,242,0,0,0,0,0,1524,362,1162,27,89,0,0,,2023-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,1811,242,0,0,0,0,0,662,277,385,19,47,674,0,2022-12-30,2023-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,1811,242,0,0,0,0,0,662,277,385,19,47,674,0,2022-12-30,2023-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,1811,242,0,0,0,0,0,1524,362,1162,27,89,0,0,,2023-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,2247,246,0,0,0,0,0,1524,362,1162,27,89,243,0,2023-12-29,2024-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,2247,246,0,0,0,0,0,1941,389,1552,27,102,0,0,,2024-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,2247,246,0,0,0,0,0,1096,360,736,23,71,625,0,2023-12-29,2024-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,2247,246,0,0,0,0,0,1096,360,736,23,71,625,0,2023-12-29,2024-01-01,0,True
电子,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,2247,246,0,0,0,0,0,1941,389,1552,27,102,0,0,,2024-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,527,102,0,0,0,0,0,219,3,216,9,16,96,0,2019-12-26,2020-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,527,102,0,0,0,0,0,422,37,385,10,24,0,0,,2020-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,527,102,0,0,0,0,0,0,0,0,0,0,303,0,2019-12-26,2020-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,527,102,0,0,0,0,0,0,0,0,0,0,303,0,2019-12-26,2020-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,527,102,0,0,0,0,0,422,37,385,10,24,0,0,,2020-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,747,124,0,0,0,0,0,422,37,385,10,24,115,0,2020-12-25,2021-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,747,124,0,0,0,0,0,620,95,525,10,33,0,0,,2021-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,747,124,0,0,0,0,0,219,3,216,9,16,291,0,2020-12-25,2021-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,747,124,0,0,0,0,0,219,3,216,9,16,291,0,2020-12-25,2021-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,747,124,0,0,0,0,0,620,95,525,10,33,0,0,,2021-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,986,110,0,0,0,0,0,620,95,525,10,33,136,0,2021-12-24,2022-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,986,110,0,0,0,0,0,865,196,669,14,47,0,0,,2022-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,986,110,0,0,0,0,0,422,37,385,10,24,356,0,2021-12-24,2022-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,986,110,0,0,0,0,0,422,37,385,10,24,356,0,2021-12-24,2022-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,986,110,0,0,0,0,0,865,196,669,14,47,0,0,,2022-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,1199,124,0,0,0,0,0,869,196,673,14,47,111,0,2022-12-30,2023-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1199,124,0,0,0,0,0,1064,236,828,15,58,0,0,,2023-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,1199,124,0,0,0,0,0,620,95,525,10,33,335,0,2022-12-30,2023-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,1199,124,0,0,0,0,0,620,95,525,10,33,335,0,2022-12-30,2023-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,1199,124,0,0,0,0,0,1064,236,828,15,58,0,0,,2023-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,1459,148,0,0,0,0,0,1064,236,828,15,58,145,0,2023-12-29,2024-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1459,148,0,0,0,0,0,1300,260,1040,15,68,0,0,,2024-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,1459,148,0,0,0,0,0,869,196,673,14,47,347,0,2023-12-29,2024-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,1459,148,0,0,0,0,0,869,196,673,14,47,347,0,2023-12-29,2024-01-01,0,True
汽车,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,1459,148,0,0,0,0,0,1300,260,1040,15,68,0,0,,2024-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,204,80,0,0,0,0,0,32,2,30,5,5,44,0,2019-12-06,2020-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,204,80,0,0,0,0,0,124,4,120,6,13,0,0,,2020-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T2_pooled_inner_validation,204,80,0,0,0,0,0,0,0,0,0,0,87,0,2019-12-11,2020-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,204,80,0,0,0,0,0,0,0,0,0,0,87,0,2019-12-11,2020-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,204,80,0,0,0,0,0,124,4,120,6,13,0,0,,2020-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,421,127,0,0,0,0,0,124,4,120,6,13,96,0,2020-12-29,2021-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,421,127,0,0,0,0,0,294,37,257,7,19,0,0,,2021-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T2_pooled_inner_validation,421,127,0,0,0,0,0,32,2,30,5,5,211,0,2020-12-29,2021-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,421,127,0,0,0,0,0,32,2,30,5,5,211,0,2020-12-29,2021-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,421,127,0,0,0,0,0,294,37,257,7,19,0,0,,2021-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,653,127,0,0,0,0,0,294,37,257,7,19,105,0,2021-12-31,2022-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,653,127,0,0,0,0,0,526,160,366,11,34,0,0,,2022-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T2_pooled_inner_validation,653,127,0,0,0,0,0,124,4,120,6,13,322,0,2021-12-31,2022-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,653,127,0,0,0,0,0,124,4,120,6,13,322,0,2021-12-31,2022-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,653,127,0,0,0,0,0,526,160,366,11,34,0,0,,2022-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,1106,225,0,0,0,0,0,526,160,366,11,34,235,0,2022-12-30,2023-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,1106,225,0,0,0,0,0,869,221,648,18,54,0,0,,2023-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T2_pooled_inner_validation,1106,225,0,0,0,0,0,294,37,257,7,19,448,0,2022-12-30,2023-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,1106,225,0,0,0,0,0,294,37,257,7,19,448,0,2022-12-30,2023-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,1106,225,0,0,0,0,0,869,221,648,18,54,0,0,,2023-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,1512,128,0,0,0,0,0,869,221,648,18,54,223,0,2023-12-25,2024-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1512,128,0,0,0,0,0,1305,221,1084,18,69,0,0,,2024-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T2_pooled_inner_validation,1512,128,0,0,0,0,0,526,160,366,11,34,652,0,2023-12-25,2024-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,1512,128,0,0,0,0,0,526,160,366,11,34,652,0,2023-12-25,2024-01-01,0,True
电力设备,industry_launch_winner_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,1512,128,0,0,0,0,0,1305,221,1084,18,69,0,0,,2024-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,1622,366,0,0,0,0,0,554,292,262,8,14,528,0,2019-12-31,2020-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,1622,366,0,0,0,0,0,1256,432,824,13,25,0,0,,2020-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,1622,366,0,0,0,0,0,182,7,175,6,6,980,0,2019-12-31,2020-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,1622,366,0,0,0,0,0,182,7,175,6,6,980,0,2019-12-31,2020-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,1622,366,0,0,0,0,0,1256,432,824,13,25,0,0,,2020-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,2684,383,0,0,0,0,0,1256,432,824,13,25,685,0,2020-12-31,2021-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,2684,383,0,0,0,0,0,2301,741,1560,22,51,0,0,,2021-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,2684,383,0,0,0,0,0,554,292,262,8,14,1548,0,2020-12-31,2021-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,2684,383,0,0,0,0,0,554,292,262,8,14,1548,0,2020-12-31,2021-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,2684,383,0,0,0,0,0,2301,741,1560,22,51,0,0,,2021-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,4300,558,0,0,0,0,0,2301,741,1560,22,51,1072,0,2021-12-31,2022-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,4300,558,0,0,0,0,0,3742,1524,2218,27,77,0,0,,2022-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,4300,558,0,0,0,0,0,1256,432,824,13,25,2123,0,2021-12-31,2022-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,4300,558,0,0,0,0,0,1256,432,824,13,25,2123,0,2021-12-31,2022-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,4300,558,0,0,0,0,0,3742,1524,2218,27,77,0,0,,2022-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,5489,461,0,0,0,0,0,3742,1524,2218,27,77,820,0,2022-12-30,2023-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,5489,461,0,0,0,0,0,5028,2341,2687,30,94,0,0,,2023-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,5489,461,0,0,0,0,0,2301,741,1560,22,51,2355,0,2022-12-30,2023-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,5489,461,0,0,0,0,0,2301,741,1560,22,51,2355,0,2022-12-30,2023-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,5489,461,0,0,0,0,0,5028,2341,2687,30,94,0,0,,2023-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,6813,476,0,0,0,0,0,5028,2341,2687,30,94,962,0,2023-12-29,2024-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,6813,476,0,0,0,0,0,6337,3055,3282,30,109,0,0,,2024-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,6813,476,0,0,0,0,0,3742,1524,2218,27,77,2126,0,2023-12-29,2024-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,6813,476,0,0,0,0,0,3742,1524,2218,27,77,2126,0,2023-12-29,2024-01-01,0,True
电子,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,6813,476,0,0,0,0,0,6337,3055,3282,30,109,0,0,,2024-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,1593,150,0,0,0,0,0,876,459,417,10,19,435,0,2019-12-26,2020-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,1593,150,0,0,0,0,0,1443,613,830,11,27,0,0,,2020-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,1593,150,0,0,0,0,0,159,17,142,9,9,1111,0,2019-12-26,2020-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,1593,150,0,0,0,0,0,159,17,142,9,9,1111,0,2019-12-26,2020-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,1593,150,0,0,0,0,0,1443,613,830,11,27,0,0,,2020-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,2223,107,0,0,0,0,0,1443,613,830,11,27,541,0,2020-12-31,2021-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,2223,107,0,0,0,0,0,2116,811,1305,12,36,0,0,,2021-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,2223,107,0,0,0,0,0,876,459,417,10,19,1099,0,2020-12-31,2021-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,2223,107,0,0,0,0,0,876,459,417,10,19,1099,0,2020-12-31,2021-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,2223,107,0,0,0,0,0,2116,811,1305,12,36,0,0,,2021-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,3028,266,0,0,0,0,0,2116,811,1305,12,36,557,0,2021-12-23,2022-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,3028,266,0,0,0,0,0,2762,1104,1658,15,48,0,0,,2022-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,3028,266,0,0,0,0,0,1443,613,830,11,27,1187,0,2021-12-23,2022-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,3028,266,0,0,0,0,0,1443,613,830,11,27,1187,0,2021-12-23,2022-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,3028,266,0,0,0,0,0,2762,1104,1658,15,48,0,0,,2022-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,3670,277,0,0,0,0,0,2762,1104,1658,15,48,422,0,2022-12-27,2023-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,3670,277,0,0,0,0,0,3393,1408,1985,16,59,0,0,,2023-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,3670,277,0,0,0,0,0,2116,811,1305,12,36,1188,0,2022-12-27,2023-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,3670,277,0,0,0,0,0,2116,811,1305,12,36,1188,0,2022-12-27,2023-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,3670,277,0,0,0,0,0,3393,1408,1985,16,59,0,0,,2023-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,4433,203,0,0,0,0,0,3393,1408,1985,16,59,617,0,2023-12-28,2024-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,4433,203,0,0,0,0,0,4230,1702,2528,16,69,0,0,,2024-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,4433,203,0,0,0,0,0,2762,1104,1658,15,48,1259,0,2023-12-28,2024-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,4433,203,0,0,0,0,0,2762,1104,1658,15,48,1259,0,2023-12-28,2024-01-01,0,True
汽车,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,4433,203,0,0,0,0,0,4230,1702,2528,16,69,0,0,,2024-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T0_strict_p0_9_reproduction,626,121,0,0,0,0,0,192,85,107,5,7,257,0,2019-12-30,2020-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T1_fixed_rounds_no_inner_validation,626,121,0,0,0,0,0,505,246,259,6,13,0,0,,2020-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T2_pooled_inner_validation,626,121,0,0,0,0,0,0,0,0,0,0,402,0,2019-12-30,2020-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,626,121,0,0,0,0,0,0,0,0,0,0,402,0,2019-12-30,2020-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,626,121,0,0,0,0,0,505,246,259,6,13,0,0,,2020-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,1253,252,0,0,0,0,0,515,246,269,6,13,375,0,2020-12-31,2021-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,1253,252,0,0,0,0,0,1001,401,600,8,21,0,0,,2021-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,1253,252,0,0,0,0,0,192,85,107,5,7,753,0,2020-12-31,2021-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,1253,252,0,0,0,0,0,192,85,107,5,7,753,0,2020-12-31,2021-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,1253,252,0,0,0,0,0,1001,401,600,8,21,0,0,,2021-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,1970,181,0,0,0,0,0,1001,401,600,8,21,536,0,2021-12-31,2022-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,1970,181,0,0,0,0,0,1789,563,1226,12,35,0,0,,2022-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,1970,181,0,0,0,0,0,515,246,269,6,13,1163,0,2021-12-31,2022-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,1970,181,0,0,0,0,0,515,246,269,6,13,1163,0,2021-12-31,2022-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,1970,181,0,0,0,0,0,1789,563,1226,12,35,0,0,,2022-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,3369,427,0,0,0,0,0,1789,563,1226,12,35,972,0,2022-12-30,2023-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,3369,427,0,0,0,0,0,2942,1330,1612,22,60,0,0,,2023-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,3369,427,0,0,0,0,0,1001,401,600,8,21,1689,0,2022-12-30,2023-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,3369,427,0,0,0,0,0,1001,401,600,8,21,1689,0,2022-12-30,2023-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,3369,427,0,0,0,0,0,2942,1330,1612,22,60,0,0,,2023-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,4628,262,0,0,0,0,0,2942,1330,1612,22,60,1003,0,2023-12-26,2024-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,4628,262,0,0,0,0,0,4366,2227,2139,22,76,0,0,,2024-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,4628,262,0,0,0,0,0,1789,563,1226,12,35,2396,0,2023-12-26,2024-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,4628,262,0,0,0,0,0,1789,563,1226,12,35,2396,0,2023-12-26,2024-01-01,0,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,4628,262,0,0,0,0,0,4366,2227,2139,22,76,0,0,,2024-01-01,0,True
