target_industry,model_task,fold_id,p0_9_train_rows_after_purge,p0_9a_t0_train_rows_after_purge,p0_9_train_positive_after_purge,p0_9a_t0_train_positive_after_purge,p0_9_train_distinct_instruments_after_purge,p0_9a_t0_train_distinct_instruments_after_purge,p0_9_inner_validation_rows,p0_9a_t0_inner_validation_rows,p0_9_fail_reasons,p0_9a_t0_fail_reasons,reconciliation_pass,explained_diff_only,t0_reconciliation_unexplained_diff,reconciliation_diff_reason
汽车,industry_failure_reject_score_lgbm,fold_2022,1439,2116,611,811,9,12,10,557,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_failure_reject_score_lgbm,fold_2023,1439,2762,611,1104,9,15,635,422,train_distinct_instruments;train_distinct_instrument_years,train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
汽车,industry_failure_reject_score_lgbm,fold_2024,2692,3393,1095,1408,13,16,1,617,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_launch_winner_score_lgbm,fold_2020,0,32,0,2,0,5,10,44,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,inner_validation_event_count;inner_validation_positive_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_negative_count_after_purge;train_positive_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_launch_winner_score_lgbm,fold_2021,87,124,3,4,5,6,1,96,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,inner_validation_event_count;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge;train_positive_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_launch_winner_score_lgbm,fold_2022,199,294,10,37,6,7,2,105,train_event_count_after_purge;train_positive_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_launch_winner_score_lgbm,fold_2023,411,526,62,160,8,11,11,235,train_event_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count;outer_validation_positive_count_eligible,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_launch_winner_score_lgbm,fold_2024,641,869,191,221,14,18,3,223,train_distinct_instruments;inner_validation_event_count;inner_validation_positive_count,inner_validation_positive_count;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_failure_reject_score_lgbm,fold_2020,0,192,0,85,0,5,5,257,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments;train_event_count_after_purge,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_failure_reject_score_lgbm,fold_2021,0,515,0,246,0,6,360,375,train_event_count_after_purge;train_positive_count_after_purge;train_negative_count_after_purge;train_distinct_instruments;train_distinct_instrument_years,train_dedup_event_count_after_purge;train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_failure_reject_score_lgbm,fold_2022,608,1001,296,401,6,8,9,536,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_failure_reject_score_lgbm,fold_2023,1233,1789,464,563,8,12,3,972,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count;inner_validation_positive_count,train_distinct_instrument_years;train_distinct_instruments,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
电力设备,industry_failure_reject_score_lgbm,fold_2024,1898,2942,656,1330,13,22,20,1003,train_distinct_instruments;train_distinct_instrument_years;inner_validation_event_count,,True,True,False,p0_9a_preregistered_label_window_or_failure_post_target_exclusion_or_feature_availability_contract
