target_industry,model_task,fold_id,contract_id,train_dedup_event_count_after_purge,train_dedup_positive_event_count_after_purge,outer_validation_dedup_event_count,outer_validation_dedup_positive_event_count,window_level_count_profile_pass,event_level_dedup_count_profile_pass,failure_event_level_trainability_audit_pass
电力设备,industry_failure_reject_score_lgbm,fold_2020,T3_grouped_temporal_inner_validation,0,0,215,50,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2020,T4_diagnostic_minimal_instrument_gate,171,79,215,50,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T0_strict_p0_9_reproduction,174,79,253,85,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T1_fixed_rounds_no_inner_validation,338,132,253,85,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2021,T2_pooled_inner_validation,64,20,253,85,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T3_grouped_temporal_inner_validation,64,20,253,85,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2021,T4_diagnostic_minimal_instrument_gate,338,132,253,85,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T0_strict_p0_9_reproduction,338,132,401,258,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T1_fixed_rounds_no_inner_validation,601,182,401,258,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2022,T2_pooled_inner_validation,174,79,401,258,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T3_grouped_temporal_inner_validation,174,79,401,258,False,False,False
电力设备,industry_failure_reject_score_lgbm,fold_2022,T4_diagnostic_minimal_instrument_gate,601,182,401,258,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T0_strict_p0_9_reproduction,601,182,259,152,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T1_fixed_rounds_no_inner_validation,992,441,259,152,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T2_pooled_inner_validation,338,132,259,152,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T3_grouped_temporal_inner_validation,338,132,259,152,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2023,T4_diagnostic_minimal_instrument_gate,992,441,259,152,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T0_strict_p0_9_reproduction,992,441,268,119,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T1_fixed_rounds_no_inner_validation,1468,742,268,119,True,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T2_pooled_inner_validation,601,182,268,119,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T3_grouped_temporal_inner_validation,601,182,268,119,False,True,True
电力设备,industry_failure_reject_score_lgbm,fold_2024,T4_diagnostic_minimal_instrument_gate,1468,742,268,119,True,True,True
