grid_rule_id,split,universe_binding_status,pit_transition_context,transition_outcome_label,transition_outcome_direction,source_id,event_n,failure_10_complete_rate,fast_fail_10d_rate,event_false_repair_20d_complete_rate,false_repair_20d_rate,event_big_winner_120d_complete_rate,event_big_winner_120d_rate
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R7_event_regime_gated,17,1.0,0.058823529411764705,1.0,0.11764705882352941,1.0,0.058823529411764705
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R8_event_regime_gated,8,1.0,0.0,1.0,0.25,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R_core_event_regime_gated,65,1.0,0.015384615384615385,1.0,0.1076923076923077,1.0,0.1076923076923077
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_T4_gated,3,1.0,0.0,1.0,0.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_selected_T4_T7_union,3,1.0,0.0,1.0,0.0,1.0,0.0
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R1_event_regime_gated,33,0.9696969696969697,0.0625,1.0,0.12121212121212122,0.9696969696969697,0.09375
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R2_event_regime_gated,27,1.0,0.037037037037037035,1.0,0.037037037037037035,1.0,0.07407407407407407
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R6_event_regime_gated,13,1.0,0.07692307692307693,1.0,0.23076923076923078,1.0,0.23076923076923078
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R7_event_regime_gated,29,0.9655172413793104,0.14285714285714285,1.0,0.27586206896551724,0.9655172413793104,0.10714285714285714
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R8_event_regime_gated,25,1.0,0.0,1.0,0.08,1.0,0.12
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_R_core_event_regime_gated,100,0.99,0.06060606060606061,1.0,0.15,0.99,0.10101010101010101
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_T4_gated,9,1.0,0.0,1.0,0.1111111111111111,1.0,0.1111111111111111
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_T7_gated,30,1.0,0.03333333333333333,1.0,0.2,1.0,0.16666666666666666
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,08_selected_T4_T7_union,39,1.0,0.02564102564102564,1.0,0.1794871794871795,1.0,0.15384615384615385
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R1_event_regime_gated,94,1.0,0.07446808510638298,1.0,0.06382978723404255,1.0,0.5638297872340425
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R2_event_regime_gated,60,1.0,0.06666666666666667,1.0,0.05,1.0,0.6166666666666667
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R6_event_regime_gated,106,1.0,0.02830188679245283,1.0,0.02830188679245283,1.0,0.660377358490566
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R7_event_regime_gated,55,1.0,0.05454545454545454,1.0,0.05454545454545454,1.0,0.5272727272727272
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R8_event_regime_gated,62,1.0,0.03225806451612903,1.0,0.04838709677419355,1.0,0.5483870967741935
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_R_core_event_regime_gated,302,1.0,0.04966887417218543,1.0,0.04966887417218543,1.0,0.5860927152317881
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_T4_gated,6,1.0,0.0,1.0,0.0,1.0,0.5
g_base_minprev1_age1_confirm0_outmaxnull,robustness,reconstructed_transition_not_published_transition,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,08_selected_T4_T7_union,6,1.0,0.0,1.0,0.0,1.0,0.5
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R1_event_regime_gated,147,1.0,0.19727891156462585,1.0,0.22448979591836735,1.0,0.41496598639455784
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R2_event_regime_gated,44,1.0,0.2727272727272727,1.0,0.3409090909090909,1.0,0.3181818181818182
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R6_event_regime_gated,152,1.0,0.09868421052631579,1.0,0.14473684210526316,1.0,0.5197368421052632
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R7_event_regime_gated,93,1.0,0.11827956989247312,1.0,0.17204301075268819,1.0,0.5268817204301075
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R8_event_regime_gated,48,1.0,0.125,1.0,0.25,1.0,0.3958333333333333
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_R_core_event_regime_gated,335,1.0,0.1582089552238806,1.0,0.20298507462686566,1.0,0.4597014925373134
g_base_minprev1_age1_confirm0_outmaxnull,train,published_and_reconstructed_transition,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,08_T4_gated,4,1.0,0.0,1.0,0.0,1.0,0.25
