instrument,board_bucket,market_cap_source,price_source,share_source,first_price_date,last_price_date,price_rows,candidate_rows,member_rows,missing_share_asof_rows
SH600105,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,34,34,1563
SH600106,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600107,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2267,0,0,0
SH600108,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600109,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2271,32,0,0
SH600110,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2265,0,0,0
SH600111,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,1434,1434,0
SH600113,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2269,0,0,0
SH600114,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2262,0,0,124
SH600115,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,2281,0,0
SH600116,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2269,0,0,0
SH600117,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2245,0,0,0
SH600118,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,134,134,0
SH600119,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2277,0,0,0
SH600120,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600121,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2279,0,0,0
SH600123,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600125,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600126,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2274,0,0,0
SH600127,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600128,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600129,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2278,0,0,0
SH600130,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2279,0,0,0
SH600131,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600132,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,579,579,0
SH600133,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2212,0,0,886
SH600135,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600136,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2129,0,0,0
SH600137,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600138,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2271,0,0,0
SH600141,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2280,0,0,1575
SH600143,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2200,218,218,0
SH600148,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2188,0,0,0
SH600149,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2278,0,0,0
SH600150,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2140,1480,0,0
SH600151,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-05-09,2026-05-29,2199,0,0,0
SH600152,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-03-15,2026-05-29,2230,0,0,560
SH600153,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600155,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600156,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2271,0,0,0
SH600157,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2072,44,0,0
SH600158,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2160,0,0,0
SH600159,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600160,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2271,532,532,0
SH600161,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-03-24,2026-05-29,2186,164,164,0
SH600162,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2235,0,0,0
SH600163,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600165,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2105,0,0,0
SH600166,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600167,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2277,0,0,0
SH600168,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2265,0,0,0
SH600169,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2280,0,0,0
SH600170,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600171,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-02-16,2026-05-29,2248,0,0,0
SH600172,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2266,0,0,0
SH600173,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-05-24,2026-05-29,2184,0,0,0
SH600176,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2269,984,984,0
SH600177,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600178,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600179,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2236,0,0,0
SH600180,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2280,0,0,0
SH600182,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2211,0,0,0
SH600183,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,471,471,1155
SH600184,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600185,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2266,0,0,58
SH600186,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2277,0,0,0
SH600187,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2189,0,0,0
SH600188,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,1272,1272,1004
SH600189,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-04,2026-05-29,2209,0,0,0
SH600191,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2278,0,0,0
SH600192,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600193,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-04-27,2195,0,0,0
SH600195,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2280,0,0,0
SH600196,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,2281,2281,0
SH600197,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,1155
SH600198,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2263,0,0,0
SH600199,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2275,0,0,0
SH600201,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2279,0,0,0
SH600202,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-18,2026-05-29,2268,0,0,0
SH600203,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600206,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600207,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600208,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2267,0,0,0
SH600210,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600211,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600212,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-03-13,2026-05-29,2151,0,0,0
SH600215,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2258,0,0,0
SH600216,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600217,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2152,0,0,0
SH600218,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600219,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2275,313,313,0
SH600221,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2150,1226,1226,0
SH600222,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2271,0,0,0
SH600223,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600226,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2012,0,0,0
SH600227,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2193,0,0,0
SH600228,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2188,0,0,0
SH600229,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2278,0,0,0
SH600230,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600231,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,1333
SH600232,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2211,0,0,0
SH600233,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,807,807,1194
SH600234,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2273,0,0,0
SH600235,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600236,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,460,460,0
SH600237,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600238,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2267,0,0,0
SH600239,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2056,0,0,0
SH600241,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2203,0,0,0
SH600243,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2263,0,0,0
SH600246,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2272,0,0,0
SH600248,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2147,0,0,0
SH600249,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2021-08-24,1131,0,0,0
SH600250,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2244,0,0,0
SH600251,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600252,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600255,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2115,0,0,0
SH600256,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2268,425,425,0
SH600257,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2136,0,0,0
SH600258,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600259,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2279,0,0,0
SH600261,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600262,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600265,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2202,0,0,0
SH600266,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600267,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2259,0,0,1004
SH600268,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600269,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600271,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2276,97,97,113
SH600272,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,0,0,0
SH600273,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2189,0,0,0
SH600276,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2281,1738,1738,543
SH600278,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2268,0,0,0
SH600279,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2270,0,0,0
SH600280,main_board,raw_close_times_total_share_asof,raw_close,stock_zh_a_gbjg_em,2017-01-03,2026-05-29,2279,0,0,0
