usable_trade_date,total_available,main_board,chinext
2017-09-07,98,93,5
2017-09-08,96,91,5
2017-09-11,97,92,5
2017-09-12,98,93,5
2017-09-13,97,92,5
2017-09-14,98,93,5
2017-09-15,97,92,5
2017-09-18,96,91,5
2017-09-19,97,92,5
2017-09-20,96,91,5
2017-09-21,97,91,6
2017-09-22,97,91,6
2017-09-25,97,91,6
2017-09-26,96,90,6
2017-09-27,96,90,6
2017-09-28,97,91,6
2017-09-29,97,91,6
2017-10-09,97,90,7
2017-10-10,98,91,7
2017-10-11,99,92,7
2017-10-12,98,91,7
2017-10-13,97,90,7
2017-10-16,97,90,7
2017-10-17,96,89,7
2017-10-18,96,89,7
2017-10-19,96,89,7
2017-10-20,96,89,7
2017-10-23,96,89,7
2017-10-24,98,91,7
2017-10-25,98,91,7
2017-10-26,99,92,7
2017-10-27,99,92,7
2017-10-30,100,93,7
2017-10-31,98,91,7
2017-11-01,98,91,7
2017-11-02,96,89,7
2017-11-03,94,87,7
2017-11-06,95,88,7
2017-11-07,96,89,7
2017-11-08,97,90,7
2017-11-09,99,92,7
2017-11-10,97,91,6
2017-11-13,96,90,6
2017-11-14,96,90,6
2017-11-15,98,91,7
2017-11-16,97,90,7
2017-11-17,95,88,7
2017-11-20,93,87,6
2017-11-21,93,87,6
2017-11-22,93,87,6
2017-11-23,93,87,6
2017-11-24,93,86,7
2017-11-27,94,88,6
2017-11-28,93,87,6
2017-11-29,94,87,7
2017-11-30,95,88,7
2017-12-01,95,88,7
2017-12-04,95,88,7
2017-12-05,95,88,7
2017-12-06,92,85,7
2017-12-07,91,84,7
2017-12-08,90,83,7
2017-12-11,90,83,7
2017-12-12,91,84,7
2017-12-13,90,83,7
2017-12-14,91,84,7
2017-12-15,89,82,7
2017-12-18,91,84,7
2017-12-19,92,86,6
2017-12-20,94,87,7
2017-12-21,92,85,7
2017-12-22,93,86,7
2017-12-25,94,87,7
2017-12-26,95,88,7
2017-12-27,94,87,7
2017-12-28,93,86,7
2017-12-29,93,86,7
2018-01-02,94,87,7
2018-01-03,97,90,7
2018-01-04,97,90,7
2018-01-05,99,92,7
2018-01-08,99,92,7
2018-01-09,100,93,7
2018-01-10,100,93,7
2018-01-11,99,92,7
2018-01-12,97,90,7
2018-01-15,97,90,7
2018-01-16,98,92,6
2018-01-17,99,93,6
2018-01-18,99,93,6
2018-01-19,98,93,5
2018-01-22,97,92,5
2018-01-23,99,93,6
2018-01-24,98,93,5
2018-01-25,100,94,6
2018-01-26,101,94,7
2018-01-29,99,94,5
2018-01-30,96,90,6
2018-01-31,96,91,5
2018-02-01,95,90,5
2018-02-02,92,87,5
2018-02-05,94,89,5
2018-02-06,94,89,5
2018-02-07,91,86,5
2018-02-08,91,86,5
2018-02-09,92,87,5
2018-02-12,86,81,5
2018-02-13,88,83,5
2018-02-14,92,87,5
2018-02-22,92,87,5
2018-02-23,93,88,5
2018-02-26,93,88,5
2018-02-27,91,86,5
2018-02-28,92,87,5
2018-03-01,92,87,5
2018-03-02,93,87,6
2018-03-05,94,87,7
2018-03-06,91,84,7
2018-03-07,94,87,7
2018-03-08,92,85,7
2018-03-09,95,88,7
2018-03-12,95,88,7
2018-03-13,95,88,7
2018-03-14,95,87,8
2018-03-15,96,88,8
2018-03-16,96,89,7
2018-03-19,94,87,7
2018-03-20,94,87,7
2018-03-21,98,90,8
2018-03-22,95,88,7
2018-03-23,96,89,7
2018-03-26,92,85,7
2018-03-27,95,87,8
2018-03-28,96,88,8
2018-03-29,95,87,8
2018-03-30,94,86,8
2018-04-02,95,87,8
2018-04-03,97,89,8
2018-04-04,97,89,8
2018-04-09,97,89,8
2018-04-10,98,90,8
2018-04-11,98,90,8
2018-04-12,97,89,8
2018-04-13,95,87,8
2018-04-16,96,88,8
2018-04-17,95,87,8
2018-04-18,94,86,8
2018-04-19,94,86,8
2018-04-20,96,87,9
2018-04-23,97,88,9
2018-04-24,96,87,9
2018-04-25,97,88,9
2018-04-26,97,88,9
2018-04-27,97,88,9
2018-05-02,97,88,9
2018-05-03,95,87,8
2018-05-04,97,88,9
2018-05-07,97,90,7
2018-05-08,103,94,9
2018-05-09,102,93,9
2018-05-10,101,92,9
2018-05-11,100,91,9
2018-05-14,98,90,8
2018-05-15,96,88,8
2018-05-16,100,91,9
2018-05-17,101,92,9
2018-05-18,101,92,9
2018-05-21,101,92,9
2018-05-22,102,93,9
2018-05-23,102,93,9
2018-05-24,100,91,9
2018-05-25,100,91,9
2018-05-28,99,90,9
2018-05-29,95,87,8
2018-05-30,96,88,8
2018-05-31,93,86,7
2018-06-01,95,88,7
2018-06-04,94,87,7
2018-06-05,94,87,7
2018-06-06,95,88,7
2018-06-07,97,90,7
2018-06-08,95,89,6
2018-06-11,94,88,6
2018-06-12,94,88,6
2018-06-13,94,88,6
2018-06-14,94,88,6
2018-06-15,92,86,6
2018-06-19,91,85,6
2018-06-20,87,81,6
2018-06-21,90,84,6
2018-06-22,89,84,5
2018-06-25,90,85,5
2018-06-26,89,84,5
2018-06-27,88,82,6
2018-06-28,87,81,6
2018-06-29,87,81,6
2018-07-02,91,85,6
2018-07-03,91,85,6
2018-07-04,91,85,6
2018-07-05,90,85,5
2018-07-06,88,84,4
2018-07-09,89,84,5
2018-07-10,90,85,5
2018-07-11,91,85,6
2018-07-12,90,85,5
2018-07-13,92,85,7
2018-07-16,94,87,7
2018-07-17,95,88,7
2018-07-18,94,87,7
2018-07-19,91,85,6
2018-07-20,90,84,6
2018-07-23,93,87,6
2018-07-24,96,89,7
2018-07-25,96,89,7
2018-07-26,96,89,7
2018-07-27,94,87,7
2018-07-30,95,88,7
2018-07-31,95,88,7
2018-08-01,94,87,7
2018-08-02,93,86,7
2018-08-03,89,83,6
2018-08-06,88,82,6
2018-08-07,86,80,6
2018-08-08,88,82,6
2018-08-09,86,80,6
2018-08-10,89,83,6
2018-08-13,88,82,6
2018-08-14,88,82,6
2018-08-15,89,83,6
2018-08-16,86,81,5
2018-08-17,84,78,6
2018-08-20,83,78,5
2018-08-21,89,82,7
2018-08-22,91,84,7
2018-08-23,90,84,6
2018-08-24,90,83,7
2018-08-27,90,83,7
2018-08-28,93,86,7
2018-08-29,92,85,7
2018-08-30,91,84,7
2018-08-31,90,83,7
2018-09-03,90,83,7
2018-09-04,89,82,7
2018-09-05,90,83,7
2018-09-06,86,81,5
2018-09-07,87,82,5
2018-09-10,86,81,5
2018-09-11,85,80,5
2018-09-12,86,81,5
2018-09-13,87,81,6
2018-09-14,87,81,6
2018-09-17,87,81,6
2018-09-18,84,79,5
2018-09-19,86,81,5
2018-09-20,87,82,5
2018-09-21,87,82,5
2018-09-25,90,84,6
2018-09-26,90,84,6
2018-09-27,89,83,6
2018-09-28,87,81,6
2018-10-08,91,85,6
2018-10-09,87,82,5
2018-10-10,85,80,5
2018-10-11,87,81,6
2018-10-12,78,74,4
2018-10-15,80,76,4
2018-10-16,80,75,5
2018-10-17,79,73,6
2018-10-18,77,71,6
2018-10-19,77,71,6
2018-10-22,80,73,7
2018-10-23,83,76,7
2018-10-24,81,74,7
2018-10-25,81,74,7
2018-10-26,83,75,8
2018-10-29,83,76,7
2018-10-30,82,75,7
2018-10-31,83,75,8
2018-11-01,83,75,8
2018-11-02,84,76,8
2018-11-05,88,80,8
2018-11-06,87,79,8
2018-11-07,88,80,8
2018-11-08,86,78,8
2018-11-09,85,77,8
2018-11-12,85,77,8
2018-11-13,86,78,8
2018-11-14,86,78,8
2018-11-15,86,78,8
2018-11-16,90,81,9
2018-11-19,90,81,9
2018-11-20,92,83,9
2018-11-21,87,79,8
2018-11-22,87,79,8
2018-11-23,86,78,8
2018-11-26,87,79,8
2018-11-27,86,78,8
2018-11-28,86,78,8
2018-11-29,86,78,8
2018-11-30,85,77,8
2018-12-03,85,77,8
2018-12-04,89,81,8
2018-12-05,88,80,8
2018-12-06,88,80,8
2018-12-07,88,80,8
2018-12-10,89,81,8
2018-12-11,88,80,8
2018-12-12,89,81,8
2018-12-13,89,81,8
2018-12-14,89,81,8
2018-12-17,88,80,8
2018-12-18,87,79,8
2018-12-19,87,79,8
2018-12-20,86,78,8
2018-12-21,86,78,8
2018-12-24,85,77,8
2018-12-25,85,77,8
2018-12-26,84,76,8
2018-12-27,84,76,8
2018-12-28,83,75,8
2019-01-02,84,76,8
2019-01-03,86,77,9
2019-01-04,83,75,8
2019-01-07,85,77,8
2019-01-08,87,78,9
2019-01-09,87,78,9
2019-01-10,87,78,9
2019-01-11,89,80,9
2019-01-14,89,80,9
2019-01-15,88,80,8
2019-01-16,90,81,9
2019-01-17,88,80,8
2019-01-18,88,81,7
2019-01-21,88,81,7
2019-01-22,87,79,8
2019-01-23,87,80,7
2019-01-24,88,81,7
2019-01-25,89,81,8
2019-01-28,90,81,9
2019-01-29,88,80,8
2019-01-30,88,80,8
2019-01-31,87,79,8
2019-02-01,88,80,8
2019-02-11,89,81,8
2019-02-12,90,82,8
2019-02-13,91,83,8
2019-02-14,92,84,8
2019-02-15,92,83,9
2019-02-18,92,82,10
2019-02-19,95,85,10
2019-02-20,95,85,10
2019-02-21,96,85,11
2019-02-22,96,85,11
2019-02-25,100,88,12
2019-02-26,105,93,12
2019-02-27,105,93,12
2019-02-28,105,93,12
2019-03-01,105,93,12
2019-03-04,106,94,12
2019-03-05,107,95,12
2019-03-06,108,96,12
2019-03-07,108,96,12
2019-03-08,112,100,12
2019-03-11,110,98,12
2019-03-12,110,98,12
2019-03-13,111,99,12
2019-03-14,110,98,12
2019-03-15,107,95,12
2019-03-18,108,96,12
2019-03-19,112,100,12
2019-03-20,112,100,12
2019-03-21,111,99,12
2019-03-22,109,97,12
2019-03-25,111,98,13
2019-03-26,111,97,14
2019-03-27,111,98,13
2019-03-28,113,99,14
2019-03-29,112,99,13
2019-04-01,114,101,13
2019-04-02,117,104,13
2019-04-03,118,105,13
2019-04-04,120,107,13
2019-04-08,122,108,14
2019-04-09,121,107,14
2019-04-10,121,107,14
2019-04-11,121,106,15
2019-04-12,117,102,15
2019-04-15,117,102,15
2019-04-16,117,102,15
2019-04-17,119,104,15
2019-04-18,118,103,15
2019-04-19,117,102,15
2019-04-22,117,102,15
2019-04-23,118,103,15
2019-04-24,118,103,15
2019-04-25,117,102,15
2019-04-26,115,100,15
2019-04-29,113,97,16
2019-04-30,112,97,15
2019-05-06,112,97,15
2019-05-07,106,92,14
2019-05-08,107,93,14
2019-05-09,107,92,15
2019-05-10,105,91,14
2019-05-13,109,93,16
2019-05-14,110,95,15
2019-05-15,107,92,15
2019-05-16,110,95,15
2019-05-17,113,97,16
2019-05-20,106,94,12
2019-05-21,102,91,11
2019-05-22,109,96,13
2019-05-23,107,94,13
2019-05-24,103,91,12
2019-05-27,102,91,11
2019-05-28,107,94,13
2019-05-29,107,95,12
2019-05-30,107,95,12
2019-05-31,107,95,12
2019-06-03,109,96,13
2019-06-04,105,93,12
2019-06-05,103,92,11
2019-06-06,103,92,11
2019-06-10,101,90,11
2019-06-11,101,90,11
2019-06-12,111,98,13
2019-06-13,107,96,11
2019-06-14,109,97,12
2019-06-17,105,94,11
2019-06-18,105,95,10
2019-06-19,106,95,11
2019-06-20,106,95,11
2019-06-21,110,98,12
2019-06-24,112,100,12
2019-06-25,112,100,12
2019-06-26,112,100,12
2019-06-27,110,99,11
2019-06-28,113,101,12
2019-07-01,109,98,11
2019-07-02,115,102,13
2019-07-03,113,100,13
2019-07-04,112,99,13
2019-07-05,113,100,13
2019-07-08,112,98,14
2019-07-09,109,96,13
2019-07-10,109,97,12
2019-07-11,109,96,13
2019-07-12,108,95,13
2019-07-15,108,96,12
2019-07-16,111,97,14
2019-07-17,110,98,12
2019-07-18,110,98,12
2019-07-19,110,98,12
2019-07-22,110,98,12
2019-07-23,109,97,12
2019-07-24,110,98,12
2019-07-25,110,98,12
2019-07-26,111,98,13
2019-07-29,112,99,13
2019-07-30,112,99,13
2019-07-31,113,100,13
2019-08-01,112,100,12
2019-08-02,111,98,13
2019-08-05,108,96,12
2019-08-06,106,94,12
2019-08-07,103,92,11
2019-08-08,103,92,11
2019-08-09,103,92,11
2019-08-12,103,92,11
2019-08-13,104,93,11
2019-08-14,103,92,11
2019-08-15,102,91,11
2019-08-16,101,90,11
2019-08-19,102,90,12
2019-08-20,109,95,14
2019-08-21,111,97,14
2019-08-22,111,96,15
2019-08-23,113,98,15
2019-08-26,113,98,15
2019-08-27,114,99,15
2019-08-28,117,102,15
2019-08-29,116,100,16
2019-08-30,115,100,15
2019-09-02,115,100,15
2019-09-03,119,103,16
2019-09-04,120,104,16
2019-09-05,121,105,16
2019-09-06,123,107,16
2019-09-09,121,106,15
2019-09-10,123,107,16
2019-09-11,125,108,17
2019-09-12,125,109,16
2019-09-16,124,108,16
2019-09-17,124,108,16
2019-09-18,122,106,16
2019-09-19,122,106,16
2019-09-20,122,106,16
2019-09-23,121,105,16
2019-09-24,121,105,16
2019-09-25,121,105,16
2019-09-26,118,102,16
2019-09-27,113,98,15
2019-09-30,115,98,17
2019-10-08,114,97,17
2019-10-09,113,97,16
2019-10-10,114,97,17
2019-10-11,114,97,17
2019-10-14,116,99,17
2019-10-15,120,103,17
2019-10-16,117,100,17
2019-10-17,117,100,17
2019-10-18,116,99,17
2019-10-21,116,99,17
2019-10-22,116,99,17
2019-10-23,116,99,17
2019-10-24,115,99,16
2019-10-25,114,98,16
2019-10-28,115,99,16
2019-10-29,117,100,17
2019-10-30,117,101,16
2019-10-31,115,99,16
2019-11-01,115,99,16
2019-11-04,117,100,17
2019-11-05,118,101,17
2019-11-06,119,102,17
2019-11-07,119,101,18
2019-11-08,118,100,18
2019-11-11,118,100,18
2019-11-12,115,99,16
2019-11-13,115,99,16
2019-11-14,115,98,17
2019-11-15,115,98,17
2019-11-18,114,98,16
2019-11-19,115,99,16
2019-11-20,117,100,17
2019-11-21,116,100,16
2019-11-22,115,99,16
2019-11-25,115,100,15
2019-11-26,116,100,16
2019-11-27,117,101,16
2019-11-28,116,101,15
2019-11-29,115,100,15
2019-12-02,115,100,15
2019-12-03,116,101,15
2019-12-04,117,101,16
2019-12-05,116,100,16
2019-12-06,117,100,17
2019-12-09,118,101,17
2019-12-10,121,104,17
2019-12-11,120,103,17
2019-12-12,120,103,17
2019-12-13,120,103,17
2019-12-16,122,105,17
2019-12-17,123,106,17
2019-12-18,124,107,17
2019-12-19,124,107,17
2019-12-20,124,107,17
2019-12-23,124,107,17
2019-12-24,122,105,17
2019-12-25,122,105,17
2019-12-26,122,105,17
2019-12-27,123,106,17
2019-12-30,122,105,17
2019-12-31,124,107,17
2020-01-02,127,109,18
2020-01-03,127,109,18
2020-01-06,128,109,19
2020-01-07,129,110,19
2020-01-08,129,110,19
2020-01-09,130,110,20
2020-01-10,131,111,20
2020-01-13,130,110,20
2020-01-14,130,110,20
2020-01-15,132,111,21
2020-01-16,129,108,21
2020-01-17,132,111,21
2020-01-20,132,111,21
2020-01-21,133,112,21
2020-01-22,130,109,21
2020-01-23,131,110,21
2020-02-03,128,107,21
2020-02-04,121,102,19
2020-02-05,121,102,19
2020-02-06,123,104,19
2020-02-07,125,105,20
2020-02-10,127,106,21
2020-02-11,127,106,21
2020-02-12,124,105,19
2020-02-13,127,106,21
2020-02-14,125,105,20
2020-02-17,128,108,20
2020-02-18,129,108,21
2020-02-19,133,110,23
2020-02-20,130,108,22
2020-02-21,132,110,22
2020-02-24,134,111,23
2020-02-25,138,113,25
2020-02-26,138,113,25
2020-02-27,135,112,23
2020-02-28,136,112,24
2020-03-02,130,109,21
2020-03-03,132,111,21
2020-03-04,132,111,21
2020-03-05,136,115,21
2020-03-06,135,114,21
2020-03-09,132,112,20
2020-03-10,130,110,20
2020-03-11,132,112,20
2020-03-12,130,111,19
2020-03-13,129,110,19
2020-03-16,128,108,20
2020-03-17,124,105,19
2020-03-18,125,105,20
2020-03-19,123,104,19
2020-03-20,122,103,19
2020-03-23,123,103,20
2020-03-24,116,99,17
2020-03-25,122,103,19
2020-03-26,129,109,20
2020-03-27,125,105,20
2020-03-30,127,107,20
2020-03-31,125,105,20
2020-04-01,125,106,19
2020-04-02,122,103,19
2020-04-03,125,105,20
2020-04-07,125,105,20
2020-04-08,130,109,21
2020-04-09,129,109,20
2020-04-10,129,109,20
2020-04-13,128,108,20
2020-04-14,126,108,18
2020-04-15,128,109,19
2020-04-16,126,107,19
2020-04-17,127,108,19
2020-04-20,128,108,20
2020-04-21,128,108,20
2020-04-22,128,108,20
2020-04-23,129,108,21
2020-04-24,129,108,21
2020-04-27,124,105,19
2020-04-28,125,106,19
2020-04-29,121,104,17
2020-04-30,122,105,17
2020-05-06,125,107,18
2020-05-07,127,108,19
2020-05-08,128,109,19
2020-05-11,130,111,19
2020-05-12,129,110,19
2020-05-13,130,111,19
2020-05-14,132,111,21
2020-05-15,130,109,21
2020-05-18,131,110,21
2020-05-19,131,110,21
2020-05-20,134,113,21
2020-05-21,131,110,21
2020-05-22,127,107,20
2020-05-25,124,105,19
2020-05-26,123,104,19
2020-05-27,126,106,20
2020-05-28,125,106,19
2020-05-29,126,107,19
2020-06-01,127,108,19
2020-06-02,131,111,20
2020-06-03,132,112,20
2020-06-04,129,109,20
2020-06-05,129,109,20
2020-06-08,131,110,21
2020-06-09,129,109,20
2020-06-10,130,109,21
2020-06-11,130,110,20
2020-06-12,132,111,21
2020-06-15,131,111,20
2020-06-16,131,109,22
2020-06-17,136,113,23
2020-06-18,136,113,23
2020-06-19,137,113,24
2020-06-22,140,115,25
2020-06-23,136,112,24
2020-06-24,139,113,26
2020-06-29,139,114,25
2020-06-30,134,110,24
2020-07-01,139,113,26
2020-07-02,142,117,25
2020-07-03,147,122,25
2020-07-06,149,124,25
2020-07-07,157,130,27
2020-07-08,161,131,30
2020-07-09,163,133,30
2020-07-10,172,139,33
2020-07-13,169,136,33
2020-07-14,178,144,34
2020-07-15,177,144,33
2020-07-16,173,139,34
2020-07-17,158,131,27
2020-07-20,161,134,27
2020-07-21,163,135,28
2020-07-22,167,136,31
2020-07-23,170,139,31
2020-07-24,173,141,32
2020-07-27,164,136,28
2020-07-28,166,139,27
2020-07-29,167,138,29
2020-07-30,171,140,31
2020-07-31,170,141,29
2020-08-03,170,142,28
2020-08-04,176,146,30
2020-08-05,174,144,30
2020-08-06,177,146,31
2020-08-07,180,148,32
2020-08-10,178,147,31
2020-08-11,176,145,31
2020-08-12,177,146,31
2020-08-13,171,142,29
2020-08-14,171,142,29
2020-08-17,172,142,30
2020-08-18,177,147,30
2020-08-19,179,148,31
2020-08-20,178,148,30
2020-08-21,175,147,28
2020-08-24,174,145,29
2020-08-25,177,146,31
2020-08-26,175,144,31
2020-08-27,174,142,32
2020-08-28,176,144,32
2020-08-31,176,144,32
2020-09-01,176,144,32
2020-09-02,178,146,32
2020-09-03,179,145,34
2020-09-04,175,144,31
2020-09-07,174,141,33
2020-09-08,173,138,35
2020-09-09,172,137,35
2020-09-10,167,135,32
2020-09-11,163,133,30
2020-09-14,166,135,31
2020-09-15,170,137,33
2020-09-16,170,138,32
2020-09-17,172,137,35
2020-09-18,171,137,34
2020-09-21,171,139,32
2020-09-22,171,138,33
2020-09-23,166,136,30
2020-09-24,169,137,32
2020-09-25,167,135,32
2020-09-28,168,137,31
2020-09-29,165,135,30
2020-09-30,166,134,32
2020-10-09,161,130,31
2020-10-12,171,137,34
2020-10-13,181,145,36
2020-10-14,179,144,35
2020-10-15,175,140,35
2020-10-16,176,141,35
2020-10-19,173,139,34
2020-10-20,173,138,35
2020-10-21,176,141,35
2020-10-22,174,139,35
2020-10-23,172,138,34
2020-10-26,168,135,33
2020-10-27,169,135,34
2020-10-28,168,134,34
2020-10-29,169,134,35
2020-10-30,172,137,35
2020-11-02,167,133,34
2020-11-03,164,131,33
2020-11-04,170,135,35
2020-11-05,174,139,35
2020-11-06,176,141,35
2020-11-09,177,143,34
2020-11-10,180,145,35
2020-11-11,179,144,35
2020-11-12,181,145,36
2020-11-13,179,143,36
2020-11-16,175,139,36
2020-11-17,174,138,36
2020-11-18,177,141,36
2020-11-19,174,139,35
2020-11-20,176,141,35
2020-11-23,178,143,35
2020-11-24,178,142,36
2020-11-25,177,142,35
2020-11-26,175,140,35
2020-11-27,174,140,34
2020-11-30,174,140,34
2020-12-01,174,140,34
2020-12-02,179,143,36
2020-12-03,179,142,37
2020-12-04,178,142,36
2020-12-07,179,142,37
2020-12-08,181,144,37
2020-12-09,176,139,37
2020-12-10,171,136,35
2020-12-11,174,138,36
2020-12-14,169,135,34
2020-12-15,175,140,35
2020-12-16,173,139,34
2020-12-17,175,140,35
2020-12-18,179,144,35
2020-12-21,176,141,35
2020-12-22,180,144,36
2020-12-23,176,142,34
2020-12-24,180,143,37
2020-12-25,179,143,36
2020-12-28,179,143,36
2020-12-29,177,142,35
2020-12-30,176,141,35
2020-12-31,180,144,36
2021-01-04,185,146,39
2021-01-05,190,150,40
2021-01-06,191,151,40
2021-01-07,190,150,40
2021-01-08,190,151,39
2021-01-11,191,152,39
2021-01-12,193,154,39
2021-01-13,193,154,39
2021-01-14,194,154,40
2021-01-15,195,155,40
2021-01-18,195,155,40
2021-01-19,195,155,40
2021-01-20,193,153,40
2021-01-21,195,155,40
2021-01-22,197,157,40
2021-01-25,197,157,40
2021-01-26,196,157,39
2021-01-27,195,157,38
2021-01-28,194,156,38
2021-01-29,191,153,38
2021-02-01,190,151,39
2021-02-02,193,154,39
2021-02-03,198,158,40
2021-02-04,196,157,39
2021-02-05,192,153,39
2021-02-08,189,151,38
2021-02-09,193,155,38
2021-02-10,198,159,39
2021-02-18,201,162,39
2021-02-19,200,162,38
2021-02-22,198,159,39
2021-02-23,196,158,38
2021-02-24,196,157,39
2021-02-25,196,157,39
2021-02-26,196,157,39
2021-03-01,191,153,38
2021-03-02,195,154,41
2021-03-03,192,153,39
2021-03-04,195,156,39
2021-03-05,192,153,39
2021-03-08,191,152,39
2021-03-09,187,149,38
2021-03-10,181,146,35
2021-03-11,180,146,34
2021-03-12,183,149,34
2021-03-15,186,151,35
2021-03-16,182,148,34
2021-03-17,182,147,35
2021-03-18,183,148,35
2021-03-19,185,149,36
2021-03-22,183,148,35
2021-03-23,183,148,35
2021-03-24,185,150,35
2021-03-25,184,151,33
2021-03-26,185,149,36
2021-03-29,190,154,36
2021-03-30,193,157,36
2021-03-31,193,156,37
2021-04-01,193,156,37
2021-04-02,193,156,37
2021-04-06,193,155,38
2021-04-07,195,157,38
2021-04-08,196,158,38
2021-04-09,196,158,38
2021-04-12,193,155,38
2021-04-13,189,153,36
2021-04-14,190,153,37
2021-04-15,190,153,37
2021-04-16,190,153,37
2021-04-19,190,154,36
2021-04-20,192,155,37
2021-04-21,195,158,37
2021-04-22,195,157,38
2021-04-23,196,157,39
2021-04-26,198,159,39
2021-04-27,197,157,40
2021-04-28,199,158,41
2021-04-29,201,160,41
2021-04-30,199,158,41
2021-05-06,195,154,41
2021-05-07,197,156,41
2021-05-10,196,156,40
2021-05-11,200,160,40
2021-05-12,197,158,39
2021-05-13,198,158,40
2021-05-14,196,156,40
2021-05-17,198,157,41
2021-05-18,203,161,42
2021-05-19,202,161,41
2021-05-20,205,164,41
2021-05-21,203,162,41
2021-05-24,203,162,41
2021-05-25,205,164,41
2021-05-26,207,166,41
2021-05-27,206,165,41
2021-05-28,208,167,41
2021-05-31,207,165,42
2021-06-01,209,166,43
2021-06-02,209,166,43
2021-06-03,211,169,42
