membership_date,board_bucket,candidate_before_status_exclusion_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,final_member_count,status_source
2017-01-20,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-20,main_board,82,0,1,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-23,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-23,main_board,84,0,2,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-24,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-24,main_board,84,0,2,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-25,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-25,main_board,85,0,2,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-01-26,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-01-26,main_board,86,0,2,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-03,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-03,main_board,86,0,2,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-06,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-06,main_board,85,0,2,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-07,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-08,main_board,84,0,2,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-09,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-09,main_board,84,0,2,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-10,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-10,main_board,87,0,2,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-13,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-13,main_board,85,0,2,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-14,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-14,main_board,86,0,2,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-15,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-15,main_board,87,0,2,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-16,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-16,main_board,87,0,2,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-17,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-17,main_board,87,0,2,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-20,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-20,main_board,90,0,2,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-21,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-21,main_board,90,0,2,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-22,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-22,main_board,90,0,2,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-23,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-23,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-24,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-24,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-27,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-27,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-02-28,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-02-28,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-01,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-01,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-02,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-02,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-03,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-03,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-06,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-06,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-07,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-07,main_board,88,0,2,0,86,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-08,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-08,main_board,89,0,2,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-09,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-09,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-10,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-10,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-13,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-13,main_board,91,0,2,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-14,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-14,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-15,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-15,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-16,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-16,main_board,91,0,2,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-17,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-17,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-20,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-20,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-21,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-21,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-22,chinext,5,0,0,0,5,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-22,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-23,chinext,5,0,0,0,5,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-23,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-24,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-24,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-27,chinext,5,0,0,0,5,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-27,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-28,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-28,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-29,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-29,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-30,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-30,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-31,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-31,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-05,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-05,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-06,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-06,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-07,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-07,main_board,93,0,1,0,92,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-10,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-10,main_board,92,0,1,0,91,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-11,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-11,main_board,94,0,1,0,93,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-12,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-12,main_board,93,0,1,0,92,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-13,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-13,main_board,93,0,2,0,91,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-14,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-14,main_board,91,0,2,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-17,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-17,main_board,94,0,2,0,92,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-18,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-18,main_board,92,0,1,0,91,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-19,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-19,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-20,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-20,main_board,93,0,1,0,92,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-21,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-21,main_board,92,0,1,0,91,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-24,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-24,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-25,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-25,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-26,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-26,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-27,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-27,main_board,89,0,1,0,88,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-04-28,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-04-28,main_board,91,0,1,0,90,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-02,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-02,main_board,90,0,1,0,89,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-03,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-03,main_board,87,0,1,0,86,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-04,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-04,main_board,88,0,1,0,87,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-05,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-05,main_board,86,0,1,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-08,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-08,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-09,chinext,4,0,0,0,4,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-09,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-10,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-10,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-11,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-11,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-12,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-12,main_board,82,0,1,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-15,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-15,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-16,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-16,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-17,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-17,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-18,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-18,main_board,86,0,1,0,85,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-19,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-19,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-22,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-22,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-23,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-23,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-24,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-24,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-25,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-25,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-26,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-26,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-31,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-31,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-01,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-01,main_board,82,0,1,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-02,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-02,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-05,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-05,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-06,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-06,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-07,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-07,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-08,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-08,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-09,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-09,main_board,82,0,1,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-12,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-12,main_board,81,0,1,0,80,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-13,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-13,main_board,82,0,1,0,81,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-14,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-14,main_board,80,0,1,0,79,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-15,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-15,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-16,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-16,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-19,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-19,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-20,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-20,main_board,85,0,1,0,84,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-21,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-21,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-22,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-22,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-23,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-23,main_board,83,0,1,0,82,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-26,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-26,main_board,84,0,1,0,83,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-27,chinext,3,0,0,0,3,stock_info_sz_change_name_asof;daily_bar_presence
