threshold_id,cluster_split_bucket,instrument,episode_cluster_id,anchor_n,qfq_row_n,cluster_start_pos,cluster_end_pos,available_forward_sessions_min,cluster_start_out_of_bounds_n,cluster_end_out_of_bounds_n,cluster_end_beyond_anchor_available_forward_sessions_n,price_path_status,blocking_reason
up100pct,train,SH600511,up100pct::SH600511::000000,194,2276,246,954,1444,0,0,0,pass,
up100pct,train,SH600515,up100pct::SH600515::000000,173,2142,387,1006,1272,0,0,0,pass,
up100pct,train,SH600516,up100pct::SH600516::000000,156,2279,745,1145,1276,0,0,0,pass,
up100pct,train,SH600519,up100pct::SH600519::000000,182,2281,251,1002,1463,0,0,0,pass,
up100pct,cross_split,SH600522,up100pct::SH600522::000000,852,2281,251,2273,125,0,0,0,pass,
up100pct,train,SH600529,up100pct::SH600529::000000,75,2281,673,871,1505,0,0,0,pass,
up100pct,train,SH600536,up100pct::SH600536::000000,49,2279,516,853,1671,0,0,0,pass,
up100pct,cross_split,SH600536,up100pct::SH600536::000001,135,2279,992,1906,401,0,0,0,pass,
up100pct,cross_split,SH600546,up100pct::SH600546::000000,87,2235,689,1684,1358,0,0,0,pass,
up100pct,cross_split,SH600547,up100pct::SH600547::000000,814,2251,222,2174,179,0,0,0,pass,
up100pct,cross_split,SH600548,up100pct::SH600548::000000,13,2281,526,1943,1743,0,0,0,pass,
up100pct,cross_split,SH600549,up100pct::SH600549::000000,798,2281,251,2220,125,0,0,0,pass,
up100pct,train,SH600556,up100pct::SH600556::000000,3,2112,563,717,1504,0,0,0,pass,
up100pct,train,SH600559,up100pct::SH600559::000000,6,2084,64,778,2015,0,0,0,pass,
up100pct,cross_split,SH600562,up100pct::SH600562::000000,71,2280,844,2126,1293,0,0,0,pass,
up100pct,train,SH600563,up100pct::SH600563::000000,79,2281,934,1188,1203,0,0,0,pass,
up100pct,train,SH600570,up100pct::SH600570::000000,123,2279,249,851,1534,0,0,0,pass,
up100pct,robustness,SH600570,up100pct::SH600570::000001,3,2279,1770,2097,401,0,0,0,pass,
up100pct,cross_split,SH600578,up100pct::SH600578::000000,46,2281,533,2277,208,0,0,0,pass,
up100pct,cross_split,SH600580,up100pct::SH600580::000000,134,2275,726,2110,189,0,0,0,pass,
up100pct,cross_split,SH600582,up100pct::SH600582::000000,55,2281,254,1771,1715,0,0,0,pass,
up100pct,cross_split,SH600583,up100pct::SH600583::000000,62,2281,816,2221,1271,0,0,0,pass,
up100pct,cross_split,SH600584,up100pct::SH600584::000000,858,2263,238,2260,125,0,0,0,pass,
up100pct,train,SH600585,up100pct::SH600585::000000,21,2281,251,862,1766,0,0,0,pass,
up100pct,robustness,SH600588,up100pct::SH600588::000000,1,2279,1878,1981,401,0,0,0,pass,
up100pct,train,SH600596,up100pct::SH600596::000000,1,2267,330,1117,1937,0,0,0,pass,
up100pct,train,SH600597,up100pct::SH600597::000000,2,2281,328,891,1950,0,0,0,pass,
up100pct,train,SH600598,up100pct::SH600598::000000,156,2281,251,883,1525,0,0,0,pass,
up100pct,cross_split,SH600600,up100pct::SH600600::000000,199,2281,251,1522,1440,0,0,0,pass,
up100pct,train,SH600604,up100pct::SH600604::000000,22,2281,254,528,1762,0,0,0,pass,
up100pct,cross_split,SH600612,up100pct::SH600612::000000,232,2281,264,1762,1158,0,0,0,pass,
up100pct,train,SH600621,up100pct::SH600621::000000,40,2275,245,851,1552,0,0,0,pass,
up100pct,train,SH600623,up100pct::SH600623::000000,26,2281,510,1147,1614,0,0,0,pass,
up100pct,train,SH600633,up100pct::SH600633::000000,4,2242,289,1930,1748,0,0,0,pass,
up100pct,train,SH600635,up100pct::SH600635::000000,11,2280,253,2160,1769,0,0,0,pass,
up100pct,cross_split,SH600637,up100pct::SH600637::000000,255,2274,659,2185,360,0,0,0,pass,
up100pct,train,SH600640,up100pct::SH600640::000000,1,2281,566,727,1715,0,0,0,pass,
up100pct,train,SH600641,up100pct::SH600641::000000,50,2201,650,1108,1431,0,0,0,pass,
up100pct,cross_split,SH600642,up100pct::SH600642::000000,349,2281,251,2280,760,0,0,0,pass,
up100pct,cross_split,SH600660,up100pct::SH600660::000000,414,2281,251,2116,606,0,0,0,pass,
up100pct,train,SH600667,up100pct::SH600667::000000,98,2281,254,763,1555,0,0,0,pass,
up100pct,cross_split,SH600673,up100pct::SH600673::000000,521,2032,64,2015,116,0,0,0,pass,
up100pct,cross_split,SH600674,up100pct::SH600674::000000,135,2281,855,1882,1161,0,0,0,pass,
up100pct,train,SH600685,up100pct::SH600685::000000,188,2157,214,740,1428,0,0,0,pass,
up100pct,cross_split,SH600685,up100pct::SH600685::000001,2,2157,1068,2095,1088,0,0,0,pass,
up100pct,cross_split,SH600699,up100pct::SH600699::000000,198,2278,325,2115,606,0,0,0,pass,
up100pct,train,SH600702,up100pct::SH600702::000000,60,2269,936,1063,1228,0,0,0,pass,
up100pct,train,SH600703,up100pct::SH600703::000000,146,2281,254,1116,1505,0,0,0,pass,
up100pct,train,SH600704,up100pct::SH600704::000000,336,2281,328,1087,1213,0,0,0,pass,
up100pct,train,SH600707,up100pct::SH600707::000000,102,2280,523,1034,1300,0,0,0,pass,
up100pct,cross_split,SH600711,up100pct::SH600711::000000,15,2228,1051,2151,1095,0,0,0,pass,
up100pct,train,SH600733,up100pct::SH600733::000000,263,1857,183,639,1269,0,0,0,pass,
up100pct,cross_split,SH600737,up100pct::SH600737::000000,225,2281,251,2105,1221,0,0,0,pass,
up100pct,train,SH600739,up100pct::SH600739::000000,116,2274,503,865,1534,0,0,0,pass,
up100pct,train,SH600740,up100pct::SH600740::000000,30,2269,498,1131,1717,0,0,0,pass,
up100pct,cross_split,SH600754,up100pct::SH600754::000000,199,2281,251,1351,1430,0,0,0,pass,
up100pct,cross_split,SH600760,up100pct::SH600760::000000,343,2269,239,2115,509,0,0,0,pass,
up100pct,train,SH600763,up100pct::SH600763::000000,245,2281,328,1088,1330,0,0,0,pass,
up100pct,train,SH600765,up100pct::SH600765::000000,22,2271,964,1183,1172,0,0,0,pass,
up100pct,train,SH600776,up100pct::SH600776::000000,5,2281,510,528,1766,0,0,0,pass,
up100pct,cross_split,SH600777,up100pct::SH600777::000000,71,2184,282,2160,1539,0,0,0,pass,
up100pct,train,SH600779,up100pct::SH600779::000000,313,2279,251,1105,1269,0,0,0,pass,
up100pct,train,SH600782,up100pct::SH600782::000000,107,2281,328,1143,1539,0,0,0,pass,
up100pct,train,SH600783,up100pct::SH600783::000000,9,2281,513,2192,1716,0,0,0,pass,
up100pct,cross_split,SH600795,up100pct::SH600795::000000,442,2217,187,1742,1061,0,0,0,pass,
up100pct,cross_split,SH600801,up100pct::SH600801::000000,119,2279,251,2198,280,0,0,0,pass,
up100pct,train,SH600808,up100pct::SH600808::000000,268,2281,252,1142,1205,0,0,0,pass,
up100pct,train,SH600809,up100pct::SH600809::000000,283,2270,250,1092,1324,0,0,0,pass,
up100pct,train,SH600812,up100pct::SH600812::000000,8,2272,654,865,1519,0,0,0,pass,
up100pct,train,SH600816,up100pct::SH600816::000000,6,2225,510,528,1710,0,0,0,pass,
up100pct,train,SH600816,up100pct::SH600816::000001,5,2225,750,1081,1451,0,0,0,pass,
up100pct,train,SH600827,up100pct::SH600827::000000,85,2281,251,855,1437,0,0,0,pass,
up100pct,train,SH600835,up100pct::SH600835::000000,132,2281,514,2160,1433,0,0,0,pass,
up100pct,cross_split,SH600839,up100pct::SH600839::000000,88,2281,251,1900,390,0,0,0,pass,
up100pct,train,SH600859,up100pct::SH600859::000000,33,2156,143,746,1418,0,0,0,pass,
up100pct,train,SH600862,up100pct::SH600862::000000,114,2281,549,981,1415,0,0,0,pass,
up100pct,cross_split,SH600863,up100pct::SH600863::000000,51,2273,653,2271,902,0,0,0,pass,
up100pct,train,SH600869,up100pct::SH600869::000000,2,2268,497,2176,1770,0,0,0,pass,
up100pct,cross_split,SH600871,up100pct::SH600871::000000,586,2250,716,2192,147,0,0,0,pass,
up100pct,train,SH600872,up100pct::SH600872::000000,140,2281,251,894,1505,0,0,0,pass,
up100pct,cross_split,SH600873,up100pct::SH600873::000000,84,2281,251,1337,1284,0,0,0,pass,
up100pct,cross_split,SH600875,up100pct::SH600875::000000,528,2221,940,2164,125,0,0,0,pass,
up100pct,cross_split,SH600879,up100pct::SH600879::000000,469,2281,251,2188,125,0,0,0,pass,
up100pct,train,SH600884,up100pct::SH600884::000000,233,2281,251,1170,1188,0,0,0,pass,
up100pct,robustness,SH600885,up100pct::SH600885::000000,25,2281,1739,2278,514,0,0,0,pass,
up100pct,cross_split,SH600886,up100pct::SH600886::000000,430,2281,251,1821,1089,0,0,0,pass,
up100pct,train,SH600893,up100pct::SH600893::000000,248,2270,251,970,1338,0,0,0,pass,
up100pct,robustness,SH600893,up100pct::SH600893::000001,3,2270,1754,2215,514,0,0,0,pass,
up100pct,cross_split,SH600895,up100pct::SH600895::000000,591,2281,251,2125,204,0,0,0,pass,
up100pct,cross_split,SH600900,up100pct::SH600900::000000,227,2270,251,1871,1387,0,0,0,pass,
up100pct,cross_split,SH600919,up100pct::SH600919::000000,198,2275,1073,2057,606,0,0,0,pass,
up100pct,cross_split,SH600938,up100pct::SH600938::000000,119,994,61,916,606,0,0,0,pass,
up100pct,train,SH600956,up100pct::SH600956::000000,73,1435,70,310,1269,0,0,0,pass,
up100pct,train,SH600958,up100pct::SH600958::000000,126,2259,504,1137,1166,0,0,0,pass,
up100pct,cross_split,SH600967,up100pct::SH600967::000000,220,2281,251,2089,1295,0,0,0,pass,
up100pct,cross_split,SH600968,up100pct::SH600968::000000,417,1679,61,1620,606,0,0,0,pass,
up100pct,cross_split,SH600977,up100pct::SH600977::000000,3,2281,981,2115,1292,0,0,0,pass,
up100pct,cross_split,SH600985,up100pct::SH600985::000000,191,2180,675,1781,1061,0,0,0,pass,
up100pct,cross_split,SH600988,up100pct::SH600988::000000,498,2271,812,2196,176,0,0,0,pass,
up100pct,cross_split,SH600989,up100pct::SH600989::000000,772,1707,79,1656,136,0,0,0,pass,
up100pct,train,SH600999,up100pct::SH600999::000000,82,2275,254,975,1433,0,0,0,pass,
up100pct,cross_split,SH601000,up100pct::SH601000::000000,120,2279,249,1840,1555,0,0,0,pass,
up100pct,cross_split,SH601019,up100pct::SH601019::000000,57,2065,294,1666,1715,0,0,0,pass,
up100pct,train,SH601021,up100pct::SH601021::000000,24,2281,255,1069,1454,0,0,0,pass,
up100pct,cross_split,SH601058,up100pct::SH601058::000000,78,2277,977,2167,832,0,0,0,pass,
up100pct,cross_split,SH601061,up100pct::SH601061::000000,234,759,72,628,160,0,0,0,pass,
up100pct,train,SH601066,up100pct::SH601066::000000,99,1926,155,521,1552,0,0,0,pass,
up100pct,cross_split,SH601077,up100pct::SH601077::000000,293,1596,126,1565,606,0,0,0,pass,
up100pct,cross_split,SH601088,up100pct::SH601088::000000,594,2207,187,2161,665,0,0,0,pass,
up100pct,train,SH601098,up100pct::SH601098::000000,1,2281,776,2007,1505,0,0,0,pass,
up100pct,cross_split,SH601099,up100pct::SH601099::000000,6,2271,500,1895,1766,0,0,0,pass,
up100pct,train,SH601100,up100pct::SH601100::000000,260,2281,251,978,1383,0,0,0,pass,
up100pct,cross_split,SH601100,up100pct::SH601100::000001,179,2281,1332,2200,313,0,0,0,pass,
up100pct,train,SH601106,up100pct::SH601106::000000,130,2279,604,2191,1308,0,0,0,pass,
up100pct,train,SH601117,up100pct::SH601117::000000,372,2281,251,1142,1198,0,0,0,pass,
up100pct,train,SH601118,up100pct::SH601118::000000,6,2163,629,2110,1512,0,0,0,pass,
up100pct,cross_split,SH601127,up100pct::SH601127::000000,151,2266,1203,2110,400,0,0,0,pass,
up100pct,validation,SH601136,up100pct::SH601136::000000,14,829,61,161,750,0,0,0,pass,
up100pct,robustness,SH601138,up100pct::SH601138::000000,206,1933,1391,1792,190,0,0,0,pass,
up100pct,train,SH601139,up100pct::SH601139::000000,109,2281,518,1142,1446,0,0,0,pass,
up100pct,train,SH601155,up100pct::SH601155::000000,16,2279,508,1006,1614,0,0,0,pass,
up100pct,cross_split,SH601162,up100pct::SH601162::000000,77,1839,890,1458,502,0,0,0,pass,
up100pct,cross_split,SH601168,up100pct::SH601168::000000,653,2212,182,2135,158,0,0,0,pass,
up100pct,cross_split,SH601169,up100pct::SH601169::000000,227,2273,739,2059,812,0,0,0,pass,
up100pct,cross_split,SH601179,up100pct::SH601179::000000,581,2281,510,2225,125,0,0,0,pass,
up100pct,cross_split,SH601212,up100pct::SH601212::000000,345,2212,187,2135,125,0,0,0,pass,
up100pct,train,SH601216,up100pct::SH601216::000000,215,2200,247,795,1413,0,0,0,pass,
up100pct,cross_split,SH601216,up100pct::SH601216::000001,36,2200,900,1852,511,0,0,0,pass,
up100pct,cross_split,SH601225,up100pct::SH601225::000000,475,2281,251,1740,1061,0,0,0,pass,
up100pct,cross_split,SH601229,up100pct::SH601229::000000,47,2281,1428,2027,608,0,0,0,pass,
up100pct,robustness,SH601231,up100pct::SH601231::000000,266,2273,1731,2210,125,0,0,0,pass,
up100pct,train,SH601233,up100pct::SH601233::000000,206,2281,510,1002,1378,0,0,0,pass,
up100pct,robustness,SH601233,up100pct::SH601233::000001,70,2281,1880,2220,294,0,0,0,pass,
up100pct,train,SH601236,up100pct::SH601236::000000,3,1666,79,161,1581,0,0,0,pass,
up100pct,cross_split,SH601288,up100pct::SH601288::000000,413,2281,251,2136,486,0,0,0,pass,
up100pct,cross_split,SH601298,up100pct::SH601298::000000,193,1775,247,1496,779,0,0,0,pass,
up100pct,cross_split,SH601318,up100pct::SH601318::000000,47,2281,1348,2187,505,0,0,0,pass,
up100pct,train,SH601319,up100pct::SH601319::000000,3,1825,61,72,1762,0,0,0,pass,
up100pct,cross_split,SH601319,up100pct::SH601319::000001,240,1825,544,1732,493,0,0,0,pass,
up100pct,cross_split,SH601328,up100pct::SH601328::000000,300,2281,251,2057,811,0,0,0,pass,
up100pct,cross_split,SH601336,up100pct::SH601336::000000,497,2281,289,2195,400,0,0,0,pass,
up100pct,validation,SH601360,up100pct::SH601360::000000,72,2159,1210,1397,793,0,0,0,pass,
up100pct,train,SH601377,up100pct::SH601377::000000,42,2270,505,1124,1429,0,0,0,pass,
up100pct,cross_split,SH601390,up100pct::SH601390::000000,25,2207,673,1464,1431,0,0,0,pass,
up100pct,cross_split,SH601398,up100pct::SH601398::000000,390,2281,251,2156,750,0,0,0,pass,
up100pct,cross_split,SH601399,up100pct::SH601399::000000,9,1447,258,1357,1178,0,0,0,pass,
up100pct,cross_split,SH601519,up100pct::SH601519::000000,85,2268,522,2082,1496,0,0,0,pass,
up100pct,cross_split,SH601567,up100pct::SH601567::000000,22,2281,1070,1882,1173,0,0,0,pass,
up100pct,cross_split,SH601598,up100pct::SH601598::000000,425,1782,66,1623,750,0,0,0,pass,
up100pct,cross_split,SH601600,up100pct::SH601600::000000,794,2172,181,2095,157,0,0,0,pass,
up100pct,cross_split,SH601601,up100pct::SH601601::000000,229,2281,510,2188,504,0,0,0,pass,
up100pct,cross_split,SH601608,up100pct::SH601608::000000,70,2210,184,2129,1465,0,0,0,pass,
up100pct,robustness,SH601611,up100pct::SH601611::000000,1,2281,2039,2190,242,0,0,0,pass,
up100pct,cross_split,SH601615,up100pct::SH601615::000000,42,1771,561,842,1148,0,0,0,pass,
up100pct,cross_split,SH601615,up100pct::SH601615::000001,22,1771,1173,1698,331,0,0,0,pass,
up100pct,train,SH601618,up100pct::SH601618::000000,323,2281,510,1143,1176,0,0,0,pass,
up100pct,cross_split,SH601628,up100pct::SH601628::000000,100,2281,289,2192,514,0,0,0,pass,
up100pct,train,SH601669,up100pct::SH601669::000000,326,2281,510,1151,1172,0,0,0,pass,
up100pct,cross_split,SH601688,up100pct::SH601688::000000,120,2281,1115,2187,499,0,0,0,pass,
up100pct,cross_split,SH601689,up100pct::SH601689::000000,482,2281,251,2117,381,0,0,0,pass,
up100pct,cross_split,SH601698,up100pct::SH601698::000000,764,1677,61,1587,125,0,0,0,pass,
up100pct,cross_split,SH601699,up100pct::SH601699::000000,363,2281,251,1742,819,0,0,0,pass,
up100pct,cross_split,SH601717,up100pct::SH601717::000000,61,2164,818,2004,516,0,0,0,pass,
up100pct,cross_split,SH601727,up100pct::SH601727::000000,575,2150,522,1774,386,0,0,0,pass,
up100pct,cross_split,SH601728,up100pct::SH601728::000000,68,1153,61,841,809,0,0,0,pass,
up100pct,cross_split,SH601777,up100pct::SH601777::000000,117,2276,966,2117,369,0,0,0,pass,
up100pct,train,SH601788,up100pct::SH601788::000000,210,2281,251,855,1434,0,0,0,pass,
up100pct,train,SH601799,up100pct::SH601799::000000,181,2281,510,1084,1442,0,0,0,pass,
up100pct,cross_split,SH601800,up100pct::SH601800::000000,45,2281,994,1538,1157,0,0,0,pass,
up100pct,cross_split,SH601808,up100pct::SH601808::000000,59,2281,251,2222,1341,0,0,0,pass,
up100pct,train,SH601811,up100pct::SH601811::000000,18,2281,510,1538,1587,0,0,0,pass,
up100pct,cross_split,SH601825,up100pct::SH601825::000000,46,1154,233,914,610,0,0,0,pass,
up100pct,cross_split,SH601857,up100pct::SH601857::000000,561,2281,251,2222,606,0,0,0,pass,
up100pct,train,SH601866,up100pct::SH601866::000000,130,2270,662,1135,1268,0,0,0,pass,
