artifact_key,artifact_role,required_flag,resolver_alias,resolved_path,relative_path,source_experiment_id,source_phase_id,row_count,sha256,schema_status,read_status,absolute_path_mismatch_ignored,blocking_reason
upstream_16d_policy_threshold_freeze_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_threshold_freeze_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_threshold_freeze_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,4,555c37a8d366173cdff9506dda531c202786fc380e05ea0526918a6b50e885da,pass,pass,False,
upstream_16d_policy_action_binding_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_action_binding_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_action_binding_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,1,1d1596cebb6f7d12fecdcf7425b9c1eebe967caef00e7fb2aeab4297bce1dcb7,pass,pass,False,
upstream_16d_policy_confusion_readout,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_confusion_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_confusion_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,12,33c0f7e9f211505526da2b5ae7afb2dfbb84d70971107789398e6feae117648c,pass,pass,False,
upstream_16d_policy_context_stratified_readout,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_context_stratified_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_context_stratified_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,60,68d9098ba973f10cb4ef18a90d2b54dd5dc926fe95f9e55515f748313d0f418d,pass,pass,False,
upstream_16d_known_failed_context_rebuild_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/known_failed_context_rebuild_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/known_failed_context_rebuild_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,1,182221ce74d6c51f39b7b7c6ee36cded1bcc04e37758836dc808d44e8b50a3c9,pass,pass,False,
upstream_16d_search_accounting_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/search_accounting_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/search_accounting_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,1,4ff63cc17932802490e5df59fffadc514a18489337f72f70a614653ab150b5fb,pass,pass,False,
upstream_16d_manifest,upstream_manifest,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16D_sequential_continuation_policy_preflight_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16D_sequential_continuation_policy_preflight_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,122,88c2ee6d4f1aea310c9b1135b049d4fa984d781f699d245fc46b27fcb0e40aa9,pass,pass,False,
upstream_16d_policy_action_panel,optional_row_level_cache,optional_cache,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16D_sequential_continuation_policy_preflight/policy_action_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16D_sequential_continuation_policy_preflight/policy_action_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16D,93620,db05ef879eea62163bfb63fa9fae320172aa28d175e66f2d9afd2555dc03feef,pass,pass,False,
upstream_16e_decision,upstream_decision,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/sequential_continuation_utility_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/sequential_continuation_utility_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,1,262c6da6ba6a3ddb300137302c3eb304ad4bf57a984aa2129f4c8c42551e6aee,pass,pass,False,
upstream_16e_single_step_action_semantics_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/single_step_action_semantics_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/single_step_action_semantics_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,1,4f52cd0b22d57d6e0e847b9b5a33922cfb407ad740df2620d700d7d4129be782,pass,pass,False,
upstream_16e_utility_price_path_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_price_path_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_price_path_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,3,d82a3696f28a71d090a2961f2f78dfdd3f622c6b447a162d862cdc200ff470c1,pass,pass,False,
upstream_16e_policy_utility_binding_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/policy_utility_binding_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/policy_utility_binding_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,1,c61c9ef005486ac9cb981ed2d3504d3f6780fd596cb71f11658668e3e1f91a7e,pass,pass,False,
upstream_16e_six_cell_utility_reconciliation,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/six_cell_utility_reconciliation.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/six_cell_utility_reconciliation.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,360,21e68bf6076a9cddc7cc5ac181cb1f7c8fb9d138f7000dc871fd740498a0f717,pass,pass,False,
upstream_16e_utility_by_split_readout,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_by_split_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/utility_by_split_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,12,f701cbc97466eb6c5bd76e422009c5b86855a7b58da51929807c235632270bf1,pass,pass,False,
upstream_16e_negative_avoidance_utility_readout,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/negative_avoidance_utility_readout.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/negative_avoidance_utility_readout.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,60,b70defff90ba2c0625f989e322bea3eede3f66774d7176c913fc27ee6de56f5a,pass,pass,False,
upstream_16e_search_accounting_audit,upstream_publishable_audit,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/search_accounting_audit.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_sequential_continuation_utility_diagnostic/search_accounting_audit.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,1,3eeaae99b1923fb339920f5d607446ffebed87d2d59448ab91fd59c64190d7f6,pass,pass,False,
upstream_16e_manifest,upstream_manifest,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_sequential_continuation_utility_diagnostic_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_sequential_continuation_utility_diagnostic_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,102,bb94b4703c9b6937bab9d3c71d6f3163b730c49aeeb298131acd1ead86c4b62e,pass,pass,False,
upstream_16e_utility_panel,optional_row_level_cache,optional_cache,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16E_sequential_continuation_utility_diagnostic/utility_panel.parquet,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16E_sequential_continuation_utility_diagnostic/utility_panel.parquet,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E,93620,c17ac602e3ae4b7c2c2d70d2d7178091782a978983d192c89b908c8a96362713,pass,pass,False,
upstream_16e_postmortem_decision,upstream_decision,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/continuation_utility_failure_postmortem_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16E_postmortem_continuation_utility_failure_decomposition/continuation_utility_failure_postmortem_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E-POSTMORTEM,1,cd5e5f383df634ad3f3f8424eb296ea86edd1c7d8e28219de6fd07c236513c97,pass,pass,False,
upstream_16e_postmortem_manifest,upstream_manifest,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_postmortem_continuation_utility_failure_decomposition_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16E_postmortem_continuation_utility_failure_decomposition_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16E-POSTMORTEM,100,861cb9745dcd0ea7c42b0c7dc800a0ea48b63eaabf5c575ab089b9881d0232f9,pass,pass,False,
upstream_16x_decision,upstream_decision,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16X_payoff_aligned_continuation_label_power_precheck/payoff_aligned_label_power_precheck_decision.csv,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,1,fecea56c99089e0b311460f9d9e74a751f5f77e55ab1ca09e865765265ad4bc9,pass,pass,False,
upstream_16x_manifest,upstream_manifest,required,topic_path,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16X_payoff_aligned_continuation_label_power_precheck_manifest.json,16_winner_episode_sequential_sampling_geometry_preflight_v0,16X,86,bb326f190cfb4ffe523c490b4f48c71caf41b4b75360e5f66e1b65932fcb108c,pass,pass,False,
