instrument,stock_ts_code,industry_target_key,industry_ts_code,industry_name,source,source_trade_date,weight
SH600079,600079.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600080,600080.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600081,600081.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600082,600082.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600084,600084.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600085,600085.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600088,600088.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600089,600089.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600094,600094.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600095,600095.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600096,600096.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600097,600097.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600098,600098.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600099,600099.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600100,600100.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600101,600101.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600103,600103.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600104,600104.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600105,600105.SH,sw_801770,801770.SI,通信,tushare.index_member,20260430,
SH600106,600106.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600107,600107.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600108,600108.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600109,600109.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600110,600110.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600111,600111.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600113,600113.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600114,600114.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600115,600115.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600116,600116.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600117,600117.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600118,600118.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600119,600119.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600120,600120.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600121,600121.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600123,600123.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600125,600125.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600126,600126.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600127,600127.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600128,600128.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600129,600129.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600130,600130.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600131,600131.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600132,600132.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600133,600133.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600135,600135.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600136,600136.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600137,600137.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600138,600138.SH,sw_801210,801210.SI,社会服务,tushare.index_member,20260430,
SH600141,600141.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600143,600143.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600148,600148.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600149,600149.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600150,600150.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600151,600151.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600152,600152.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600153,600153.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600155,600155.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600156,600156.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600157,600157.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600158,600158.SH,sw_801210,801210.SI,社会服务,tushare.index_member,20260430,
SH600159,600159.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600160,600160.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600161,600161.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600162,600162.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600163,600163.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600165,600165.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600166,600166.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600167,600167.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600168,600168.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600169,600169.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600170,600170.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600171,600171.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600172,600172.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600173,600173.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600176,600176.SH,sw_801710,801710.SI,建筑材料,tushare.index_member,20260430,
SH600177,600177.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600178,600178.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600179,600179.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600180,600180.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600182,600182.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600183,600183.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600184,600184.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600185,600185.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600186,600186.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600187,600187.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600188,600188.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600189,600189.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600191,600191.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600192,600192.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600193,600193.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600195,600195.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600196,600196.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600197,600197.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600198,600198.SH,sw_801770,801770.SI,通信,tushare.index_member,20260430,
SH600199,600199.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600201,600201.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600202,600202.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600203,600203.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600206,600206.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600207,600207.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600208,600208.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600210,600210.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600211,600211.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600212,600212.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600215,600215.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600216,600216.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600217,600217.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600218,600218.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600219,600219.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600221,600221.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600222,600222.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600223,600223.SH,sw_801980,801980.SI,美容护理,tushare.index_member,20260430,
SH600226,600226.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600227,600227.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600228,600228.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600229,600229.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600230,600230.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600231,600231.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600232,600232.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600233,600233.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600234,600234.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600235,600235.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600236,600236.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600237,600237.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600238,600238.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600239,600239.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600241,600241.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600243,600243.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600246,600246.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600248,600248.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600249,600249.SH,sw_801980,801980.SI,美容护理,tushare.index_member,20260430,
SH600250,600250.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600251,600251.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600252,600252.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600255,600255.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600256,600256.SH,sw_801960,801960.SI,石油石化,tushare.index_member,20260430,
SH600257,600257.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600258,600258.SH,sw_801210,801210.SI,社会服务,tushare.index_member,20260430,
SH600259,600259.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600261,600261.SH,sw_801110,801110.SI,家用电器,tushare.index_member,20260430,
SH600262,600262.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600265,600265.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600266,600266.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600267,600267.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600268,600268.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600269,600269.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600271,600271.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600272,600272.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600273,600273.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600276,600276.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600278,600278.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600279,600279.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600280,600280.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600281,600281.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600282,600282.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600283,600283.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600284,600284.SH,sw_801720,801720.SI,建筑装饰,tushare.index_member,20260430,
SH600285,600285.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600287,600287.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600288,600288.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600289,600289.SH,sw_801770,801770.SI,通信,tushare.index_member,20260430,
SH600292,600292.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600293,600293.SH,sw_801710,801710.SI,建筑材料,tushare.index_member,20260430,
SH600295,600295.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600298,600298.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600299,600299.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600300,600300.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600301,600301.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600302,600302.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600303,600303.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600305,600305.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600307,600307.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600308,600308.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600309,600309.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600310,600310.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600312,600312.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600313,600313.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600315,600315.SH,sw_801980,801980.SI,美容护理,tushare.index_member,20260430,
SH600316,600316.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600318,600318.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600319,600319.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600320,600320.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600322,600322.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600323,600323.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600325,600325.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600326,600326.SH,sw_801710,801710.SI,建筑材料,tushare.index_member,20260430,
SH600327,600327.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600328,600328.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600329,600329.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600330,600330.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600331,600331.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600332,600332.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600333,600333.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600335,600335.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600336,600336.SH,sw_801110,801110.SI,家用电器,tushare.index_member,20260430,
SH600337,600337.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600338,600338.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600339,600339.SH,sw_801960,801960.SI,石油石化,tushare.index_member,20260430,
SH600340,600340.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600343,600343.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600345,600345.SH,sw_801770,801770.SI,通信,tushare.index_member,20260430,
SH600346,600346.SH,sw_801960,801960.SI,石油石化,tushare.index_member,20260430,
SH600348,600348.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600350,600350.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600351,600351.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600352,600352.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600353,600353.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600354,600354.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600356,600356.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600358,600358.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600359,600359.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600360,600360.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600361,600361.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600362,600362.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600363,600363.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600365,600365.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600366,600366.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600367,600367.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600368,600368.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600369,600369.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600370,600370.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600371,600371.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600372,600372.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600373,600373.SH,sw_801760,801760.SI,传媒,tushare.index_member,20260430,
SH600375,600375.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600376,600376.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600377,600377.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600378,600378.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600379,600379.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600380,600380.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600381,600381.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600382,600382.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600383,600383.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600386,600386.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600388,600388.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600389,600389.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600390,600390.SH,sw_801790,801790.SI,非银金融,tushare.index_member,20260430,
SH600391,600391.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600392,600392.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600395,600395.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600396,600396.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600397,600397.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600398,600398.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600399,600399.SH,sw_801040,801040.SI,钢铁,tushare.index_member,20260430,
SH600400,600400.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600403,600403.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600405,600405.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600406,600406.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600408,600408.SH,sw_801950,801950.SI,煤炭,tushare.index_member,20260430,
SH600409,600409.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600410,600410.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600415,600415.SH,sw_801200,801200.SI,商贸零售,tushare.index_member,20260430,
SH600416,600416.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600418,600418.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
SH600419,600419.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600420,600420.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600421,600421.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600422,600422.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600423,600423.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600425,600425.SH,sw_801710,801710.SI,建筑材料,tushare.index_member,20260430,
SH600426,600426.SH,sw_801030,801030.SI,基础化工,tushare.index_member,20260430,
SH600428,600428.SH,sw_801170,801170.SI,交通运输,tushare.index_member,20260430,
SH600429,600429.SH,sw_801120,801120.SI,食品饮料,tushare.index_member,20260430,
SH600433,600433.SH,sw_801140,801140.SI,轻工制造,tushare.index_member,20260430,
SH600435,600435.SH,sw_801740,801740.SI,国防军工,tushare.index_member,20260430,
SH600436,600436.SH,sw_801150,801150.SI,医药生物,tushare.index_member,20260430,
SH600438,600438.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600439,600439.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600444,600444.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600446,600446.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600448,600448.SH,sw_801130,801130.SI,纺织服饰,tushare.index_member,20260430,
SH600449,600449.SH,sw_801710,801710.SI,建筑材料,tushare.index_member,20260430,
SH600452,600452.SH,sw_801160,801160.SI,公用事业,tushare.index_member,20260430,
SH600455,600455.SH,sw_801750,801750.SI,计算机,tushare.index_member,20260430,
SH600456,600456.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600458,600458.SH,sw_801890,801890.SI,机械设备,tushare.index_member,20260430,
SH600459,600459.SH,sw_801050,801050.SI,有色金属,tushare.index_member,20260430,
SH600460,600460.SH,sw_801080,801080.SI,电子,tushare.index_member,20260430,
SH600461,600461.SH,sw_801970,801970.SI,环保,tushare.index_member,20260430,
SH600463,600463.SH,sw_801180,801180.SI,房地产,tushare.index_member,20260430,
SH600467,600467.SH,sw_801010,801010.SI,农林牧渔,tushare.index_member,20260430,
SH600468,600468.SH,sw_801730,801730.SI,电力设备,tushare.index_member,20260430,
SH600469,600469.SH,sw_801880,801880.SI,汽车,tushare.index_member,20260430,
