fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1162.DC,AI手机,概念板块,,江波龙,301308.SZ,2.89,15.73,104322931.2,3.87,32,1,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1161.DC,英伟达概念,概念板块,,当虹科技,688039.SH,3.67,20.0,295006956.8,2.81,53,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1160.DC,柔性屏(折叠屏),概念板块,,达瑞电子,300976.SZ,1.34,12.7,145495483.2,3.33,58,16,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1159.DC,Sora概念,概念板块,,岩山科技,002195.SZ,4.46,10.01,50554139.2,10.0,39,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1158.DC,微盘股,概念板块,,凯瑞德,002072.SZ,1.41,9.94,94585982.4,3.68,297,96,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1157.DC,飞行汽车(eVTOL),概念板块,,王子新材,002735.SZ,1.39,9.98,122999691.2,3.81,61,21,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1156.DC,PEEK材料概念,概念板块,,普利特,002324.SZ,1.56,10.01,78038508.8,4.5,25,15,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1155.DC,小米汽车,概念板块,,东方中科,002819.SZ,1.31,10.0,470554649.6,3.62,72,26,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1153.DC,多模态AI,概念板块,,岩山科技,002195.SZ,3.77,10.01,104015808.0,6.28,55,6,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1152.DC,高带宽内存,概念板块,,中微公司,688012.SH,4.51,14.16,134366260.8,4.55,25,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1151.DC,短剧互动游戏,概念板块,,岩山科技,002195.SZ,3.62,10.01,53366603.2,7.32,29,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1150.DC,新型工业化,概念板块,,爱丽家居,603221.SH,1.58,10.0,272434350.4,2.96,75,22,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1149.DC,星闪概念,概念板块,,当虹科技,688039.SH,3.02,20.0,60892121.6,4.18,35,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1148.DC,BC电池,概念板块,,罗博特科,300757.SZ,2.13,12.37,57419312.0,1.99,21,5,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1147.DC,SPD概念,概念板块,,塞力医疗,603716.SH,2.76,10.02,10711265.6,3.62,12,1,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1146.DC,减肥药,概念板块,,众生药业,002317.SZ,3.62,10.01,99207025.6,1.97,33,1,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1145.DC,机器人执行器,概念板块,,五洲新春,603667.SH,-0.43,6.03,85128353.6,5.31,10,25,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1144.DC,高压快充,概念板块,,银河电子,002519.SZ,1.69,10.03,75735660.8,3.6,44,11,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1143.DC,空间计算,概念板块,,天亿马,301178.SZ,2.06,8.13,15092300.9,3.74,21,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1142.DC,裸眼3D,概念板块,,当虹科技,688039.SH,2.91,20.0,33056025.6,2.78,20,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1141.DC,混合现实,概念板块,,可川科技,603052.SH,2.98,10.02,131518540.8,3.29,29,1,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1139.DC,中特估,概念板块,,烽火通信,600498.SH,0.98,10.01,2570763827.2,0.39,48,27,20260105
