factor_id,horizon,train_mean_rankIC,direction_i
alpha069,H1,-0.001486833373360678,-1.0
alpha069,H10,-0.007728462485867532,-1.0
alpha069,H20,-0.013505095812085853,-1.0
alpha069,H3,-0.013496048328315273,-1.0
alpha069,H5,-0.013640051934945299,-1.0
alpha070,H1,-0.001991948661154344,-1.0
alpha070,H10,-0.015493844511059828,-1.0
alpha070,H20,-0.019722041565520477,-1.0
alpha070,H3,-0.014995218077782218,-1.0
alpha070,H5,-0.01832474092233788,-1.0
alpha071,H1,-0.0022872381380016323,-1.0
alpha071,H10,-0.011723689585214232,-1.0
alpha071,H20,-0.009927354133349496,-1.0
alpha071,H3,-0.018456770815740927,-1.0
alpha071,H5,-0.023183744628009834,-1.0
alpha072,H1,-0.01091847462320657,-1.0
alpha072,H10,-0.011470046629452649,-1.0
alpha072,H20,-0.013868983444033178,-1.0
alpha072,H3,-0.005667291789747683,-1.0
alpha072,H5,0.0007575893996878549,1.0
alpha075,H1,,
alpha075,H10,,
alpha075,H20,,
alpha075,H3,,
alpha075,H5,,
alpha076,H1,0.0001554436920486327,1.0
alpha076,H10,0.003132069855828125,1.0
alpha076,H20,-0.0043159318636856745,-1.0
alpha076,H3,0.0005584133337918842,1.0
alpha076,H5,0.003440602454660907,1.0
alpha078,H1,-9.602131389896897e-05,-1.0
alpha078,H10,-0.0040230758357884654,-1.0
alpha078,H20,-0.00033154251038168434,-1.0
alpha078,H3,-0.012253472353504586,-1.0
alpha078,H5,-0.013777144596666461,-1.0
alpha079,H1,0.0015012835057702653,1.0
alpha079,H10,-0.001952664375267216,-1.0
alpha079,H20,0.0009290548088931174,1.0
alpha079,H3,-0.013554087395231578,-1.0
alpha079,H5,-0.016377086037447846,-1.0
alpha080,H1,-0.001130295931506846,-1.0
alpha080,H10,0.003549619734352913,1.0
alpha080,H20,0.006243653572923627,1.0
alpha080,H3,-0.001966322784506742,-1.0
alpha080,H5,0.003034832041815501,1.0
alpha081,H1,-0.002416191102768951,-1.0
alpha081,H10,-0.048785722993990435,-1.0
alpha081,H20,-0.0641252115919521,-1.0
alpha081,H3,-0.02859396292776616,-1.0
alpha081,H5,-0.0380652722772643,-1.0
alpha082,H1,-0.010839884052684549,-1.0
alpha082,H10,-0.012209695026894255,-1.0
alpha082,H20,-0.01552034145912,-1.0
alpha082,H3,-0.007265402092406418,-1.0
alpha082,H5,-0.0010304872428455161,-1.0
alpha084,H1,-0.0010774068410182584,-1.0
alpha084,H10,-0.02401970164089288,-1.0
alpha084,H20,-0.030333697567762757,-1.0
alpha084,H3,-0.01858493280571565,-1.0
alpha084,H5,-0.02911537377152306,-1.0
alpha086,H1,0.014653143464859594,1.0
alpha086,H10,0.008861841821238262,1.0
alpha086,H20,-0.0007395893894648647,-1.0
alpha086,H3,0.01188227052882813,1.0
alpha086,H5,0.009017578820694466,1.0
alpha088,H1,4.823885918822485e-05,1.0
alpha088,H10,-0.012414037628539676,-1.0
alpha088,H20,-0.017676023129472054,-1.0
alpha088,H3,-0.02051675207408701,-1.0
alpha088,H5,-0.021402030108935485,-1.0
alpha089,H1,-0.003286618112292985,-1.0
