factor_id,factor_status,exclusion_reason,max_lookback_trading_days,asof_safe
alpha140,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,60,True
alpha141,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,15,True
alpha142,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,20,True
alpha143,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,1,True
alpha144,included,,2,True
alpha145,included,,26,True
alpha146,included,,20,True
alpha147,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,12,True
alpha148,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,60,True
alpha149,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,1,True
alpha150,included,,1,True
alpha151,included,,20,True
alpha152,included,,9,True
alpha153,included,,24,True
alpha154,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,180,True
alpha155,included,,1,True
alpha156,included,,6,True
alpha157,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,7,True
alpha158,included,,1,True
alpha159,included,,2,True
alpha160,included,,20,True
alpha161,included,,2,True
alpha162,included,,12,True
alpha163,included,,20,True
alpha164,included,,12,True
alpha165,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,48,True
alpha166,included,,2,True
alpha167,included,,2,True
alpha168,included,,20,True
alpha169,included,,1,True
alpha170,included,,20,True
alpha171,included,,1,True
alpha172,included,,14,True
alpha173,included,,1,True
alpha174,included,,20,True
alpha175,included,,2,True
alpha176,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,12,True
alpha177,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,1,True
alpha178,included,,2,True
alpha179,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,50,True
alpha180,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,20,True
alpha181,included,,20,True
alpha182,included,,1,True
alpha183,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,24,True
alpha184,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,2,True
alpha185,included,,1,True
alpha186,included,,14,True
alpha187,included,,2,True
alpha188,included,,1,True
alpha189,included,,6,True
alpha190,excluded_insufficient_cross_section_coverage,insufficient_train_factor_coverage_date_count,20,True
alpha191,excluded_formula_implementation_failed,unsupported_or_slow_v0_construct,20,True
