factor_id,primary_family,secondary_family_tags,family_assignment_method,assignment_rule_text,formula_terms_used,manual_override_flag,manual_override_reason,created_before_metric_computation
alpha012,composite_price_volume,"close_location,ohlc_pattern,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,vwap",False,,True
alpha013,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,low,vwap",False,,True
alpha014,composite_price_volume,"close_location,range_volatility,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha015,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,"open,close",False,,True
alpha016,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha017,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vwap",False,,True
alpha018,vwap_deviation,"rank_ts_rank_structure,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha019,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha020,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha021,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha022,volume_price_correlation,volume_price_correlation,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha023,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha024,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha025,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha026,composite_price_volume,"rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vwap",False,,True
alpha027,vwap_deviation,"volume_price_correlation,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha028,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha029,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha030,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,index_close,MKT,SMB,HML",False,,True
alpha031,volume_price_correlation,"volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha032,volume_surge_money_flow,"close_location,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol",False,,True
alpha033,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,low,vol",False,,True
alpha034,composite_price_volume,"close_location,rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha035,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"open,vol",False,,True
alpha036,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha037,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close",False,,True
alpha038,rank_ts_rank_structure,rank_ts_rank_structure,pre_metric_formula_keyword,formula keyword taxonomy,high,False,,True
alpha039,composite_price_volume,"close_location,ohlc_pattern,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,vol,vwap",False,,True
alpha040,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha041,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,vwap,False,,True
alpha042,composite_price_volume,"rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol",False,,True
alpha043,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha044,composite_price_volume,"close_location,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"low,vol,vwap",False,,True
alpha045,composite_price_volume,"close_location,ohlc_pattern,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,vol,vwap",False,,True
alpha046,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha047,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha048,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha049,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha050,range_volatility,range_volatility,pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha051,range_volatility,range_volatility,pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha052,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha053,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha054,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,"open,close",False,,True
alpha055,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_price_correlation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,high,low",False,,True
alpha056,composite_price_volume,"close_location,ohlc_pattern,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,high,low,vol",False,,True
alpha057,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha058,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha059,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha060,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha061,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"low,vol,vwap",False,,True
alpha062,composite_price_volume,"range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol",False,,True
alpha063,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha064,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha065,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha066,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha067,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha068,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,low,vol",False,,True
alpha069,volume_surge_money_flow,"range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,high,low",False,,True
alpha070,composite_price_volume,"range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha071,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha072,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha073,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha074,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"low,vol,vwap",False,,True
alpha075,composite_price_volume,"close_location,ohlc_pattern,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,index_open,index_close",False,,True
alpha076,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha077,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,low,vol,vwap",False,,True
alpha078,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha079,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha080,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha081,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha082,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha083,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol",False,,True
alpha084,composite_price_volume,"close_location,rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha085,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha086,volume_surge_money_flow,"rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha087,composite_price_volume,"close_location,ohlc_pattern,range_volatility,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,high,low,vwap",False,,True
alpha088,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha089,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha090,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha091,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,low,vol",False,,True
alpha092,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha093,composite_price_volume,"close_location,ohlc_pattern,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,low",False,,True
alpha094,composite_price_volume,"close_location,ohlc_pattern,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha095,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha096,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha097,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha098,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha099,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha100,volume_surge_money_flow,"rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha101,composite_price_volume,"close_location,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,vol,vwap",False,,True
alpha102,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha103,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,low,False,,True
alpha104,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,vol",False,,True
alpha105,composite_price_volume,"close_location,ohlc_pattern,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,vol",False,,True
alpha106,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha107,composite_price_volume,"close_location,ohlc_pattern,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,high,low",False,,True
alpha108,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol,vwap",False,,True
alpha109,composite_price_volume,"range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha110,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha111,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha112,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha113,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha114,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol,vwap",False,,True
alpha115,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha116,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha117,composite_price_volume,"close_location,range_volatility,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha118,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,high,low",False,,True
alpha119,composite_price_volume,"range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,vol,vwap",False,,True
alpha120,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vwap",False,,True
alpha121,composite_price_volume,"rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha122,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha123,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,low,vol",False,,True
alpha124,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vwap",False,,True
alpha125,composite_price_volume,"rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha126,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha127,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha128,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha129,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha130,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"high,low,vol,vwap",False,,True
alpha131,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha132,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha133,range_volatility,range_volatility,pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha134,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha135,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha136,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,"open,close,vol",False,,True
alpha137,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,high,low",False,,True
alpha138,composite_price_volume,"close_location,ohlc_pattern,range_volatility,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"low,vol,vwap",False,,True
alpha139,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,vol",False,,True
alpha140,composite_price_volume,"close_location,ohlc_pattern,range_volatility,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,high,low,vol",False,,True
alpha141,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"high,vol",False,,True
alpha142,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha143,volume_surge_money_flow,"rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha144,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol,vwap",False,,True
alpha145,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha146,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha147,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha148,volume_price_correlation,"volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"open,vol",False,,True
alpha149,composite_price_volume,"rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,index_close",False,,True
alpha150,composite_price_volume,"close_location,range_volatility,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha151,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha152,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha153,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha154,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"vol,vwap",False,,True
alpha155,composite_price_volume,"volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha156,vwap_deviation,"volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,low,vwap",False,,True
alpha157,composite_price_volume,"close_location,ohlc_pattern,rank_ts_rank_structure,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha158,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha159,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha160,close_location,close_location,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha161,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha162,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha163,composite_price_volume,"close_location,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,vol,vwap",False,,True
alpha164,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha165,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha166,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha167,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha168,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,vol,False,,True
alpha169,volume_surge_money_flow,volume_surge_money_flow,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha170,composite_price_volume,"close_location,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,vol,vwap",False,,True
alpha171,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close,high,low",False,,True
alpha172,composite_price_volume,"close_location,ohlc_pattern,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha173,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha174,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha175,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha176,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
alpha177,composite_price_volume,"close_location,range_volatility,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,high,False,,True
alpha178,volume_surge_money_flow,"close_location,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha179,composite_price_volume,"close_location,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"low,vol,vwap",False,,True
alpha180,composite_price_volume,"close_location,rank_ts_rank_structure,volume_price_correlation,volume_surge_money_flow,vwap_deviation",pre_metric_formula_keyword,formula keyword taxonomy,"close,vol",False,,True
alpha181,volume_surge_money_flow,"rank_ts_rank_structure,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,index_close",False,,True
alpha182,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,"open,close,index_open,index_close",False,,True
alpha183,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha184,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,"open,close",False,,True
alpha185,volume_price_correlation,"rank_ts_rank_structure,volume_price_correlation",pre_metric_formula_keyword,formula keyword taxonomy,"open,close",False,,True
alpha186,composite_price_volume,"close_location,ohlc_pattern,range_volatility,rank_ts_rank_structure",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low",False,,True
alpha187,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,"open,high",False,,True
alpha188,range_volatility,range_volatility,pre_metric_formula_keyword,formula keyword taxonomy,"high,low",False,,True
alpha189,close_location,"close_location,range_volatility",pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha190,other_gtja191,,pre_metric_formula_keyword,formula keyword taxonomy,close,False,,True
alpha191,composite_price_volume,"close_location,range_volatility,volume_surge_money_flow",pre_metric_formula_keyword,formula keyword taxonomy,"close,high,low,vol",False,,True
