segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
43,2019-08-19,2019-09-03,transition,12,4174.71,4278.92,16,0.0249622129441327
44,2019-09-04,2019-09-23,risk_on,13,4314.1,4354.4,20,0.009341461718550548
45,2019-09-24,2019-09-25,transition,2,4366.95,4311.01,2,-0.012809855849047924
46,2019-09-26,2019-09-30,risk_off,3,4237.0,4214.4,5,-0.0053339627094642905
47,2019-10-08,2019-10-09,transition,2,4229.69,4250.48,2,0.004915253836569544
48,2019-10-10,2019-11-26,risk_on,34,4296.68,4226.89,48,-0.016242773490229623
49,2019-11-27,2019-11-29,transition,3,4219.44,4186.18,3,-0.007882562614944022
50,2019-12-02,2019-12-02,risk_on,1,4194.2,4194.2,1,0.0
51,2019-12-03,2019-12-16,transition,10,4213.99,4397.0,14,0.04342914909622486
52,2019-12-17,2019-12-20,risk_on,4,4454.79,4426.58,4,-0.006332509501009054
53,2019-12-23,2019-12-23,transition,1,4353.55,4353.55,1,0.0
54,2019-12-24,2020-01-23,risk_on,22,4402.06,4488.97,31,0.019743029399871936
55,2020-02-03,2020-02-04,risk_off,2,4121.6,4192.97,2,0.017316090838509268
56,2020-02-05,2020-02-05,transition,1,4273.04,4273.04,1,0.0
57,2020-02-06,2020-03-13,risk_on,27,4376.69,4494.55,37,0.026929026273279755
58,2020-03-16,2020-03-16,transition,1,4296.9,4296.9,1,0.0
59,2020-03-17,2020-04-03,risk_off,14,4283.77,4244.74,18,-0.009111133417527228
60,2020-04-07,2020-04-09,transition,3,4362.26,4385.68,3,0.005368776734995251
61,2020-04-10,2020-04-13,risk_off,2,4319.36,4290.77,4,-0.00661903615350401
62,2020-04-14,2020-04-27,transition,10,4378.07,4357.5,14,-0.00469841733914711
63,2020-04-28,2020-05-14,risk_on,10,4346.09,4489.02,17,0.03288703179179442
64,2020-05-15,2020-06-09,transition,18,4491.43,4627.44,26,0.030282115050217717
65,2020-06-10,2020-09-25,risk_on,76,4624.67,5187.29,108,0.12165624790525587
66,2020-09-28,2020-10-09,transition,4,5165.06,5319.45,12,0.029891230692382864
