state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_range_participation_broad_40,train,board,chinext,9815,0.04268976057055527,0.19306807383968191,0.2001990540103102,-0.15037831326912665,-0.15750929343975495,primary_pass
repair_range_participation_broad_40,train,board,main_board,9815,0.9573102394294447,0.8069319261603181,0.7998009459896898,0.15037831326912665,0.15750929343975495,primary_pass
repair_range_participation_broad_40,train,year,2018,9815,0.0717269485481406,0.03670765796101368,0.03504703375704782,0.03501929058712692,0.03667991479109278,caveat_relative_drift
repair_range_participation_broad_40,train,year,2019,9815,0.4042791645440652,0.23520484884268014,0.2271872991946043,0.16907431570138506,0.17709186534946092,caveat_relative_drift
repair_range_participation_broad_40,train,year,2020,9815,0.31645440652063167,0.3755869627388212,0.37839104450209926,-0.059132556218189525,-0.06193663798146759,caveat_relative_drift
repair_range_participation_broad_40,train,year,2021,9815,0.2075394803871625,0.352500530457485,0.35937462254624863,-0.14496105007032248,-0.15183514215908614,caveat_relative_drift
repair_range_participation_broad_40,train,regime,risk_on,9815,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_broad_40,train,liquidity,median_ratio,9815,0.46974489913644046,1.0,0.45461696190684225,-0.5302551008635595,0.01512793722959821,caveat_relative_drift
repair_range_participation_broad_40,train,compression_severity,median_ratio,9815,0.5425633129132683,1.0,0.5286392292219478,-0.4574366870867317,0.013924083691320477,primary_pass
repair_range_participation_broad_40,validation,board,chinext,4265,0.09050410316529894,0.1969432528096302,0.20490165141474703,-0.10643914964433127,-0.11439754824944809,primary_pass
repair_range_participation_broad_40,validation,board,main_board,4265,0.909495896834701,0.8030567471903698,0.795098348585253,0.10643914964433121,0.11439754824944803,primary_pass
repair_range_participation_broad_40,validation,year,2022,4265,0.22039859320046892,0.3787332604759652,0.3905718593317205,-0.1583346672754963,-0.17017326613125158,caveat_relative_drift
repair_range_participation_broad_40,validation,year,2023,4265,0.779601406799531,0.6212667395240348,0.6094281406682795,0.15833466727549628,0.1701732661312515,caveat_relative_drift
repair_range_participation_broad_40,validation,regime,risk_on,4265,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_broad_40,validation,liquidity,median_ratio,4265,0.5954135726335772,1.0,0.5672957673760107,-0.4045864273664228,0.028117805257566464,primary_pass
repair_range_participation_broad_40,validation,compression_severity,median_ratio,4265,0.6604272741363815,1.0,0.6340126826601301,-0.33957272586361853,0.02641459147625136,primary_pass
repair_range_participation_broad_40,robustness,board,chinext,8236,0.08292860611947547,0.1851945426983325,0.1920770073052346,-0.10226593657885702,-0.10914840118575914,primary_pass
repair_range_participation_broad_40,robustness,board,main_board,8236,0.9170713938805245,0.8148054573016675,0.8079229926947654,0.10226593657885696,0.10914840118575908,primary_pass
repair_range_participation_broad_40,robustness,year,2024,8236,0.2711267605633803,0.4108135421930268,0.42021441762408274,-0.13968678162964648,-0.14908765706070243,primary_pass
