policy_id,decision_date,vol_proxy,realized_capital_weight
C_D9D10_EQUAL_XD8_R100_CNONE,2024-12-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2024-12-31,low,0.740866209944
C_D9D10_EQUAL_XD8_R100_CNONE,2024-12-31,middle,0.243396502166
C_D9D10_EQUAL_XD8_R100_CNONE,2024-12-31,missing,0.010375907561
C_D9D10_EQUAL_XD8_R100_CNONE,2025-01-27,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-01-27,low,0.700712743743
C_D9D10_EQUAL_XD8_R100_CNONE,2025-01-27,middle,0.293777453438
C_D9D10_EQUAL_XD8_R100_CNONE,2025-01-27,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-02-28,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-02-28,low,0.576507127426
C_D9D10_EQUAL_XD8_R100_CNONE,2025-02-28,middle,0.416715341545
C_D9D10_EQUAL_XD8_R100_CNONE,2025-02-28,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-03-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-03-31,low,0.583718236829
C_D9D10_EQUAL_XD8_R100_CNONE,2025-03-31,middle,0.41048856297
C_D9D10_EQUAL_XD8_R100_CNONE,2025-03-31,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-04-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-04-30,low,0.681803167577
C_D9D10_EQUAL_XD8_R100_CNONE,2025-04-30,middle,0.30071046851
C_D9D10_EQUAL_XD8_R100_CNONE,2025-04-30,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-05-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-05-30,low,0.604222169339
C_D9D10_EQUAL_XD8_R100_CNONE,2025-05-30,middle,0.388656726568
C_D9D10_EQUAL_XD8_R100_CNONE,2025-05-30,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-06-30,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-06-30,low,0.539546328858
C_D9D10_EQUAL_XD8_R100_CNONE,2025-06-30,middle,0.454139902836
C_D9D10_EQUAL_XD8_R100_CNONE,2025-06-30,missing,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-07-31,high,0
C_D9D10_EQUAL_XD8_R100_CNONE,2025-07-31,low,0.54321064388
