candidate_id,candidate_type,group_id,raw_feature,component_primitive_ids,component_group_ids,split,trigger_count,stock_day_density,instrument_year_concentration,primary_positive_count,P_signal_given_winner,P_signal_given_non_winner,P_winner_given_signal,LR,primary_LR_ci90_lower,primary_LR_ci90_upper,log_lift,EV_R,avg_win_R,avg_loss_R,failed_seed_rate,entry_buyability_rate,risk_distance_ineligible_rate,initial_risk_pct_p50,delay_sensitivity,combo_rank_score,component_single_LR,component_single_EV_R,combo_incremental_LR_vs_best_component,combo_incremental_EV_R_vs_best_component
volume_money__vol_ratio3__gt_1p2,single_primitive,volume_money,vol_ratio3,volume_money__vol_ratio3__gt_1p2,volume_money,train,46780,0.25812930744315143,0.3105814450619923,5593,0.25703125,0.25980702371186376,0.143975081730893,0.9893160174339928,0.9747252953511578,1.0046764274142603,-0.010741466109820923,-0.15624033350250346,2.9071950657444527,-1.9870597128957919,0.2642796066695169,0.9883924754168448,0.5050500681272574,0.03723597938287951,,,,,,
volume_money__vol_ratio3__gt_1p5,single_primitive,volume_money,vol_ratio3,volume_money__vol_ratio3__gt_1p5,volume_money,train,22425,0.1237398400900528,0.29966555183946486,2576,0.11838235294117647,0.12549708973006757,0.1382048393154139,0.9433075555441626,0.9184282109633423,0.9697500705725854,-0.05836290366460588,-0.1609622168533581,2.6752927805601665,-1.8621338665958793,0.26274247491638797,0.987736900780379,0.435079006772009,0.03940167565553715,,,,,,
volume_money__vol_ratio3__gt_2p0,single_primitive,volume_money,vol_ratio3,volume_money__vol_ratio3__gt_2p0,volume_money,train,7712,0.04255436551948661,0.2885114107883817,839,0.03855698529411765,0.04368139380444549,0.13048211508553656,0.8826866987516703,0.8246711468564982,0.9464505258862052,-0.12478495589052312,-0.10718515664821736,2.5099113086445697,-1.6849644103812296,0.2441649377593361,0.9867738589211619,0.35361366622864654,0.042553185534572935,,,,,,
volume_money__vol_ratio10__gt_1p1,single_primitive,volume_money,vol_ratio10,volume_money__vol_ratio10__gt_1p1,volume_money,train,57797,0.31892046990790557,0.3148260290326488,6951,0.31943933823529413,0.3205359584358764,0.14487890283046395,0.9965787919522868,0.9790241962756241,1.0131143147196349,-0.003427073762340647,-0.1538457321231083,2.996843796686317,-2.002871736395045,0.2681800093430455,0.9882865892693392,0.5165091036414566,0.03723908208032381,,,,,,
volume_money__vol_ratio10__gt_1p2,single_primitive,volume_money,vol_ratio10,volume_money__vol_ratio10__gt_1p2,volume_money,train,45220,0.24952131856732165,0.31043785935426804,5423,0.24921875,0.25152545021289896,0.1441635430789271,0.990829157801143,0.9686976778372562,1.0108875402499633,-0.009213153256198198,-0.1296785686284093,2.926351629182721,-1.9615278267502503,0.2660990712074303,0.98812472357364,0.49202157420047893,0.037856660240756665,,,,,,
volume_money__vol_ratio10__gt_1p5,single_primitive,volume_money,vol_ratio10,volume_money__vol_ratio10__gt_1p5,volume_money,train,22287,0.12297836415103709,0.3039888724368466,2567,0.11796875,0.12464549396460799,0.1385994276766913,0.946434132897706,0.9182833046508344,0.9819636408797652,-0.05505390093101839,-0.1022627421430678,2.7948472877244113,-1.8596788958062493,0.263696325212007,0.9873917530398887,0.43138235026810867,0.039782032979606606,,,,,,
volume_money__vol_ratio10__gt_2p0,single_primitive,volume_money,vol_ratio10,volume_money__vol_ratio10__gt_2p0,volume_money,train,8140,0.044916044518752724,0.2987714987714988,919,0.042233455882352944,0.04565803351693425,0.135886440928582,0.9249950694150865,0.873746815193725,0.9983666790170139,-0.07796687184598697,-0.06582114772816663,2.570160419467474,-1.6663258852490586,0.2520884520884521,0.9848894348894349,0.35075464637645004,0.042927624703370554,,,,,,
volume_money__money_ratio20_mean_asof__gt_1p0,single_primitive,volume_money,money_ratio20_mean_asof,volume_money__money_ratio20_mean_asof__gt_1p0,volume_money,train,73640,0.4063412184718613,0.31856328082563823,9067,0.41668198529411765,0.4068283917340521,0.14830141153764373,1.0242205159725108,0.9999029205743682,1.0459059183821469,0.023931851062748772,-0.17950997138215513,3.0847804562841024,-2.0542391082219265,0.2830119500271592,0.9881586094513851,0.5258905013192612,0.03685505873239349,,,,,,
volume_money__money_ratio20_mean_asof__gt_1p2,single_primitive,volume_money,money_ratio20_mean_asof,volume_money__money_ratio20_mean_asof__gt_1p2,volume_money,train,48312,0.2665827939545432,0.3151597946679914,5924,0.2722426470588235,0.26719012461424274,0.1476459885851008,1.0189098397699967,0.9899079855934381,1.0480751074851264,0.018733271199481014,-0.18996814266191922,2.960936042757162,-1.9909114827640104,0.28835486007617156,0.9873116410001656,0.47768297029287826,0.038359315586525916,,,,,,
volume_money__money_ratio20_mean_asof__gt_1p5,single_primitive,volume_money,money_ratio20_mean_asof,volume_money__money_ratio20_mean_asof__gt_1p5,volume_money,train,26173,0.14442108515839253,0.3081419783746609,3111,0.14296875,0.14574788077659284,0.14292933933657997,0.9809319301125704,0.9431203416604829,1.0252800622508615,-0.019252210088705184,-0.1744485769253855,2.846684098469984,-1.8967854259222634,0.2928972605356665,0.9867420624307492,0.41868659490435994,0.04039634471371744,,,,,,
