candidate_id,candidate_type,status,failed_rules,concentration_warning
pullback_structure__prior20_pullback_depth__le_0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__prior20_pullback_depth__le_0p08,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
pullback_structure__prior20_pullback_depth__le_0p12,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
survival_no_failure__past_h10_no_close_below_prior10_low__eq_1,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
survival_no_failure__past_h20_no_close_below_prior20_low__eq_1,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
volatility_state__atr20_pct__le_0p03,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R;max_train_risk_distance_ineligible_rate,False
volatility_state__atr20_pct__le_0p05,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volatility_state__atr20_pct__le_0p08,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
volatility_state__atr20_contraction_ratio__le_0p8,single_primitive,rejected,max_train_stock_day_density_single;max_train_risk_distance_ineligible_rate,False
volatility_state__atr20_contraction_ratio__le_1p0,single_primitive,rejected,max_train_stock_day_density_single,False
industry_market__industry_breadth20__ge_0p5,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
industry_market__industry_breadth20__ge_0p6,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
industry_market__industry_breadth20__ge_0p7,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
industry_market__market_breadth20__ge_0p45,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
industry_market__market_breadth20__ge_0p55,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR_ci90_lower;min_train_EV_R,False
industry_market__market_breadth20__ge_0p65,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
acceleration__gap_open_pct__ge_0p01,single_primitive,rejected,min_train_EV_R,False
acceleration__gap_open_pct__ge_0p03,single_primitive,rejected,min_train_EV_R,False
distribution_absence__past_h20_no_high_volume_down_day__eq_1,single_primitive,rejected,max_train_stock_day_density_single;min_train_EV_R,False
distribution_absence__past_h10_no_failed_breakout__eq_1,single_primitive,rejected,max_train_stock_day_density_single;min_train_primary_LR;min_train_primary_LR_ci90_lower;min_train_EV_R,False
v3_post30_profile_high5_volume_rps_seed,mandatory_composite_baseline,report_only,,False
