instrument_id,signal_date,split,open,high,low,close,volume,money,vwap,avg_money20_D,industry_id,industry_name,liquidity_quintile,beta_bucket,market_state,base_eligible,candidate_row_id,included_factor_count,valid_included_factor_count,eligible_after_factor_coverage,active_factor_count,score_raw,eligible_count,selected_flag,canonical_unit_id,event_key,unit_role
SH601618,2020-02-21,train,2.24,2.27,2.24,2.24,60193984.0,155146340.0,2.5774393,132045697.2,sw_801720,建筑装饰,q1,mid_beta,risk_on,True,41184,125,124,True,123,0.038772803382963184,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601618_2020-02-21,nonselected_baseline
SH600025,2020-02-21,train,3.32,3.33,3.29,3.3,36557536.0,142486160.0,3.8975866,153884601.2,sw_801160,公用事业,q1,low_beta,risk_on,True,3790,125,125,True,124,0.038081741553821394,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600025_2020-02-21,nonselected_baseline
SH601318,2020-02-21,train,63.34,63.9,62.96,63.25,109390584.0,9020541000.0,82.46177,6298489510.4,sw_801790,非银金融,q5,mid_beta,risk_on,True,36749,125,125,True,124,0.03756660657499226,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601318_2020-02-21,nonselected_baseline
SH601857,2020-02-21,train,4.0,4.02,3.99,4.01,113816296.0,609927000.0,5.358872,431517058.4,sw_801960,石油石化,q2,low_beta,risk_on,True,47983,125,125,True,124,0.03645082862086354,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601857_2020-02-21,nonselected_baseline
SH600600,2020-02-21,train,41.85,42.03,41.48,41.6,8056730.0,372625860.0,46.25026,324441665.6,sw_801120,食品饮料,q2,mid_beta,risk_on,True,18539,125,125,True,124,0.03607109112424716,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600600_2020-02-21,nonselected_baseline
SH600383,2020-02-21,train,11.7,11.76,11.44,11.54,26795700.0,367768500.0,13.724908,447795070.4,sw_801180,房地产,q2,high_beta,risk_on,True,14159,125,125,True,124,0.03322985639510256,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600383_2020-02-21,nonselected_baseline
SH600362,2020-02-21,train,12.95,13.2,12.92,13.05,36932870.0,551751360.0,14.939302,457927291.2,sw_801050,有色金属,q2,mid_beta,risk_on,True,13466,125,125,True,124,0.032346871178296786,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600362_2020-02-21,nonselected_baseline
SZ000596,2020-02-21,train,116.72,120.34,116.67,119.88,4884821.0,645918140.0,132.22964,574104401.6,sw_801120,食品饮料,q3,mid_beta,risk_on,True,65180,125,124,True,123,0.031913891671286006,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000596_2020-02-21,nonselected_baseline
SZ002120,2020-02-21,train,24.68,24.92,24.28,24.52,12798800.0,421630200.0,32.942947,368750051.2,sw_801170,交通运输,q2,mid_beta,risk_on,True,74617,125,125,True,124,0.03188142959298866,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002120_2020-02-21,nonselected_baseline
SH601006,2020-02-21,train,4.98,5.0,4.97,4.99,25149524.0,186610880.0,7.4200563,248184514.4,sw_801170,交通运输,q1,low_beta,risk_on,True,28455,125,125,True,124,0.03127283726127878,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601006_2020-02-21,nonselected_baseline
SZ000069,2020-02-21,train,6.01,6.02,5.93,5.97,39893500.0,270020350.0,6.76853,337986716.8,sw_801180,房地产,q2,high_beta,risk_on,True,61726,125,125,True,124,0.031219615315597866,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000069_2020-02-21,nonselected_baseline
SH601390,2020-02-21,train,4.38,4.41,4.36,4.37,61521920.0,330448700.0,5.3712354,261968659.2,sw_801720,建筑装饰,q1,mid_beta,risk_on,True,38970,125,125,True,124,0.031134484350801475,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601390_2020-02-21,nonselected_baseline
SH601818,2020-02-21,train,2.7,2.7,2.67,2.69,113342824.0,444624670.0,3.9228303,461695023.2,sw_801780,银行,q2,mid_beta,risk_on,True,47191,125,125,True,124,0.029616233231800217,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601818_2020-02-21,nonselected_baseline
SH600196,2020-02-21,train,24.66,24.91,24.48,24.81,25721358.0,675948300.0,26.27965,956189084.8,sw_801150,医药生物,q3,low_beta,risk_on,True,10941,125,125,True,124,0.02951663169979809,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600196_2020-02-21,nonselected_baseline
SH600660,2020-02-21,train,21.08,21.27,20.66,20.96,18712358.0,466955040.0,24.954367,365144326.4,sw_801880,汽车,q2,mid_beta,risk_on,True,19227,125,125,True,124,0.02949779850220488,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600660_2020-02-21,nonselected_baseline
SH600989,2020-02-21,train,7.64,7.67,7.58,7.6,14980590.0,134728720.0,8.993552,132689141.0,UNKNOWN,UNKNOWN,q1,mid_beta,risk_on,True,27600,125,123,True,122,0.02916361399941513,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600989_2020-02-21,nonselected_baseline
SH600690,2020-02-21,train,16.15,16.39,15.97,16.11,39716830.0,748856300.0,18.854885,762126324.8,sw_801110,家用电器,q3,high_beta,risk_on,True,20060,125,125,True,124,0.02914836977969014,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600690_2020-02-21,nonselected_baseline
SH601186,2020-02-21,train,7.76,7.81,7.67,7.71,52711396.0,491864060.0,9.331266,457778251.2,sw_801720,建筑装饰,q2,mid_beta,risk_on,True,33903,125,125,True,124,0.029026600920910677,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601186_2020-02-21,nonselected_baseline
SH601336,2020-02-21,train,38.74,39.22,38.54,38.67,23000294.0,1107961900.0,48.17164,729861176.0,sw_801790,非银金融,q3,high_beta,risk_on,True,37948,125,125,True,124,0.02811071430821152,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601336_2020-02-21,nonselected_baseline
SH600029,2020-02-21,train,6.35,6.36,6.26,6.3,78634460.0,495501200.0,6.3013234,497769080.8,sw_801170,交通运输,q3,high_beta,risk_on,True,4980,125,124,True,123,0.027272072828912395,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600029_2020-02-21,nonselected_baseline
SH600845,2020-02-21,train,17.35,17.87,17.34,17.52,18146880.0,862537540.0,47.5309,615152274.4,sw_801750,计算机,q3,mid_beta,risk_on,True,23445,125,125,True,124,0.02708200248326325,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600845_2020-02-21,nonselected_baseline
SZ002624,2020-02-21,train,29.45,31.45,29.42,30.79,32187700.0,1610376200.0,50.030792,1330879091.2,sw_801760,传媒,q4,mid_beta,risk_on,True,82829,125,125,True,124,0.027022230987166686,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002624_2020-02-21,nonselected_baseline
SH603259,2020-02-21,train,60.91,62.83,60.66,62.4,9002918.0,1009761150.0,112.15932,1294012304.0,sw_801150,医药生物,q4,mid_beta,risk_on,True,55676,125,125,True,124,0.025734251365065575,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH603259_2020-02-21,nonselected_baseline
SH600028,2020-02-21,train,3.25,3.26,3.25,3.26,98260320.0,469530560.0,4.778435,488094385.6,sw_801030,基础化工,q2,low_beta,risk_on,True,4550,125,124,True,123,0.021882966832765114,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600028_2020-02-21,nonselected_baseline
SH600016,2020-02-21,train,4.15,4.17,4.13,4.15,95581090.0,565365700.0,5.915037,475959794.4,sw_801780,银行,q2,low_beta,risk_on,True,2254,125,125,True,124,0.02106880973423681,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600016_2020-02-21,nonselected_baseline
SZ000895,2020-02-21,train,24.66,24.97,24.47,24.64,14220554.0,499564540.0,35.129753,566471592.0,sw_801120,食品饮料,q3,low_beta,risk_on,True,69952,125,124,True,123,0.02050148010087328,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000895_2020-02-21,nonselected_baseline
SZ002371,2020-02-21,train,111.16,113.91,110.98,112.44,11160370.0,1704885600.0,152.76247,1646580041.6,sw_801080,电子,q4,high_beta,risk_on,True,78616,125,125,True,124,0.01882873513480468,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002371_2020-02-21,nonselected_baseline
SH601898,2020-02-21,train,3.64,3.68,3.63,3.66,14362601.0,65389756.0,4.5527797,78316045.6,sw_801950,煤炭,q1,mid_beta,risk_on,True,50192,125,125,True,124,0.018659810113134764,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601898_2020-02-21,nonselected_baseline
SH601607,2020-02-21,train,17.25,17.64,17.09,17.35,38939150.0,782349600.0,20.091593,962307208.8,sw_801150,医药生物,q3,low_beta,risk_on,True,40692,125,125,True,124,0.01860463134606459,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601607_2020-02-21,nonselected_baseline
SZ002602,2020-02-21,train,12.15,12.52,11.97,12.24,52027468.0,766920900.0,14.740692,832651508.8,sw_801760,传媒,q3,mid_beta,risk_on,True,82561,125,124,True,123,0.017214822675654193,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002602_2020-02-21,nonselected_baseline
SZ000708,2020-02-21,train,11.45,11.55,11.24,11.47,2985819.0,73455870.0,24.601582,122137735.8,sw_801040,钢铁,q1,high_beta,risk_on,True,66828,125,124,True,123,0.016732228495846917,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000708_2020-02-21,nonselected_baseline
SH601288,2020-02-21,train,2.44,2.46,2.43,2.44,143243520.0,500496600.0,3.4940262,652995651.2,sw_801780,银行,q3,low_beta,risk_on,True,36225,125,125,True,124,0.01301300787787524,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601288_2020-02-21,nonselected_baseline
SH600406,2020-02-21,train,10.19,10.69,10.18,10.49,35617620.0,720963840.0,20.241776,617425355.2,sw_801730,电力设备,q3,mid_beta,risk_on,True,14408,125,125,True,124,0.013002313553325592,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600406_2020-02-21,nonselected_baseline
SZ002044,2020-02-21,train,13.97,14.13,13.75,13.95,27147900.0,379590530.0,13.982316,458095628.8,sw_801150,医药生物,q2,mid_beta,risk_on,True,73703,125,125,True,124,0.012209843635754359,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002044_2020-02-21,nonselected_baseline
SH600332,2020-02-21,train,32.21,32.66,31.91,32.35,20094800.0,738904200.0,36.770916,1232828528.8,sw_801150,医药生物,q4,low_beta,risk_on,True,12662,125,125,True,124,0.012201714295623523,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600332_2020-02-21,nonselected_baseline
SH601988,2020-02-21,train,2.52,2.54,2.52,2.53,79939220.0,289239870.0,3.6182475,361641608.8,sw_801780,银行,q2,low_beta,risk_on,True,53192,125,125,True,124,0.011863041984578293,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601988_2020-02-21,nonselected_baseline
SZ000785,2020-02-21,train,8.71,8.73,8.45,8.5,9683200.0,87871096.0,9.074593,70158417.8,sw_801200,商贸零售,q1,mid_beta,risk_on,True,68430,125,123,True,122,0.011807540000309466,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000785_2020-02-21,nonselected_baseline
SH601111,2020-02-21,train,8.25,8.26,8.11,8.19,91686720.0,753557100.0,8.218825,630055808.8,sw_801170,交通运输,q3,high_beta,risk_on,True,31525,125,124,True,123,0.010181104395220556,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601111_2020-02-21,nonselected_baseline
SZ002352,2020-02-21,train,42.51,43.29,41.79,42.0,22783428.0,1053256450.0,46.22906,1208494556.8,sw_801170,交通运输,q4,low_beta,risk_on,True,78300,125,125,True,124,0.009772498558665957,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002352_2020-02-21,nonselected_baseline
SH600115,2020-02-21,train,4.97,4.97,4.92,4.96,63176290.0,315965600.0,5.0013323,291030339.2,sw_801170,交通运输,q1,high_beta,risk_on,True,9200,125,124,True,123,0.008894465757700486,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600115_2020-02-21,nonselected_baseline
SZ002555,2020-02-21,train,28.69,30.37,28.69,29.72,45566290.0,1703124600.0,37.376858,1439381833.6,sw_801760,传媒,q4,mid_beta,risk_on,True,81572,125,125,True,124,0.008233750464334604,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002555_2020-02-21,nonselected_baseline
SH601668,2020-02-21,train,4.14,4.17,4.1,4.12,236975540.0,1278881300.0,5.396681,1065845673.6,sw_801720,建筑装饰,q4,mid_beta,risk_on,True,42750,125,125,True,124,0.007613751997855763,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601668_2020-02-21,nonselected_baseline
SZ000661,2020-02-21,train,233.0,236.49,231.47,234.37,2680400.0,1309335900.0,488.4853,1410928771.2,sw_801150,医药生物,q4,mid_beta,risk_on,True,66586,125,124,True,123,0.0065453558463633545,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000661_2020-02-21,nonselected_baseline
SH600436,2020-02-21,train,120.81,123.2,119.55,122.41,5384553.0,685520300.0,127.31239,848004203.2,sw_801150,医药生物,q3,low_beta,risk_on,True,15155,125,125,True,124,0.005448436341999519,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600436_2020-02-21,nonselected_baseline
SH603501,2020-02-21,train,145.99,150.37,144.68,146.01,8069612.0,1619902000.0,200.741,1261108019.2,sw_801080,电子,q4,mid_beta,risk_on,True,57501,125,124,True,123,0.0053601484912318914,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH603501_2020-02-21,nonselected_baseline
SH601009,2020-02-21,train,5.8,5.9,5.78,5.85,42993456.0,348914270.0,8.1155205,346464469.6,sw_801780,银行,q2,mid_beta,risk_on,True,28881,125,125,True,124,0.005318521850577165,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601009_2020-02-21,nonselected_baseline
SH601766,2020-02-21,train,5.33,5.41,5.31,5.36,69828950.0,452873820.0,6.4854736,444732563.2,sw_801890,机械设备,q2,mid_beta,risk_on,True,45228,125,125,True,124,0.004927715478134492,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601766_2020-02-21,nonselected_baseline
SH600000,2020-02-21,train,8.6,8.73,8.59,8.66,38949416.0,439706980.0,11.28918,453170225.6,sw_801780,银行,q2,mid_beta,risk_on,True,129,125,125,True,124,0.004202335528398473,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600000_2020-02-21,nonselected_baseline
SH600999,2020-02-21,train,13.84,14.16,13.62,13.67,43878776.0,843240770.0,19.217508,492982772.0,sw_801790,非银金融,q2,high_beta,risk_on,True,28030,125,124,True,123,0.0017924889111967106,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600999_2020-02-21,nonselected_baseline
SH601600,2020-02-21,train,3.01,3.05,3.0,3.02,68130300.0,220456830.0,3.2358117,207488428.8,sw_801050,有色金属,q1,mid_beta,risk_on,True,39859,125,125,True,124,0.0002542789443396032,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601600_2020-02-21,nonselected_baseline
SH603993,2020-02-21,train,4.21,4.3,4.12,4.18,428622820.0,1981630000.0,4.623249,1656355368.0,sw_801050,有色金属,q4,mid_beta,risk_on,True,59489,125,124,True,123,-0.0010035836717068422,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH603993_2020-02-21,nonselected_baseline
SH600011,2020-02-21,train,4.36,4.42,4.34,4.38,36944204.0,184727420.0,5.0001736,153021440.8,sw_801160,公用事业,q1,mid_beta,risk_on,True,1394,125,125,True,124,-0.0010238903754901502,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600011_2020-02-21,nonselected_baseline
SH601985,2020-02-21,train,4.18,4.18,4.14,4.16,28031140.0,133960750.0,4.7789974,131220902.4,sw_801160,公用事业,q1,mid_beta,risk_on,True,52762,125,125,True,124,-0.0020595224566697596,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601985_2020-02-21,nonselected_baseline
SZ000876,2020-02-21,train,21.36,21.77,20.93,21.24,41618600.0,893046460.0,21.457869,824972086.4,sw_801010,农林牧渔,q3,high_beta,risk_on,True,69533,125,124,True,123,-0.002206495450052425,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000876_2020-02-21,nonselected_baseline
SZ000157,2020-02-21,train,4.91,5.01,4.89,4.96,33325596.0,216012850.0,6.48189,258304197.6,sw_801890,机械设备,q1,high_beta,risk_on,True,62170,125,124,True,123,-0.002583641998045813,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000157_2020-02-21,nonselected_baseline
SH600570,2020-02-21,train,42.65,43.87,42.33,42.66,30955432.0,3208625700.0,103.653076,2437560627.2,sw_801750,计算机,q5,high_beta,risk_on,True,17251,125,125,True,124,-0.0039998990964264635,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600570_2020-02-21,nonselected_baseline
SZ002736,2020-02-21,train,10.51,10.81,10.36,10.5,44353360.0,566398500.0,12.770138,278484231.2,sw_801790,非银金融,q1,high_beta,risk_on,True,83891,125,124,True,123,-0.004871628222593326,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002736_2020-02-21,nonselected_baseline
SZ002714,2020-02-21,train,41.27,43.1,40.66,42.21,19639298.0,2160428500.0,110.00539,1920954003.2,sw_801010,农林牧渔,q5,high_beta,risk_on,True,83479,125,125,True,124,-0.006064915302915559,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002714_2020-02-21,nonselected_baseline
SH601877,2020-02-21,train,26.93,26.96,25.68,26.04,31483628.0,921279300.0,29.26217,360571362.0,sw_801730,电力设备,q2,mid_beta,risk_on,True,48911,125,125,True,124,-0.006765960161799505,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601877_2020-02-21,nonselected_baseline
SH601398,2020-02-21,train,3.9,3.92,3.88,3.9,223710290.0,1228187000.0,5.4900784,1198299228.8,sw_801780,银行,q4,low_beta,risk_on,True,39400,125,125,True,124,-0.008524743150994782,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601398_2020-02-21,nonselected_baseline
SH601939,2020-02-21,train,4.78,4.84,4.76,4.81,92576410.0,625241500.0,6.7537885,678079843.2,sw_801780,银行,q3,low_beta,risk_on,True,52284,125,125,True,124,-0.00971289576339205,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601939_2020-02-21,nonselected_baseline
SH600019,2020-02-21,train,3.86,3.88,3.84,3.86,50137600.0,269964740.0,5.3844767,384347036.0,sw_801040,钢铁,q2,mid_beta,risk_on,True,3101,125,125,True,124,-0.009848518824700506,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600019_2020-02-21,nonselected_baseline
SH601628,2020-02-21,train,28.27,29.23,28.24,28.81,27576360.0,885709400.0,32.11843,656953113.6,sw_801790,非银金融,q3,high_beta,risk_on,True,41614,125,125,True,124,-0.009999057206685745,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601628_2020-02-21,nonselected_baseline
SH600887,2020-02-21,train,25.08,25.1,24.78,24.9,54909230.0,1685910300.0,30.703585,1705296825.6,sw_801120,食品饮料,q4,mid_beta,risk_on,True,24549,125,125,True,124,-0.010233423195689196,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600887_2020-02-21,nonselected_baseline
SH600061,2020-02-21,train,8.77,9.01,8.54,8.68,56276400.0,807819650.0,14.354501,512073402.4,sw_801790,非银金融,q3,high_beta,risk_on,True,7680,125,124,True,123,-0.011270356529233297,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600061_2020-02-21,nonselected_baseline
SH601727,2020-02-21,train,4.74,4.78,4.72,4.74,24865084.0,119890420.0,4.821637,91956285.6,sw_801730,电力设备,q1,mid_beta,risk_on,True,44601,125,124,True,123,-0.012506003773627363,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601727_2020-02-21,nonselected_baseline
SZ002812,2020-02-21,train,59.27,62.27,59.19,61.67,14172296.0,909063550.0,64.14371,866837964.8,sw_801030,基础化工,q3,mid_beta,risk_on,True,84266,125,125,True,124,-0.012745114619798598,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002812_2020-02-21,nonselected_baseline
SH601328,2020-02-21,train,3.61,3.65,3.61,3.64,79392910.0,425345200.0,5.357471,401805337.6,sw_801780,银行,q2,low_beta,risk_on,True,37518,125,125,True,124,-0.013612369355189825,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601328_2020-02-21,nonselected_baseline
SZ000001,2020-02-21,train,12.57,12.76,12.54,12.64,99507100.0,1546693000.0,15.543544,1768415360.0,sw_801780,银行,q5,high_beta,risk_on,True,60282,125,125,True,124,-0.015434019196207726,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ000001_2020-02-21,nonselected_baseline
SZ002001,2020-02-21,train,15.71,15.9,15.56,15.76,20299868.0,537378600.0,26.472025,596107369.6,sw_801150,医药生物,q3,mid_beta,risk_on,True,72305,125,125,True,124,-0.016896463641446206,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SZ002001_2020-02-21,nonselected_baseline
SH601669,2020-02-21,train,3.57,3.63,3.56,3.6,36981250.0,149355940.0,4.038694,135903755.2,sw_801720,建筑装饰,q1,mid_beta,risk_on,True,43180,125,125,True,124,-0.0193561092976691,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH601669_2020-02-21,nonselected_baseline
SH600104,2020-02-21,train,19.42,19.97,19.4,19.95,34526170.0,818442700.0,23.704996,656085656.0,sw_801880,汽车,q3,mid_beta,risk_on,True,8489,125,125,True,124,-0.01974237365497937,179,False,r04_gtja191_train_direction_equal_weight_residual_composite_v0,r04_nonselected_baseline_SH600104_2020-02-21,nonselected_baseline
