threshold_id,split_bucket,phase_scheme,episode_cluster_id,cluster_anchor_n,cluster_subtype_set,cluster_phase_resolved,cluster_single_subtype_after_phase,cluster_residual_mixed_share,cluster_sparse_phase_anchor_share,cluster_outcome_only_descriptor_flag
up50pct,train,pit,up50pct::SH600036::000000,264,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.8333333333333334,0.026515151515151516,False
up100pct,train,pit,up100pct::SH600037::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600037::000000,54,mixed_episode_winner|sparse_phase_subgroup,False,False,0.7407407407407407,0.25925925925925924,False
up100pct,train,pit,up100pct::SH600038::000000,61,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9672131147540983,0.03278688524590164,False
up50pct,train,pit,up50pct::SH600038::000000,351,mixed_episode_winner,False,False,1.0,0.0,False
up50pct,robustness,pit,up50pct::SH600048::000001,11,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600056::000000,106,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.3490566037735849,0.10377358490566038,False
up150pct,train,pit,up150pct::SH600056::000000,88,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.36363636363636365,0.17045454545454544,False
up50pct,train,pit,up50pct::SH600056::000000,108,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.3425925925925926,0.10185185185185185,False
up100pct,train,pit,up100pct::SH600062::000000,22,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8181818181818182,0.18181818181818182,False
up150pct,train,pit,up150pct::SH600062::000000,14,mixed_episode_winner|sparse_phase_subgroup,False,False,0.7142857142857143,0.2857142857142857,False
up50pct,train,pit,up50pct::SH600062::000000,34,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6470588235294118,0.35294117647058826,False
up100pct,train,pit,up100pct::SH600095::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600095::000000,23,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600095::000001,14,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600120::000000,63,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.2222222222222222,0.031746031746031744,False
up100pct,train,pit,up100pct::SH600132::000000,255,mixed_episode_winner|stair_step_winner,True,True,0.37254901960784315,0.0,False
up150pct,train,pit,up150pct::SH600132::000000,233,mixed_episode_winner|stair_step_winner,True,True,0.34763948497854075,0.0,False
up50pct,train,pit,up50pct::SH600132::000000,323,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600143::000000,209,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.24401913875598086,0.023923444976076555,False
up150pct,train,pit,up150pct::SH600143::000000,163,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.2822085889570552,0.018404907975460124,False
up50pct,train,pit,up50pct::SH600143::000000,287,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9825783972125436,0.017421602787456445,False
up100pct,train,pit,up100pct::SH600161::000000,151,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.41721854304635764,0.039735099337748346,False
up150pct,train,pit,up150pct::SH600161::000000,80,mixed_episode_winner|slow_grind_winner|sparse_phase_subgroup|stair_step_winner,True,False,0.35,0.075,False
up50pct,train,pit,up50pct::SH600161::000000,203,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600166::000000,37,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6216216216216216,0.3783783783783784,False
up150pct,train,pit,up150pct::SH600166::000000,3,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600166::000000,86,late_rescue_winner|mixed_episode_winner,True,True,0.7558139534883721,0.0,False
up50pct,train,pit,up50pct::SH600171::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600185::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up150pct,train,pit,up150pct::SH600185::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600185::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600185::000001,9,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600196::000000,232,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.8103448275862069,0.017241379310344827,False
up150pct,train,pit,up150pct::SH600196::000000,199,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.592964824120603,0.06030150753768844,False
up50pct,train,pit,up50pct::SH600196::000000,332,mixed_episode_winner|stair_step_winner,True,True,0.9698795180722891,0.0,False
up50pct,robustness,pit,up50pct::SH600196::000001,3,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600201::000000,11,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9090909090909091,0.09090909090909091,False
up50pct,train,pit,up50pct::SH600201::000000,130,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.6692307692307692,0.07692307692307693,False
up100pct,train,pit,up100pct::SH600211::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600211::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600221::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,robustness,pit,up100pct::SH600221::000001,10,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600221::000000,198,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9595959595959596,0.04040404040404041,False
up50pct,robustness,pit,up50pct::SH600256::000001,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600273::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600273::000000,17,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8823529411764706,0.11764705882352941,False
up50pct,train,pit,up50pct::SH600273::000001,15,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6666666666666666,0.3333333333333333,False
up100pct,train,pit,up100pct::SH600276::000000,27,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.2222222222222222,False
up50pct,train,pit,up50pct::SH600276::000000,121,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.4462809917355372,0.03305785123966942,False
up50pct,train,pit,up50pct::SH600295::000000,83,mixed_episode_winner|smooth_trend_winner|sparse_phase_subgroup,True,True,0.7831325301204819,0.012048192771084338,False
up100pct,train,pit,up100pct::SH600298::000000,173,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.5375722543352601,0.005780346820809248,False
up150pct,train,pit,up150pct::SH600298::000000,96,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.3645833333333333,0.010416666666666666,False
up50pct,train,pit,up50pct::SH600298::000000,211,mixed_episode_winner|smooth_trend_winner|stair_step_winner,True,False,0.8104265402843602,0.0,False
up50pct,train,pit,up50pct::SH600298::000001,10,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,robustness,pit,up50pct::SH600298::000002,13,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600305::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600305::000000,26,smooth_trend_winner|sparse_phase_subgroup,True,True,0.0,0.038461538461538464,False
up100pct,train,pit,up100pct::SH600309::000000,241,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.5601659751037344,0.024896265560165973,False
up150pct,train,pit,up150pct::SH600309::000000,203,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.37438423645320196,0.029556650246305417,False
up50pct,train,pit,up50pct::SH600309::000000,292,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9794520547945206,0.02054794520547945,False
up50pct,robustness,pit,up50pct::SH600309::000001,84,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.7380952380952381,0.05952380952380952,False
up100pct,train,pit,up100pct::SH600315::000000,117,mixed_episode_winner|stair_step_winner,True,True,0.358974358974359,0.0,False
up150pct,train,pit,up150pct::SH600315::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600315::000000,288,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600316::000000,9,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600316::000000,64,mixed_episode_winner|sparse_phase_subgroup,False,False,0.828125,0.171875,False
up50pct,train,pit,up50pct::SH600316::000001,4,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600323::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600323::000000,40,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.525,0.175,False
up100pct,train,pit,up100pct::SH600325::000000,66,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.6818181818181818,0.12121212121212122,False
up50pct,train,pit,up50pct::SH600325::000000,145,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.38620689655172413,0.06206896551724138,False
up50pct,train,pit,up50pct::SH600329::000000,4,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,robustness,pit,up50pct::SH600329::000002,16,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600338::000000,64,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.53125,0.1875,False
up150pct,train,pit,up150pct::SH600338::000000,60,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.2833333333333333,0.13333333333333333,False
up50pct,train,pit,up50pct::SH600338::000000,77,choppy_reversal_winner|late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,False,0.5324675324675324,0.07792207792207792,False
up100pct,train,pit,up100pct::SH600339::000000,16,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9375,0.0625,False
up50pct,train,pit,up50pct::SH600339::000000,76,late_rescue_winner|mixed_episode_winner,True,True,0.631578947368421,0.0,False
up100pct,train,pit,up100pct::SH600346::000000,283,mixed_episode_winner|stair_step_winner,True,True,0.6113074204946997,0.0,False
up150pct,train,pit,up150pct::SH600346::000000,254,mixed_episode_winner|stair_step_winner,True,True,0.6141732283464567,0.0,False
up50pct,train,pit,up50pct::SH600346::000000,315,mixed_episode_winner,False,False,1.0,0.0,False
up50pct,train,pit,up50pct::SH600348::000000,47,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6808510638297872,0.3191489361702128,False
up100pct,train,pit,up100pct::SH600352::000000,50,mixed_episode_winner|smooth_trend_winner|sparse_phase_subgroup,True,True,0.42,0.06,False
up150pct,train,pit,up150pct::SH600352::000000,12,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600352::000000,45,mixed_episode_winner|smooth_trend_winner|sparse_phase_subgroup,True,True,0.4,0.06666666666666667,False
up50pct,robustness,pit,up50pct::SH600378::000001,104,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9230769230769231,0.07692307692307693,False
up50pct,robustness,pit,up50pct::SH600398::000001,5,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600399::000000,46,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8695652173913043,0.13043478260869565,False
up150pct,train,pit,up150pct::SH600399::000000,11,stair_step_winner,True,True,0.0,0.0,False
up50pct,train,pit,up50pct::SH600399::000000,112,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9910714285714286,0.008928571428571428,False
up100pct,train,pit,up100pct::SH600409::000000,31,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6774193548387096,0.3225806451612903,False
up150pct,train,pit,up150pct::SH600409::000000,19,mixed_episode_winner|sparse_phase_subgroup,False,False,0.5789473684210527,0.42105263157894735,False
up50pct,train,pit,up50pct::SH600409::000000,61,mixed_episode_winner|sparse_phase_subgroup,False,False,0.7377049180327869,0.26229508196721313,False
up100pct,train,pit,up100pct::SH600410::000000,13,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.07692307692307693,False
up150pct,train,pit,up150pct::SH600410::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600410::000000,13,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.07692307692307693,False
up100pct,train,pit,up100pct::SH600435::000000,37,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.32432432432432434,False
up150pct,train,pit,up150pct::SH600435::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600435::000000,48,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.14583333333333334,False
up100pct,train,pit,up100pct::SH600436::000000,290,mixed_episode_winner,False,False,1.0,0.0,False
up150pct,train,pit,up150pct::SH600436::000000,229,mixed_episode_winner|stair_step_winner,True,True,0.4279475982532751,0.0,False
up50pct,train,pit,up50pct::SH600436::000000,338,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600446::000000,4,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600446::000000,22,mixed_episode_winner|sparse_phase_subgroup,False,False,0.5909090909090909,0.4090909090909091,False
up100pct,train,pit,up100pct::SH600460::000000,339,mixed_episode_winner|stair_step_winner,True,True,0.6991150442477876,0.0,False
up100pct,robustness,pit,up100pct::SH600460::000001,29,mixed_episode_winner|stair_step_winner,True,True,0.3448275862068966,0.0,False
up150pct,train,pit,up150pct::SH600460::000000,331,mixed_episode_winner|stair_step_winner,True,True,0.6193353474320241,0.0,False
up50pct,train,pit,up50pct::SH600460::000000,354,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600486::000000,216,mixed_episode_winner|stair_step_winner,True,True,0.6481481481481481,0.0,False
up150pct,train,pit,up150pct::SH600486::000000,152,mixed_episode_winner|stair_step_winner,True,True,0.21052631578947367,0.0,False
up50pct,train,pit,up50pct::SH600486::000000,276,mixed_episode_winner|smooth_trend_winner,True,True,0.927536231884058,0.0,False
up100pct,robustness,pit,up100pct::SH600498::000000,32,mixed_episode_winner|sparse_phase_subgroup,False,False,0.90625,0.09375,False
up150pct,robustness,pit,up150pct::SH600498::000000,6,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,robustness,pit,up50pct::SH600498::000000,32,mixed_episode_winner|sparse_phase_subgroup,False,False,0.90625,0.09375,False
up100pct,train,pit,up100pct::SH600499::000000,24,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.5,False
up150pct,train,pit,up150pct::SH600499::000000,17,late_rescue_winner|sparse_phase_subgroup,True,True,0.0,0.29411764705882354,False
up50pct,train,pit,up50pct::SH600499::000000,67,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.7014925373134329,0.11940298507462686,False
up50pct,validation,pit,up50pct::SH600499::000001,44,late_rescue_winner|mixed_episode_winner,True,True,0.22727272727272727,0.0,False
up100pct,train,pit,up100pct::SH600500::000000,87,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9425287356321839,0.05747126436781609,False
up50pct,train,pit,up50pct::SH600500::000000,94,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.6382978723404256,0.06382978723404255,False
up100pct,train,pit,up100pct::SH600511::000000,194,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.6134020618556701,0.030927835051546393,False
up150pct,train,pit,up150pct::SH600511::000000,51,mixed_episode_winner|sparse_phase_subgroup,False,False,0.7843137254901961,0.21568627450980393,False
up50pct,train,pit,up50pct::SH600511::000000,229,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600515::000000,173,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9884393063583815,0.011560693641618497,False
up150pct,train,pit,up150pct::SH600515::000000,79,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8987341772151899,0.10126582278481013,False
up50pct,train,pit,up50pct::SH600515::000000,256,mixed_episode_winner|sparse_phase_subgroup,False,False,0.97265625,0.02734375,False
up100pct,train,pit,up100pct::SH600516::000000,156,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.717948717948718,0.02564102564102564,False
up50pct,train,pit,up50pct::SH600516::000000,9,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600516::000001,330,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600519::000000,182,mixed_episode_winner|stair_step_winner,True,True,0.33516483516483514,0.0,False
up150pct,train,pit,up150pct::SH600519::000000,87,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.11494252873563218,0.11494252873563218,False
up50pct,train,pit,up50pct::SH600519::000000,278,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600529::000000,75,mixed_episode_winner|smooth_trend_winner,True,True,0.17333333333333334,0.0,False
up150pct,train,pit,up150pct::SH600529::000000,44,mixed_episode_winner|smooth_trend_winner|sparse_phase_subgroup,True,True,0.29545454545454547,0.022727272727272728,False
up50pct,train,pit,up50pct::SH600529::000000,106,mixed_episode_winner|smooth_trend_winner,True,True,0.6509433962264151,0.0,False
up100pct,train,pit,up100pct::SH600536::000000,49,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.22448979591836735,False
up150pct,train,pit,up150pct::SH600536::000000,23,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.5652173913043478,False
up50pct,train,pit,up50pct::SH600536::000000,150,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9866666666666667,0.013333333333333334,False
up50pct,train,pit,up50pct::SH600546::000000,129,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9767441860465116,0.023255813953488372,False
up50pct,validation,pit,up50pct::SH600546::000001,26,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9230769230769231,0.07692307692307693,False
up100pct,train,pit,up100pct::SH600556::000000,3,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600556::000000,42,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600559::000000,6,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600559::000000,6,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600563::000000,79,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.189873417721519,0.02531645569620253,False
up150pct,train,pit,up150pct::SH600563::000000,41,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.24390243902439024,False
up50pct,train,pit,up50pct::SH600563::000000,115,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9826086956521739,0.017391304347826087,False
up100pct,train,pit,up100pct::SH600570::000000,123,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.4146341463414634,0.024390243902439025,False
up100pct,robustness,pit,up100pct::SH600570::000001,3,sparse_phase_subgroup,False,False,0.0,1.0,False
up150pct,train,pit,up150pct::SH600570::000000,36,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.3888888888888889,0.3333333333333333,False
up50pct,train,pit,up50pct::SH600570::000000,188,mixed_episode_winner|sparse_phase_subgroup,False,False,0.973404255319149,0.026595744680851064,False
up50pct,robustness,pit,up50pct::SH600570::000002,74,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9594594594594594,0.04054054054054054,False
up50pct,train,pit,up50pct::SH600578::000000,8,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,robustness,pit,up50pct::SH600578::000001,38,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.15789473684210525,False
up50pct,train,pit,up50pct::SH600582::000000,67,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.5074626865671642,0.19402985074626866,False
up100pct,train,pit,up100pct::SH600585::000000,21,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.47619047619047616,False
up50pct,train,pit,up50pct::SH600585::000000,116,mixed_episode_winner|stair_step_winner,True,True,0.3017241379310345,0.0,False
up100pct,robustness,pit,up100pct::SH600588::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,robustness,pit,up50pct::SH600588::000000,107,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9906542056074766,0.009345794392523364,False
up50pct,robustness,pit,up50pct::SH600588::000001,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600596::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up150pct,train,pit,up150pct::SH600596::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600597::000000,2,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600597::000000,41,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8536585365853658,0.14634146341463414,False
up100pct,train,pit,up100pct::SH600598::000000,156,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.3974358974358974,0.01282051282051282,False
up150pct,train,pit,up150pct::SH600598::000000,37,mixed_episode_winner|sparse_phase_subgroup,False,False,0.5405405405405406,0.4594594594594595,False
up50pct,train,pit,up50pct::SH600598::000000,195,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600604::000000,22,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8636363636363636,0.13636363636363635,False
up150pct,train,pit,up150pct::SH600604::000000,19,mixed_episode_winner|sparse_phase_subgroup,False,False,0.8421052631578947,0.15789473684210525,False
up50pct,train,pit,up50pct::SH600604::000000,17,mixed_episode_winner|sparse_phase_subgroup,False,False,0.6470588235294118,0.35294117647058826,False
up100pct,train,pit,up100pct::SH600621::000000,40,mixed_episode_winner|sparse_phase_subgroup,False,False,0.65,0.35,False
up50pct,train,pit,up50pct::SH600621::000000,125,mixed_episode_winner|sparse_phase_subgroup,False,False,0.976,0.024,False
up100pct,train,pit,up100pct::SH600623::000000,26,mixed_episode_winner|stair_step_winner,True,True,0.6153846153846154,0.0,False
up50pct,train,pit,up50pct::SH600623::000000,78,late_rescue_winner|mixed_episode_winner|sparse_phase_subgroup,True,True,0.5,0.05128205128205128,False
up100pct,train,pit,up100pct::SH600633::000000,4,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600633::000000,11,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600635::000000,11,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600635::000000,65,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600640::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600640::000000,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600641::000000,50,mixed_episode_winner,False,False,1.0,0.0,False
up150pct,train,pit,up150pct::SH600641::000000,3,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,train,pit,up50pct::SH600641::000000,94,mixed_episode_winner,False,False,1.0,0.0,False
up100pct,train,pit,up100pct::SH600667::000000,98,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9489795918367347,0.05102040816326531,False
up150pct,train,pit,up150pct::SH600667::000000,11,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9090909090909091,0.09090909090909091,False
up50pct,train,pit,up50pct::SH600667::000000,135,mixed_episode_winner,False,False,1.0,0.0,False
up50pct,train,pit,up50pct::SH600667::000001,8,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600685::000000,188,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9627659574468085,0.03723404255319149,False
up150pct,train,pit,up150pct::SH600685::000000,157,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9617834394904459,0.03821656050955414,False
up50pct,train,pit,up50pct::SH600685::000000,181,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9668508287292817,0.03314917127071823,False
up100pct,train,pit,up100pct::SH600702::000000,60,mixed_episode_winner|sparse_phase_subgroup|stair_step_winner,True,True,0.6166666666666667,0.15,False
up150pct,train,pit,up150pct::SH600702::000000,59,sparse_phase_subgroup|stair_step_winner,True,True,0.0,0.15254237288135594,False
up50pct,train,pit,up50pct::SH600702::000000,64,mixed_episode_winner|sparse_phase_subgroup,False,False,0.859375,0.140625,False
up50pct,train,pit,up50pct::SH600702::000001,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up50pct,validation,pit,up50pct::SH600702::000002,1,sparse_phase_subgroup,False,False,0.0,1.0,False
up100pct,train,pit,up100pct::SH600703::000000,146,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9657534246575342,0.03424657534246575,False
up150pct,train,pit,up150pct::SH600703::000000,100,mixed_episode_winner|sparse_phase_subgroup,False,False,0.98,0.02,False
up50pct,train,pit,up50pct::SH600703::000000,347,mixed_episode_winner|sparse_phase_subgroup,False,False,0.9798270893371758,0.020172910662824207,False
up50pct,robustness,pit,up50pct::SH600703::000001,96,mixed_episode_winner|stair_step_winner,True,True,0.4895833333333333,0.0,False
