threshold_id,split_bucket,phase_scheme,subtype_0p70,subtype_anchor_n,subtype_anchor_share
up50pct,validation,pit,stair_step_winner,25,0.023474178403755867
up100pct,train,outcome,sparse_phase_subgroup,923,0.03116874345726539
up50pct,train,outcome,mixed_episode_winner,38748,0.679944548756734
up50pct,train,outcome,smooth_trend_winner,2931,0.05143278291540176
up100pct,train,outcome,late_rescue_winner,5328,0.17992098065039003
up100pct,train,outcome,mixed_episode_winner,11462,0.387059737277547
up100pct,train,outcome,stair_step_winner,10006,0.33789214196467765
up150pct,train,outcome,mixed_episode_winner,5201,0.3159589332361339
up150pct,train,outcome,stair_step_winner,7082,0.43022902618309944
up150pct,train,outcome,smooth_trend_winner,485,0.02946358058441164
up50pct,train,outcome,late_rescue_winner,8461,0.14847245863091582
up50pct,train,outcome,sparse_phase_subgroup,1991,0.03493779282994367
up100pct,train,outcome,slow_grind_winner,142,0.004795191301117752
up50pct,train,outcome,stair_step_winner,3888,0.06822608665134153
up50pct,robustness,outcome,mixed_episode_winner,7951,0.7112442973432328
up150pct,train,outcome,late_rescue_winner,2942,0.1787254723285341
up150pct,train,outcome,sparse_phase_subgroup,430,0.02612234979648867
up50pct,train,outcome,jump_repricing_winner,832,0.01459982101180971
up150pct,train,outcome,slow_grind_winner,194,0.011785432233764655
up100pct,train,outcome,smooth_trend_winner,1482,0.050045588086313444
up50pct,robustness,outcome,sparse_phase_subgroup,703,0.06288576795777798
up100pct,robustness,outcome,sparse_phase_subgroup,251,0.04450354609929078
up50pct,robustness,outcome,stair_step_winner,1288,0.11521603005635567
up100pct,robustness,outcome,stair_step_winner,2511,0.4452127659574468
up150pct,robustness,outcome,sparse_phase_subgroup,127,0.03483269336258914
up50pct,validation,outcome,late_rescue_winner,337,0.3164319248826291
up50pct,train,outcome,choppy_reversal_winner,136,0.0023865092038535107
up50pct,validation,outcome,mixed_episode_winner,435,0.4084507042253521
up50pct,validation,outcome,sparse_phase_subgroup,149,0.13990610328638498
up50pct,robustness,outcome,choppy_reversal_winner,119,0.010644959298685034
up150pct,robustness,outcome,smooth_trend_winner,49,0.013439385628085573
up100pct,validation,outcome,stair_step_winner,26,0.10276679841897234
up100pct,robustness,outcome,mixed_episode_winner,2551,0.4523049645390071
up100pct,robustness,outcome,smooth_trend_winner,243,0.04308510638297872
up150pct,robustness,outcome,mixed_episode_winner,1194,0.3274821722435546
up50pct,robustness,outcome,smooth_trend_winner,622,0.05564003935951337
up150pct,robustness,outcome,stair_step_winner,2242,0.6149204607789358
up100pct,validation,outcome,mixed_episode_winner,121,0.4782608695652174
up100pct,validation,outcome,smooth_trend_winner,74,0.2924901185770751
up100pct,validation,outcome,sparse_phase_subgroup,32,0.12648221343873517
up150pct,validation,outcome,stair_step_winner,26,0.16774193548387098
up150pct,validation,outcome,smooth_trend_winner,71,0.45806451612903226
up50pct,robustness,outcome,jump_repricing_winner,496,0.0443689059844351
up100pct,train,outcome,jump_repricing_winner,270,0.009117617262688685
up150pct,train,outcome,jump_repricing_winner,127,0.007715205637567584
up150pct,validation,outcome,sparse_phase_subgroup,11,0.07096774193548387
up50pct,validation,outcome,jump_repricing_winner,69,0.0647887323943662
up50pct,validation,outcome,smooth_trend_winner,42,0.03943661971830986
up150pct,validation,outcome,mixed_episode_winner,47,0.3032258064516129
up100pct,robustness,outcome,jump_repricing_winner,84,0.014893617021276596
up150pct,robustness,outcome,jump_repricing_winner,34,0.009325287986834888
up50pct,validation,outcome,stair_step_winner,33,0.030985915492957747
