classification_year,snapshot_trade_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,dataset_id,api,idx_type,board_ts_code,board_name,output_path,status,rows,cols,elapsed_seconds,attempts,error_type,error_message
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1159.DC,Sora概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1159.DC.csv,ok_cached,40,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1158.DC,微盘股,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1158.DC.csv,ok_cached,400,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1157.DC,飞行汽车(eVTOL),/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1157.DC.csv,ok_cached,18,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1156.DC,PEEK材料概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1156.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1155.DC,小米汽车,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1155.DC.csv,ok_cached,19,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1154.DC,东盟自贸区概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1154.DC.csv,ok_cached,14,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1153.DC,多模态AI,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1153.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1152.DC,高带宽内存,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1152.DC.csv,ok_cached,13,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1151.DC,短剧互动游戏,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1151.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1150.DC,新型工业化,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1150.DC.csv,ok_cached,90,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1149.DC,星闪概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1149.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1148.DC,BC电池,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1148.DC.csv,ok_cached,22,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1147.DC,SPD概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1147.DC.csv,ok_cached,11,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1146.DC,减肥药,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1146.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1145.DC,机器人执行器,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1145.DC.csv,ok_cached,25,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1144.DC,高压快充,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1144.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1143.DC,空间计算,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1143.DC.csv,ok_cached,23,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1142.DC,裸眼3D,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1142.DC.csv,ok_cached,23,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1141.DC,混合现实,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1141.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1140.DC,央企改革,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1140.DC.csv,ok_cached,358,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1139.DC,中特估,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1139.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1138.DC,液冷概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1138.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1137.DC,存储芯片,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1137.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1136.DC,光通信模块,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1136.DC.csv,ok_cached,6,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1135.DC,数据要素,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1135.DC.csv,ok_cached,76,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1134.DC,算力概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1134.DC.csv,ok_cached,90,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1133.DC,ERP概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1133.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1132.DC,MLOps概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1132.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1131.DC,同步磁阻电机,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1131.DC.csv,ok_cached,6,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1130.DC,时空大数据,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1130.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1129.DC,数字水印,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1129.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1128.DC,CPO概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1128.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1127.DC,AI芯片,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1127.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1126.DC,ChatGPT概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1126.DC.csv,ok_cached,26,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1125.DC,电子后视镜,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1125.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1124.DC,毫米波概念,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1124.DC.csv,ok_cached,0,13,0.000,0,,
2025,20250102,20250102,2025,20250102,exact_year_first_open_snapshot,dc_member_yearly_first_open,dc_member,概念板块,BK1123.DC,蒙脱石散,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/tushare_dc_yearly_board_snapshot/by_year/2025/members/dc_member_20250102_BK1123.DC.csv,ok_cached,11,13,0.000,0,,
