split,schedule_id,variant_id,comparison_schedule_id,schedule_role,mean_after_cost_return_diff,median_after_cost_return_diff,p05_after_cost_return_diff,max_adverse_excursion_mean_diff,turnover_proxy_diff,turnover_proxy_multiple,exposure_day_multiple_vs_R03,capital_occupancy_proxy_diff,strict_big_winner_capture_rate_50h120_diff,exposure_weighted_big_winner_capture_rate_50h120_diff,partial_capture_rate_50h120_diff,captured_big_winner_count_50h120_diff,winner_hold_mode_entry_rate_diff,fast_fail_exit_rate_diff,blocked_exit_retry_rate_diff
train,R03_confirmed_H20,h20,R03_original_H10,primary,0.0004278395117083087,0.0,-0.01144737797418532,-0.001672906189908369,0.0,1.0,1.9378574151734653,1.2924693520140105,0.03783783783783784,0.03783783783783784,0.0,7,0.0,0.016637478108581436,0.0035026269702276708
validation,R03_confirmed_H20,h20,R03_original_H10,primary,-0.001529032428648022,0.0,-0.006736137074523264,-0.001376292124223257,0.0,1.0,1.9686954185140402,1.355263157894737,0.023255813953488372,0.023255813953488372,0.0,1,0.0,0.016917293233082706,0.0
robustness,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.012867373991159524,0.0,-0.006846765417989845,-0.0015200753723891413,-0.03272727272727316,0.9959316517493897,3.5779745860608387,3.477922077922077,0.12598425196850394,0.12598425196850394,0.0,16,0.0,0.018181818181818184,0.0012987012987012987
train,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.0037698111775176027,0.0,-0.025605011927354305,-0.002970914585357923,-0.02206654991243351,0.9972345132743364,3.3408311094166976,3.225919439579684,0.10810810810810811,0.10810810810810811,0.0,20,0.0,0.03239929947460596,0.005253940455341506
validation,R03_confirmed_H40,confirmed_h40,R03_original_H10,diagnostic,0.0012635267145030982,0.0,-0.0241206690616142,-0.0022551333012313024,0.0,1.0,3.4237538626897748,3.390977443609022,0.11627906976744187,0.11627906976744187,0.0,5,0.0,0.03007518796992481,0.0018796992481203006
robustness,R03_confirmed_H60,h60,R03_original_H10,primary,0.011858667838633631,0.0,-0.005228382673497626,-0.001950400200741601,-0.03272727272727316,0.9959316517493897,5.057566422795532,5.474025974025974,0.17322834645669294,0.1732283464566929,0.0,22,0.0,0.02727272727272727,0.0012987012987012987
train,R03_confirmed_H60,h60,R03_original_H10,primary,-0.0024469955521202874,0.0,-0.045497360156774774,-0.004251224674578256,0.0,1.0,4.509340449866564,4.836252189141856,0.15135135135135136,0.15135135135135136,0.0,28,0.0,0.04728546409807356,0.0035026269702276708
validation,R03_confirmed_H60,h60,R03_original_H10,primary,-0.001574853815107911,0.0,-0.026984911737617686,-0.0028602535836139134,0.0,1.0,4.7350530699986555,5.2255639097744355,0.11627906976744187,0.11627906976744187,0.0,5,0.0,0.039473684210526314,0.0018796992481203006
robustness,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0021231818651928185,0.0,0.008285331647934971,-0.00013770912201913586,-0.07854545454545558,0.9902359641985352,1.2073546399691952,0.27974025974025984,0.0,0.0,0.0,0,0.0,-0.03116883116883117,0.0
train,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0019082566657471454,0.0,0.0026947702231088916,-0.00011060153289568645,-0.08826619964973759,0.9889380530973451,1.1744821451264453,0.24045534150612946,0.005405405405405406,0.005405405405405406,0.0,1,0.0,-0.020140105078809107,0.0017513134851138354
validation,R03_no_fast_fail,no_fast_fail,R03_original_H10,diagnostic,0.0015362193993099411,0.0,0.004845962822677974,3.463986619866395e-05,-0.056842105263157805,0.992822966507177,1.1473868063952708,0.20620300751879705,0.0,0.0,0.0,0,0.0,-0.015037593984962405,0.0
robustness,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0014907591240395698,0.0,0.004052590698569338,-0.00010398650763967718,-0.07854545454545558,0.9902359641985352,1.1793415479399305,0.2419480519480517,0.0,0.0,0.0,0,0.0,-0.02207792207792208,0.0
train,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0016776129962763047,0.0,0.0026947702231088916,-0.00011837113192148885,-0.08826619964973759,0.9889380530973451,1.1581522429787774,0.2179509632224168,0.005405405405405406,0.005405405405405406,0.0,1,0.0,-0.0148861646234676,0.0017513134851138354
validation,R03_relaxed_fast_fail,relaxed_fast_fail,R03_original_H10,diagnostic,0.0013720917501917115,0.0,0.003986428767126082,2.5948874806692827e-05,-0.056842105263157805,0.992822966507177,1.1393255407765686,0.19492481203007506,0.0,0.0,0.0,0,0.0,-0.013157894736842105,0.0
robustness,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,0.008659314419528106,0.0,0.012140859446665202,-0.0005483078273049984,0.0,1.0,1.8240277242972658,1.1116883116883114,0.06299212598425197,0.06299212598425197,0.0,8,0.08181818181818182,0.007792207792207791,0.0
train,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,0.000534474362564541,0.0,-0.014769952454876337,-0.0012878081900966573,0.0,1.0,1.8520777735417462,1.1742556917688267,0.03783783783783784,0.03783783783783784,0.0,7,0.09369527145359019,0.012259194395796844,0.0035026269702276708
validation,R03_winner_state_hold_H120,winner_state_base,R03_original_H10,primary,-0.0012509596731373916,0.0,-0.005910534480440138,-0.001219553445412168,0.0,1.0,1.9337632674996643,1.3063909774436093,0.023255813953488372,0.023255813953488372,0.0,1,0.06954887218045112,0.013157894736842105,0.0
robustness,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,0.006943915638107194,0.0,0.012570436438290528,-0.0004694359302812815,0.0,1.0,1.7893723527146705,1.0649350649350648,0.05511811023622047,0.05511811023622048,0.0,7,0.09090909090909091,0.006493506493506492,0.0
train,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,0.0004557242565306988,0.0,-0.012411508492513636,-0.0010967515828470488,0.0,1.0,1.8190367263947134,1.1287215411558669,0.03783783783783784,0.03783783783783784,0.0,7,0.10070052539404553,0.009632224168126095,0.0035026269702276708
validation,winner_state_gain_threshold_sensitivity,gain_10,R03_original_H10,diagnostic,-0.000856709447405026,0.0,-0.0038162745131593064,-0.0009145362861502785,0.0,1.0,1.8759908638989655,1.2255639097744362,0.023255813953488372,0.023255813953488372,0.0,1,0.08646616541353383,0.009398496240601503,0.0
robustness,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,0.008619882674429116,0.0,0.012140859446665202,-0.0006981347315854914,0.0,1.0,1.873122834039276,1.177922077922078,0.06299212598425197,0.06299212598425197,0.0,8,0.06493506493506493,0.00909090909090909,0.0
train,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,0.0007121948105247803,0.0,-0.01144737797418532,-0.0014583314155444866,0.0,1.0,1.8844834159359511,1.2189141856392296,0.03783783783783784,0.03783783783783784,0.0,7,0.08143607705779335,0.0148861646234676,0.0035026269702276708
validation,winner_state_gain_threshold_sensitivity,gain_15,R03_original_H10,diagnostic,-0.0012266264365124726,0.0,-0.006736137074523264,-0.001263797767547683,0.0,1.0,1.9512293430068524,1.3308270676691734,0.023255813953488372,0.023255813953488372,0.0,1,0.05263157894736842,0.015037593984962405,0.0
robustness,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,0.008615905467967536,0.0,0.012140859446665202,-0.0008012609703619599,0.0,1.0,1.8981517135155945,1.2116883116883115,0.06299212598425197,0.06299212598425197,0.0,8,0.048051948051948054,0.011688311688311689,0.0
train,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,0.0006128382729041482,0.0,-0.011360582380900298,-0.0015979663323541378,0.0,1.0,1.9111704155547082,1.2556917688266198,0.03783783783783784,0.03783783783783784,0.0,7,0.05779334500875657,0.016637478108581436,0.0035026269702276708
validation,winner_state_gain_threshold_sensitivity,gain_20,R03_original_H10,diagnostic,-0.0012369005544131985,0.0,-0.006736137074523264,-0.001263797767547683,0.0,1.0,1.9552599758162033,1.336466165413534,0.023255813953488372,0.023255813953488372,0.0,1,0.03007518796992481,0.015037593984962405,0.0
robustness,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,0.007657678422684399,0.0,0.012140859446665202,-0.0005474693848755083,0.0,1.0,1.732576049287639,0.9883116883116878,0.05511811023622047,0.05511811023622048,0.0,7,0.08181818181818182,0.007792207792207791,0.0
train,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,0.0001542745078803847,0.0,-0.009732584110429428,-0.0009728480069693163,0.0,1.0,1.695132799593341,0.957968476357268,0.03783783783783784,0.03783783783783784,0.0,7,0.09369527145359019,0.01138353765323993,0.0017513134851138354
validation,winner_state_trailing_sensitivity,trailing_10,R03_original_H10,diagnostic,-0.000941609239061187,0.0,-0.005910534480440138,-0.0011696295410419492,0.0,1.0,1.900174660755072,1.2593984962406017,0.023255813953488372,0.023255813953488372,0.0,1,0.06954887218045112,0.013157894736842105,0.0
robustness,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,0.009141299526198791,0.0,0.012140859446665202,-0.0005474693848755083,0.0,1.0,1.878898729303042,1.1857142857142857,0.06299212598425197,0.06299212598425197,0.0,8,0.08181818181818182,0.007792207792207791,0.0
train,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,0.00037614848962180467,0.0,-0.014769952454876337,-0.0012941416785389932,0.0,1.0,1.8685982971152624,1.1970227670753064,0.03783783783783784,0.03783783783783784,0.0,7,0.09369527145359019,0.012259194395796844,0.0035026269702276708
validation,winner_state_trailing_sensitivity,trailing_20,R03_original_H10,diagnostic,-0.001263554273693776,0.0,-0.005910534480440138,-0.0012046956997968147,0.0,1.0,1.9364503560392317,1.3101503759398498,0.023255813953488372,0.023255813953488372,0.0,1,0.06954887218045112,0.013157894736842105,0.0
