schedule_id,variant_id,split,launch_episode_id,instrument,winner_state_signal_date,winner_state_effective_date,transition_price,close_return_from_first_exposure,max_drawdown_since_first_exposure,close_above_confirm_add_price,fast_fail_state_has_occurred,winner_state_signal_passed,winner_state_entered,winner_state_feature_max_date,asof_passed,no_same_close_transition_passed,winner_state_transition_price_date,same_close_transition_used,effective_date_high_low_close_used_as_signal,future_target_label_used_as_signal,detail
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600104_20241112_812c61cb16,SH600104,2024-11-18,2024-11-19,,0.1586294393205967,-0.03426395647275571,True,False,True,False,2024-11-18,True,True,2024-11-19,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600104_20241112_812c61cb16,SH600104,2024-11-18,2024-11-19,17.040000915527344,,,True,False,True,True,2024-11-18,True,True,2024-11-19,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600111_20210705_8cdc8b87eb,SH600111,2021-07-08,2021-07-09,,0.19302221512403905,-0.018124133396525632,True,False,True,False,2021-07-08,True,True,2021-07-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600111_20210705_8cdc8b87eb,SH600111,2021-07-08,2021-07-09,26.530000686645508,,,True,False,True,True,2021-07-08,True,True,2021-07-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600150_20210825_444af1a367,SH600150,2021-08-31,2021-09-01,,0.1383648088918803,-0.022738234717934347,True,False,True,False,2021-08-31,True,True,2021-09-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600150_20210825_444af1a367,SH600150,2021-08-31,2021-09-01,23.979999542236328,,,True,False,True,True,2021-08-31,True,True,2021-09-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600150_20220714_f9b68fb060,SH600150,2022-07-20,2022-07-21,,0.13707632886818888,-0.03540722037083022,True,False,True,False,2022-07-20,True,True,2022-07-21,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600150_20220714_f9b68fb060,SH600150,2022-07-20,2022-07-21,22.260000228881836,,,True,False,True,True,2022-07-20,True,True,2022-07-21,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600150_20230427_ae74ccc18e,SH600150,2023-05-17,2023-05-18,,0.16614178283784198,-0.03267716284139377,True,False,True,False,2023-05-17,True,True,2023-05-18,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600150_20230427_ae74ccc18e,SH600150,2023-05-17,2023-05-18,29.020000457763672,,,True,False,True,True,2023-05-17,True,True,2023-05-18,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600188_20251010_bf5ea938e3,SH600188,2025-10-20,2025-10-21,,0.12900870769973127,-0.002186638925773532,True,False,True,False,2025-10-20,True,True,2025-10-21,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600188_20251010_bf5ea938e3,SH600188,2025-10-20,2025-10-21,15.25,,,True,False,True,True,2025-10-20,True,True,2025-10-21,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600196_20210428_884d930b6d,SH600196,2021-04-30,2021-05-06,,0.12971045523669744,-0.015073350835647203,True,False,True,False,2021-04-30,True,True,2021-05-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600196_20210428_884d930b6d,SH600196,2021-04-30,2021-05-06,52.47999954223633,,,True,False,True,True,2021-04-30,True,True,2021-05-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600219_20251029_4f4e5d22f7,SH600219,2025-11-10,2025-11-11,,0.12018145762961097,-0.027210859344927396,True,False,True,False,2025-11-10,True,True,2025-11-11,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600219_20251029_4f4e5d22f7,SH600219,2025-11-10,2025-11-11,4.980000019073486,,,True,False,True,True,2025-11-10,True,True,2025-11-11,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600309_20200702_40752b4cf8,SH600309,2020-07-17,2020-07-20,,0.1454248954191688,-0.016135639916257438,True,False,True,False,2020-07-17,True,True,2020-07-20,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600309_20200702_40752b4cf8,SH600309,2020-07-17,2020-07-20,56.54999923706055,,,True,False,True,True,2020-07-17,True,True,2020-07-20,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600340_20180103_9fa8abf465,SH600340,2018-01-09,2018-01-10,,0.1227772868539998,-0.021168500517980027,True,False,True,False,2018-01-09,True,True,2018-01-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600340_20180103_9fa8abf465,SH600340,2018-01-09,2018-01-10,26.719999313354492,,,True,False,True,True,2018-01-09,True,True,2018-01-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600346_20200706_3b625ce095,SH600346,2020-08-04,2020-08-05,,0.1675353647708313,-0.03499629607958199,True,False,True,False,2020-08-04,True,True,2020-08-05,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600346_20200706_3b625ce095,SH600346,2020-08-04,2020-08-05,15.6899995803833,,,True,False,True,True,2020-08-04,True,True,2020-08-05,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600362_20201116_cf5d4c3385,SH600362,2020-11-24,2020-11-25,,0.17549665904527223,-0.015231820536434793,True,False,True,False,2020-11-24,True,True,2020-11-25,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600362_20201116_cf5d4c3385,SH600362,2020-11-24,2020-11-25,17.75,,,True,False,True,True,2020-11-24,True,True,2020-11-25,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600362_20240307_2da5f7e169,SH600362,2024-03-29,2024-04-01,,0.12461219381581157,-0.03826265590898381,True,False,True,False,2024-03-29,True,True,2024-04-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600362_20240307_2da5f7e169,SH600362,2024-03-29,2024-04-01,22.06999969482422,,,True,False,True,True,2024-03-29,True,True,2024-04-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600362_20250825_b911da6d96,SH600362,2025-09-12,2025-09-15,,0.15144677515449456,-0.05561824185036757,True,False,True,False,2025-09-12,True,True,2025-09-15,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600362_20250825_b911da6d96,SH600362,2025-09-12,2025-09-15,30.219999313354492,,,True,False,True,True,2025-09-12,True,True,2025-09-15,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600383_20180102_dde7a57633,SH600383,2018-01-08,2018-01-09,,0.17584537466130734,-0.0028986169603645306,True,False,True,False,2018-01-08,True,True,2018-01-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600383_20180102_dde7a57633,SH600383,2018-01-08,2018-01-09,12.020000457763672,,,True,False,True,True,2018-01-08,True,True,2018-01-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600438_20250704_6a26eb3deb,SH600438,2025-07-09,2025-07-10,,0.12299176257830435,-0.008310228524679997,True,False,True,False,2025-07-09,True,True,2025-07-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600438_20250704_6a26eb3deb,SH600438,2025-07-09,2025-07-10,20.260000228881836,,,True,False,True,True,2025-07-09,True,True,2025-07-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600518_20180502_aeab5a8f84,SH600518,2018-05-16,2018-05-17,,0.14531100407290642,-0.011606313341416152,True,False,True,False,2018-05-16,True,True,2018-05-17,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600518_20180502_aeab5a8f84,SH600518,2018-05-16,2018-05-17,24.59000015258789,,,True,False,True,True,2018-05-16,True,True,2018-05-17,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600547_20240305_a6a6f84f94,SH600547,2024-03-29,2024-04-01,,0.1476426654163463,-0.02274611817483929,True,False,True,False,2024-03-29,True,True,2024-04-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600547_20240305_a6a6f84f94,SH600547,2024-03-29,2024-04-01,28.309999465942383,,,True,False,True,True,2024-03-29,True,True,2024-04-01,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600606_20180102_1ea7a202d2,SH600606,2018-01-05,2018-01-08,,0.12244894152695251,-0.010204071702683226,True,False,True,False,2018-01-05,True,True,2018-01-08,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600606_20180102_1ea7a202d2,SH600606,2018-01-05,2018-01-08,6.789999961853027,,,True,False,True,True,2018-01-05,True,True,2018-01-08,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600606_20190225_62aaffca7b,SH600606,2019-03-18,2019-03-19,,0.12572535508227234,-0.015473872828915214,True,False,True,False,2019-03-18,True,True,2019-03-19,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600606_20190225_62aaffca7b,SH600606,2019-03-18,2019-03-19,5.809999942779541,,,True,False,True,True,2019-03-18,True,True,2019-03-19,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600606_20220323_96882dc656,SH600606,2022-03-30,2022-03-31,,0.14184394844612513,-0.004728127857288822,True,False,True,False,2022-03-30,True,True,2022-03-31,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600606_20220323_96882dc656,SH600606,2022-03-30,2022-03-31,4.989999771118164,,,True,False,True,True,2022-03-30,True,True,2022-03-31,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600741_20201029_74e71e7567,SH600741,2020-11-05,2020-11-06,,0.12199996948242187,-0.010400009155273393,True,False,True,False,2020-11-05,True,True,2020-11-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600741_20201029_74e71e7567,SH600741,2020-11-05,2020-11-06,27.729999542236328,,,True,False,True,True,2020-11-05,True,True,2020-11-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600760_20250508_dc3a39060c,SH600760,2025-06-09,2025-06-10,,0.13302842714586438,-0.05092497883719216,True,False,True,False,2025-06-09,True,True,2025-06-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600760_20250508_dc3a39060c,SH600760,2025-06-09,2025-06-10,53.41999816894531,,,True,False,True,True,2025-06-09,True,True,2025-06-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600795_20210903_30188caeeb,SH600795,2021-09-22,2021-09-23,,0.16867472878929224,-0.028112422881404364,True,False,True,False,2021-09-22,True,True,2021-09-23,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600795_20210903_30188caeeb,SH600795,2021-09-22,2021-09-23,3.2100000381469727,,,True,False,True,True,2021-09-22,True,True,2021-09-23,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600837_20190218_dacd8c659c,SH600837,2019-02-22,2019-02-25,,0.12216756368430626,-0.012807799571664003,True,False,True,False,2019-02-22,True,True,2019-02-25,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600837_20190218_dacd8c659c,SH600837,2019-02-22,2019-02-25,11.84000015258789,,,True,False,True,True,2019-02-22,True,True,2019-02-25,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600845_20210611_db21f7b9cb,SH600845,2021-07-05,2021-07-06,,0.14097964644092253,-0.05575473882313475,True,False,True,False,2021-07-05,True,True,2021-07-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600845_20210611_db21f7b9cb,SH600845,2021-07-05,2021-07-06,28.649999618530273,,,True,False,True,True,2021-07-05,True,True,2021-07-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600875_20220823_3990d6f0b3,SH600875,2022-09-05,2022-09-06,,0.1466057954454083,-0.041072515259604536,True,False,True,False,2022-09-05,True,True,2022-09-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600875_20220823_3990d6f0b3,SH600875,2022-09-05,2022-09-06,19.899999618530273,,,True,False,True,True,2022-09-05,True,True,2022-09-06,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600875_20251027_692b5e77cd,SH600875,2025-11-10,2025-11-11,,0.1341121911398664,-0.04299065853708317,True,False,True,False,2025-11-10,True,True,2025-11-11,False,False,False,
R03_winner_state_hold_H120,winner_state_base,robustness,EP2_LAUNCH_DETECTOR_V0_SH600875_20251027_692b5e77cd,SH600875,2025-11-10,2025-11-11,24.350000381469727,,,True,False,True,True,2025-11-10,True,True,2025-11-11,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600886_20210903_ca32319d34,SH600886,2021-09-22,2021-09-23,,0.1292442815317576,-0.038335200118577384,True,False,True,False,2021-09-22,True,True,2021-09-23,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600886_20210903_ca32319d34,SH600886,2021-09-22,2021-09-23,10.630000114440918,,,True,False,True,True,2021-09-22,True,True,2021-09-23,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600893_20200706_0bedef7a18,SH600893,2020-07-08,2020-07-09,,0.129479714998757,-0.016570338825958264,True,False,True,False,2020-07-08,True,True,2020-07-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600893_20200706_0bedef7a18,SH600893,2020-07-08,2020-07-09,32.16999816894531,,,True,False,True,True,2020-07-08,True,True,2020-07-09,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600893_20201231_d997255275,SH600893,2021-01-06,2021-01-07,,0.12847574347777835,-0.013400322057569691,True,False,True,False,2021-01-06,True,True,2021-01-07,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600893_20201231_d997255275,SH600893,2021-01-06,2021-01-07,67.38999938964844,,,True,False,True,True,2021-01-06,True,True,2021-01-07,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600926_20200811_e43e2c2953,SH600926,2020-08-17,2020-08-18,,0.15005600300049649,-0.024636087291206255,True,False,True,False,2020-08-17,True,True,2020-08-18,False,False,False,
R03_winner_state_hold_H120,winner_state_base,train,EP2_LAUNCH_DETECTOR_V0_SH600926_20200811_e43e2c2953,SH600926,2020-08-17,2020-08-18,10.109999656677246,,,True,False,True,True,2020-08-17,True,True,2020-08-18,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600941_20230220_c01a433a16,SH600941,2023-03-09,2023-03-10,,0.12135307936140616,-0.04355174729809741,True,False,True,False,2023-03-09,True,True,2023-03-10,False,False,False,
R03_winner_state_hold_H120,winner_state_base,validation,EP2_LAUNCH_DETECTOR_V0_SH600941_20230220_c01a433a16,SH600941,2023-03-09,2023-03-10,78.79000091552734,,,True,False,True,True,2023-03-09,True,True,2023-03-10,False,False,False,
