scope_id,split,slice_type,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,c0_complete_executable_event_n,c0_fast_fail_rate,random_fast_fail_rate_p05,random_fast_fail_rate_p50,random_fast_fail_rate_p95,r_core_fast_fail_rate,fast_fail_abs_delta_vs_random_p50,fast_fail_abs_delta_vs_r_core,fast_fail_relative_reduction_vs_random_p50,fast_fail_relative_reduction_vs_r_core,uplift_status,diagnostic_only_flag
risk_on_board,all,board,chinext,all,all,10,-0.08,3115.0,0.43659711075441415,0.37142857142857144,0.3826645264847512,0.39746388443017655,0.46349905601006924,0.053932584269662964,-0.02690194525565509,-0.14093959731543637,0.058040992547502945,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,10,-0.1,3115.0,0.33226324237560195,0.2699518459069021,0.2825040128410915,0.29349919743178166,0.3601321585903084,0.04975922953451045,-0.02786891621470644,-0.17613636363636376,0.07738524747080566,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,10,-0.12,3115.0,0.24301765650080256,0.1908828250401284,0.20256821829855537,0.2122792937399679,0.26903713027061044,0.040449438202247195,-0.02601947376980787,-0.19968304278922355,0.09671331887771861,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,10,-0.15,3115.0,0.15248796147672553,0.10752808988764045,0.11894060995184591,0.12776886035313,0.16677155443675268,0.033547351524879615,-0.014283592960027153,-0.28205128205128194,0.08564765740937041,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,10,-0.2,3115.0,0.0565008025682183,0.04073836276083467,0.04670947030497592,0.0526645264847512,0.06906859660163625,0.009791332263242379,-0.01256779403341795,-0.2096219931271479,0.18196104527654777,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.06,3115.0,0.6735152487961477,0.6349759229534511,0.6470304975922954,0.6598073836276083,0.6955632473253619,0.026484751203852297,-0.02204799852921424,-0.04093277102455972,0.03169804990990399,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.08,3115.0,0.5797752808988764,0.5312680577849118,0.5431781701444622,0.5541894060995184,0.6028949024543738,0.036597110754414186,-0.023119621555497405,-0.06737588652482285,0.038347681264807254,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.1,3115.0,0.4892455858747994,0.4307383627608347,0.44446227929373994,0.4555858747993579,0.512901195720579,0.044783306581059446,-0.023655609845779635,-0.10075839653304453,0.04612118287723166,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.12,3115.0,0.3974317817014446,0.3438202247191011,0.35585874799357947,0.3673194221508828,0.4232221522970422,0.04157303370786514,-0.025790370595597578,-0.11682453766350909,0.06093813959316663,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.15,3115.0,0.2930979133226324,0.23370786516853934,0.24542536115569824,0.2546067415730337,0.303178099433606,0.04767255216693417,-0.01008018611097361,-0.19424460431654667,0.033248397987207245,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,20,-0.2,3115.0,0.15184590690208669,0.1091171749598716,0.11861958266452649,0.1258426966292135,0.16095028319697924,0.033226324237560195,-0.009104376294892552,-0.2801082543978348,0.0565663887882083,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.06,11998.0,0.41798633105517585,0.35597182863810634,0.36168528088014673,0.3680071678613102,0.4618987871183605,0.05630105017502912,-0.04391245606318467,-0.15566309482659269,0.09506943358119757,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.08,11998.0,0.29421570261710284,0.24102350391731955,0.24666611101850308,0.2515502583763961,0.3341698034295274,0.047549591598599755,-0.039954100812424564,-0.19276904882581514,0.11956227164268729,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.1,11998.0,0.20278379729954993,0.1622603767294549,0.16731955325887649,0.17120770128354726,0.2384358009201171,0.03546424404067344,-0.03565200362056717,-0.21195516811955173,0.14952454070650079,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.12,11998.0,0.1368561426904484,0.1096641106851142,0.1135605934322387,0.11703200533422237,0.1656210790464241,0.023295549258209702,-0.028764936355975684,-0.20513761467889902,0.173679199058429,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.15,11998.0,0.07617936322720453,0.060676779463243874,0.06342723787297883,0.06692782130355059,0.09535759096612297,0.012752125354225707,-0.019178227738918432,-0.2010512483574245,0.20111904615681564,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,10,-0.2,11998.0,0.028754792465410902,0.020249208201366897,0.022045340890148358,0.024337389564927488,0.035424508573818486,0.006709451575262544,-0.006669716108407584,-0.30434782608695654,0.1882797073813759,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,20,-0.06,11998.0,0.5570095015835973,0.4998249708284714,0.507209534922487,0.5135105850975162,0.5973651191969888,0.049799966661110306,-0.04035561761339146,-0.09818420836414443,0.06755603284577394,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,20,-0.08,11998.0,0.44174029004834137,0.3859559926654442,0.3925237539589932,0.3985705950991832,0.4810957758260142,0.04921653608934817,-0.03935548577767284,-0.1253848603885761,0.08180384812172103,no_random_uplift,False
risk_on_board,all,board,main_board,all,all,20,-0.1,11998.0,0.3423903983997333,0.293044674112352,0.29921653608934823,0.30506334389064843,0.38126306984525304,0.04317386231038506,-0.03887267144551976,-0.14428969359331467,0.10195761016480664,no_random_uplift,False
